obs,off_lambda,off_beta,r,rms
1,-28.348501205444,-55.323787689209,62.163967132568,77.774154663086
2,-14.713654518127,-55.323787689209,57.246948242187,45.31258392334
3,-1.0788089036942,-55.323787689209,55.33430480957,49.819915771484
4,12.556035995483,-55.323787689209,56.730728149414,52.980613708496
5,26.190879821777,-55.323787689209,61.210159301758,60.511138916016
6,39.82572555542,-41.688945770264,57.654632568359,89.184669494629
7,26.190879821777,-41.688945770264,49.233428955078,58.281883239746
8,12.556035995483,-41.688945770264,43.538745880127,50.186340332031
9,-1.0788089036942,-41.688945770264,41.702903747559,44.860023498535
10,-14.713654518127,-41.688945770264,44.209274291992,40.808387756348
11,-28.348501205444,-41.688945770264,50.4143409729,61.962219238281
12,-41.983345031738,-41.688945770264,59.16561126709,76.033294677734
13,-55.618190765381,-28.054098129272,62.292980194092,97.101600646973
14,-41.983345031738,-28.054098129272,50.493896484375,74.173332214355
15,-28.348501205444,-28.054098129272,39.883205413818,39.552295684814
16,-14.713654518127,-28.054098129272,31.678447723389,28.605680465698
17,-1.0788089036942,-28.054098129272,28.07483291626,33.29513168335
18,12.556035995483,-28.054098129272,30.735752105713,37.744903564453
19,26.190879821777,-28.054098129272,38.379611968994,43.793407440186
20,39.82572555542,-28.054098129272,48.714687347412,68.725250244141
21,39.82572555542,-14.419251441956,42.355674743652,40.321235656738
22,26.190879821777,-14.419251441956,29.897775650024,35.968544006348
23,12.556035995483,-14.419251441956,19.119853973389,28.359157562256
24,-1.0788089036942,-14.419251441956,14.459551811218,28.43278503418
25,-14.713654518127,-14.419251441956,20.601127624512,32.5641746521
26,-28.348501205444,-14.419251441956,31.80491065979,29.510381698608
27,-41.983345031738,-14.419251441956,44.390495300293,42.316650390625
28,-55.618190765381,-14.419251441956,57.456924438477,49.42333984375
29,-55.618190765381,-0.78440654277802,55.623722076416,55.150417327881
30,-41.983345031738,-0.78440654277802,41.990673065186,45.976215362549
31,-28.348501205444,-0.78440654277802,28.359352111816,35.50777053833
32,-14.713654518127,-0.78440654277802,14.734548568726,41.898391723633
33,-1.0788089036942,-0.78440654277802,1.333837389946,33.318958282471
34,12.556035995483,-0.78440654277802,12.580513954163,29.426153182983
35,26.190879821777,-0.78440654277802,26.20262336731,34.293682098389
36,39.82572555542,-0.78440654277802,39.833450317383,58.683174133301
37,53.460571289062,-0.78440654277802,53.466323852539,226.5514831543
38,39.82572555542,12.850439071655,41.847606658936,51.022102355957
39,26.190879821777,12.850439071655,29.1735496521,33.555404663086
40,12.556035995483,12.850439071655,17.966297149658,27.921726226807
41,-1.0788089036942,12.850439071655,12.895643234253,35.624530792236
42,-14.713654518127,12.850439071655,19.535234451294,32.198436737061
43,-28.348501205444,12.850439071655,31.125091552734,34.320762634277
44,-41.983345031738,12.850439071655,43.905979156494,44.105587005615
45,-55.618190765381,12.850439071655,57.083419799805,51.238929748535
46,-55.618190765381,26.485284805298,61.602382659912,69.226921081543
47,-41.983345031738,26.485284805298,49.639415740967,58.994144439697
48,-28.348501205444,26.485284805298,38.795719146729,46.154483795166
49,-14.713654518127,26.485284805298,30.297885894775,30.065465927124
50,-1.0788089036942,26.485284805298,26.507246017456,36.32935333252
51,12.556035995483,26.485284805298,29.310823440552,31.923559188843
52,26.190879821777,26.485284805298,37.24825668335,36.383522033691
53,39.82572555542,26.485284805298,47.828430175781,102.00117492676
54,53.460571289062,26.485284805298,59.661571502686,216.69653320312
55,39.82572555542,40.120132446289,56.530643463135,92.043655395508
56,26.190879821777,40.120132446289,47.912284851074,55.80948638916
57,12.556035995483,40.120132446289,42.039016723633,39.078990936279
58,-1.0788089036942,40.120132446289,40.134635925293,41.427700042725
59,-14.713654518127,40.120132446289,42.733085632324,127.37673187256
60,-28.348501205444,40.120132446289,49.124969482422,64.126739501953
61,-41.983345031738,40.120132446289,58.070873260498,77.89916229248
62,-14.713654518127,53.754974365234,55.73229598999,208.93280029297
