obs,off_lambda,off_beta,r,rms
1,53.4001121521,-55.689544677734,77.15502166748,110.06393432617
2,39.765270233154,-55.689544677734,68.429542541504,60.109642028809
3,26.13042640686,-55.689544677734,61.515239715576,41.272483825684
4,12.495579719543,-55.689544677734,57.074203491211,37.636177062988
5,-1.1392660140991,-55.689544677734,55.701198577881,43.511913299561
6,-14.774111747742,-55.689544677734,57.615966796875,38.117511749268
7,-28.408954620361,-55.689544677734,62.517150878906,43.735145568848
8,-42.043800354004,-55.689544677734,69.778266906738,115.68650054932
9,-55.678649902344,-42.054698944092,69.776138305664,107.36381530762
10,-42.043800354004,-42.054698944092,59.466621398926,70.421203613281
11,-28.408954620361,-42.054698944092,50.751022338867,39.899101257324
12,-14.774111747742,-42.054698944092,44.57434463501,36.773300170898
13,-1.1392660140991,-42.054698944092,42.070129394531,39.882797241211
14,12.495579719543,-42.054698944092,43.871826171875,33.887050628662
15,26.13042640686,-42.054698944092,49.511585235596,37.769008636475
16,39.765270233154,-42.054698944092,57.878101348877,55.668395996094
17,53.4001121521,-42.054698944092,67.971832275391,112.37093353271
18,53.4001121521,-28.419853210449,60.491817474365,48.02893447876
19,39.765270233154,-28.419853210449,48.87703704834,33.30736541748
20,26.13042640686,-28.419853210449,38.606830596924,22.186229705811
21,12.495579719543,-28.419853210449,31.045572280884,20.499046325684
22,-1.1392660140991,-28.419853210449,28.442678451538,22.483800888062
23,-14.774111747742,-28.419853210449,32.030647277832,21.748956680298
24,-28.408954620361,-28.419853210449,40.184036254883,23.808065414429
25,-42.043800354004,-28.419853210449,50.748096466064,40.371658325195
26,-55.678649902344,-28.419853210449,62.512397766113,44.35009765625
27,-55.678649902344,-14.785008430481,57.608234405518,36.436279296875
28,-42.043800354004,-14.785008430481,44.567672729492,33.610744476318
29,-28.408954620361,-14.785008430481,32.026008605957,22.052349090576
30,-14.774111747742,-14.785008430481,20.901454925537,23.817543029785
31,-1.1392660140991,-14.785008430481,14.82883644104,27.282930374146
32,12.495579719543,-14.785008430481,19.358098983765,20.947059631348
33,26.13042640686,-14.785008430481,30.023252487183,18.927982330322
34,39.765270233154,-14.785008430481,42.424911499023,29.362676620483
35,53.4001121521,-14.785008430481,55.409099578857,53.893989562988
36,53.4001121521,-1.1501631736755,53.412498474121,66.264045715332
37,39.765270233154,-1.1501631736755,39.781898498535,35.036010742188
38,26.13042640686,-1.1501631736755,26.155727386475,23.109992980957
39,12.495579719543,-1.1501631736755,12.548401832581,24.367422103882
40,-1.1392660140991,-1.1501631736755,1.6188892126083,36.155860900879
41,-14.774111747742,-1.1501631736755,14.818814277649,35.998382568359
42,-28.408954620361,-1.1501631736755,28.432228088379,26.318496704102
43,-42.043800354004,-1.1501631736755,42.05952835083,39.419830322266
44,-55.678649902344,-1.1501631736755,55.690528869629,42.40128326416
45,-55.678649902344,12.48468208313,57.061187744141,37.555332183838
46,-42.043800354004,12.48468208313,43.858276367187,35.446212768555
47,-28.408954620361,12.48468208313,31.031209945679,21.913576126099
48,-14.774111747742,12.48468208313,19.342741012573,28.163026809692
49,-1.1392660140991,12.48468208313,12.536555290222,30.968357086182
50,12.495579719543,12.48468208313,17.6637134552,21.483425140381
51,26.13042640686,12.48468208313,28.959739685059,20.096515655518
52,39.765270233154,12.48468208313,41.679058074951,36.185153961182
53,53.4001121521,12.48468208313,54.840126037598,51.336585998535
54,53.4001121521,26.119527816772,59.445789337158,94.420684814453
55,39.765270233154,26.119527816772,47.576320648193,30.824964523315
56,26.13042640686,26.119527816772,36.946296691895,22.282089233398
57,12.495579719543,26.119527816772,28.954607009888,22.686784744263
58,-1.1392660140991,26.119527816772,26.144361495972,24.895576477051
59,-14.774111747742,26.119527816772,30.008399963379,21.138833999634
60,-28.408954620361,26.119527816772,38.591430664062,22.927640914917
61,-42.043800354004,26.119527816772,49.496574401855,37.614532470703
62,-55.678649902344,26.119527816772,61.500747680664,43.068660736084
63,-55.678649902344,39.754375457764,68.414344787598,57.549842834473
64,-42.043800354004,39.754375457764,57.862693786621,54.70491027832
65,-28.408954620361,39.754375457764,48.861835479736,31.201738357544
66,-14.774111747742,39.754375457764,42.410903930664,26.15299987793
67,-1.1392660140991,39.754375457764,39.770694732666,32.488292694092
68,12.495579719543,39.754375457764,41.671932220459,34.174800872803
69,26.13042640686,39.754375457764,47.57320022583,32.502788543701
70,39.765270233154,39.754375457764,56.228881835937,45.838405609131
71,53.4001121521,39.754375457764,66.573135375977,151.77934265137
72,53.4001121521,53.389217376709,75.511459350586,191.20820617676
73,39.765270233154,53.389217376709,66.570907592773,66.020835876465
74,26.13042640686,53.389217376709,59.44079208374,38.766746520996
75,12.495579719543,53.389217376709,54.831996917725,46.995922088623
76,-1.1392660140991,53.389217376709,53.401371002197,133.05041503906
77,-14.774111747742,53.389217376709,55.395694732666,37.439952850342
78,-28.408954620361,53.389217376709,60.477081298828,36.527694702148
79,-42.043800354004,53.389217376709,67.956527709961,64.038902282715
80,-55.678649902344,53.389217376709,77.139617919922,66.636825561523
