YYYY-MM-DDTHH:MM:SS,Scan,SourceName,ScanType,Receiver,Backend,Frequency,Line,Az,El,PWV
2019-05-10T02:29:49,17975,low,load,ARTEMIS450,BEAR1,666.2,None,-55.4,+36.9,8.73
2019-05-10T02:29:49,17975,low,load,ARTEMIS350,BEAR1,865.55,None,-55.4,+36.9,8.73
2019-05-10T02:31:01,17976,Jupiter,go,ARTEMIS450,BEAR1,666.2,None,+103.5,+30.9,4.63
2019-05-10T02:31:01,17976,Jupiter,go,ARTEMIS350,BEAR1,865.55,None,+103.5,+30.9,4.63
2019-05-10T02:31:34,17977,Jupiter,point,ARTEMIS450,BEAR1,666.2,None,+103.5,+30.9,4.63
2019-05-10T02:31:34,17977,Jupiter,point,ARTEMIS350,BEAR1,865.55,None,+103.5,+30.9,4.63
2019-05-10T02:37:01,17978,Jupiter,point,ARTEMIS450,BEAR1,666.2,None,+103.1,+32.1,5.72
2019-05-10T02:37:01,17978,Jupiter,point,ARTEMIS350,BEAR1,865.55,None,+103.1,+32.1,5.72
2019-05-10T02:40:44,17979,Jupiter,load,ARTEMIS450,BEAR1,666.2,None,+102.9,+33.0,3.76
2019-05-10T02:40:44,17979,Jupiter,load,ARTEMIS350,BEAR1,865.55,None,+102.9,+33.0,3.76
2019-05-10T02:40:58,17980,Jupiter,point,ARTEMIS450,BEAR1,666.2,None,+102.9,+33.0,3.78
2019-05-10T02:40:58,17980,Jupiter,point,ARTEMIS350,BEAR1,865.55,None,+102.9,+33.0,3.78
2019-05-10T02:54:25,17981,Jupiter,load,ARTEMIS450,BEAR1,666.2,None,+102.0,+36.0,4.83
2019-05-10T02:54:25,17981,Jupiter,load,ARTEMIS350,BEAR1,865.55,None,+102.0,+36.0,4.83
2019-05-10T02:57:15,17982,Jupiter,point,ARTEMIS450,BEAR1,666.2,None,+101.8,+36.7,6.04
2019-05-10T02:57:15,17982,Jupiter,point,ARTEMIS350,BEAR1,865.55,None,+101.8,+36.7,6.04
2019-05-10T13:50:04,18178,Neptune,go,ARTEMIS450,BEAR1,666.2,None,-48.3,+65.1,5.11
2019-05-10T13:50:04,18178,Neptune,go,ARTEMIS350,BEAR1,865.55,None,-48.3,+65.1,5.11
2019-05-10T13:50:37,18179,Neptune,raster,ARTEMIS450,BEAR1,666.2,None,-48.3,+65.1,7.41
2019-05-10T13:50:37,18179,Neptune,raster,ARTEMIS350,BEAR1,865.55,None,-48.3,+65.1,7.41
2019-05-10T13:51:29,18180,Neptune,raster,ARTEMIS450,BEAR1,666.2,None,-48.7,+65.0,7.41
2019-05-10T13:51:29,18180,Neptune,raster,ARTEMIS350,BEAR1,865.55,None,-48.7,+65.0,7.41
2019-05-10T13:57:53,18181,Neptune,Z-Focus,ARTEMIS450,BEAR1,666.2,None,-51.3,+63.8,7.89
2019-05-10T13:57:53,18181,Neptune,Z-Focus,ARTEMIS350,BEAR1,865.55,None,-51.3,+63.8,7.89
2019-05-10T14:01:33,18182,Saturn,raster,ARTEMIS450,BEAR1,666.2,None,-106.3,+18.1,5.74
2019-05-10T14:01:33,18182,Saturn,raster,ARTEMIS350,BEAR1,865.55,None,-106.3,+18.1,5.74
2019-05-10T14:05:14,18183,SKYDIP,skydip,ARTEMIS450,BEAR1,666.2,None,-100.0,+81.9,7.57
2019-05-10T14:05:14,18183,SKYDIP,skydip,ARTEMIS350,BEAR1,865.55,None,-100.0,+81.9,7.57
2019-05-10T14:10:33,18184,Neptune,raster,ARTEMIS450,BEAR1,666.2,None,-56.0,+61.4,5.91
2019-05-10T14:10:33,18184,Neptune,raster,ARTEMIS350,BEAR1,865.55,None,-56.0,+61.4,5.91
2019-05-11T08:29:55,18327,Jupiter,go,ARTEMIS450,BEAR1,666.2,None,-94.3,+65.8,1.04
2019-05-11T08:29:55,18327,Jupiter,go,ARTEMIS350,BEAR1,865.55,None,-94.3,+65.8,1.04
2019-05-11T08:30:04,18328,Jupiter,point,ARTEMIS450,BEAR1,666.2,None,-94.3,+65.8,1.04
2019-05-11T08:30:04,18328,Jupiter,point,ARTEMIS350,BEAR1,865.55,None,-94.3,+65.8,1.04
2019-05-11T08:37:11,18329,Jupiter,point,ARTEMIS450,BEAR1,666.2,None,-94.7,+64.2,1.06
2019-05-11T08:37:11,18329,Jupiter,point,ARTEMIS350,BEAR1,865.55,None,-94.7,+64.2,1.06
2019-05-11T08:42:41,18330,Jupiter,point,ARTEMIS450,BEAR1,666.2,None,-95.0,+62.9,0.96
2019-05-11T08:42:41,18330,Jupiter,point,ARTEMIS350,BEAR1,865.55,None,-95.0,+62.9,0.96
2019-05-11T08:43:41,18331,Jupiter,point,ARTEMIS450,BEAR1,666.2,None,-95.1,+62.7,0.97
2019-05-11T08:43:41,18331,Jupiter,point,ARTEMIS350,BEAR1,865.55,None,-95.1,+62.7,0.97
2019-05-11T08:44:49,18332,Jupiter,raster,ARTEMIS450,BEAR1,666.2,None,-95.2,+62.4,0.94
2019-05-11T08:44:49,18332,Jupiter,raster,ARTEMIS350,BEAR1,865.55,None,-95.2,+62.4,0.94
2019-05-11T08:55:53,18333,SKYDIP,skydip,ARTEMIS450,BEAR1,666.2,None,-95.8,+88.2,0.90
2019-05-11T08:55:53,18333,SKYDIP,skydip,ARTEMIS350,BEAR1,865.55,None,-95.8,+88.2,0.90
2019-05-11T10:13:09,18355,Jupiter,load,ARTEMIS450,BEAR1,666.2,None,-74.1,+33.5,0.62
2019-05-11T10:13:09,18355,Jupiter,load,ARTEMIS350,BEAR1,865.55,None,-74.1,+33.5,0.62
2019-05-11T10:13:16,18356,Jupiter,go,ARTEMIS450,BEAR1,666.2,None,-100.3,+42.2,0.62
2019-05-11T10:13:16,18356,Jupiter,go,ARTEMIS350,BEAR1,865.55,None,-100.3,+42.2,0.62
2019-05-11T10:13:29,18357,Jupiter,point,ARTEMIS450,BEAR1,666.2,None,-100.3,+42.2,0.62
2019-05-11T10:13:29,18357,Jupiter,point,ARTEMIS350,BEAR1,865.55,None,-100.3,+42.2,0.62
2019-05-11T10:16:05,18358,Jupiter,point,ARTEMIS450,BEAR1,666.2,None,-100.5,+41.6,0.61
2019-05-11T10:16:05,18358,Jupiter,point,ARTEMIS350,BEAR1,865.55,None,-100.5,+41.6,0.61
2019-05-11T10:16:51,18359,Jupiter,raster,ARTEMIS450,BEAR1,666.2,None,-100.5,+41.4,0.61
2019-05-11T10:16:51,18359,Jupiter,raster,ARTEMIS350,BEAR1,865.55,None,-100.5,+41.4,0.61
2019-05-11T10:21:31,18360,Jupiter,point,ARTEMIS450,BEAR1,666.2,None,-100.8,+40.3,0.64
2019-05-11T10:21:31,18360,Jupiter,point,ARTEMIS350,BEAR1,865.55,None,-100.8,+40.3,0.64
2019-05-11T10:23:11,18361,Jupiter,raster,ARTEMIS450,BEAR1,666.2,None,-100.9,+39.9,0.68
2019-05-11T10:23:11,18361,Jupiter,raster,ARTEMIS350,BEAR1,865.55,None,-100.9,+39.9,0.68
2019-05-11T10:26:50,18362,Jupiter,raster,ARTEMIS450,BEAR1,666.2,None,-101.2,+39.1,0.62
2019-05-11T10:26:50,18362,Jupiter,raster,ARTEMIS350,BEAR1,865.55,None,-101.2,+39.1,0.62
2019-05-11T10:30:38,18363,Jupiter,load,ARTEMIS450,BEAR1,666.2,None,-101.4,+38.3,0.65
2019-05-11T10:30:38,18363,Jupiter,load,ARTEMIS350,BEAR1,865.55,None,-101.4,+38.3,0.65
2019-05-11T10:30:40,18364,Jupiter,point,ARTEMIS450,BEAR1,666.2,None,-101.4,+38.3,0.65
2019-05-11T10:30:40,18364,Jupiter,point,ARTEMIS350,BEAR1,865.55,None,-101.4,+38.3,0.65
2019-05-11T10:32:15,18365,Jupiter,raster,ARTEMIS450,BEAR1,666.2,None,-101.5,+37.9,0.66
2019-05-11T10:32:15,18365,Jupiter,raster,ARTEMIS350,BEAR1,865.55,None,-101.5,+37.9,0.66
2019-05-11T10:36:53,18366,Jupiter,raster,ARTEMIS450,BEAR1,666.2,None,-101.8,+36.8,0.68
2019-05-11T10:36:53,18366,Jupiter,raster,ARTEMIS350,BEAR1,865.55,None,-101.8,+36.8,0.68
2019-05-11T10:39:13,18367,Jupiter,raster,ARTEMIS450,BEAR1,666.2,None,-101.9,+36.3,0.70
2019-05-11T10:39:13,18367,Jupiter,raster,ARTEMIS350,BEAR1,865.55,None,-101.9,+36.3,0.70
2019-05-11T10:42:14,18368,Jupiter,raster,ARTEMIS450,BEAR1,666.2,None,-102.1,+35.6,0.73
2019-05-11T10:42:14,18368,Jupiter,raster,ARTEMIS350,BEAR1,865.55,None,-102.1,+35.6,0.73
