!
! 05-SEP-2019 07:26:56
! Input file  : Gy_37_CO.apex
! Input command: ANALYSE\PRINT area 23.3 26.7 /OUTPUT co21_blue.txt
!
 1     53.400    -55.690  1.45843E-02
 2     39.765    -55.690  1.87123E-02
 3     26.130    -55.690  7.10232E-02
 4     12.496    -55.690 -5.02793E-02
 5     -1.139    -55.690  0.10801    
 6    -14.774    -55.690  7.20145E-02
 7    -28.409    -55.690  3.07792E-02
 8    -42.044    -55.690  3.73767E-02
 9    -55.679    -42.055 -7.93306E-02
 10    -42.044    -42.055 -8.54600E-03
 11    -28.409    -42.055  4.65448E-02
 12    -14.774    -42.055  7.13863E-02
 13     -1.139    -42.055  0.11071    
 14     12.496    -42.055 -4.66453E-02
 15     26.130    -42.055  7.09117E-02
 16     39.765    -42.055  2.17910E-02
 17     53.400    -42.055  1.44158E-02
 18     53.400    -28.420  2.55854E-03
 19     39.765    -28.420  1.45904E-02
 20     26.130    -28.420  6.25621E-02
 21     12.496    -28.420  0.16840    
 22     -1.139    -28.420  0.22610    
 23    -14.774    -28.420  0.15485    
 24    -28.409    -28.420 -7.99820E-03
 25    -42.044    -28.420  2.94817E-02
 26    -55.679    -28.420  2.50365E-02
 27    -55.679    -14.785  1.04544E-02
 28    -42.044    -14.785  2.01926E-02
 29    -28.409    -14.785  0.30608    
 30    -14.774    -14.785   1.1952    
 31     -1.139    -14.785   1.5256    
 32     12.496    -14.785  0.83219    
 33     26.130    -14.785  0.30660    
 34     39.765    -14.785  0.14323    
 35     53.400    -14.785  6.40850E-02
 36     53.400     -1.150  6.93143E-02
 37     39.765     -1.150  0.19018    
 38     26.130     -1.150  0.54929    
 39     12.496     -1.150   1.7315    
 40     -1.139     -1.150   3.3773    
 41    -14.774     -1.150   2.5840    
 42    -28.409     -1.150  0.66891    
 43    -42.044     -1.150  7.70101E-02
 44    -55.679     -1.150  6.34194E-02
 45    -55.679     12.485  6.29662E-02
 46    -42.044     12.485  7.79261E-02
 47    -28.409     12.485  0.46510    
 48    -14.774     12.485   2.2026    
 49     -1.139     12.485   3.0321    
 50     12.496     12.485   1.5106    
 51     26.130     12.485  0.39775    
 52     39.765     12.485  0.14035    
 53     53.400     12.485  0.13884    
 54     53.400     26.120  2.91556E-02
 55     39.765     26.120  7.60328E-02
 56     26.130     26.120  0.14463    
 57     12.496     26.120  0.64580    
 58     -1.139     26.120   1.2565    
 59    -14.774     26.120  0.87216    
 60    -28.409     26.120  0.14694    
 61    -42.044     26.120  7.56839E-02
 62    -55.679     26.120  6.53374E-02
 63    -55.679     39.754  4.49786E-02
 64    -42.044     39.754  3.90372E-02
 65    -28.409     39.754  2.17220E-02
 66    -14.774     39.754  0.27615    
 67     -1.139     39.754  0.45631    
 68     12.496     39.754  0.26132    
 69     26.130     39.754  0.16332    
 70     39.765     39.754  2.02874E-02
 71     53.400     39.754 -3.04765E-03
 72     53.400     53.389 -3.14252E-03
 73     39.765     53.389  1.36070E-02
 74     26.130     53.389  0.13314    
 75     12.496     53.389  0.24187    
 76     -1.139     53.389  0.47342    
 77    -14.774     53.389  0.23175    
 78    -28.409     53.389  4.02440E-02
 79    -42.044     53.389  3.19529E-02
 80    -55.679     53.389  3.75144E-02
