!
! 05-SEP-2019 07:25:44
! Input file  : Gy_37_CO.apex
! Input command: ANALYSE\PRINT area 5.5 10.5 /OUTPUT co21_red.txt
!
 1     53.400    -55.690  0.33950    
 2     39.765    -55.690  0.16898    
 3     26.130    -55.690  0.21585    
 4     12.496    -55.690  0.55746    
 5     -1.139    -55.690  0.87984    
 6    -14.774    -55.690  0.51314    
 7    -28.409    -55.690  9.17355E-02
 8    -42.044    -55.690 -6.25038E-02
 9    -55.679    -42.055  7.26042E-02
 10    -42.044    -42.055  1.24985E-02
 11    -28.409    -42.055  8.06762E-02
 12    -14.774    -42.055  0.51169    
 13     -1.139    -42.055  0.89077    
 14     12.496    -42.055  0.56291    
 15     26.130    -42.055  0.21884    
 16     39.765    -42.055  0.17174    
 17     53.400    -42.055  0.34830    
 18     53.400    -28.420  0.22960    
 19     39.765    -28.420  0.21695    
 20     26.130    -28.420  0.36400    
 21     12.496    -28.420  0.67413    
 22     -1.139    -28.420  0.91842    
 23    -14.774    -28.420  0.54247    
 24    -28.409    -28.420  0.16494    
 25    -42.044    -28.420  0.12243    
 26    -55.679    -28.420  0.11974    
 27    -55.679    -14.785 -3.43639E-03
 28    -42.044    -14.785  2.60511E-03
 29    -28.409    -14.785  0.17170    
 30    -14.774    -14.785  0.57443    
 31     -1.139    -14.785  0.89784    
 32     12.496    -14.785   1.0866    
 33     26.130    -14.785  0.87494    
 34     39.765    -14.785  0.58155    
 35     53.400    -14.785  0.51300    
 36     53.400     -1.150  0.75875    
 37     39.765     -1.150  0.77085    
 38     26.130     -1.150   1.0674    
 39     12.496     -1.150   1.1337    
 40     -1.139     -1.150  0.79744    
 41    -14.774     -1.150  0.57357    
 42    -28.409     -1.150  0.17701    
 43    -42.044     -1.150  4.15967E-02
 44    -55.679     -1.150  4.23065E-02
 45    -55.679     12.485  7.24271E-02
 46    -42.044     12.485  5.29034E-02
 47    -28.409     12.485  8.56053E-02
 48    -14.774     12.485  0.30235    
 49     -1.139     12.485  0.52613    
 50     12.496     12.485  0.64378    
 51     26.130     12.485  0.54538    
 52     39.765     12.485  0.32138    
 53     53.400     12.485  0.29390    
 54     53.400     26.120  0.14082    
 55     39.765     26.120  0.14563    
 56     26.130     26.120  0.18435    
 57     12.496     26.120  0.26739    
 58     -1.139     26.120  0.22808    
 59    -14.774     26.120  9.85658E-02
 60    -28.409     26.120 -1.10780E-02
 61    -42.044     26.120  1.53520E-02
 62    -55.679     26.120  1.49632E-02
 63    -55.679     39.754  1.21100E-02
 64    -42.044     39.754  9.51757E-03
 65    -28.409     39.754  2.40123E-03
 66    -14.774     39.754 -4.82623E-04
 67     -1.139     39.754  9.75982E-02
 68     12.496     39.754  0.12697    
 69     26.130     39.754  6.36155E-02
 70     39.765     39.754  8.46116E-02
 71     53.400     39.754  0.10652    
 72     53.400     53.389  0.11289    
 73     39.765     53.389  8.32337E-02
 74     26.130     53.389  4.68261E-02
 75     12.496     53.389  0.12022    
 76     -1.139     53.389  0.18633    
 77    -14.774     53.389  3.38771E-03
 78    -28.409     53.389 -7.28279E-03
 79    -42.044     53.389 -1.63987E-02
 80    -55.679     53.389 -1.64556E-02
