!
! 19-AUG-2019 20:17:49
! Input file  : b1b_cn10_conv.30m
! Input command: ANALYSE\PRINT area -4.2 -2.5 /OUTPUT b1b_cn10_int_1.txt
!
 1    107.550    -97.550 -5.25486E-02
 2     92.900    -97.550 -1.07988E-02
 3     78.250    -97.550  4.45121E-02
 4     63.600    -97.550  9.25920E-02
 5     48.950    -97.550  0.20429    
 6     34.300    -97.550  0.32459    
 7     19.650    -97.550  0.34199    
 8      5.000    -97.550  0.36982    
 9     -9.650    -97.550  0.48614    
 10    -24.300    -97.550  0.39457    
 11    -38.950    -97.550  0.31836    
 12    -53.600    -97.550  0.34716    
 13    -68.250    -97.550  0.41942    
 14    -82.900    -97.550  0.38663    
 15    -97.550    -97.550  0.39789    
 16    -97.550    -82.900  0.39534    
 17    -82.900    -82.900  0.37522    
 18    -68.250    -82.900  0.41094    
 19    -53.600    -82.900  0.34557    
 20    -38.950    -82.900  0.32205    
 21    -24.300    -82.900  0.39953    
 22     -9.650    -82.900  0.48037    
 23      5.000    -82.900  0.38409    
 24     19.650    -82.900  0.35716    
 25     34.300    -82.900  0.34028    
 26     48.950    -82.900  0.21967    
 27     63.600    -82.900  0.11031    
 28     78.250    -82.900  5.72920E-02
 29     92.900    -82.900  2.43819E-02
 30    107.550    -82.900  1.91813E-02
 31    107.550    -68.250  6.09651E-02
 32     92.900    -68.250  6.31381E-02
 33     78.250    -68.250  7.92110E-02
 34     63.600    -68.250  0.14333    
 35     48.950    -68.250  0.27327    
 36     34.300    -68.250  0.39211    
 37     19.650    -68.250  0.40779    
 38      5.000    -68.250  0.41902    
 39     -9.650    -68.250  0.46589    
 40    -24.300    -68.250  0.41186    
 41    -38.950    -68.250  0.32900    
 42    -53.600    -68.250  0.34087    
 43    -68.250    -68.250  0.39775    
 44    -82.900    -68.250  0.35934    
 45    -97.550    -68.250  0.40454    
 46    -97.550    -53.600  0.53417    
 47    -82.900    -53.600  0.42260    
 48    -68.250    -53.600  0.41287    
 49    -53.600    -53.600  0.36149    
