!
! 19-AUG-2019 20:18:12
! Input file  : b1b_cn10_conv.30m
! Input command: ANALYSE\PRINT area -11.8 -9.8 /OUTPUT b1b_cn10_int_2.txt
!
 1    107.550    -97.550 -0.15667    
 2     92.900    -97.550 -6.87538E-02
 3     78.250    -97.550  0.12304    
 4     63.600    -97.550  0.31482    
 5     48.950    -97.550  0.28755    
 6     34.300    -97.550  0.34081    
 7     19.650    -97.550  0.22345    
 8      5.000    -97.550  0.29099    
 9     -9.650    -97.550  0.30781    
 10    -24.300    -97.550  0.26922    
 11    -38.950    -97.550  0.14088    
 12    -53.600    -97.550  0.15512    
 13    -68.250    -97.550  0.24462    
 14    -82.900    -97.550  0.38063    
 15    -97.550    -97.550  0.39754    
 16    -97.550    -82.900  0.40190    
 17    -82.900    -82.900  0.37295    
 18    -68.250    -82.900  0.24155    
 19    -53.600    -82.900  0.16132    
 20    -38.950    -82.900  0.14946    
 21    -24.300    -82.900  0.27855    
 22     -9.650    -82.900  0.32516    
 23      5.000    -82.900  0.31930    
 24     19.650    -82.900  0.22947    
 25     34.300    -82.900  0.34118    
 26     48.950    -82.900  0.30153    
 27     63.600    -82.900  0.32603    
 28     78.250    -82.900  0.14441    
 29     92.900    -82.900  3.44333E-02
 30    107.550    -82.900  2.13432E-02
 31    107.550    -68.250  0.15273    
 32     92.900    -68.250  0.16017    
 33     78.250    -68.250  0.21988    
 34     63.600    -68.250  0.36254    
 35     48.950    -68.250  0.35030    
 36     34.300    -68.250  0.35583    
 37     19.650    -68.250  0.27953    
 38      5.000    -68.250  0.39260    
 39     -9.650    -68.250  0.37527    
 40    -24.300    -68.250  0.31112    
 41    -38.950    -68.250  0.18730    
 42    -53.600    -68.250  0.18618    
 43    -68.250    -68.250  0.24141    
 44    -82.900    -68.250  0.36681    
 45    -97.550    -68.250  0.42528    
 46    -97.550    -53.600  0.53748    
 47    -82.900    -53.600  0.47745    
 48    -68.250    -53.600  0.36076    
 49    -53.600    -53.600  0.31950    
 50    -38.950    -53.600  0.34289    
 51    -24.300    -53.600  0.41698    
 52     -9.650    -53.600  0.48335    
 53      5.000    -53.600  0.52392    
 54     19.650    -53.600  0.43819    
