!
! 19-AUG-2019 20:18:56
! Input file  : b1b_cn10_conv.30m
! Input command: ANALYSE\PRINT area -89.9 -87.4 /OUTPUT b1b_cn10_int_5.txt
!
 1    107.550    -97.550 -0.48194    
 2     92.900    -97.550 -0.34895    
 3     78.250    -97.550 -0.11187    
 4     63.600    -97.550  0.10845    
 5     48.950    -97.550  1.82596E-02
 6     34.300    -97.550  8.79430E-02
 7     19.650    -97.550  8.69526E-02
 8      5.000    -97.550  8.23599E-03
 9     -9.650    -97.550  8.65760E-02
 10    -24.300    -97.550  0.19024    
 11    -38.950    -97.550  0.26552    
 12    -53.600    -97.550  0.28884    
 13    -68.250    -97.550  0.52725    
 14    -82.900    -97.550  0.33426    
 15    -97.550    -97.550  0.35056    
 16    -97.550    -82.900  0.35397    
 17    -82.900    -82.900  0.34018    
 18    -68.250    -82.900  0.50365    
 19    -53.600    -82.900  0.29994    
 20    -38.950    -82.900  0.29235    
 21    -24.300    -82.900  0.20632    
 22     -9.650    -82.900  0.10203    
 23      5.000    -82.900  3.19868E-02
 24     19.650    -82.900  0.10126    
 25     34.300    -82.900  0.10719    
 26     48.950    -82.900  4.80415E-02
 27     63.600    -82.900  0.14281    
 28     78.250    -82.900 -9.26196E-02
 29     92.900    -82.900 -0.24271    
 30    107.550    -82.900 -0.26290    
 31    107.550    -68.250 -7.78933E-03
 32     92.900    -68.250  2.03346E-03
 33     78.250    -68.250  7.39708E-02
 34     63.600    -68.250  0.22558    
 35     48.950    -68.250  0.12763    
 36     34.300    -68.250  0.14328    
 37     19.650    -68.250  0.14351    
 38      5.000    -68.250  9.39910E-02
 39     -9.650    -68.250  0.15818    
 40    -24.300    -68.250  0.26185    
 41    -38.950    -68.250  0.34247    
 42    -53.600    -68.250  0.31987    
 43    -68.250    -68.250  0.45389    
 44    -82.900    -68.250  0.35922    
 45    -97.550    -68.250  0.36814    
 46    -97.550    -53.600  0.45212    
 47    -82.900    -53.600  0.42851    
 48    -68.250    -53.600  0.40830    
 49    -53.600    -53.600  0.35289    
 50    -38.950    -53.600  0.37332    
 51    -24.300    -53.600  0.38402    
 52     -9.650    -53.600  0.30003    
 53      5.000    -53.600  0.19925    
 54     19.650    -53.600  0.21341    
 55     34.300    -53.600  0.15675    
 56     48.950    -53.600  0.24027    
 57     63.600    -53.600  0.39230    
 58     78.250    -53.600  0.38920    
 59     92.900    -53.600  0.37089    
 60    107.550    -53.600  0.36789    
 61    107.550    -38.950  0.45334    
 62     92.900    -38.950  0.45580    
 63     78.250    -38.950  0.46788    
 64     63.600    -38.950  0.45489    
 65     48.950    -38.950  0.31998    
 66     34.300    -38.950  0.19496    
 67     19.650    -38.950  0.23918    
 68      5.000    -38.950  0.29738    
 69     -9.650    -38.950  0.44666    
 70    -24.300    -38.950  0.41999    
 71    -38.950    -38.950  0.34281    
 72    -53.600    -38.950  0.41985    
 73    -68.250    -38.950  0.52624    
 74    -82.900    -38.950  0.52641    
 75    -97.550    -38.950  0.57824    
 76    -97.550    -24.300  0.54639    
 77    -82.900    -24.300  0.47480    
 78    -68.250    -24.300  0.49909    
 79    -53.600    -24.300  0.46713    
 80    -38.950    -24.300  0.39155    
 81    -24.300    -24.300  0.42560    
 82     -9.650    -24.300  0.55781    
 83      5.000    -24.300  0.39040    
 84     19.650    -24.300  0.27478    
 85     34.300    -24.300  0.26561    
 86     48.950    -24.300  0.40182    
 87     63.600    -24.300  0.41161    
 88     78.250    -24.300  0.32766    
 89     92.900    -24.300  0.30363    
 90    107.550    -24.300  0.30021    
 91    107.550     -9.650  4.70492E-02
 92     92.900     -9.650  5.57111E-02
 93     78.250     -9.650  0.12304    
 94     63.600     -9.650  0.41841    
