	1157607
3.55726	0.79
4.50493	1.589
5.73857	2.627
3.3526	4.1559
4.6028	4.7274
11.5608	57.4724
22.0883	173.5718
	
	1163027
1.235	1.281
1.662	14.91
2.159	42.53
3.55726	56.4
4.50493	39.4
7.92737	18.44
3.3526	65.3824
4.6028	50.0061
11.5608	202.7959
22.0883	841.5488
	
	1164282
1.235	1.71
1.662	2.563
2.159	3.098
3.55726	1.936
4.50493	1.415
3.3526	6.3718
4.6028	5.0098
11.5608	87.7929
22.0883	333.1803
	
	1165764
1.235	8.552
1.662	8.354
2.159	6.291
3.55726	3.067
4.50493	2.013
5.73857	1.345
3.3526	6.2959
4.6028	4.3234
11.5608	83.3027
22.0883	534.9082
	
	1167518
1.235	2.362
1.662	2.921
3.55726	2.267
4.50493	1.876
5.73857	1.288
3.3526	3.0582
4.6028	2.2752
11.5608	17.0239
22.0883	125.2793
