 Jspace =            1
    Gas temperature (K)  0.12E+03
 Total H density (cm-3)  0.50E+05
            0.00000000D+00  0.10000000D+03  0.20000000D+03  0.30000000D+03  0.40000000D+03  0.50000000D+03  0.60000000D+03  0.70000000D+03  0.80000000D+03  0.90000000D+03  0.10000000D+04  0.12000000D+04  0.13000000D+04  0.14000000D+04  0.16000000D+04  0.17000000D+04  0.19000000D+04  0.21000000D+04  0.24000000D+04  0.26000000D+04  0.29000000D+04  0.32000000D+04  0.35000000D+04  0.39000000D+04  0.43000000D+04  0.48000000D+04  0.53000000D+04  0.59000000D+04  0.65000000D+04  0.72000000D+04  0.80000000D+04  0.88000000D+04  0.98000000D+04  0.10800000D+05  0.12000000D+05  0.13300000D+05  0.14700000D+05  0.16300000D+05  0.18100000D+05  0.20000000D+05  0.22100000D+05  0.24500000D+05  0.27100000D+05  0.30100000D+05  0.33300000D+05  0.36800000D+05  0.40800000D+05  0.45200000D+05  0.50000000D+05  0.55400000D+05  0.61300000D+05  0.67900000D+05  0.75200000D+05  0.83200000D+05  0.92200000D+05  0.10210000D+06  0.11300000D+06  0.12510000D+06  0.13850000D+06  0.15340000D+06  0.16990000D+06  0.18810000D+06  0.20820000D+06  0.23060000D+06  0.25530000D+06  0.28270000D+06  0.31300000D+06  0.34660000D+06  0.38380000D+06  0.42490000D+06  0.47050000D+06  0.52100000D+06  0.57680000D+06  0.63870000D+06  0.70720000D+06  0.78310000D+06  0.86710000D+06  0.96010000D+06  0.10630000D+07  0.11771000D+07  0.13033000D+07  0.14431000D+07  0.15979000D+07  0.17692000D+07  0.19590000D+07  0.21691000D+07  0.24018000D+07  0.26594000D+07  0.29446000D+07  0.32604000D+07  0.36101000D+07  0.39973000D+07  0.44261000D+07  0.49008000D+07  0.54264000D+07  0.60084000D+07  0.66529000D+07  0.73664000D+07  0.81565000D+07  0.90313000D+07  0.10000000D+08  0.10630000D+08  0.11771000D+08  0.13033000D+08  0.14431000D+08  0.15979000D+08  0.17692000D+08  0.19590000D+08  0.21691000D+08  0.24018000D+08  0.26594000D+08  0.29446000D+08  0.32604000D+08  0.36101000D+08  0.39973000D+08  0.44261000D+08  0.49008000D+08  0.54264000D+08  0.60084000D+08  0.66529000D+08  0.73664000D+08  0.81565000D+08  0.90313000D+08  0.10000000D+09
H           0.10226114D-03  0.76682206D-01  0.14661527D+00  0.21048109D+00  0.26880561D+00  0.32206933D+00  0.37071119D+00  0.41513213D+00  0.45569833D+00  0.49274424D+00  0.52657533D+00  0.58568464D+00  0.61145026D+00  0.63497991D+00  0.67609060D+00  0.69401065D+00  0.72532020D+00  0.75143149D+00  0.78269939D+00  0.79928369D+00  0.81914319D+00  0.83426799D+00  0.84578688D+00  0.85699156D+00  0.86478435D+00  0.87127850D+00  0.87540317D+00  0.87841865D+00  0.88016768D+00  0.88130373D+00  0.88196428D+00  0.88228380D+00  0.88246239D+00  0.88253444D+00  0.88256676D+00  0.88257812D+00  0.88258174D+00  0.88258282D+00  0.88258309D+00  0.88258314D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00  0.88258315D+00
C           0.16934207D-07  0.16327150D-05  0.14601788D-05  0.13921233D-05  0.13704750D-05  0.13675786D-05  0.13707595D-05  0.13746058D-05  0.13771234D-05  0.13778465D-05  0.13769304D-05  0.13716241D-05  0.13679333D-05  0.13639148D-05  0.13556024D-05  0.13515381D-05  0.13439082D-05  0.13371161D-05  0.13285758D-05  0.13238994D-05  0.13181883D-05  0.13137673D-05  0.13103630D-05  0.13070226D-05  0.13046831D-05  0.13027238D-05  0.13014748D-05  0.13005594D-05  0.13000276D-05  0.12996819D-05  0.12994808D-05  0.12993835D-05  0.12993290D-05  0.12993071D-05  0.12992973D-05  0.12992938D-05  0.12992927D-05  0.12992924D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05  0.12992923D-05
Fe          0.30393505D-09  0.54449361D-11  0.61897108D-11  0.64644465D-11  0.66025110D-11  0.66822929D-11  0.67321115D-11  0.67647288D-11  0.67867458D-11  0.68019113D-11  0.68124996D-11  0.68252415D-11  0.68289940D-11  0.68316600D-11  0.68348829D-11  0.68358145D-11  0.68368886D-11  0.68373396D-11  0.68374579D-11  0.68373653D-11  0.68371301D-11  0.68368636D-11  0.68366082D-11  0.68363121D-11  0.68360747D-11  0.68358542D-11  0.68357020D-11  0.68355840D-11  0.68355128D-11  0.68354655D-11  0.68354375D-11  0.68354238D-11  0.68354162D-11  0.68354131D-11  0.68354117D-11  0.68354112D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11  0.68354110D-11
Mg          0.15047259D-08  0.34306689D-10  0.33968352D-10  0.34818316D-10  0.35227547D-10  0.35459621D-10  0.35603197D-10  0.35696803D-10  0.35759931D-10  0.35803492D-10  0.35834039D-10  0.35871234D-10  0.35882427D-10  0.35890551D-10  0.35900836D-10  0.35904052D-10  0.35908232D-10  0.35910613D-10  0.35912510D-10  0.35913217D-10  0.35913881D-10  0.35914298D-10  0.35914586D-10  0.35914854D-10  0.35915039D-10  0.35915194D-10  0.35915295D-10  0.35915369D-10  0.35915413D-10  0.35915442D-10  0.35915459D-10  0.35915467D-10  0.35915471D-10  0.35915473D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10  0.35915474D-10
S           0.66584756D-07  0.80723636D-10  0.11845975D-09  0.13982183D-09  0.15298510D-09  0.16152281D-09  0.16724485D-09  0.17116379D-09  0.17388726D-09  0.17579874D-09  0.17714928D-09  0.17878958D-09  0.17927546D-09  0.17962178D-09  0.18004401D-09  0.18016859D-09  0.18031885D-09  0.18039265D-09  0.18043723D-09  0.18044737D-09  0.18045155D-09  0.18045108D-09  0.18044961D-09  0.18044786D-09  0.18044674D-09  0.18044598D-09  0.18044562D-09  0.18044544D-09  0.18044536D-09  0.18044533D-09  0.18044531D-09  0.18044531D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09  0.18044530D-09
Si          0.88321490D-09  0.87527859D-11  0.88264798D-11  0.99824579D-11  0.10755481D-10  0.11257846D-10  0.11587647D-10  0.11804815D-10  0.11946936D-10  0.12038397D-10  0.12095432D-10  0.12146754D-10  0.12153784D-10  0.12153736D-10  0.12141644D-10  0.12132524D-10  0.12112314D-10  0.12092265D-10  0.12065627D-10  0.12050713D-10  0.12032404D-10  0.12018252D-10  0.12007405D-10  0.11996826D-10  0.11989463D-10  0.11983326D-10  0.11979430D-10  0.11976583D-10  0.11974932D-10  0.11973860D-10  0.11973237D-10  0.11972935D-10  0.11972767D-10  0.11972699D-10  0.11972669D-10  0.11972658D-10  0.11972654D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10  0.11972653D-10
O           0.60213140D-04  0.11790579D-03  0.15175658D-03  0.17621346D-03  0.19388256D-03  0.20664718D-03  0.21586818D-03  0.22252886D-03  0.22733971D-03  0.23081409D-03  0.23332295D-03  0.23644176D-03  0.23738530D-03  0.23806601D-03  0.23891085D-03  0.23916587D-03  0.23948176D-03  0.23964527D-03  0.23975498D-03  0.23978613D-03  0.23980690D-03  0.23981457D-03  0.23981748D-03  0.23981891D-03  0.23981950D-03  0.23981991D-03  0.23982019D-03  0.23982041D-03  0.23982054D-03  0.23982063D-03  0.23982069D-03  0.23982071D-03  0.23982073D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03  0.23982074D-03
N           0.38684512D-04  0.61989975D-04  0.61992880D-04  0.61994942D-04  0.61996404D-04  0.61997441D-04  0.61998177D-04  0.61998699D-04  0.61999069D-04  0.61999331D-04  0.61999518D-04  0.61999744D-04  0.61999811D-04  0.61999859D-04  0.61999917D-04  0.61999934D-04  0.61999955D-04  0.61999966D-04  0.61999973D-04  0.61999975D-04  0.61999976D-04  0.61999977D-04  0.61999977D-04  0.61999977D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04  0.61999976D-04
He          0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01
