 Jspace =            1
    Gas temperature (K)  0.75E+02
 Total H density (cm-3)  0.10E+05
            0.00000000D+00  0.10000000D+03  0.20000000D+03  0.30000000D+03  0.40000000D+03  0.50000000D+03  0.60000000D+03  0.70000000D+03  0.80000000D+03  0.90000000D+03  0.10000000D+04  0.12000000D+04  0.13000000D+04  0.14000000D+04  0.16000000D+04  0.17000000D+04  0.19000000D+04  0.21000000D+04  0.24000000D+04  0.26000000D+04  0.29000000D+04  0.32000000D+04  0.35000000D+04  0.39000000D+04  0.43000000D+04  0.48000000D+04  0.53000000D+04  0.59000000D+04  0.65000000D+04  0.72000000D+04  0.80000000D+04  0.88000000D+04  0.98000000D+04  0.10800000D+05  0.12000000D+05  0.13300000D+05  0.14700000D+05  0.16300000D+05  0.18100000D+05  0.20000000D+05  0.22100000D+05  0.24500000D+05  0.27100000D+05  0.30100000D+05  0.33300000D+05  0.36800000D+05  0.40800000D+05  0.45200000D+05  0.50000000D+05  0.55400000D+05  0.61300000D+05  0.67900000D+05  0.75200000D+05  0.83200000D+05  0.92200000D+05  0.10210000D+06  0.11300000D+06  0.12510000D+06  0.13850000D+06  0.15340000D+06  0.16990000D+06  0.18810000D+06  0.20820000D+06  0.23060000D+06  0.25530000D+06  0.28270000D+06  0.31300000D+06  0.34660000D+06  0.38380000D+06  0.42490000D+06  0.47050000D+06  0.52100000D+06  0.57680000D+06  0.63870000D+06  0.70720000D+06  0.78310000D+06  0.86710000D+06  0.96010000D+06  0.10630000D+07  0.11771000D+07  0.13033000D+07  0.14431000D+07  0.15979000D+07  0.17692000D+07  0.19590000D+07  0.21691000D+07  0.24018000D+07  0.26594000D+07  0.29446000D+07  0.32604000D+07  0.36101000D+07  0.39973000D+07  0.44261000D+07  0.49008000D+07  0.54264000D+07  0.60084000D+07  0.66529000D+07  0.73664000D+07  0.81565000D+07  0.90313000D+07  0.10000000D+08  0.10630000D+08  0.11771000D+08  0.13033000D+08  0.14431000D+08  0.15979000D+08  0.17692000D+08  0.19590000D+08  0.21691000D+08  0.24018000D+08  0.26594000D+08  0.29446000D+08  0.32604000D+08  0.36101000D+08  0.39973000D+08  0.44261000D+08  0.49008000D+08  0.54264000D+08  0.60084000D+08  0.66529000D+08  0.73664000D+08  0.81565000D+08  0.90313000D+08  0.10000000D+09
H           0.10226114D-03  0.10219605D-03  0.10214190D-03  0.10209087D-03  0.10204008D-03  0.10198861D-03  0.10193614D-03  0.10188260D-03  0.10182798D-03  0.10177232D-03  0.10171567D-03  0.10159961D-03  0.10154031D-03  0.10148023D-03  0.10135801D-03  0.10129599D-03  0.10117043D-03  0.10104333D-03  0.10085101D-03  0.10072252D-03  0.10053074D-03  0.10034169D-03  0.10015702D-03  0.99920020D-04  0.99696130D-04  0.99438006D-04  0.99206944D-04  0.98968456D-04  0.98774667D-04  0.98607279D-04  0.98495359D-04  0.98469372D-04  0.98558345D-04  0.98781555D-04  0.99223530D-04  0.99910200D-04  0.10088067D-03  0.10226580D-03  0.10414991D-03  0.10647996D-03  0.10942182D-03  0.11320111D-03  0.11773220D-03  0.12344029D-03  0.12999917D-03  0.13761924D-03  0.14676616D-03  0.15721353D-03  0.16890134D-03  0.18222145D-03  0.19677956D-03  0.21285635D-03  0.23016731D-03  0.24837147D-03  0.26771822D-03  0.28748736D-03  0.30736325D-03  0.32713952D-03  0.34637561D-03  0.36475371D-03  0.38182984D-03  0.39724564D-03  0.41081554D-03  0.42251457D-03  0.43217814D-03  0.43993782D-03  0.44591902D-03  0.45035602D-03  0.45349756D-03  0.45560268D-03  0.45695293D-03  0.45776739D-03  0.45822701D-03  0.45847033D-03  0.45858899D-03  0.45864261D-03  0.45866468D-03  0.45867292D-03  0.45867579D-03  0.45867674D-03  0.45867704D-03  0.45867714D-03  0.45867718D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03  0.45867719D-03
C           0.16934207D-07  0.30800907D-06  0.56136695D-06  0.77559776D-06  0.95834436D-06  0.11182739D-05  0.12624742D-05  0.13960539D-05  0.15224687D-05  0.16439819D-05  0.17620555D-05  0.19913334D-05  0.21035628D-05  0.22145996D-05  0.24338098D-05  0.25422180D-05  0.27570094D-05  0.29693927D-05  0.32838933D-05  0.34910006D-05  0.37979609D-05  0.41005739D-05  0.43989218D-05  0.47902337D-05  0.51743611D-05  0.56448689D-05  0.61052658D-05  0.66453856D-05  0.71731944D-05  0.77750123D-05  0.84465363D-05  0.91028713D-05  0.99046950D-05  0.10688334D-04  0.11607283D-04  0.12578659D-04  0.13598351D-04  0.14731435D-04  0.15965884D-04  0.17223297D-04  0.18559351D-04  0.20018669D-04  0.21520795D-04  0.23156707D-04  0.24793234D-04  0.26463692D-04  0.28231891D-04  0.30018774D-04  0.31797893D-04  0.33610191D-04  0.35388249D-04  0.37159201D-04  0.38886552D-04  0.40541231D-04  0.42151338D-04  0.43665838D-04  0.45076764D-04  0.46386027D-04  0.47581494D-04  0.48660880D-04  0.49615198D-04  0.50440731D-04  0.51141806D-04  0.51728598D-04  0.52201912D-04  0.52575022D-04  0.52858647D-04  0.53066936D-04  0.53213383D-04  0.53311057D-04  0.53373525D-04  0.53411141D-04  0.53432347D-04  0.53443567D-04  0.53449038D-04  0.53451509D-04  0.53452526D-04  0.53452906D-04  0.53453038D-04  0.53453082D-04  0.53453095D-04  0.53453100D-04  0.53453101D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04  0.53453102D-04
Fe          0.30393505D-09  0.29413216D-09  0.28438186D-09  0.27477815D-09  0.26534774D-09  0.25610459D-09  0.24705624D-09  0.23820567D-09  0.22955284D-09  0.22109589D-09  0.21283201D-09  0.19687087D-09  0.18916752D-09  0.18164544D-09  0.16713708D-09  0.16014799D-09  0.14669640D-09  0.13394691D-09  0.11614932D-09  0.10517981D-09  0.90088170D-10  0.76644784D-10  0.64842791D-10  0.51590272D-10  0.41003481D-10  0.31091394D-10  0.24236158D-10  0.19036807D-10  0.16081686D-10  0.14315118D-10  0.13427296D-10  0.13063176D-10  0.12882173D-10  0.12814353D-10  0.12794363D-10  0.12809031D-10  0.12843934D-10  0.12891496D-10  0.12943302D-10  0.12989945D-10  0.13029649D-10  0.13060295D-10  0.13078220D-10  0.13083190D-10  0.13074577D-10  0.13053528D-10  0.13019650D-10  0.12975165D-10  0.12922353D-10  0.12861389D-10  0.12795907D-10  0.12726278D-10  0.12655101D-10  0.12584672D-10  0.12514653D-10  0.12447931D-10  0.12385376D-10  0.12327244D-10  0.12274280D-10  0.12226683D-10  0.12184867D-10  0.12148953D-10  0.12118679D-10  0.12093523D-10  0.12073367D-10  0.12057571D-10  0.12045623D-10  0.12036884D-10  0.12030758D-10  0.12026681D-10  0.12024078D-10  0.12022512D-10  0.12021630D-10  0.12021163D-10  0.12020936D-10  0.12020833D-10  0.12020791D-10  0.12020775D-10  0.12020770D-10  0.12020768D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10  0.12020767D-10
Mg          0.15047259D-08  0.14881773D-08  0.14711678D-08  0.14540617D-08  0.14369277D-08  0.14197746D-08  0.14025978D-08  0.13853886D-08  0.13681364D-08  0.13508293D-08  0.13334551D-08  0.12984579D-08  0.12808123D-08  0.12630550D-08  0.12271695D-08  0.12090262D-08  0.11723106D-08  0.11350012D-08  0.10779179D-08  0.10391516D-08  0.98007225D-09  0.92013350D-09  0.85971663D-09  0.77922329D-09  0.69993690D-09  0.60447049D-09  0.51521514D-09  0.41894721D-09  0.33647224D-09  0.25865427D-09  0.19279948D-09  0.14794479D-09  0.11396020D-09  0.96025307D-10  0.86063802D-10  0.81795735D-10  0.80040638D-10  0.79198270D-10  0.78708765D-10  0.78375305D-10  0.78094817D-10  0.77819212D-10  0.77537910D-10  0.77216196D-10  0.76870172D-10  0.76489660D-10  0.76057895D-10  0.75594411D-10  0.75109897D-10  0.74597200D-10  0.74079738D-10  0.73554134D-10  0.73035161D-10  0.72535068D-10  0.72048062D-10  0.71591494D-10  0.71168887D-10  0.70780138D-10  0.70428804D-10  0.70115101D-10  0.69840902D-10  0.69606349D-10  0.69409246D-10  0.69245855D-10  0.69115179D-10  0.69012910D-10  0.68935630D-10  0.68879141D-10  0.68839566D-10  0.68813236D-10  0.68796427D-10  0.68786318D-10  0.68780620D-10  0.68777610D-10  0.68776139D-10  0.68775479D-10  0.68775206D-10  0.68775103D-10  0.68775068D-10  0.68775056D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10  0.68775052D-10
S           0.66584756D-07  0.68390522D-07  0.69259923D-07  0.69504175D-07  0.69325871D-07  0.68859828D-07  0.68196959D-07  0.67398995D-07  0.66507889D-07  0.65552053D-07  0.64550607D-07  0.62457630D-07  0.61380109D-07  0.60287398D-07  0.58065190D-07  0.56938421D-07  0.54657931D-07  0.52346068D-07  0.48832091D-07  0.46468872D-07  0.42914742D-07  0.39379809D-07  0.35901417D-07  0.31417803D-07  0.27189159D-07  0.22371689D-07  0.18165902D-07  0.13988545D-07  0.10742040D-07  0.80011644D-08  0.59673558D-08  0.47583778D-08  0.39476758D-08  0.35452169D-08  0.32987188D-08  0.31481750D-08  0.30400889D-08  0.29483439D-08  0.28669617D-08  0.27958867D-08  0.27285457D-08  0.26612921D-08  0.25967574D-08  0.25303332D-08  0.24669037D-08  0.24046096D-08  0.23408879D-08  0.22784662D-08  0.22180454D-08  0.21580946D-08  0.21007150D-08  0.20448867D-08  0.19916360D-08  0.19416929D-08  0.18940657D-08  0.18501209D-08  0.18099164D-08  0.17732397D-08  0.17402826D-08  0.17109661D-08  0.16854004D-08  0.16635588D-08  0.16452152D-08  0.16300115D-08  0.16178510D-08  0.16083324D-08  0.16011381D-08  0.15958786D-08  0.15921934D-08  0.15897413D-08  0.15881758D-08  0.15872341D-08  0.15867034D-08  0.15864227D-08  0.15862858D-08  0.15862240D-08  0.15861984D-08  0.15861887D-08  0.15861852D-08  0.15861839D-08  0.15861833D-08  0.15861831D-08  0.15861831D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08  0.15861830D-08
Si          0.88321490D-09  0.12425187D-08  0.14201142D-08  0.14872857D-08  0.14888937D-08  0.14529602D-08  0.13967638D-08  0.13308080D-08  0.12613774D-08  0.11921544D-08  0.11252285D-08  0.10021648D-08  0.94674882D-09  0.89545416D-09  0.80463236D-09  0.76468503D-09  0.69455473D-09  0.63592714D-09  0.56594453D-09  0.52916931D-09  0.48578728D-09  0.45351552D-09  0.42954424D-09  0.40669922D-09  0.39074414D-09  0.37655705D-09  0.36598402D-09  0.35588941D-09  0.34745694D-09  0.33898008D-09  0.33058037D-09  0.32323477D-09  0.31522648D-09  0.30826718D-09  0.30101434D-09  0.29421980D-09  0.28786019D-09  0.28152588D-09  0.27530538D-09  0.26952745D-09  0.26385829D-09  0.25808814D-09  0.25250265D-09  0.24673877D-09  0.24124077D-09  0.23585903D-09  0.23038074D-09  0.22504672D-09  0.21991886D-09  0.21486845D-09  0.21007176D-09  0.20544060D-09  0.20105624D-09  0.19697271D-09  0.19310297D-09  0.18955207D-09  0.18631839D-09  0.18337952D-09  0.18074651D-09  0.17840957D-09  0.17637486D-09  0.17463838D-09  0.17318090D-09  0.17197324D-09  0.17100734D-09  0.17025119D-09  0.16967957D-09  0.16926157D-09  0.16896862D-09  0.16877357D-09  0.16864898D-09  0.16857397D-09  0.16853163D-09  0.16850919D-09  0.16849819D-09  0.16849318D-09  0.16849106D-09  0.16849008D-09  0.16848963D-09  0.16848936D-09  0.16848913D-09  0.16848904D-09  0.16848899D-09  0.16848897D-09  0.16848896D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09  0.16848895D-09
O           0.60213140D-04  0.61356248D-04  0.62379074D-04  0.63313826D-04  0.64174528D-04  0.64968588D-04  0.65701215D-04  0.66376995D-04  0.67000359D-04  0.67575626D-04  0.68106957D-04  0.69053300D-04  0.69475380D-04  0.69867645D-04  0.70573837D-04  0.70892697D-04  0.71472608D-04  0.71987404D-04  0.72663295D-04  0.73063403D-04  0.73606108D-04  0.74096417D-04  0.74548369D-04  0.75108582D-04  0.75635338D-04  0.76262904D-04  0.76867884D-04  0.77574049D-04  0.78264666D-04  0.79054916D-04  0.79940368D-04  0.80808334D-04  0.81869698D-04  0.82905543D-04  0.84115718D-04  0.85387436D-04  0.86712779D-04  0.88173535D-04  0.89751306D-04  0.91345332D-04  0.93026731D-04  0.94851388D-04  0.96719307D-04  0.98744438D-04  0.10076306D-03  0.10281791D-03  0.10498842D-03  0.10717845D-03  0.10935670D-03  0.11157419D-03  0.11374922D-03  0.11591567D-03  0.11802942D-03  0.12005529D-03  0.12202791D-03  0.12388485D-03  0.12561626D-03  0.12722432D-03  0.12869387D-03  0.13002181D-03  0.13119677D-03  0.13221385D-03  0.13307808D-03  0.13380178D-03  0.13438575D-03  0.13484622D-03  0.13519632D-03  0.13545348D-03  0.13563430D-03  0.13575490D-03  0.13583204D-03  0.13587849D-03  0.13590468D-03  0.13591854D-03  0.13592529D-03  0.13592834D-03  0.13592960D-03  0.13593007D-03  0.13593023D-03  0.13593029D-03  0.13593030D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03  0.13593031D-03
N           0.38684512D-04  0.38721743D-04  0.38749969D-04  0.38779385D-04  0.38812640D-04  0.38849687D-04  0.38889730D-04  0.38931936D-04  0.38975642D-04  0.39020369D-04  0.39065787D-04  0.39157884D-04  0.39204312D-04  0.39250888D-04  0.39344300D-04  0.39391073D-04  0.39484643D-04  0.39578146D-04  0.39718078D-04  0.39811054D-04  0.39949922D-04  0.40087964D-04  0.40225091D-04  0.40406402D-04  0.40585895D-04  0.40807637D-04  0.41026416D-04  0.41284994D-04  0.41539222D-04  0.41830292D-04  0.42155649D-04  0.42473268D-04  0.42859544D-04  0.43234103D-04  0.43668528D-04  0.44121260D-04  0.44588863D-04  0.45099142D-04  0.45644128D-04  0.46188011D-04  0.46754111D-04  0.47359237D-04  0.47968296D-04  0.48616055D-04  0.49247943D-04  0.49876111D-04  0.50521979D-04  0.51153889D-04  0.51761124D-04  0.52355689D-04  0.52913741D-04  0.53442677D-04  0.53930571D-04  0.54369772D-04  0.54768425D-04  0.55115400D-04  0.55412280D-04  0.55663340D-04  0.55870670D-04  0.56038845D-04  0.56171745D-04  0.56274274D-04  0.56352009D-04  0.56410345D-04  0.56452881D-04  0.56483562D-04  0.56505214D-04  0.56520208D-04  0.56530300D-04  0.56536829D-04  0.56540923D-04  0.56543358D-04  0.56544722D-04  0.56545441D-04  0.56545790D-04  0.56545948D-04  0.56546013D-04  0.56546038D-04  0.56546046D-04  0.56546049D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04  0.56546050D-04
He          0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01
