 Jspace =            1
    Gas temperature (K)  0.50E+02
 Total H density (cm-3)  0.50E+06
            0.00000000D+00  0.10000000D+03  0.20000000D+03  0.30000000D+03  0.40000000D+03  0.50000000D+03  0.60000000D+03  0.70000000D+03  0.80000000D+03  0.90000000D+03  0.10000000D+04  0.12000000D+04  0.13000000D+04  0.14000000D+04  0.16000000D+04  0.17000000D+04  0.19000000D+04  0.21000000D+04  0.24000000D+04  0.26000000D+04  0.29000000D+04  0.32000000D+04  0.35000000D+04  0.39000000D+04  0.43000000D+04  0.48000000D+04  0.53000000D+04  0.59000000D+04  0.65000000D+04  0.72000000D+04  0.80000000D+04  0.88000000D+04  0.98000000D+04  0.10800000D+05  0.12000000D+05  0.13300000D+05  0.14700000D+05  0.16300000D+05  0.18100000D+05  0.20000000D+05  0.22100000D+05  0.24500000D+05  0.27100000D+05  0.30100000D+05  0.33300000D+05  0.36800000D+05  0.40800000D+05  0.45200000D+05  0.50000000D+05  0.55400000D+05  0.61300000D+05  0.67900000D+05  0.75200000D+05  0.83200000D+05  0.92200000D+05  0.10210000D+06  0.11300000D+06  0.12510000D+06  0.13850000D+06  0.15340000D+06  0.16990000D+06  0.18810000D+06  0.20820000D+06  0.23060000D+06  0.25530000D+06  0.28270000D+06  0.31300000D+06  0.34660000D+06  0.38380000D+06  0.42490000D+06  0.47050000D+06  0.52100000D+06  0.57680000D+06  0.63870000D+06  0.70720000D+06  0.78310000D+06  0.86710000D+06  0.96010000D+06  0.10630000D+07  0.11771000D+07  0.13033000D+07  0.14431000D+07  0.15979000D+07  0.17692000D+07  0.19590000D+07  0.21691000D+07  0.24018000D+07  0.26594000D+07  0.29446000D+07  0.32604000D+07  0.36101000D+07  0.39973000D+07  0.44261000D+07  0.49008000D+07  0.54264000D+07  0.60084000D+07  0.66529000D+07  0.73664000D+07  0.81565000D+07  0.90313000D+07  0.10000000D+08  0.10630000D+08  0.11771000D+08  0.13033000D+08  0.14431000D+08  0.15979000D+08  0.17692000D+08  0.19590000D+08  0.21691000D+08  0.24018000D+08  0.26594000D+08  0.29446000D+08  0.32604000D+08  0.36101000D+08  0.39973000D+08  0.44261000D+08  0.49008000D+08  0.54264000D+08  0.60084000D+08  0.66529000D+08  0.73664000D+08  0.81565000D+08  0.90313000D+08  0.10000000D+09
H           0.10226114D-03  0.95782928D-04  0.89666926D-04  0.83941565D-04  0.78583228D-04  0.73569504D-04  0.68879022D-04  0.64491501D-04  0.60387778D-04  0.56549820D-04  0.52960675D-04  0.46466238D-04  0.43532091D-04  0.40788937D-04  0.35827546D-04  0.33587170D-04  0.29537007D-04  0.26001580D-04  0.21526882D-04  0.19017419D-04  0.15849002D-04  0.13280104D-04  0.11201819D-04  0.90413758D-05  0.74261252D-05  0.59786678D-05  0.49931614D-05  0.42329784D-05  0.37834246D-05  0.35097584D-05  0.33967012D-05  0.34031555D-05  0.34948392D-05  0.36255128D-05  0.37939306D-05  0.39677734D-05  0.41346077D-05  0.42971242D-05  0.44472113D-05  0.45741051D-05  0.46841923D-05  0.47801233D-05  0.48571303D-05  0.49209472D-05  0.49683968D-05  0.50038911D-05  0.50308317D-05  0.50500120D-05  0.50634798D-05  0.50732774D-05  0.50803485D-05  0.50857733D-05  0.50900525D-05  0.50935135D-05  0.50964305D-05  0.50988274D-05  0.51007714D-05  0.51023216D-05  0.51035143D-05  0.51044004D-05  0.51050277D-05  0.51054496D-05  0.51057195D-05  0.51058838D-05  0.51059763D-05  0.51060252D-05  0.51060490D-05  0.51060596D-05  0.51060639D-05  0.51060655D-05  0.51060659D-05  0.51060661D-05  0.51060661D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05  0.51060662D-05
C           0.16934207D-07  0.29414120D-06  0.36263727D-06  0.37337247D-06  0.37406637D-06  0.37877754D-06  0.39104074D-06  0.41115413D-06  0.43856628D-06  0.47264291D-06  0.51287656D-06  0.61049231D-06  0.66744782D-06  0.72961740D-06  0.86888829D-06  0.94552700D-06  0.11112245D-05  0.12907186D-05  0.15774458D-05  0.17746999D-05  0.20719652D-05  0.23648523D-05  0.26497717D-05  0.30150768D-05  0.33633207D-05  0.37753926D-05  0.41629657D-05  0.45977285D-05  0.50016246D-05  0.54367389D-05  0.58903258D-05  0.63015018D-05  0.67618593D-05  0.71691140D-05  0.75963644D-05  0.79937047D-05  0.83567085D-05  0.87025753D-05  0.90194484D-05  0.92872741D-05  0.95205046D-05  0.97251032D-05  0.98909134D-05  0.10030142D-04  0.10135550D-04  0.10216324D-04  0.10279697D-04  0.10326888D-04  0.10361966D-04  0.10389267D-04  0.10410440D-04  0.10427788D-04  0.10442198D-04  0.10454253D-04  0.10464608D-04  0.10473195D-04  0.10480186D-04  0.10485766D-04  0.10490060D-04  0.10493249D-04  0.10495505D-04  0.10497023D-04  0.10497994D-04  0.10498584D-04  0.10498917D-04  0.10499093D-04  0.10499178D-04  0.10499216D-04  0.10499232D-04  0.10499238D-04  0.10499239D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04  0.10499240D-04
Fe          0.30393505D-09  0.31696433D-09  0.33007516D-09  0.34214480D-09  0.35339346D-09  0.36393361D-09  0.37380718D-09  0.38302468D-09  0.39158243D-09  0.39946891D-09  0.40666715D-09  0.41890973D-09  0.42390146D-09  0.42810199D-09  0.43401753D-09  0.43568499D-09  0.43637104D-09  0.43355529D-09  0.42329943D-09  0.41312058D-09  0.39439085D-09  0.37342687D-09  0.35204175D-09  0.32497579D-09  0.30094204D-09  0.27582121D-09  0.25578622D-09  0.23717914D-09  0.22297830D-09  0.21027618D-09  0.19918144D-09  0.19052749D-09  0.18203057D-09  0.17534153D-09  0.16900641D-09  0.16364853D-09  0.15914711D-09  0.15517243D-09  0.15177887D-09  0.14908569D-09  0.14686871D-09  0.14502504D-09  0.14360697D-09  0.14247914D-09  0.14167566D-09  0.14110259D-09  0.14069322D-09  0.14042530D-09  0.14025827D-09  0.14015578D-09  0.14009740D-09  0.14006433D-09  0.14004595D-09  0.14003536D-09  0.14002853D-09  0.14002376D-09  0.14002017D-09  0.14001738D-09  0.14001524D-09  0.14001363D-09  0.14001249D-09  0.14001172D-09  0.14001123D-09  0.14001092D-09  0.14001075D-09  0.14001066D-09  0.14001062D-09  0.14001060D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09  0.14001059D-09
Mg          0.15047259D-08  0.15529770D-08  0.16020547D-08  0.16486190D-08  0.16930502D-08  0.17355333D-08  0.17761100D-08  0.18147552D-08  0.18514121D-08  0.18860052D-08  0.19184446D-08  0.19764460D-08  0.20017777D-08  0.20245015D-08  0.20616454D-08  0.20758488D-08  0.20951160D-08  0.21019966D-08  0.20898539D-08  0.20682522D-08  0.20194344D-08  0.19562100D-08  0.18842200D-08  0.17825588D-08  0.16816482D-08  0.15640449D-08  0.14603167D-08  0.13558466D-08  0.12716818D-08  0.11948393D-08  0.11284563D-08  0.10783538D-08  0.10311398D-08  0.99531539D-09  0.96222201D-09  0.93463151D-09  0.91159034D-09  0.89127679D-09  0.87392155D-09  0.86012505D-09  0.84874513D-09  0.83926141D-09  0.83195223D-09  0.82612879D-09  0.82197464D-09  0.81901005D-09  0.81689363D-09  0.81551228D-09  0.81465681D-09  0.81413919D-09  0.81385248D-09  0.81369865D-09  0.81362123D-09  0.81358333D-09  0.81356369D-09  0.81355265D-09  0.81354545D-09  0.81354017D-09  0.81353616D-09  0.81353315D-09  0.81353098D-09  0.81352950D-09  0.81352855D-09  0.81352796D-09  0.81352763D-09  0.81352746D-09  0.81352737D-09  0.81352733D-09  0.81352732D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09  0.81352731D-09
S           0.66584756D-07  0.67901351D-07  0.68797901D-07  0.69381691D-07  0.69736414D-07  0.69920400D-07  0.69972729D-07  0.69919201D-07  0.69776889D-07  0.69557223D-07  0.69268002D-07  0.68501230D-07  0.68030688D-07  0.67505572D-07  0.66300697D-07  0.65625622D-07  0.64143889D-07  0.62509815D-07  0.59849427D-07  0.57995616D-07  0.55197887D-07  0.52485804D-07  0.49945436D-07  0.46906239D-07  0.44296505D-07  0.41610923D-07  0.39482348D-07  0.37515132D-07  0.36029724D-07  0.34726340D-07  0.33617306D-07  0.32772627D-07  0.31955375D-07  0.31313867D-07  0.30701802D-07  0.30176933D-07  0.29728754D-07  0.29326301D-07  0.28976867D-07  0.28695130D-07  0.28459743D-07  0.28261039D-07  0.28105745D-07  0.27979905D-07  0.27888069D-07  0.27820383D-07  0.27769604D-07  0.27733746D-07  0.27708659D-07  0.27690373D-07  0.27677072D-07  0.27666741D-07  0.27658479D-07  0.27651718D-07  0.27645973D-07  0.27641230D-07  0.27637375D-07  0.27634299D-07  0.27631932D-07  0.27630175D-07  0.27628931D-07  0.27628095D-07  0.27627560D-07  0.27627235D-07  0.27627052D-07  0.27626955D-07  0.27626908D-07  0.27626887D-07  0.27626878D-07  0.27626875D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07  0.27626874D-07
Si          0.88321490D-09  0.43335012D-09  0.44580648D-09  0.50089205D-09  0.56689346D-09  0.63977833D-09  0.71928289D-09  0.80580842D-09  0.89983062D-09  0.10017332D-08  0.11117279D-08  0.13556165D-08  0.14885534D-08  0.16275873D-08  0.19180145D-08  0.20656105D-08  0.23544984D-08  0.26202525D-08  0.29468857D-08  0.31095784D-08  0.32802697D-08  0.33876018D-08  0.34579184D-08  0.35231134D-08  0.35730974D-08  0.36251433D-08  0.36700836D-08  0.37173490D-08  0.37589565D-08  0.38017574D-08  0.38445061D-08  0.38818839D-08  0.39224978D-08  0.39576336D-08  0.39940363D-08  0.40278173D-08  0.40589568D-08  0.40892293D-08  0.41178683D-08  0.41431312D-08  0.41663144D-08  0.41879879D-08  0.42069104D-08  0.42242093D-08  0.42385997D-08  0.42507689D-08  0.42613498D-08  0.42700767D-08  0.42771861D-08  0.42831426D-08  0.42879958D-08  0.42920664D-08  0.42954551D-08  0.42982612D-08  0.43006367D-08  0.43025797D-08  0.43041448D-08  0.43053852D-08  0.43063353D-08  0.43070389D-08  0.43075359D-08  0.43078698D-08  0.43080833D-08  0.43082131D-08  0.43082862D-08  0.43083248D-08  0.43083436D-08  0.43083520D-08  0.43083554D-08  0.43083566D-08  0.43083570D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08  0.43083571D-08
O           0.60213140D-04  0.61412370D-04  0.62559524D-04  0.63598683D-04  0.64521347D-04  0.65337515D-04  0.66060735D-04  0.66703509D-04  0.67276420D-04  0.67788275D-04  0.68246453D-04  0.69026030D-04  0.69357608D-04  0.69656195D-04  0.70169210D-04  0.70390211D-04  0.70775515D-04  0.71101451D-04  0.71513686D-04  0.71754770D-04  0.72085702D-04  0.72393422D-04  0.72685745D-04  0.73057049D-04  0.73409890D-04  0.73826941D-04  0.74218905D-04  0.74658248D-04  0.75066048D-04  0.75504991D-04  0.75962187D-04  0.76376349D-04  0.76839788D-04  0.77249585D-04  0.77679353D-04  0.78078908D-04  0.78443826D-04  0.78791402D-04  0.79109715D-04  0.79378629D-04  0.79612672D-04  0.79817833D-04  0.79983946D-04  0.80123266D-04  0.80228588D-04  0.80309154D-04  0.80372231D-04  0.80419091D-04  0.80453841D-04  0.80480837D-04  0.80501754D-04  0.80518899D-04  0.80533161D-04  0.80545121D-04  0.80555421D-04  0.80563986D-04  0.80570976D-04  0.80576568D-04  0.80580879D-04  0.80584086D-04  0.80586358D-04  0.80587887D-04  0.80588866D-04  0.80589462D-04  0.80589798D-04  0.80589976D-04  0.80590062D-04  0.80590100D-04  0.80590116D-04  0.80590122D-04  0.80590123D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04  0.80590124D-04
N           0.38684512D-04  0.38598084D-04  0.38603423D-04  0.38625543D-04  0.38654524D-04  0.38687357D-04  0.38722618D-04  0.38759527D-04  0.38797627D-04  0.38836628D-04  0.38876336D-04  0.38957347D-04  0.38998459D-04  0.39039877D-04  0.39123392D-04  0.39165389D-04  0.39249648D-04  0.39334015D-04  0.39460246D-04  0.39543913D-04  0.39668356D-04  0.39791292D-04  0.39912571D-04  0.40071590D-04  0.40227491D-04  0.40417983D-04  0.40603643D-04  0.40820163D-04  0.41029999D-04  0.41266630D-04  0.41526723D-04  0.41776329D-04  0.42074461D-04  0.42358190D-04  0.42681095D-04  0.43011058D-04  0.43345379D-04  0.43703336D-04  0.44078417D-04  0.44446041D-04  0.44822280D-04  0.45218113D-04  0.45610670D-04  0.46022567D-04  0.46419520D-04  0.46809963D-04  0.47207494D-04  0.47592787D-04  0.47959581D-04  0.48315094D-04  0.48644876D-04  0.48953041D-04  0.49232277D-04  0.49478093D-04  0.49694981D-04  0.49877083D-04  0.50026031D-04  0.50145080D-04  0.50236677D-04  0.50304674D-04  0.50352773D-04  0.50385106D-04  0.50405782D-04  0.50418356D-04  0.50425441D-04  0.50429183D-04  0.50431003D-04  0.50431816D-04  0.50432146D-04  0.50432267D-04  0.50432299D-04  0.50432312D-04  0.50432317D-04  0.50432319D-04  0.50432319D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04  0.50432320D-04
He          0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01
