 Jspace =            1
    Gas temperature (K)  0.50E+02
 Total H density (cm-3)  0.50E+06
            0.00000000D+00  0.10000000D+03  0.20000000D+03  0.30000000D+03  0.40000000D+03  0.50000000D+03  0.60000000D+03  0.70000000D+03  0.80000000D+03  0.90000000D+03  0.10000000D+04  0.12000000D+04  0.13000000D+04  0.14000000D+04  0.16000000D+04  0.17000000D+04  0.19000000D+04  0.21000000D+04  0.24000000D+04  0.26000000D+04  0.29000000D+04  0.32000000D+04  0.35000000D+04  0.39000000D+04  0.43000000D+04  0.48000000D+04  0.53000000D+04  0.59000000D+04  0.65000000D+04  0.72000000D+04  0.80000000D+04  0.88000000D+04  0.98000000D+04  0.10800000D+05  0.12000000D+05  0.13300000D+05  0.14700000D+05  0.16300000D+05  0.18100000D+05  0.20000000D+05  0.22100000D+05  0.24500000D+05  0.27100000D+05  0.30100000D+05  0.33300000D+05  0.36800000D+05  0.40800000D+05  0.45200000D+05  0.50000000D+05  0.55400000D+05  0.61300000D+05  0.67900000D+05  0.75200000D+05  0.83200000D+05  0.92200000D+05  0.10210000D+06  0.11300000D+06  0.12510000D+06  0.13850000D+06  0.15340000D+06  0.16990000D+06  0.18810000D+06  0.20820000D+06  0.23060000D+06  0.25530000D+06  0.28270000D+06  0.31300000D+06  0.34660000D+06  0.38380000D+06  0.42490000D+06  0.47050000D+06  0.52100000D+06  0.57680000D+06  0.63870000D+06  0.70720000D+06  0.78310000D+06  0.86710000D+06  0.96010000D+06  0.10630000D+07  0.11771000D+07  0.13033000D+07  0.14431000D+07  0.15979000D+07  0.17692000D+07  0.19590000D+07  0.21691000D+07  0.24018000D+07  0.26594000D+07  0.29446000D+07  0.32604000D+07  0.36101000D+07  0.39973000D+07  0.44261000D+07  0.49008000D+07  0.54264000D+07  0.60084000D+07  0.66529000D+07  0.73664000D+07  0.81565000D+07  0.90313000D+07  0.10000000D+08  0.10630000D+08  0.11771000D+08  0.13033000D+08  0.14431000D+08  0.15979000D+08  0.17692000D+08  0.19590000D+08  0.21691000D+08  0.24018000D+08  0.26594000D+08  0.29446000D+08  0.32604000D+08  0.36101000D+08  0.39973000D+08  0.44261000D+08  0.49008000D+08  0.54264000D+08  0.60084000D+08  0.66529000D+08  0.73664000D+08  0.81565000D+08  0.90313000D+08  0.10000000D+09
H           0.10226114D-03  0.96779122D-04  0.91916931D-04  0.87677747D-04  0.84489948D-04  0.82474985D-04  0.81461533D-04  0.81283738D-04  0.81811311D-04  0.82933955D-04  0.84555486D-04  0.88969049D-04  0.91623348D-04  0.94498832D-04  0.10072636D-03  0.10400048D-03  0.11071363D-03  0.11748834D-03  0.12746421D-03  0.13385505D-03  0.14290923D-03  0.15123643D-03  0.15879872D-03  0.16770645D-03  0.17535038D-03  0.18331547D-03  0.18976070D-03  0.19584619D-03  0.20049805D-03  0.20453916D-03  0.20781209D-03  0.21006871D-03  0.21192695D-03  0.21308947D-03  0.21392464D-03  0.21442822D-03  0.21471615D-03  0.21487942D-03  0.21496245D-03  0.21499928D-03  0.21501530D-03  0.21502175D-03  0.21502394D-03  0.21502464D-03  0.21502482D-03  0.21502487D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03  0.21502488D-03
C           0.16934207D-07  0.26358295D-05  0.45405012D-05  0.65379049D-05  0.85092993D-05  0.10374159D-04  0.12105835D-04  0.13704348D-04  0.15178377D-04  0.16538103D-04  0.17793406D-04  0.20026718D-04  0.21020802D-04  0.21942665D-04  0.23594239D-04  0.24334738D-04  0.25668325D-04  0.26831220D-04  0.28311268D-04  0.29151612D-04  0.30233003D-04  0.31137209D-04  0.31897680D-04  0.32732263D-04  0.33404102D-04  0.34067406D-04  0.34580528D-04  0.35048222D-04  0.35396070D-04  0.35692245D-04  0.35928490D-04  0.36089701D-04  0.36221548D-04  0.36303671D-04  0.36362526D-04  0.36397969D-04  0.36418227D-04  0.36429718D-04  0.36435565D-04  0.36438163D-04  0.36439296D-04  0.36439754D-04  0.36439910D-04  0.36439961D-04  0.36439974D-04  0.36439978D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04  0.36439979D-04
Fe          0.30393505D-09  0.21828606D-09  0.10573025D-09  0.36285512D-10  0.23811838D-10  0.22858202D-10  0.22812896D-10  0.22874359D-10  0.22945842D-10  0.23003042D-10  0.23040458D-10  0.23060903D-10  0.23049685D-10  0.23028022D-10  0.22962673D-10  0.22922641D-10  0.22834489D-10  0.22741473D-10  0.22602565D-10  0.22514023D-10  0.22390380D-10  0.22279067D-10  0.22180188D-10  0.22066487D-10  0.21971278D-10  0.21874309D-10  0.21797439D-10  0.21726099D-10  0.21672332D-10  0.21626133D-10  0.21589042D-10  0.21563630D-10  0.21542797D-10  0.21529804D-10  0.21520489D-10  0.21514879D-10  0.21511675D-10  0.21509858D-10  0.21508935D-10  0.21508526D-10  0.21508348D-10  0.21508277D-10  0.21508252D-10  0.21508245D-10  0.21508243D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10  0.21508242D-10
Mg          0.15047259D-08  0.13497483D-08  0.98560119D-09  0.50768986D-09  0.23313659D-09  0.15828721D-09  0.14540354D-09  0.14322726D-09  0.14255449D-09  0.14215014D-09  0.14180936D-09  0.14113207D-09  0.14077411D-09  0.14040398D-09  0.13964263D-09  0.13925928D-09  0.13850318D-09  0.13777591D-09  0.13676158D-09  0.13614309D-09  0.13530389D-09  0.13456652D-09  0.13392256D-09  0.13319230D-09  0.13258774D-09  0.13197745D-09  0.13149701D-09  0.13105347D-09  0.13072052D-09  0.13043526D-09  0.13020675D-09  0.13005043D-09  0.12992242D-09  0.12984264D-09  0.12978547D-09  0.12975105D-09  0.12973139D-09  0.12972024D-09  0.12971458D-09  0.12971207D-09  0.12971098D-09  0.12971054D-09  0.12971039D-09  0.12971034D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09  0.12971033D-09
S           0.66584756D-07  0.53145194D-07  0.30315332D-07  0.12144950D-07  0.64333575D-08  0.57270574D-08  0.56246957D-08  0.55392327D-08  0.54486870D-08  0.53588013D-08  0.52725179D-08  0.51144578D-08  0.50429152D-08  0.49761048D-08  0.48554595D-08  0.48009967D-08  0.47023295D-08  0.46156443D-08  0.45043696D-08  0.44406844D-08  0.43581691D-08  0.42886861D-08  0.42299162D-08  0.41650993D-08  0.41127143D-08  0.40608600D-08  0.40206937D-08  0.39840804D-08  0.39568722D-08  0.39337401D-08  0.39153244D-08  0.39027832D-08  0.38925464D-08  0.38861817D-08  0.38816270D-08  0.38788876D-08  0.38773236D-08  0.38764373D-08  0.38759868D-08  0.38757870D-08  0.38757000D-08  0.38756650D-08  0.38756531D-08  0.38756493D-08  0.38756483D-08  0.38756481D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08  0.38756480D-08
Si          0.88321490D-09  0.14756768D-08  0.11538903D-08  0.93045508D-09  0.83132711D-09  0.78208925D-09  0.75038261D-09  0.72638693D-09  0.70699932D-09  0.69079453D-09  0.67693416D-09  0.65421934D-09  0.64471193D-09  0.63614498D-09  0.62125524D-09  0.61472097D-09  0.60309633D-09  0.59304489D-09  0.58026794D-09  0.57298130D-09  0.56353188D-09  0.55554302D-09  0.54874694D-09  0.54119526D-09  0.53503894D-09  0.52889021D-09  0.52408555D-09  0.51967124D-09  0.51636817D-09  0.51354410D-09  0.51128517D-09  0.50974134D-09  0.50847787D-09  0.50769081D-09  0.50712689D-09  0.50678744D-09  0.50659354D-09  0.50648363D-09  0.50642775D-09  0.50640295D-09  0.50639217D-09  0.50638782D-09  0.50638634D-09  0.50638587D-09  0.50638575D-09  0.50638572D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638571D-09  0.50638578D-09  0.50638578D-09  0.50638578D-09  0.50638579D-09  0.50638579D-09  0.50638579D-09  0.50638582D-09  0.50638582D-09  0.50638582D-09  0.50638581D-09  0.50638582D-09  0.50638582D-09  0.50638578D-09  0.50638578D-09  0.50638578D-09  0.50638578D-09  0.50638577D-09  0.50638577D-09  0.50638578D-09  0.50638578D-09  0.50638578D-09  0.50638578D-09  0.50638577D-09  0.50638577D-09  0.50638579D-09  0.50638580D-09  0.50638561D-09
O           0.60213140D-04  0.69293538D-04  0.74117243D-04  0.77118252D-04  0.79514327D-04  0.81651546D-04  0.83602762D-04  0.85392590D-04  0.87037530D-04  0.88551535D-04  0.89946992D-04  0.92425472D-04  0.93527343D-04  0.94548593D-04  0.96377161D-04  0.97196685D-04  0.98672253D-04  0.99958764D-04  0.10159613D-03  0.10252589D-03  0.10372255D-03  0.10472338D-03  0.10556531D-03  0.10648953D-03  0.10723371D-03  0.10796858D-03  0.10853715D-03  0.10905540D-03  0.10944083D-03  0.10976895D-03  0.11003060D-03  0.11020907D-03  0.11035494D-03  0.11044571D-03  0.11051068D-03  0.11054974D-03  0.11057201D-03  0.11058459D-03  0.11059095D-03  0.11059376D-03  0.11059496D-03  0.11059543D-03  0.11059559D-03  0.11059564D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03  0.11059565D-03
N           0.38684512D-04  0.40796420D-04  0.42828794D-04  0.44654441D-04  0.46264873D-04  0.47678395D-04  0.48920377D-04  0.50012421D-04  0.50972806D-04  0.51817434D-04  0.52560261D-04  0.53788118D-04  0.54293432D-04  0.54737851D-04  0.55472505D-04  0.55774881D-04  0.56274798D-04  0.56661641D-04  0.57084358D-04  0.57288353D-04  0.57511503D-04  0.57663824D-04  0.57767963D-04  0.57857742D-04  0.57912291D-04  0.57951855D-04  0.57973750D-04  0.57988037D-04  0.57995779D-04  0.58000876D-04  0.58004252D-04  0.58006355D-04  0.58008048D-04  0.58009138D-04  0.58009967D-04  0.58010507D-04  0.58010846D-04  0.58011062D-04  0.58011190D-04  0.58011259D-04  0.58011297D-04  0.58011319D-04  0.58011329D-04  0.58011335D-04  0.58011337D-04  0.58011338D-04  0.58011338D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04  0.58011339D-04
He          0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01
