 Jspace =            1
    Gas temperature (K)  0.18E+03
 Total H density (cm-3)  0.10E+07
            0.00000000D+00  0.10000000D+03  0.20000000D+03  0.30000000D+03  0.40000000D+03  0.50000000D+03  0.60000000D+03  0.70000000D+03  0.80000000D+03  0.90000000D+03  0.10000000D+04  0.12000000D+04  0.13000000D+04  0.14000000D+04  0.16000000D+04  0.17000000D+04  0.19000000D+04  0.21000000D+04  0.24000000D+04  0.26000000D+04  0.29000000D+04  0.32000000D+04  0.35000000D+04  0.39000000D+04  0.43000000D+04  0.48000000D+04  0.53000000D+04  0.59000000D+04  0.65000000D+04  0.72000000D+04  0.80000000D+04  0.88000000D+04  0.98000000D+04  0.10800000D+05  0.12000000D+05  0.13300000D+05  0.14700000D+05  0.16300000D+05  0.18100000D+05  0.20000000D+05  0.22100000D+05  0.24500000D+05  0.27100000D+05  0.30100000D+05  0.33300000D+05  0.36800000D+05  0.40800000D+05  0.45200000D+05  0.50000000D+05  0.55400000D+05  0.61300000D+05  0.67900000D+05  0.75200000D+05  0.83200000D+05  0.92200000D+05  0.10210000D+06  0.11300000D+06  0.12510000D+06  0.13850000D+06  0.15340000D+06  0.16990000D+06  0.18810000D+06  0.20820000D+06  0.23060000D+06  0.25530000D+06  0.28270000D+06  0.31300000D+06  0.34660000D+06  0.38380000D+06  0.42490000D+06  0.47050000D+06  0.52100000D+06  0.57680000D+06  0.63870000D+06  0.70720000D+06  0.78310000D+06  0.86710000D+06  0.96010000D+06  0.10630000D+07  0.11771000D+07  0.13033000D+07  0.14431000D+07  0.15979000D+07  0.17692000D+07  0.19590000D+07  0.21691000D+07  0.24018000D+07  0.26594000D+07  0.29446000D+07  0.32604000D+07  0.36101000D+07  0.39973000D+07  0.44261000D+07  0.49008000D+07  0.54264000D+07  0.60084000D+07  0.66529000D+07  0.73664000D+07  0.81565000D+07  0.90313000D+07  0.10000000D+08  0.10630000D+08  0.11771000D+08  0.13033000D+08  0.14431000D+08  0.15979000D+08  0.17692000D+08  0.19590000D+08  0.21691000D+08  0.24018000D+08  0.26594000D+08  0.29446000D+08  0.32604000D+08  0.36101000D+08  0.39973000D+08  0.44261000D+08  0.49008000D+08  0.54264000D+08  0.60084000D+08  0.66529000D+08  0.73664000D+08  0.81565000D+08  0.90313000D+08  0.10000000D+09
H           0.10226114D-03  0.79985232D-04  0.62240801D-04  0.48444815D-04  0.37721565D-04  0.29387132D-04  0.22909302D-04  0.17874305D-04  0.13960490D-04  0.10918002D-04  0.85526498D-05  0.52834822D-05  0.41713194D-05  0.33062726D-05  0.21097319D-05  0.17022840D-05  0.11382274D-05  0.79615509D-06  0.51750584D-06  0.41892702D-06  0.33817294D-06  0.29945632D-06  0.28072538D-06  0.26966926D-06  0.26526305D-06  0.26315241D-06  0.26235990D-06  0.26196235D-06  0.26176077D-06  0.26160390D-06  0.26145731D-06  0.26132085D-06  0.26115299D-06  0.26098392D-06  0.26077721D-06  0.26054732D-06  0.26029240D-06  0.25999239D-06  0.25964616D-06  0.25927479D-06  0.25886334D-06  0.25840029D-06  0.25791720D-06  0.25739492D-06  0.25688873D-06  0.25640095D-06  0.25592780D-06  0.25550349D-06  0.25513949D-06  0.25482910D-06  0.25458023D-06  0.25438049D-06  0.25422348D-06  0.25409920D-06  0.25399413D-06  0.25390178D-06  0.25381457D-06  0.25372648D-06  0.25363403D-06  0.25353431D-06  0.25342591D-06  0.25330789D-06  0.25317890D-06  0.25303646D-06  0.25288066D-06  0.25270902D-06  0.25252033D-06  0.25231209D-06  0.25208240D-06  0.25182932D-06  0.25154911D-06  0.25123929D-06  0.25089750D-06  0.25051915D-06  0.25010182D-06  0.24964180D-06  0.24913679D-06  0.24858433D-06  0.24798352D-06  0.24733315D-06  0.24663694D-06  0.24589860D-06  0.24512650D-06  0.24433310D-06  0.24353359D-06  0.24274894D-06  0.24200193D-06  0.24131709D-06  0.24071625D-06  0.24021554D-06  0.23982229D-06  0.23953354D-06  0.23933672D-06  0.23921308D-06  0.23914190D-06  0.23910457D-06  0.23908687D-06  0.23907933D-06  0.23907649D-06  0.23907555D-06  0.23907529D-06  0.23907524D-06  0.23907522D-06  0.23907522D-06  0.23907522D-06  0.23907522D-06  0.23907522D-06  0.23907522D-06  0.23907522D-06  0.23907522D-06  0.23907522D-06  0.23907522D-06  0.23907522D-06  0.23907522D-06  0.23907522D-06  0.23907522D-06  0.23907522D-06  0.23907522D-06  0.23907522D-06  0.23907522D-06  0.23907522D-06  0.23907522D-06  0.23907522D-06  0.23907522D-06
C           0.16934207D-07  0.30355682D-07  0.11467822D-07  0.47853760D-08  0.24363980D-08  0.15893138D-08  0.12624902D-08  0.11199267D-08  0.10466828D-08  0.10028024D-08  0.97366304D-09  0.93890135D-09  0.92872376D-09  0.92164545D-09  0.91363494D-09  0.91158320D-09  0.90952531D-09  0.90870118D-09  0.90764901D-09  0.90642966D-09  0.90345009D-09  0.89904897D-09  0.89334680D-09  0.88402763D-09  0.87313966D-09  0.85790725D-09  0.84144781D-09  0.82074230D-09  0.79954542D-09  0.77471034D-09  0.74664521D-09  0.71922002D-09  0.68607560D-09  0.65431344D-09  0.61807144D-09  0.58109268D-09  0.54384911D-09  0.50442677D-09  0.46387544D-09  0.42516274D-09  0.38690171D-09  0.34848083D-09  0.31257228D-09  0.27758936D-09  0.24677007D-09  0.21943561D-09  0.19477166D-09  0.17395753D-09  0.15692741D-09  0.14289831D-09  0.13189912D-09  0.12317028D-09  0.11632815D-09  0.11090893D-09  0.10634277D-09  0.10239158D-09  0.98779597D-10  0.95303098D-10  0.91869761D-10  0.88416126D-10  0.84940509D-10  0.81459291D-10  0.77980165D-10  0.74488980D-10  0.71039761D-10  0.67626254D-10  0.64271378D-10  0.60974723D-10  0.57747398D-10  0.54598089D-10  0.51513946D-10  0.48500496D-10  0.45563479D-10  0.42691990D-10  0.39896395D-10  0.37179234D-10  0.34553038D-10  0.32028868D-10  0.29622571D-10  0.27344992D-10  0.25217932D-10  0.23252873D-10  0.21463811D-10  0.19861852D-10  0.18451714D-10  0.17237676D-10  0.16217586D-10  0.15385838D-10  0.14731015D-10  0.14236326D-10  0.13879624D-10  0.13635047D-10  0.13476263D-10  0.13379537D-10  0.13324818D-10  0.13296370D-10  0.13282897D-10  0.13277135D-10  0.13274926D-10  0.13274174D-10  0.13273949D-10  0.13273905D-10  0.13273880D-10  0.13273875D-10  0.13273874D-10  0.13273874D-10  0.13273874D-10  0.13273874D-10  0.13273874D-10  0.13273874D-10  0.13273874D-10  0.13273874D-10  0.13273874D-10  0.13273874D-10  0.13273874D-10  0.13273874D-10  0.13273874D-10  0.13273874D-10  0.13273874D-10  0.13273874D-10  0.13273874D-10  0.13273874D-10  0.13273874D-10  0.13273874D-10
Fe          0.30393505D-09  0.39138541D-09  0.47655924D-09  0.55770822D-09  0.63497738D-09  0.70850299D-09  0.77841707D-09  0.84484861D-09  0.90792425D-09  0.96776852D-09  0.10245037D-08  0.11291275D-08  0.11772518D-08  0.12227388D-08  0.13062540D-08  0.13445032D-08  0.14145228D-08  0.14765907D-08  0.15564839D-08  0.16019904D-08  0.16602455D-08  0.17082227D-08  0.17476184D-08  0.17892607D-08  0.18210053D-08  0.18501022D-08  0.18704694D-08  0.18867333D-08  0.18968129D-08  0.19033953D-08  0.19065945D-08  0.19070283D-08  0.19054267D-08  0.19026283D-08  0.18986470D-08  0.18941968D-08  0.18896096D-08  0.18848134D-08  0.18800395D-08  0.18756733D-08  0.18715538D-08  0.18676123D-08  0.18640989D-08  0.18608269D-08  0.18580611D-08  0.18556950D-08  0.18536275D-08  0.18519316D-08  0.18505781D-08  0.18494890D-08  0.18486566D-08  0.18480169D-08  0.18475386D-08  0.18471860D-08  0.18469196D-08  0.18467222D-08  0.18465756D-08  0.18464677D-08  0.18463938D-08  0.18463521D-08  0.18463432D-08  0.18463687D-08  0.18464302D-08  0.18465302D-08  0.18466694D-08  0.18468493D-08  0.18470700D-08  0.18473322D-08  0.18476350D-08  0.18479766D-08  0.18483569D-08  0.18487730D-08  0.18492208D-08  0.18496984D-08  0.18501997D-08  0.18507195D-08  0.18512502D-08  0.18517840D-08  0.18523112D-08  0.18528229D-08  0.18533069D-08  0.18537535D-08  0.18541529D-08  0.18544976D-08  0.18547845D-08  0.18550146D-08  0.18551934D-08  0.18553298D-08  0.18554335D-08  0.18555128D-08  0.18555739D-08  0.18556206D-08  0.18556552D-08  0.18556796D-08  0.18556960D-08  0.18557064D-08  0.18557127D-08  0.18557163D-08  0.18557183D-08  0.18557193D-08  0.18557198D-08  0.18557200D-08  0.18557202D-08  0.18557202D-08  0.18557202D-08  0.18557203D-08  0.18557203D-08  0.18557203D-08  0.18557203D-08  0.18557203D-08  0.18557203D-08  0.18557203D-08  0.18557203D-08  0.18557203D-08  0.18557203D-08  0.18557202D-08  0.18557202D-08  0.18557202D-08  0.18557202D-08  0.18557202D-08  0.18557202D-08  0.18557202D-08  0.18557202D-08  0.18557202D-08
Mg          0.15047259D-08  0.17571327D-08  0.20005517D-08  0.22292386D-08  0.24439680D-08  0.26454700D-08  0.28344387D-08  0.30115367D-08  0.31773979D-08  0.33326292D-08  0.34778110D-08  0.37402296D-08  0.38585100D-08  0.39688308D-08  0.41674471D-08  0.42566163D-08  0.44167172D-08  0.45549920D-08  0.47273677D-08  0.48223876D-08  0.49401817D-08  0.50334530D-08  0.51070469D-08  0.51812673D-08  0.52347560D-08  0.52806628D-08  0.53103184D-08  0.53317437D-08  0.53432751D-08  0.53491784D-08  0.53502606D-08  0.53481582D-08  0.53434411D-08  0.53378093D-08  0.53307998D-08  0.53234012D-08  0.53158716D-08  0.53078695D-08  0.52995873D-08  0.52915817D-08  0.52835084D-08  0.52751640D-08  0.52670761D-08  0.52588568D-08  0.52512832D-08  0.52442689D-08  0.52376813D-08  0.52319298D-08  0.52271075D-08  0.52230846D-08  0.52199369D-08  0.52174897D-08  0.52156538D-08  0.52142997D-08  0.52132671D-08  0.52124767D-08  0.52118426D-08  0.52113043D-08  0.52108298D-08  0.52103992D-08  0.52100055D-08  0.52096463D-08  0.52093187D-08  0.52090183D-08  0.52087461D-08  0.52084966D-08  0.52082662D-08  0.52080482D-08  0.52078365D-08  0.52076237D-08  0.52074005D-08  0.52071581D-08  0.52068871D-08  0.52065757D-08  0.52062133D-08  0.52057880D-08  0.52052885D-08  0.52047036D-08  0.52040235D-08  0.52032386D-08  0.52023461D-08  0.52013449D-08  0.52002423D-08  0.51990554D-08  0.51978097D-08  0.51965439D-08  0.51953026D-08  0.51941337D-08  0.51930799D-08  0.51921755D-08  0.51914425D-08  0.51908877D-08  0.51905004D-08  0.51902543D-08  0.51901139D-08  0.51900431D-08  0.51900126D-08  0.51900022D-08  0.51900001D-08  0.51900005D-08  0.51900013D-08  0.51900017D-08  0.51900021D-08  0.51900023D-08  0.51900023D-08  0.51900023D-08  0.51900024D-08  0.51900024D-08  0.51900024D-08  0.51900024D-08  0.51900024D-08  0.51900024D-08  0.51900024D-08  0.51900024D-08  0.51900024D-08  0.51900023D-08  0.51900023D-08  0.51900023D-08  0.51900023D-08  0.51900023D-08  0.51900023D-08  0.51900023D-08  0.51900023D-08  0.51900023D-08
S           0.66584756D-07  0.65364108D-07  0.63730097D-07  0.61841203D-07  0.59821561D-07  0.57759750D-07  0.55710010D-07  0.53702610D-07  0.51753128D-07  0.49868716D-07  0.48051896D-07  0.44619961D-07  0.43001767D-07  0.41445997D-07  0.38512728D-07  0.37130770D-07  0.34525419D-07  0.32117981D-07  0.28845065D-07  0.26868599D-07  0.24181097D-07  0.21792911D-07  0.19670459D-07  0.17202936D-07  0.15093844D-07  0.12882469D-07  0.11064174D-07  0.93030996D-08  0.79097956D-08  0.66471353D-08  0.55685315D-08  0.47782879D-08  0.40802543D-08  0.36065585D-08  0.32341650D-08  0.29847783D-08  0.28247271D-08  0.27212913D-08  0.26599115D-08  0.26272388D-08  0.26094306D-08  0.25994825D-08  0.25936520D-08  0.25889347D-08  0.25841818D-08  0.25783766D-08  0.25705862D-08  0.25605520D-08  0.25480493D-08  0.25324263D-08  0.25139839D-08  0.24922488D-08  0.24674529D-08  0.24399074D-08  0.24089061D-08  0.23751203D-08  0.23385132D-08  0.22987069D-08  0.22556691D-08  0.22090704D-08  0.21589406D-08  0.21053458D-08  0.20481164D-08  0.19866356D-08  0.19215066D-08  0.18523636D-08  0.17795121D-08  0.17029238D-08  0.16229854D-08  0.15402308D-08  0.14547817D-08  0.13673681D-08  0.12788524D-08  0.11896398D-08  0.11007764D-08  0.10130246D-08  0.92738611D-09  0.84471354D-09  0.76590260D-09  0.69157356D-09  0.62260035D-09  0.55942802D-09  0.50250437D-09  0.45211700D-09  0.40829887D-09  0.37102985D-09  0.34006616D-09  0.31505295D-09  0.29547796D-09  0.28071705D-09  0.27006053D-09  0.26274966D-09  0.25802020D-09  0.25516047D-09  0.25355660D-09  0.25272934D-09  0.25234021D-09  0.25217479D-09  0.25211179D-09  0.25209052D-09  0.25208423D-09  0.25208301D-09  0.25208236D-09  0.25208223D-09  0.25208221D-09  0.25208221D-09  0.25208221D-09  0.25208221D-09  0.25208221D-09  0.25208221D-09  0.25208221D-09  0.25208221D-09  0.25208221D-09  0.25208221D-09  0.25208221D-09  0.25208221D-09  0.25208221D-09  0.25208221D-09  0.25208221D-09  0.25208221D-09  0.25208221D-09  0.25208221D-09  0.25208221D-09  0.25208221D-09
Si          0.88321490D-09  0.56248282D-10  0.17040240D-10  0.16173254D-10  0.16500944D-10  0.16857623D-10  0.17212412D-10  0.17564787D-10  0.17913960D-10  0.18258702D-10  0.18597662D-10  0.19253145D-10  0.19567510D-10  0.19871842D-10  0.20448211D-10  0.20719586D-10  0.21228164D-10  0.21691746D-10  0.22306923D-10  0.22667617D-10  0.23142600D-10  0.23548347D-10  0.23895667D-10  0.24284597D-10  0.24606628D-10  0.24938823D-10  0.25214292D-10  0.25493113D-10  0.25733703D-10  0.25982760D-10  0.26240502D-10  0.26479646D-10  0.26761047D-10  0.27028156D-10  0.27333406D-10  0.27647207D-10  0.27966371D-10  0.28307657D-10  0.28662005D-10  0.29002696D-10  0.29340772D-10  0.29680293D-10  0.29995893D-10  0.30299227D-10  0.30559744D-10  0.30781103D-10  0.30966687D-10  0.31104243D-10  0.31192671D-10  0.31234725D-10  0.31230714D-10  0.31183783D-10  0.31097758D-10  0.30978071D-10  0.30825091D-10  0.30644924D-10  0.30439818D-10  0.30209107D-10  0.29953261D-10  0.29670387D-10  0.29360290D-10  0.29022752D-10  0.28655864D-10  0.28254512D-10  0.27821270D-10  0.27352125D-10  0.26847247D-10  0.26304200D-10  0.25723119D-10  0.25104999D-10  0.24447491D-10  0.23752618D-10  0.23023597D-10  0.22260023D-10  0.21467170D-10  0.20648535D-10  0.19810730D-10  0.18960253D-10  0.18105616D-10  0.17254159D-10  0.16418218D-10  0.15607477D-10  0.14833901D-10  0.14109659D-10  0.13445174D-10  0.12851313D-10  0.12335884D-10  0.11904227D-10  0.11557351D-10  0.11291840D-10  0.11099954D-10  0.10970435D-10  0.10889901D-10  0.10844709D-10  0.10822575D-10  0.10813814D-10  0.10811720D-10  0.10812269D-10  0.10813429D-10  0.10814407D-10  0.10815029D-10  0.10815256D-10  0.10815471D-10  0.10815563D-10  0.10815599D-10  0.10815611D-10  0.10815615D-10  0.10815616D-10  0.10815616D-10  0.10815616D-10  0.10815616D-10  0.10815616D-10  0.10815616D-10  0.10815616D-10  0.10815616D-10  0.10815616D-10  0.10815616D-10  0.10815616D-10  0.10815616D-10  0.10815616D-10  0.10815616D-10  0.10815616D-10  0.10815616D-10  0.10815616D-10
O           0.60213140D-04  0.60204314D-04  0.60200298D-04  0.60188122D-04  0.60173607D-04  0.60158856D-04  0.60144642D-04  0.60131239D-04  0.60118727D-04  0.60107114D-04  0.60096368D-04  0.60077274D-04  0.60068807D-04  0.60060978D-04  0.60046987D-04  0.60040713D-04  0.60029357D-04  0.60019304D-04  0.60006055D-04  0.59998128D-04  0.59987193D-04  0.59977064D-04  0.59967472D-04  0.59955219D-04  0.59943348D-04  0.59928833D-04  0.59914557D-04  0.59897670D-04  0.59881032D-04  0.59861949D-04  0.59840603D-04  0.59819782D-04  0.59794518D-04  0.59770102D-04  0.59741897D-04  0.59712625D-04  0.59682496D-04  0.59649684D-04  0.59614633D-04  0.59579536D-04  0.59542735D-04  0.59502896D-04  0.59462018D-04  0.59417330D-04  0.59372083D-04  0.59324923D-04  0.59273400D-04  0.59218999D-04  0.59161707D-04  0.59099139D-04  0.59032408D-04  0.58959161D-04  0.58879314D-04  0.58792752D-04  0.58696153D-04  0.58590544D-04  0.58474817D-04  0.58346841D-04  0.58205573D-04  0.58048922D-04  0.57875845D-04  0.57685278D-04  0.57475073D-04  0.57240947D-04  0.56982732D-04  0.56695996D-04  0.56378300D-04  0.56024991D-04  0.55632335D-04  0.55196476D-04  0.54710253D-04  0.54168526D-04  0.53566148D-04  0.52893735D-04  0.52145400D-04  0.51312536D-04  0.50388588D-04  0.49366370D-04  0.48241113D-04  0.47007280D-04  0.45668797D-04  0.44230165D-04  0.42706183D-04  0.41121752D-04  0.39509808D-04  0.37917687D-04  0.36398464D-04  0.35009096D-04  0.33799150D-04  0.32802770D-04  0.32032039D-04  0.31475509D-04  0.31102377D-04  0.30871418D-04  0.30740029D-04  0.30671718D-04  0.30639458D-04  0.30625723D-04  0.30620493D-04  0.30618731D-04  0.30618212D-04  0.30618112D-04  0.30618059D-04  0.30618049D-04  0.30618048D-04  0.30618048D-04  0.30618048D-04  0.30618048D-04  0.30618048D-04  0.30618048D-04  0.30618048D-04  0.30618048D-04  0.30618048D-04  0.30618048D-04  0.30618048D-04  0.30618048D-04  0.30618048D-04  0.30618048D-04  0.30618048D-04  0.30618048D-04  0.30618048D-04  0.30618048D-04  0.30618048D-04  0.30618048D-04
N           0.38684512D-04  0.38502234D-04  0.38486793D-04  0.38473288D-04  0.38460301D-04  0.38447729D-04  0.38435596D-04  0.38423947D-04  0.38412814D-04  0.38402215D-04  0.38392150D-04  0.38373553D-04  0.38364968D-04  0.38356813D-04  0.38341651D-04  0.38334572D-04  0.38321257D-04  0.38308872D-04  0.38291623D-04  0.38280791D-04  0.38265265D-04  0.38250363D-04  0.38235894D-04  0.38217054D-04  0.38198556D-04  0.38175738D-04  0.38153144D-04  0.38126237D-04  0.38099505D-04  0.38068504D-04  0.38033298D-04  0.37998317D-04  0.37954893D-04  0.37911791D-04  0.37860477D-04  0.37805369D-04  0.37746562D-04  0.37680018D-04  0.37605976D-04  0.37528734D-04  0.37444415D-04  0.37349353D-04  0.37247859D-04  0.37132547D-04  0.37011488D-04  0.36881128D-04  0.36734424D-04  0.36575421D-04  0.36404289D-04  0.36214096D-04  0.36008526D-04  0.35780742D-04  0.35530938D-04  0.35259296D-04  0.34955962D-04  0.34624763D-04  0.34262886D-04  0.33864422D-04  0.33427026D-04  0.32945365D-04  0.32417673D-04  0.31842468D-04  0.31215476D-04  0.30526847D-04  0.29779734D-04  0.28965795D-04  0.28083695D-04  0.27127385D-04  0.26095150D-04  0.24986775D-04  0.23796011D-04  0.22524546D-04  0.21176612D-04  0.19750212D-04  0.18254632D-04  0.16696957D-04  0.15091649D-04  0.13454823D-04  0.11808635D-04  0.10175284D-04  0.85886853D-05  0.70790451D-05  0.56809248D-05  0.44270330D-05  0.33422550D-05  0.24447184D-05  0.17381777D-05  0.12131945D-05  0.84716761D-06  0.60921649D-06  0.46577225D-06  0.38594294D-06  0.34501494D-06  0.32569798D-06  0.31728715D-06  0.31390043D-06  0.31263407D-06  0.31219240D-06  0.31204790D-06  0.31200339D-06  0.31199043D-06  0.31198775D-06  0.31198610D-06  0.31198565D-06  0.31198553D-06  0.31198549D-06  0.31198548D-06  0.31198548D-06  0.31198548D-06  0.31198548D-06  0.31198548D-06  0.31198548D-06  0.31198548D-06  0.31198548D-06  0.31198548D-06  0.31198548D-06  0.31198548D-06  0.31198548D-06  0.31198548D-06  0.31198548D-06  0.31198548D-06  0.31198548D-06  0.31198548D-06  0.31198548D-06
He          0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01
