 Jspace =            1
    Gas temperature (K)  0.20E+03
 Total H density (cm-3)  0.10E+06
            0.00000000D+00  0.10000000D+03  0.20000000D+03  0.30000000D+03  0.40000000D+03  0.50000000D+03  0.60000000D+03  0.70000000D+03  0.80000000D+03  0.90000000D+03  0.10000000D+04  0.12000000D+04  0.13000000D+04  0.14000000D+04  0.16000000D+04  0.17000000D+04  0.19000000D+04  0.21000000D+04  0.24000000D+04  0.26000000D+04  0.29000000D+04  0.32000000D+04  0.35000000D+04  0.39000000D+04  0.43000000D+04  0.48000000D+04  0.53000000D+04  0.59000000D+04  0.65000000D+04  0.72000000D+04  0.80000000D+04  0.88000000D+04  0.98000000D+04  0.10800000D+05  0.12000000D+05  0.13300000D+05  0.14700000D+05  0.16300000D+05  0.18100000D+05  0.20000000D+05  0.22100000D+05  0.24500000D+05  0.27100000D+05  0.30100000D+05  0.33300000D+05  0.36800000D+05  0.40800000D+05  0.45200000D+05  0.50000000D+05  0.55400000D+05  0.61300000D+05  0.67900000D+05  0.75200000D+05  0.83200000D+05  0.92200000D+05  0.10210000D+06  0.11300000D+06  0.12510000D+06  0.13850000D+06  0.15340000D+06  0.16990000D+06  0.18810000D+06  0.20820000D+06  0.23060000D+06  0.25530000D+06  0.28270000D+06  0.31300000D+06  0.34660000D+06  0.38380000D+06  0.42490000D+06  0.47050000D+06  0.52100000D+06  0.57680000D+06  0.63870000D+06  0.70720000D+06  0.78310000D+06  0.86710000D+06  0.96010000D+06  0.10630000D+07  0.11771000D+07  0.13033000D+07  0.14431000D+07  0.15979000D+07  0.17692000D+07  0.19590000D+07  0.21691000D+07  0.24018000D+07  0.26594000D+07  0.29446000D+07  0.32604000D+07  0.36101000D+07  0.39973000D+07  0.44261000D+07  0.49008000D+07  0.54264000D+07  0.60084000D+07  0.66529000D+07  0.73664000D+07  0.81565000D+07  0.90313000D+07  0.10000000D+08  0.10630000D+08  0.11771000D+08  0.13033000D+08  0.14431000D+08  0.15979000D+08  0.17692000D+08  0.19590000D+08  0.21691000D+08  0.24018000D+08  0.26594000D+08  0.29446000D+08  0.32604000D+08  0.36101000D+08  0.39973000D+08  0.44261000D+08  0.49008000D+08  0.54264000D+08  0.60084000D+08  0.66529000D+08  0.73664000D+08  0.81565000D+08  0.90313000D+08  0.10000000D+09
H           0.10226114D-03  0.10006646D-03  0.97536278D-04  0.95021334D-04  0.92566358D-04  0.90175405D-04  0.87847534D-04  0.85581202D-04  0.83374824D-04  0.81226838D-04  0.79135717D-04  0.75118141D-04  0.73188810D-04  0.71310605D-04  0.67702174D-04  0.65969354D-04  0.62640295D-04  0.59485374D-04  0.55059764D-04  0.52301475D-04  0.48432280D-04  0.44862774D-04  0.41569793D-04  0.37572506D-04  0.33982721D-04  0.30005732D-04  0.26529013D-04  0.22929396D-04  0.19866265D-04  0.16864810D-04  0.14060286D-04  0.11799160D-04  0.95786996D-05  0.78826471D-05  0.63675435D-05  0.51949173D-05  0.43168150D-05  0.36461591D-05  0.31684299D-05  0.28622018D-05  0.26646900D-05  0.25415347D-05  0.24736909D-05  0.24369913D-05  0.24202375D-05  0.24129681D-05  0.24100242D-05  0.24089596D-05  0.24084634D-05  0.24079886D-05  0.24073584D-05  0.24065043D-05  0.24054351D-05  0.24041903D-05  0.24027780D-05  0.24012802D-05  0.23997513D-05  0.23982319D-05  0.23967706D-05  0.23953940D-05  0.23941240D-05  0.23929643D-05  0.23918981D-05  0.23908934D-05  0.23899334D-05  0.23889838D-05  0.23880218D-05  0.23870226D-05  0.23859695D-05  0.23848494D-05  0.23836444D-05  0.23823445D-05  0.23809411D-05  0.23794167D-05  0.23777633D-05  0.23759671D-05  0.23740198D-05  0.23719118D-05  0.23696386D-05  0.23671929D-05  0.23645840D-05  0.23618174D-05  0.23589114D-05  0.23558941D-05  0.23527967D-05  0.23496673D-05  0.23465593D-05  0.23435401D-05  0.23406846D-05  0.23380752D-05  0.23357939D-05  0.23339093D-05  0.23324577D-05  0.23314292D-05  0.23307647D-05  0.23303761D-05  0.23301715D-05  0.23300750D-05  0.23300346D-05  0.23300197D-05  0.23300150D-05  0.23300140D-05  0.23300134D-05  0.23300133D-05  0.23300133D-05  0.23300133D-05  0.23300133D-05  0.23300133D-05  0.23300133D-05  0.23300133D-05  0.23300133D-05  0.23300133D-05  0.23300133D-05  0.23300133D-05  0.23300133D-05  0.23300133D-05  0.23300133D-05  0.23300133D-05  0.23300133D-05  0.23300133D-05  0.23300133D-05  0.23300133D-05  0.23300133D-05  0.23300133D-05
C           0.16934207D-07  0.31944482D-07  0.38321250D-07  0.37069414D-07  0.34420250D-07  0.31764000D-07  0.29317806D-07  0.27095015D-07  0.25079533D-07  0.23252748D-07  0.21597200D-07  0.18737345D-07  0.17505212D-07  0.16388485D-07  0.14458347D-07  0.13625956D-07  0.12185642D-07  0.10998660D-07  0.95944300D-08  0.88566480D-08  0.79777350D-08  0.73089296D-08  0.67965058D-08  0.62897276D-08  0.59255777D-08  0.56049097D-08  0.53827679D-08  0.51983879D-08  0.50701869D-08  0.49636356D-08  0.48752865D-08  0.48071754D-08  0.47372225D-08  0.46757940D-08  0.46070342D-08  0.45347707D-08  0.44574689D-08  0.43688598D-08  0.42686984D-08  0.41627822D-08  0.40461228D-08  0.39141632D-08  0.37737786D-08  0.36161418D-08  0.34540582D-08  0.32847231D-08  0.31019629D-08  0.29144915D-08  0.27260634D-08  0.25334584D-08  0.23450939D-08  0.21594277D-08  0.19815861D-08  0.18155531D-08  0.16592653D-08  0.15179946D-08  0.13920823D-08  0.12805119D-08  0.11830465D-08  0.10982377D-08  0.10249435D-08  0.96156472D-09  0.90608147D-09  0.85631865D-09  0.81133010D-09  0.76962015D-09  0.73043264D-09  0.69305023D-09  0.65715466D-09  0.62258611D-09  0.58906847D-09  0.55658753D-09  0.52514754D-09  0.49457026D-09  0.46489110D-09  0.43604905D-09  0.40808335D-09  0.38102156D-09  0.35495600D-09  0.32994581D-09  0.30619714D-09  0.28383250D-09  0.26303154D-09  0.24396886D-09  0.22676709D-09  0.21156292D-09  0.19843056D-09  0.18741481D-09  0.17849680D-09  0.17158871D-09  0.16650999D-09  0.16297227D-09  0.16061632D-09  0.15910474D-09  0.15817818D-09  0.15764783D-09  0.15737031D-09  0.15723947D-09  0.15718442D-09  0.15716395D-09  0.15715727D-09  0.15715586D-09  0.15715504D-09  0.15715486D-09  0.15715482D-09  0.15715482D-09  0.15715482D-09  0.15715482D-09  0.15715482D-09  0.15715482D-09  0.15715482D-09  0.15715482D-09  0.15715482D-09  0.15715482D-09  0.15715482D-09  0.15715482D-09  0.15715482D-09  0.15715482D-09  0.15715482D-09  0.15715482D-09  0.15715482D-09  0.15715482D-09  0.15715482D-09  0.15715482D-09
Fe          0.30393505D-09  0.31093463D-09  0.31861444D-09  0.32627525D-09  0.33384606D-09  0.34132169D-09  0.34870363D-09  0.35599375D-09  0.36319370D-09  0.37030493D-09  0.37732874D-09  0.39111883D-09  0.39788730D-09  0.40457277D-09  0.41769879D-09  0.42414130D-09  0.43679007D-09  0.44913014D-09  0.46707741D-09  0.47867743D-09  0.49554768D-09  0.51180238D-09  0.52746346D-09  0.54745799D-09  0.56648257D-09  0.58896794D-09  0.61009129D-09  0.63374980D-09  0.65568183D-09  0.67923914D-09  0.70368845D-09  0.72571830D-09  0.75017124D-09  0.77154456D-09  0.79360298D-09  0.81365510D-09  0.83143761D-09  0.84772062D-09  0.86185437D-09  0.87297700D-09  0.88179123D-09  0.88854964D-09  0.89303714D-09  0.89575269D-09  0.89680352D-09  0.89666921D-09  0.89564686D-09  0.89405676D-09  0.89218485D-09  0.89017242D-09  0.88821610D-09  0.88635822D-09  0.88467195D-09  0.88319154D-09  0.88188693D-09  0.88078846D-09  0.87988432D-09  0.87915724D-09  0.87859897D-09  0.87819561D-09  0.87793544D-09  0.87780338D-09  0.87778303D-09  0.87786081D-09  0.87802405D-09  0.87826379D-09  0.87857250D-09  0.87894683D-09  0.87938433D-09  0.87988353D-09  0.88044709D-09  0.88107490D-09  0.88176598D-09  0.88252290D-09  0.88334274D-09  0.88422413D-09  0.88516216D-09  0.88615155D-09  0.88718420D-09  0.88825271D-09  0.88934250D-09  0.89044093D-09  0.89153083D-09  0.89259271D-09  0.89360757D-09  0.89455357D-09  0.89541148D-09  0.89616424D-09  0.89680072D-09  0.89731683D-09  0.89771607D-09  0.89800862D-09  0.89820987D-09  0.89833858D-09  0.89841472D-09  0.89845631D-09  0.89847726D-09  0.89848697D-09  0.89849111D-09  0.89849274D-09  0.89849334D-09  0.89849349D-09  0.89849360D-09  0.89849363D-09  0.89849365D-09  0.89849365D-09  0.89849365D-09  0.89849365D-09  0.89849365D-09  0.89849365D-09  0.89849365D-09  0.89849365D-09  0.89849365D-09  0.89849365D-09  0.89849365D-09  0.89849365D-09  0.89849365D-09  0.89849365D-09  0.89849365D-09  0.89849365D-09  0.89849365D-09  0.89849365D-09  0.89849365D-09  0.89849365D-09
Mg          0.15047259D-08  0.15233482D-08  0.15435790D-08  0.15637523D-08  0.15836835D-08  0.16033557D-08  0.16227716D-08  0.16419357D-08  0.16608527D-08  0.16795269D-08  0.16979623D-08  0.17341312D-08  0.17518715D-08  0.17693865D-08  0.18037535D-08  0.18206114D-08  0.18536901D-08  0.18859384D-08  0.19328010D-08  0.19630667D-08  0.20070521D-08  0.20494000D-08  0.20901734D-08  0.21421928D-08  0.21916559D-08  0.22500832D-08  0.23049475D-08  0.23663830D-08  0.24233397D-08  0.24845464D-08  0.25481397D-08  0.26055443D-08  0.26694494D-08  0.27255525D-08  0.27838218D-08  0.28372837D-08  0.28852998D-08  0.29300544D-08  0.29699062D-08  0.30024095D-08  0.30295019D-08  0.30519398D-08  0.30688103D-08  0.30816055D-08  0.30899987D-08  0.30952183D-08  0.30981047D-08  0.30991091D-08  0.30988203D-08  0.30976458D-08  0.30959121D-08  0.30937835D-08  0.30914163D-08  0.30889335D-08  0.30863576D-08  0.30838354D-08  0.30814536D-08  0.30792802D-08  0.30773983D-08  0.30758583D-08  0.30746980D-08  0.30739219D-08  0.30735058D-08  0.30734149D-08  0.30736125D-08  0.30740627D-08  0.30747352D-08  0.30756130D-08  0.30766860D-08  0.30779509D-08  0.30794192D-08  0.30810988D-08  0.30829985D-08  0.30851399D-08  0.30875328D-08  0.30901950D-08  0.30931369D-08  0.30963717D-08  0.30999060D-08  0.31037516D-08  0.31078941D-08  0.31123225D-08  0.31169988D-08  0.31218581D-08  0.31268119D-08  0.31317242D-08  0.31364325D-08  0.31407497D-08  0.31445008D-08  0.31475564D-08  0.31498655D-08  0.31514691D-08  0.31524852D-08  0.31530705D-08  0.31533778D-08  0.31535259D-08  0.31535922D-08  0.31536200D-08  0.31536312D-08  0.31536356D-08  0.31536373D-08  0.31536378D-08  0.31536382D-08  0.31536383D-08  0.31536384D-08  0.31536384D-08  0.31536384D-08  0.31536384D-08  0.31536384D-08  0.31536384D-08  0.31536384D-08  0.31536384D-08  0.31536384D-08  0.31536384D-08  0.31536384D-08  0.31536384D-08  0.31536384D-08  0.31536384D-08  0.31536384D-08  0.31536384D-08  0.31536384D-08  0.31536384D-08  0.31536384D-08  0.31536384D-08
S           0.66584756D-07  0.66514037D-07  0.66461077D-07  0.66391344D-07  0.66307991D-07  0.66213228D-07  0.66108116D-07  0.65993385D-07  0.65869683D-07  0.65737642D-07  0.65597877D-07  0.65297558D-07  0.65138139D-07  0.64973259D-07  0.64629088D-07  0.64450707D-07  0.64083406D-07  0.63704475D-07  0.63119723D-07  0.62722017D-07  0.62117864D-07  0.61508562D-07  0.60897581D-07  0.60084737D-07  0.59277877D-07  0.58282063D-07  0.57303625D-07  0.56155132D-07  0.55036088D-07  0.53768449D-07  0.52369503D-07  0.51022668D-07  0.49410215D-07  0.47873793D-07  0.46125803D-07  0.44343716D-07  0.42546407D-07  0.40636528D-07  0.38657645D-07  0.36747280D-07  0.34829378D-07  0.32861242D-07  0.30968538D-07  0.29055935D-07  0.27293227D-07  0.25645256D-07  0.24063178D-07  0.22629486D-07  0.21362007D-07  0.20229196D-07  0.19266201D-07  0.18444864D-07  0.17766375D-07  0.17218694D-07  0.16768734D-07  0.16405750D-07  0.16104697D-07  0.15840969D-07  0.15596002D-07  0.15352890D-07  0.15100501D-07  0.14831481D-07  0.14540468D-07  0.14221995D-07  0.13878209D-07  0.13506845D-07  0.13109283D-07  0.12684922D-07  0.12235162D-07  0.11762021D-07  0.11264963D-07  0.10746831D-07  0.10211328D-07  0.96594803D-08  0.90964063D-08  0.85257812D-08  0.79532325D-08  0.73839558D-08  0.68240671D-08  0.62784036D-08  0.57543981D-08  0.52570681D-08  0.47921232D-08  0.43646446D-08  0.39780734D-08  0.36357245D-08  0.33391017D-08  0.30886994D-08  0.28833766D-08  0.27206004D-08  0.25965552D-08  0.25063371D-08  0.24442207D-08  0.24041217D-08  0.23800530D-08  0.23667374D-08  0.23600057D-08  0.23569238D-08  0.23556572D-08  0.23551947D-08  0.23550462D-08  0.23550151D-08  0.23549973D-08  0.23549934D-08  0.23549927D-08  0.23549926D-08  0.23549926D-08  0.23549926D-08  0.23549926D-08  0.23549926D-08  0.23549926D-08  0.23549926D-08  0.23549926D-08  0.23549926D-08  0.23549926D-08  0.23549926D-08  0.23549926D-08  0.23549926D-08  0.23549926D-08  0.23549926D-08  0.23549926D-08  0.23549926D-08  0.23549926D-08  0.23549926D-08
Si          0.88321490D-09  0.69246022D-09  0.55578070D-09  0.44692335D-09  0.36129155D-09  0.29566484D-09  0.24621653D-09  0.20936946D-09  0.18214379D-09  0.16217209D-09  0.14761693D-09  0.12947713D-09  0.12403367D-09  0.12015349D-09  0.11546381D-09  0.11410698D-09  0.11252173D-09  0.11180263D-09  0.11146450D-09  0.11145636D-09  0.11156689D-09  0.11173102D-09  0.11190841D-09  0.11214463D-09  0.11237469D-09  0.11265382D-09  0.11292606D-09  0.11324656D-09  0.11356220D-09  0.11392538D-09  0.11433380D-09  0.11473426D-09  0.11522184D-09  0.11569302D-09  0.11623477D-09  0.11679145D-09  0.11735623D-09  0.11795998D-09  0.11859086D-09  0.11920791D-09  0.11983964D-09  0.12050684D-09  0.12117418D-09  0.12188385D-09  0.12257990D-09  0.12327815D-09  0.12400359D-09  0.12471934D-09  0.12540836D-09  0.12607596D-09  0.12668367D-09  0.12722452D-09  0.12766801D-09  0.12798907D-09  0.12817298D-09  0.12819442D-09  0.12804124D-09  0.12770228D-09  0.12717188D-09  0.12644581D-09  0.12552922D-09  0.12443280D-09  0.12316427D-09  0.12171935D-09  0.12012001D-09  0.11836251D-09  0.11645580D-09  0.11439631D-09  0.11218767D-09  0.10983470D-09  0.10732774D-09  0.10467240D-09  0.10187776D-09  0.98938019D-10  0.95868280D-10  0.92676081D-10  0.89380501D-10  0.85999936D-10  0.82560862D-10  0.79085445D-10  0.75617178D-10  0.72190311D-10  0.68850638D-10  0.65647756D-10  0.62627057D-10  0.59840276D-10  0.57330666D-10  0.55136429D-10  0.53281921D-10  0.51775858D-10  0.50609109D-10  0.49754485D-10  0.49168782D-10  0.48798220D-10  0.48585006D-10  0.48475839D-10  0.48427926D-10  0.48411423D-10  0.48408352D-10  0.48409566D-10  0.48411306D-10  0.48412102D-10  0.48412939D-10  0.48413331D-10  0.48413487D-10  0.48413542D-10  0.48413558D-10  0.48413562D-10  0.48413563D-10  0.48413563D-10  0.48413563D-10  0.48413563D-10  0.48413563D-10  0.48413563D-10  0.48413563D-10  0.48413563D-10  0.48413563D-10  0.48413563D-10  0.48413563D-10  0.48413563D-10  0.48413563D-10  0.48413563D-10  0.48413563D-10  0.48413563D-10
O           0.60213140D-04  0.60194987D-04  0.60193444D-04  0.60194958D-04  0.60194042D-04  0.60190764D-04  0.60185920D-04  0.60180137D-04  0.60173820D-04  0.60167226D-04  0.60160512D-04  0.60147085D-04  0.60140471D-04  0.60133959D-04  0.60121290D-04  0.60115148D-04  0.60103258D-04  0.60091894D-04  0.60075813D-04  0.60065710D-04  0.60051428D-04  0.60038127D-04  0.60025727D-04  0.60010455D-04  0.59996458D-04  0.59980497D-04  0.59965962D-04  0.59950039D-04  0.59935422D-04  0.59919621D-04  0.59902770D-04  0.59886830D-04  0.59867772D-04  0.59849354D-04  0.59827811D-04  0.59804943D-04  0.59780728D-04  0.59753491D-04  0.59723361D-04  0.59692118D-04  0.59658236D-04  0.59620315D-04  0.59580146D-04  0.59534895D-04  0.59487820D-04  0.59437616D-04  0.59381727D-04  0.59321891D-04  0.59258367D-04  0.59188840D-04  0.59114944D-04  0.59034525D-04  0.58947978D-04  0.58855633D-04  0.58754415D-04  0.58645833D-04  0.58529066D-04  0.58402248D-04  0.58264583D-04  0.58114233D-04  0.57950352D-04  0.57772044D-04  0.57577407D-04  0.57362640D-04  0.57127795D-04  0.56869101D-04  0.56584701D-04  0.56270850D-04  0.55924735D-04  0.55543510D-04  0.55121519D-04  0.54654941D-04  0.54139951D-04  0.53569092D-04  0.52937826D-04  0.52239162D-04  0.51467585D-04  0.50616661D-04  0.49681402D-04  0.48655392D-04  0.47539036D-04  0.46331901D-04  0.45040632D-04  0.43678884D-04  0.42266019D-04  0.40833810D-04  0.39421051D-04  0.38074833D-04  0.36843191D-04  0.35769024D-04  0.34882592D-04  0.34195670D-04  0.33699396D-04  0.33367699D-04  0.33163802D-04  0.33049236D-04  0.32990757D-04  0.32963831D-04  0.32952728D-04  0.32948667D-04  0.32947362D-04  0.32947089D-04  0.32946933D-04  0.32946899D-04  0.32946894D-04  0.32946893D-04  0.32946893D-04  0.32946893D-04  0.32946893D-04  0.32946893D-04  0.32946893D-04  0.32946893D-04  0.32946893D-04  0.32946893D-04  0.32946893D-04  0.32946893D-04  0.32946893D-04  0.32946893D-04  0.32946893D-04  0.32946893D-04  0.32946893D-04  0.32946893D-04  0.32946893D-04  0.32946893D-04
N           0.38684512D-04  0.38611432D-04  0.38578611D-04  0.38559367D-04  0.38545581D-04  0.38534803D-04  0.38525872D-04  0.38518115D-04  0.38511118D-04  0.38504626D-04  0.38498480D-04  0.38486864D-04  0.38481293D-04  0.38475840D-04  0.38465230D-04  0.38460054D-04  0.38449933D-04  0.38440095D-04  0.38425826D-04  0.38416615D-04  0.38403212D-04  0.38390269D-04  0.38377742D-04  0.38361620D-04  0.38346082D-04  0.38327361D-04  0.38309295D-04  0.38288313D-04  0.38267930D-04  0.38244719D-04  0.38218731D-04  0.38193130D-04  0.38161465D-04  0.38130006D-04  0.38092374D-04  0.38051640D-04  0.38007742D-04  0.37957499D-04  0.37900877D-04  0.37841011D-04  0.37774754D-04  0.37698953D-04  0.37616785D-04  0.37521955D-04  0.37420832D-04  0.37310313D-04  0.37184179D-04  0.37045712D-04  0.36895072D-04  0.36726203D-04  0.36542514D-04  0.36338125D-04  0.36113480D-04  0.35869054D-04  0.35596284D-04  0.35298892D-04  0.34974559D-04  0.34618131D-04  0.34227571D-04  0.33798078D-04  0.33327944D-04  0.32815616D-04  0.32256975D-04  0.31642849D-04  0.30975579D-04  0.30247167D-04  0.29455781D-04  0.28595238D-04  0.27663091D-04  0.26658079D-04  0.25573228D-04  0.24408462D-04  0.23165745D-04  0.21840895D-04  0.20439701D-04  0.18965440D-04  0.17427843D-04  0.15837799D-04  0.14211709D-04  0.12565859D-04  0.10928614D-04  0.93257227D-05  0.77895362D-05  0.63540279D-05  0.50495052D-05  0.39050368D-05  0.29396747D-05  0.21623172D-05  0.15681332D-05  0.11399252D-05  0.85107478D-06  0.67001673D-06  0.56515288D-06  0.50925471D-06  0.48184329D-06  0.46948824D-06  0.46437648D-06  0.46243976D-06  0.46176922D-06  0.46155786D-06  0.46149741D-06  0.46148560D-06  0.46147899D-06  0.46147753D-06  0.46147724D-06  0.46147718D-06  0.46147717D-06  0.46147717D-06  0.46147717D-06  0.46147717D-06  0.46147717D-06  0.46147717D-06  0.46147717D-06  0.46147717D-06  0.46147717D-06  0.46147717D-06  0.46147717D-06  0.46147717D-06  0.46147717D-06  0.46147717D-06  0.46147717D-06  0.46147717D-06  0.46147717D-06  0.46147717D-06
He          0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01
