 Jspace =            1
    Gas temperature (K)  0.20E+03
 Total H density (cm-3)  0.10E+06
            0.00000000D+00  0.10000000D+03  0.20000000D+03  0.30000000D+03  0.40000000D+03  0.50000000D+03  0.60000000D+03  0.70000000D+03  0.80000000D+03  0.90000000D+03  0.10000000D+04  0.12000000D+04  0.13000000D+04  0.14000000D+04  0.16000000D+04  0.17000000D+04  0.19000000D+04  0.21000000D+04  0.24000000D+04  0.26000000D+04  0.29000000D+04  0.32000000D+04  0.35000000D+04  0.39000000D+04  0.43000000D+04  0.48000000D+04  0.53000000D+04  0.59000000D+04  0.65000000D+04  0.72000000D+04  0.80000000D+04  0.88000000D+04  0.98000000D+04  0.10800000D+05  0.12000000D+05  0.13300000D+05  0.14700000D+05  0.16300000D+05  0.18100000D+05  0.20000000D+05  0.22100000D+05  0.24500000D+05  0.27100000D+05  0.30100000D+05  0.33300000D+05  0.36800000D+05  0.40800000D+05  0.45200000D+05  0.50000000D+05  0.55400000D+05  0.61300000D+05  0.67900000D+05  0.75200000D+05  0.83200000D+05  0.92200000D+05  0.10210000D+06  0.11300000D+06  0.12510000D+06  0.13850000D+06  0.15340000D+06  0.16990000D+06  0.18810000D+06  0.20820000D+06  0.23060000D+06  0.25530000D+06  0.28270000D+06  0.31300000D+06  0.34660000D+06  0.38380000D+06  0.42490000D+06  0.47050000D+06  0.52100000D+06  0.57680000D+06  0.63870000D+06  0.70720000D+06  0.78310000D+06  0.86710000D+06  0.96010000D+06  0.10630000D+07  0.11771000D+07  0.13033000D+07  0.14431000D+07  0.15979000D+07  0.17692000D+07  0.19590000D+07  0.21691000D+07  0.24018000D+07  0.26594000D+07  0.29446000D+07  0.32604000D+07  0.36101000D+07  0.39973000D+07  0.44261000D+07  0.49008000D+07  0.54264000D+07  0.60084000D+07  0.66529000D+07  0.73664000D+07  0.81565000D+07  0.90313000D+07  0.10000000D+08  0.10630000D+08  0.11771000D+08  0.13033000D+08  0.14431000D+08  0.15979000D+08  0.17692000D+08  0.19590000D+08  0.21691000D+08  0.24018000D+08  0.26594000D+08  0.29446000D+08  0.32604000D+08  0.36101000D+08  0.39973000D+08  0.44261000D+08  0.49008000D+08  0.54264000D+08  0.60084000D+08  0.66529000D+08  0.73664000D+08  0.81565000D+08  0.90313000D+08  0.10000000D+09
H           0.10226114D-03  0.23224275D+00  0.40506621D+00  0.53373037D+00  0.62951836D+00  0.70083059D+00  0.75392107D+00  0.79344584D+00  0.82287117D+00  0.84477767D+00  0.86108657D+00  0.88226727D+00  0.88899667D+00  0.89400654D+00  0.90051298D+00  0.90258017D+00  0.90526488D+00  0.90675285D+00  0.90783957D+00  0.90817986D+00  0.90842839D+00  0.90853093D+00  0.90857325D+00  0.90859384D+00  0.90860017D+00  0.90860233D+00  0.90860282D+00  0.90860295D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00  0.90860297D+00
C           0.16934207D-07  0.42980624D-04  0.23366872D-04  0.19645646D-04  0.18907510D-04  0.18636133D-04  0.18466090D-04  0.18340019D-04  0.18243614D-04  0.18169727D-04  0.18113282D-04  0.18037827D-04  0.18013290D-04  0.17994838D-04  0.17970639D-04  0.17962899D-04  0.17952817D-04  0.17947221D-04  0.17943141D-04  0.17941870D-04  0.17940948D-04  0.17940572D-04  0.17940421D-04  0.17940350D-04  0.17940330D-04  0.17940324D-04  0.17940323D-04  0.17940323D-04  0.17940323D-04  0.17940323D-04  0.17940323D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04  0.17940324D-04
Fe          0.30393505D-09  0.55819987D-11  0.55853900D-11  0.55862989D-11  0.55865835D-11  0.55866049D-11  0.55864858D-11  0.55862858D-11  0.55860425D-11  0.55857828D-11  0.55855263D-11  0.55850720D-11  0.55848866D-11  0.55847312D-11  0.55845021D-11  0.55844216D-11  0.55843106D-11  0.55842456D-11  0.55841964D-11  0.55841807D-11  0.55841692D-11  0.55841644D-11  0.55841624D-11  0.55841614D-11  0.55841611D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11  0.55841610D-11
Mg          0.15047259D-08  0.26026001D-10  0.25857047D-10  0.25842463D-10  0.25841861D-10  0.25842420D-10  0.25842833D-10  0.25843074D-10  0.25843208D-10  0.25843281D-10  0.25843320D-10  0.25843347D-10  0.25843350D-10  0.25843350D-10  0.25843347D-10  0.25843345D-10  0.25843342D-10  0.25843339D-10  0.25843337D-10  0.25843336D-10  0.25843336D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10  0.25843335D-10
S           0.66584756D-07  0.25697943D-09  0.25934831D-09  0.25944010D-09  0.25934890D-09  0.25928049D-09  0.25923724D-09  0.25920870D-09  0.25918868D-09  0.25917406D-09  0.25916322D-09  0.25914920D-09  0.25914482D-09  0.25914161D-09  0.25913754D-09  0.25913628D-09  0.25913466D-09  0.25913376D-09  0.25913307D-09  0.25913284D-09  0.25913265D-09  0.25913256D-09  0.25913251D-09  0.25913248D-09  0.25913247D-09  0.25913246D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09  0.25913245D-09
Si          0.88321490D-09  0.25282179D-10  0.22166789D-10  0.21068486D-10  0.20523256D-10  0.20233759D-10  0.20070369D-10  0.19971592D-10  0.19907846D-10  0.19864461D-10  0.19833790D-10  0.19795247D-10  0.19783155D-10  0.19774164D-10  0.19762475D-10  0.19758754D-10  0.19753914D-10  0.19751228D-10  0.19749265D-10  0.19748651D-10  0.19748204D-10  0.19748020D-10  0.19747944D-10  0.19747908D-10  0.19747897D-10  0.19747893D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10  0.19747892D-10
O           0.60213140D-04  0.21784533D-03  0.23711411D-03  0.23958855D-03  0.23990242D-03  0.23993933D-03  0.23994172D-03  0.23994058D-03  0.23993966D-03  0.23993919D-03  0.23993902D-03  0.23993907D-03  0.23993916D-03  0.23993924D-03  0.23993938D-03  0.23993943D-03  0.23993950D-03  0.23993954D-03  0.23993957D-03  0.23993958D-03  0.23993959D-03  0.23993960D-03  0.23993960D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03  0.23993961D-03
N           0.38684512D-04  0.58178176D-04  0.61366767D-04  0.61888381D-04  0.61974775D-04  0.61989924D-04  0.61993260D-04  0.61994522D-04  0.61995329D-04  0.61995967D-04  0.61996498D-04  0.61997328D-04  0.61997652D-04  0.61997928D-04  0.61998363D-04  0.61998534D-04  0.61998805D-04  0.61999001D-04  0.61999201D-04  0.61999290D-04  0.61999381D-04  0.61999437D-04  0.61999473D-04  0.61999500D-04  0.61999514D-04  0.61999523D-04  0.61999527D-04  0.61999529D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04  0.61999530D-04
He          0.90000000D-01  0.90000000D-01  0.90000000D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01
