 Jspace =            1
    Gas temperature (K)  0.50E+02
 Total H density (cm-3)  0.10E+06
            0.00000000D+00  0.10000000D+03  0.20000000D+03  0.30000000D+03  0.40000000D+03  0.50000000D+03  0.60000000D+03  0.70000000D+03  0.80000000D+03  0.90000000D+03  0.10000000D+04  0.12000000D+04  0.13000000D+04  0.14000000D+04  0.16000000D+04  0.17000000D+04  0.19000000D+04  0.21000000D+04  0.24000000D+04  0.26000000D+04  0.29000000D+04  0.32000000D+04  0.35000000D+04  0.39000000D+04  0.43000000D+04  0.48000000D+04  0.53000000D+04  0.59000000D+04  0.65000000D+04  0.72000000D+04  0.80000000D+04  0.88000000D+04  0.98000000D+04  0.10800000D+05  0.12000000D+05  0.13300000D+05  0.14700000D+05  0.16300000D+05  0.18100000D+05  0.20000000D+05  0.22100000D+05  0.24500000D+05  0.27100000D+05  0.30100000D+05  0.33300000D+05  0.36800000D+05  0.40800000D+05  0.45200000D+05  0.50000000D+05  0.55400000D+05  0.61300000D+05  0.67900000D+05  0.75200000D+05  0.83200000D+05  0.92200000D+05  0.10210000D+06  0.11300000D+06  0.12510000D+06  0.13850000D+06  0.15340000D+06  0.16990000D+06  0.18810000D+06  0.20820000D+06  0.23060000D+06  0.25530000D+06  0.28270000D+06  0.31300000D+06  0.34660000D+06  0.38380000D+06  0.42490000D+06  0.47050000D+06  0.52100000D+06  0.57680000D+06  0.63870000D+06  0.70720000D+06  0.78310000D+06  0.86710000D+06  0.96010000D+06  0.10630000D+07  0.11771000D+07  0.13033000D+07  0.14431000D+07  0.15979000D+07  0.17692000D+07  0.19590000D+07  0.21691000D+07  0.24018000D+07  0.26594000D+07  0.29446000D+07  0.32604000D+07  0.36101000D+07  0.39973000D+07  0.44261000D+07  0.49008000D+07  0.54264000D+07  0.60084000D+07  0.66529000D+07  0.73664000D+07  0.81565000D+07  0.90313000D+07  0.10000000D+08  0.10630000D+08  0.11771000D+08  0.13033000D+08  0.14431000D+08  0.15979000D+08  0.17692000D+08  0.19590000D+08  0.21691000D+08  0.24018000D+08  0.26594000D+08  0.29446000D+08  0.32604000D+08  0.36101000D+08  0.39973000D+08  0.44261000D+08  0.49008000D+08  0.54264000D+08  0.60084000D+08  0.66529000D+08  0.73664000D+08  0.81565000D+08  0.90313000D+08  0.10000000D+09
H           0.10226114D-03  0.76575384D-01  0.14621708D+00  0.20964061D+00  0.26739992D+00  0.31999981D+00  0.36790052D+00  0.41152146D+00  0.45124478D+00  0.48741859D+00  0.52035994D+00  0.57767460D+00  0.60255041D+00  0.62520319D+00  0.66461649D+00  0.68172262D+00  0.71148531D+00  0.73616599D+00  0.76551519D+00  0.78097013D+00  0.79934845D+00  0.81322656D+00  0.82370637D+00  0.83380110D+00  0.84074269D+00  0.84645518D+00  0.85003226D+00  0.85260752D+00  0.85407599D+00  0.85501263D+00  0.85554594D+00  0.85579812D+00  0.85593563D+00  0.85598955D+00  0.85601302D+00  0.85602098D+00  0.85602342D+00  0.85602412D+00  0.85602429D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00  0.85602432D+00
C           0.16934207D-07  0.30683481D-04  0.39382316D-04  0.44119254D-04  0.48204862D-04  0.51658773D-04  0.54349377D-04  0.56326406D-04  0.57718687D-04  0.58661912D-04  0.59272508D-04  0.59841771D-04  0.59922076D-04  0.59921228D-04  0.59777371D-04  0.59667615D-04  0.59421767D-04  0.59175006D-04  0.58843660D-04  0.58656787D-04  0.58426478D-04  0.58248201D-04  0.58111751D-04  0.57979211D-04  0.57887597D-04  0.57811989D-04  0.57764574D-04  0.57730422D-04  0.57710951D-04  0.57698543D-04  0.57691488D-04  0.57688160D-04  0.57686352D-04  0.57685646D-04  0.57685342D-04  0.57685239D-04  0.57685209D-04  0.57685200D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04  0.57685198D-04
Fe          0.30393505D-09  0.14171818D-10  0.13467712D-10  0.13524111D-10  0.13544927D-10  0.13554898D-10  0.13560264D-10  0.13563237D-10  0.13564796D-10  0.13565451D-10  0.13565498D-10  0.13564461D-10  0.13563595D-10  0.13562591D-10  0.13560360D-10  0.13559196D-10  0.13556884D-10  0.13554681D-10  0.13551710D-10  0.13549984D-10  0.13547778D-10  0.13545996D-10  0.13544580D-10  0.13543157D-10  0.13542143D-10  0.13541286D-10  0.13540738D-10  0.13540339D-10  0.13540109D-10  0.13539962D-10  0.13539878D-10  0.13539838D-10  0.13539817D-10  0.13539808D-10  0.13539804D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10  0.13539803D-10
Mg          0.15047259D-08  0.22654169D-09  0.82341537D-10  0.82332119D-10  0.82332103D-10  0.82332807D-10  0.82333593D-10  0.82334319D-10  0.82334960D-10  0.82335521D-10  0.82336011D-10  0.82336825D-10  0.82337163D-10  0.82337464D-10  0.82337966D-10  0.82338173D-10  0.82338513D-10  0.82338773D-10  0.82339054D-10  0.82339189D-10  0.82339341D-10  0.82339449D-10  0.82339528D-10  0.82339601D-10  0.82339651D-10  0.82339691D-10  0.82339716D-10  0.82339733D-10  0.82339743D-10  0.82339750D-10  0.82339754D-10  0.82339755D-10  0.82339756D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10  0.82339757D-10
S           0.66584756D-07  0.16352184D-08  0.61466295D-09  0.62087870D-09  0.62293286D-09  0.62368511D-09  0.62398338D-09  0.62409200D-09  0.62411099D-09  0.62408501D-09  0.62403659D-09  0.62391616D-09  0.62385515D-09  0.62379718D-09  0.62369444D-09  0.62365028D-09  0.62357580D-09  0.62351759D-09  0.62345428D-09  0.62342411D-09  0.62339154D-09  0.62336955D-09  0.62335455D-09  0.62334148D-09  0.62333329D-09  0.62332705D-09  0.62332337D-09  0.62332083D-09  0.62331941D-09  0.62331852D-09  0.62331802D-09  0.62331778D-09  0.62331764D-09  0.62331759D-09  0.62331757D-09  0.62331756D-09  0.62331756D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331755D-09  0.62331756D-09  0.62331756D-09  0.62331756D-09
Si          0.88321490D-09  0.62665394D-10  0.52721603D-10  0.51161007D-10  0.50640462D-10  0.50422491D-10  0.50303292D-10  0.50216377D-10  0.50138789D-10  0.50063220D-10  0.49988177D-10  0.49842224D-10  0.49773278D-10  0.49708035D-10  0.49590157D-10  0.49537754D-10  0.49445576D-10  0.49368792D-10  0.49277897D-10  0.49230485D-10  0.49174710D-10  0.49133120D-10  0.49102054D-10  0.49072427D-10  0.49052230D-10  0.49035720D-10  0.49025433D-10  0.49018052D-10  0.49013853D-10  0.49011179D-10  0.49009658D-10  0.49008940D-10  0.49008548D-10  0.49008395D-10  0.49008328D-10  0.49008306D-10  0.49008299D-10  0.49008297D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10  0.49008296D-10
O           0.60213140D-04  0.11626718D-03  0.15055772D-03  0.17528017D-03  0.19313080D-03  0.20602376D-03  0.21533793D-03  0.22206756D-03  0.22693021D-03  0.23044400D-03  0.23298314D-03  0.23614385D-03  0.23710191D-03  0.23779416D-03  0.23865567D-03  0.23891671D-03  0.23924150D-03  0.23941095D-03  0.23952613D-03  0.23955945D-03  0.23958213D-03  0.23959071D-03  0.23959399D-03  0.23959550D-03  0.23959596D-03  0.23959616D-03  0.23959624D-03  0.23959630D-03  0.23959633D-03  0.23959636D-03  0.23959638D-03  0.23959639D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03  0.23959640D-03
N           0.38684512D-04  0.50694738D-04  0.56519549D-04  0.59336392D-04  0.60700834D-04  0.61362325D-04  0.61683416D-04  0.61839598D-04  0.61915843D-04  0.61953305D-04  0.61971922D-04  0.61986306D-04  0.61989039D-04  0.61990668D-04  0.61992499D-04  0.61993100D-04  0.61994037D-04  0.61994777D-04  0.61995666D-04  0.61996151D-04  0.61996754D-04  0.61997238D-04  0.61997629D-04  0.61998038D-04  0.61998349D-04  0.61998636D-04  0.61998842D-04  0.61999014D-04  0.61999129D-04  0.61999217D-04  0.61999280D-04  0.61999317D-04  0.61999343D-04  0.61999356D-04  0.61999365D-04  0.61999369D-04  0.61999370D-04  0.61999371D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04  0.61999372D-04
He          0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01
