 Jspace =            1
    Gas temperature (K)  0.50E+02
 Total H density (cm-3)  0.10E+07
            0.00000000D+00  0.10000000D+03  0.20000000D+03  0.30000000D+03  0.40000000D+03  0.50000000D+03  0.60000000D+03  0.70000000D+03  0.80000000D+03  0.90000000D+03  0.10000000D+04  0.12000000D+04  0.13000000D+04  0.14000000D+04  0.16000000D+04  0.17000000D+04  0.19000000D+04  0.21000000D+04  0.24000000D+04  0.26000000D+04  0.29000000D+04  0.32000000D+04  0.35000000D+04  0.39000000D+04  0.43000000D+04  0.48000000D+04  0.53000000D+04  0.59000000D+04  0.65000000D+04  0.72000000D+04  0.80000000D+04  0.88000000D+04  0.98000000D+04  0.10800000D+05  0.12000000D+05  0.13300000D+05  0.14700000D+05  0.16300000D+05  0.18100000D+05  0.20000000D+05  0.22100000D+05  0.24500000D+05  0.27100000D+05  0.30100000D+05  0.33300000D+05  0.36800000D+05  0.40800000D+05  0.45200000D+05  0.50000000D+05  0.55400000D+05  0.61300000D+05  0.67900000D+05  0.75200000D+05  0.83200000D+05  0.92200000D+05  0.10210000D+06  0.11300000D+06  0.12510000D+06  0.13850000D+06  0.15340000D+06  0.16990000D+06  0.18810000D+06  0.20820000D+06  0.23060000D+06  0.25530000D+06  0.28270000D+06  0.31300000D+06  0.34660000D+06  0.38380000D+06  0.42490000D+06  0.47050000D+06  0.52100000D+06  0.57680000D+06  0.63870000D+06  0.70720000D+06  0.78310000D+06  0.86710000D+06  0.96010000D+06  0.10630000D+07  0.11771000D+07  0.13033000D+07  0.14431000D+07  0.15979000D+07  0.17692000D+07  0.19590000D+07  0.21691000D+07  0.24018000D+07  0.26594000D+07  0.29446000D+07  0.32604000D+07  0.36101000D+07  0.39973000D+07  0.44261000D+07  0.49008000D+07  0.54264000D+07  0.60084000D+07  0.66529000D+07  0.73664000D+07  0.81565000D+07  0.90313000D+07  0.10000000D+08  0.10630000D+08  0.11771000D+08  0.13033000D+08  0.14431000D+08  0.15979000D+08  0.17692000D+08  0.19590000D+08  0.21691000D+08  0.24018000D+08  0.26594000D+08  0.29446000D+08  0.32604000D+08  0.36101000D+08  0.39973000D+08  0.44261000D+08  0.49008000D+08  0.54264000D+08  0.60084000D+08  0.66529000D+08  0.73664000D+08  0.81565000D+08  0.90313000D+08  0.10000000D+09
H           0.10226114D-03  0.72257878D-01  0.13053228D+00  0.17758124D+00  0.21555668D+00  0.24620230D+00  0.27092903D+00  0.29087764D+00  0.30696985D+00  0.31995015D+00  0.33041962D+00  0.34567337D+00  0.35116523D+00  0.35559401D+00  0.36204531D+00  0.36436755D+00  0.36774998D+00  0.36994515D+00  0.37188720D+00  0.37263810D+00  0.37330092D+00  0.37364878D+00  0.37383204D+00  0.37394840D+00  0.37399790D+00  0.37402204D+00  0.37403042D+00  0.37403371D+00  0.37403467D+00  0.37403499D+00  0.37403509D+00  0.37403512D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00  0.37403513D+00
C           0.16934207D-07  0.30568144D-06  0.59854449D-06  0.87261322D-06  0.11015069D-05  0.12818648D-05  0.14192173D-05  0.15215809D-05  0.15967691D-05  0.16514359D-05  0.16908858D-05  0.17394051D-05  0.17537829D-05  0.17639717D-05  0.17762266D-05  0.17797724D-05  0.17839616D-05  0.17859503D-05  0.17871133D-05  0.17873743D-05  0.17874894D-05  0.17874944D-05  0.17874765D-05  0.17874549D-05  0.17874424D-05  0.17874352D-05  0.17874325D-05  0.17874313D-05  0.17874310D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05  0.17874309D-05
Fe          0.30393505D-09  0.11643954D-10  0.12383449D-10  0.12647782D-10  0.12778266D-10  0.12852804D-10  0.12898968D-10  0.12929005D-10  0.12949184D-10  0.12963033D-10  0.12972679D-10  0.12984283D-10  0.12987715D-10  0.12990172D-10  0.12993206D-10  0.12994122D-10  0.12995263D-10  0.12995861D-10  0.12996275D-10  0.12996399D-10  0.12996486D-10  0.12996521D-10  0.12996536D-10  0.12996543D-10  0.12996546D-10  0.12996547D-10  0.12996547D-10  0.12996547D-10  0.12996547D-10  0.12996547D-10  0.12996547D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10  0.12996546D-10
Mg          0.15047259D-08  0.76215529D-10  0.78600347D-10  0.79413841D-10  0.79808841D-10  0.80032742D-10  0.80170863D-10  0.80260556D-10  0.80320760D-10  0.80362077D-10  0.80390868D-10  0.80425546D-10  0.80435824D-10  0.80443193D-10  0.80452317D-10  0.80455081D-10  0.80458536D-10  0.80460357D-10  0.80461627D-10  0.80462011D-10  0.80462285D-10  0.80462397D-10  0.80462444D-10  0.80462468D-10  0.80462476D-10  0.80462479D-10  0.80462480D-10  0.80462479D-10  0.80462479D-10  0.80462478D-10  0.80462478D-10  0.80462478D-10  0.80462478D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10  0.80462477D-10
S           0.66584756D-07  0.13772639D-09  0.19875495D-09  0.23391713D-09  0.25582695D-09  0.27013234D-09  0.27975671D-09  0.28636214D-09  0.29095744D-09  0.29418430D-09  0.29646496D-09  0.29923727D-09  0.30006028D-09  0.30064851D-09  0.30137059D-09  0.30158630D-09  0.30185140D-09  0.30198697D-09  0.30207729D-09  0.30210285D-09  0.30211970D-09  0.30212580D-09  0.30212800D-09  0.30212888D-09  0.30212909D-09  0.30212914D-09  0.30212914D-09  0.30212914D-09  0.30212914D-09  0.30212914D-09  0.30212914D-09  0.30212914D-09  0.30212914D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212914D-09  0.30212914D-09  0.30212914D-09  0.30212914D-09  0.30212914D-09  0.30212914D-09  0.30212914D-09  0.30212914D-09  0.30212914D-09  0.30212914D-09  0.30212914D-09  0.30212914D-09  0.30212914D-09  0.30212914D-09  0.30212914D-09  0.30212914D-09  0.30212914D-09  0.30212914D-09  0.30212914D-09  0.30212914D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212913D-09  0.30212914D-09  0.30212914D-09  0.30212914D-09  0.30212914D-09  0.30212914D-09  0.30212914D-09
Si          0.88321490D-09  0.19532574D-10  0.24323161D-10  0.26950608D-10  0.28527370D-10  0.29525117D-10  0.30177256D-10  0.30612058D-10  0.30905369D-10  0.31104425D-10  0.31239747D-10  0.31393586D-10  0.31435112D-10  0.31462586D-10  0.31491802D-10  0.31498753D-10  0.31504894D-10  0.31505903D-10  0.31504361D-10  0.31502992D-10  0.31501310D-10  0.31500199D-10  0.31499529D-10  0.31499060D-10  0.31498847D-10  0.31498739D-10  0.31498700D-10  0.31498684D-10  0.31498679D-10  0.31498678D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10  0.31498677D-10
O           0.60213140D-04  0.11761118D-03  0.15103866D-03  0.17506486D-03  0.19234723D-03  0.20478386D-03  0.21373597D-03  0.22018130D-03  0.22482274D-03  0.22816579D-03  0.23057415D-03  0.23356030D-03  0.23446202D-03  0.23511231D-03  0.23592004D-03  0.23616452D-03  0.23646882D-03  0.23662766D-03  0.23673670D-03  0.23676891D-03  0.23679126D-03  0.23680007D-03  0.23680363D-03  0.23680535D-03  0.23680591D-03  0.23680612D-03  0.23680618D-03  0.23680620D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03  0.23680621D-03
N           0.38684512D-04  0.61997717D-04  0.61999527D-04  0.61999819D-04  0.61999876D-04  0.61999894D-04  0.61999904D-04  0.61999911D-04  0.61999916D-04  0.61999920D-04  0.61999923D-04  0.61999928D-04  0.61999929D-04  0.61999930D-04  0.61999932D-04  0.61999933D-04  0.61999934D-04  0.61999934D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04  0.61999935D-04
He          0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01
