 Jspace =            1
    Gas temperature (K)  0.15E+03
 Total H density (cm-3)  0.10E+06
            0.00000000D+00  0.10000000D+03  0.20000000D+03  0.30000000D+03  0.40000000D+03  0.50000000D+03  0.60000000D+03  0.70000000D+03  0.80000000D+03  0.90000000D+03  0.10000000D+04  0.12000000D+04  0.13000000D+04  0.14000000D+04  0.16000000D+04  0.17000000D+04  0.19000000D+04  0.21000000D+04  0.24000000D+04  0.26000000D+04  0.29000000D+04  0.32000000D+04  0.35000000D+04  0.39000000D+04  0.43000000D+04  0.48000000D+04  0.53000000D+04  0.59000000D+04  0.65000000D+04  0.72000000D+04  0.80000000D+04  0.88000000D+04  0.98000000D+04  0.10800000D+05  0.12000000D+05  0.13300000D+05  0.14700000D+05  0.16300000D+05  0.18100000D+05  0.20000000D+05  0.22100000D+05  0.24500000D+05  0.27100000D+05  0.30100000D+05  0.33300000D+05  0.36800000D+05  0.40800000D+05  0.45200000D+05  0.50000000D+05  0.55400000D+05  0.61300000D+05  0.67900000D+05  0.75200000D+05  0.83200000D+05  0.92200000D+05  0.10210000D+06  0.11300000D+06  0.12510000D+06  0.13850000D+06  0.15340000D+06  0.16990000D+06  0.18810000D+06  0.20820000D+06  0.23060000D+06  0.25530000D+06  0.28270000D+06  0.31300000D+06  0.34660000D+06  0.38380000D+06  0.42490000D+06  0.47050000D+06  0.52100000D+06  0.57680000D+06  0.63870000D+06  0.70720000D+06  0.78310000D+06  0.86710000D+06  0.96010000D+06  0.10630000D+07  0.11771000D+07  0.13033000D+07  0.14431000D+07  0.15979000D+07  0.17692000D+07  0.19590000D+07  0.21691000D+07  0.24018000D+07  0.26594000D+07  0.29446000D+07  0.32604000D+07  0.36101000D+07  0.39973000D+07  0.44261000D+07  0.49008000D+07  0.54264000D+07  0.60084000D+07  0.66529000D+07  0.73664000D+07  0.81565000D+07  0.90313000D+07  0.10000000D+08  0.10630000D+08  0.11771000D+08  0.13033000D+08  0.14431000D+08  0.15979000D+08  0.17692000D+08  0.19590000D+08  0.21691000D+08  0.24018000D+08  0.26594000D+08  0.29446000D+08  0.32604000D+08  0.36101000D+08  0.39973000D+08  0.44261000D+08  0.49008000D+08  0.54264000D+08  0.60084000D+08  0.66529000D+08  0.73664000D+08  0.81565000D+08  0.90313000D+08  0.10000000D+09
H           0.10226114D-03  0.76214612D-01  0.14483914D+00  0.20671963D+00  0.26251815D+00  0.31283206D+00  0.35820017D+00  0.39910848D+00  0.43599533D+00  0.46925595D+00  0.49924679D+00  0.55067327D+00  0.57266007D+00  0.59248536D+00  0.62648049D+00  0.64101470D+00  0.66593703D+00  0.68620000D+00  0.70971797D+00  0.72179595D+00  0.73580749D+00  0.74608013D+00  0.75361176D+00  0.76062659D+00  0.76526421D+00  0.76891839D+00  0.77109751D+00  0.77258576D+00  0.77338635D+00  0.77386658D+00  0.77412211D+00  0.77423385D+00  0.77428976D+00  0.77430960D+00  0.77431735D+00  0.77431965D+00  0.77432026D+00  0.77432042D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00  0.77432045D+00
C           0.16934207D-07  0.63085770D-07  0.63734353D-07  0.67811160D-07  0.72542464D-07  0.76811675D-07  0.80270633D-07  0.82904596D-07  0.84824782D-07  0.86173900D-07  0.87086666D-07  0.88031845D-07  0.88221760D-07  0.88296614D-07  0.88239040D-07  0.88152386D-07  0.87931913D-07  0.87696714D-07  0.87374718D-07  0.87193450D-07  0.86972922D-07  0.86805839D-07  0.86681134D-07  0.86563703D-07  0.86485539D-07  0.86423721D-07  0.86386777D-07  0.86361520D-07  0.86347927D-07  0.86339775D-07  0.86335443D-07  0.86333553D-07  0.86332614D-07  0.86332286D-07  0.86332165D-07  0.86332136D-07  0.86332136D-07  0.86332143D-07  0.86332153D-07  0.86332162D-07  0.86332170D-07  0.86332178D-07  0.86332185D-07  0.86332192D-07  0.86332197D-07  0.86332202D-07  0.86332206D-07  0.86332208D-07  0.86332211D-07  0.86332212D-07  0.86332214D-07  0.86332214D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07  0.86332215D-07
Fe          0.30393505D-09  0.24562266D-11  0.33139647D-11  0.37458577D-11  0.39954410D-11  0.41512119D-11  0.42531356D-11  0.43218990D-11  0.43692522D-11  0.44023229D-11  0.44256454D-11  0.44540217D-11  0.44624803D-11  0.44685497D-11  0.44760495D-11  0.44783080D-11  0.44811042D-11  0.44825517D-11  0.44835217D-11  0.44837947D-11  0.44839712D-11  0.44840300D-11  0.44840462D-11  0.44840471D-11  0.44840427D-11  0.44840374D-11  0.44840338D-11  0.44840313D-11  0.44840299D-11  0.44840291D-11  0.44840287D-11  0.44840286D-11  0.44840286D-11  0.44840286D-11  0.44840287D-11  0.44840288D-11  0.44840288D-11  0.44840289D-11  0.44840290D-11  0.44840291D-11  0.44840292D-11  0.44840292D-11  0.44840293D-11  0.44840294D-11  0.44840294D-11  0.44840295D-11  0.44840295D-11  0.44840295D-11  0.44840295D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11  0.44840296D-11
Mg          0.15047259D-08  0.17376095D-10  0.21453426D-10  0.23238449D-10  0.24202582D-10  0.24781684D-10  0.25151777D-10  0.25397721D-10  0.25565427D-10  0.25681806D-10  0.25763555D-10  0.25862770D-10  0.25892343D-10  0.25913595D-10  0.25939966D-10  0.25947967D-10  0.25957978D-10  0.25963278D-10  0.25966995D-10  0.25968136D-10  0.25968986D-10  0.25969372D-10  0.25969567D-10  0.25969703D-10  0.25969778D-10  0.25969833D-10  0.25969864D-10  0.25969886D-10  0.25969898D-10  0.25969905D-10  0.25969909D-10  0.25969910D-10  0.25969911D-10  0.25969912D-10  0.25969912D-10  0.25969912D-10  0.25969913D-10  0.25969913D-10  0.25969913D-10  0.25969914D-10  0.25969914D-10  0.25969914D-10  0.25969914D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10  0.25969915D-10
S           0.66584756D-07  0.85678288D-11  0.13943977D-10  0.17710723D-10  0.20372543D-10  0.22264671D-10  0.23615157D-10  0.24581736D-10  0.25274819D-10  0.25772364D-10  0.26129755D-10  0.26570945D-10  0.26703344D-10  0.26798307D-10  0.26914978D-10  0.26949688D-10  0.26991896D-10  0.27012923D-10  0.27025940D-10  0.27029041D-10  0.27030441D-10  0.27030382D-10  0.27029941D-10  0.27029333D-10  0.27028867D-10  0.27028481D-10  0.27028249D-10  0.27028091D-10  0.27028007D-10  0.27027957D-10  0.27027931D-10  0.27027920D-10  0.27027916D-10  0.27027915D-10  0.27027916D-10  0.27027917D-10  0.27027919D-10  0.27027920D-10  0.27027922D-10  0.27027923D-10  0.27027924D-10  0.27027926D-10  0.27027927D-10  0.27027928D-10  0.27027928D-10  0.27027929D-10  0.27027930D-10  0.27027930D-10  0.27027930D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10  0.27027931D-10
Si          0.88321490D-09  0.14730489D-11  0.20278848D-11  0.24087868D-11  0.26716493D-11  0.28535941D-11  0.29795172D-11  0.30663896D-11  0.31259308D-11  0.31663104D-11  0.31932612D-11  0.32218470D-11  0.32283518D-11  0.32317619D-11  0.32330197D-11  0.32320687D-11  0.32287708D-11  0.32248363D-11  0.32192354D-11  0.32160496D-11  0.32121791D-11  0.32092650D-11  0.32071065D-11  0.32050899D-11  0.32037577D-11  0.32027103D-11  0.32020871D-11  0.32016623D-11  0.32014341D-11  0.32012974D-11  0.32012247D-11  0.32011931D-11  0.32011773D-11  0.32011718D-11  0.32011698D-11  0.32011693D-11  0.32011693D-11  0.32011694D-11  0.32011696D-11  0.32011697D-11  0.32011699D-11  0.32011700D-11  0.32011701D-11  0.32011702D-11  0.32011703D-11  0.32011704D-11  0.32011705D-11  0.32011705D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11  0.32011706D-11
O           0.60213140D-04  0.11797002D-03  0.15180351D-03  0.17624673D-03  0.19390460D-03  0.20665977D-03  0.21587271D-03  0.22252650D-03  0.22733150D-03  0.23080093D-03  0.23330563D-03  0.23641809D-03  0.23735923D-03  0.23803794D-03  0.23887968D-03  0.23913349D-03  0.23944740D-03  0.23960930D-03  0.23971701D-03  0.23974698D-03  0.23976611D-03  0.23977235D-03  0.23977401D-03  0.23977409D-03  0.23977364D-03  0.23977312D-03  0.23977278D-03  0.23977254D-03  0.23977241D-03  0.23977234D-03  0.23977230D-03  0.23977228D-03  0.23977227D-03  0.23977227D-03  0.23977227D-03  0.23977228D-03  0.23977228D-03  0.23977228D-03  0.23977228D-03  0.23977228D-03  0.23977229D-03  0.23977229D-03  0.23977229D-03  0.23977229D-03  0.23977229D-03  0.23977229D-03  0.23977229D-03  0.23977229D-03  0.23977229D-03  0.23977229D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03  0.23977230D-03
N           0.38684512D-04  0.61997900D-04  0.61999679D-04  0.61999947D-04  0.61999988D-04  0.61999995D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04  0.61999996D-04
He          0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01
