 Jspace =            1
    Gas temperature (K)  0.10E+02
 Total H density (cm-3)  0.50E+05
            0.00000000D+00  0.10000000D+03  0.20000000D+03  0.30000000D+03  0.40000000D+03  0.50000000D+03  0.60000000D+03  0.70000000D+03  0.80000000D+03  0.90000000D+03  0.10000000D+04  0.12000000D+04  0.13000000D+04  0.14000000D+04  0.16000000D+04  0.17000000D+04  0.19000000D+04  0.21000000D+04  0.24000000D+04  0.26000000D+04  0.29000000D+04  0.32000000D+04  0.35000000D+04  0.39000000D+04  0.43000000D+04  0.48000000D+04  0.53000000D+04  0.59000000D+04  0.65000000D+04  0.72000000D+04  0.80000000D+04  0.88000000D+04  0.98000000D+04  0.10800000D+05  0.12000000D+05  0.13300000D+05  0.14700000D+05  0.16300000D+05  0.18100000D+05  0.20000000D+05  0.22100000D+05  0.24500000D+05  0.27100000D+05  0.30100000D+05  0.33300000D+05  0.36800000D+05  0.40800000D+05  0.45200000D+05  0.50000000D+05  0.55400000D+05  0.61300000D+05  0.67900000D+05  0.75200000D+05  0.83200000D+05  0.92200000D+05  0.10210000D+06  0.11300000D+06  0.12510000D+06  0.13850000D+06  0.15340000D+06  0.16990000D+06  0.18810000D+06  0.20820000D+06  0.23060000D+06  0.25530000D+06  0.28270000D+06  0.31300000D+06  0.34660000D+06  0.38380000D+06  0.42490000D+06  0.47050000D+06  0.52100000D+06  0.57680000D+06  0.63870000D+06  0.70720000D+06  0.78310000D+06  0.86710000D+06  0.96010000D+06  0.10630000D+07  0.11771000D+07  0.13033000D+07  0.14431000D+07  0.15979000D+07  0.17692000D+07  0.19590000D+07  0.21691000D+07  0.24018000D+07  0.26594000D+07  0.29446000D+07  0.32604000D+07  0.36101000D+07  0.39973000D+07  0.44261000D+07  0.49008000D+07  0.54264000D+07  0.60084000D+07  0.66529000D+07  0.73664000D+07  0.81565000D+07  0.90313000D+07  0.10000000D+08  0.10630000D+08  0.11771000D+08  0.13033000D+08  0.14431000D+08  0.15979000D+08  0.17692000D+08  0.19590000D+08  0.21691000D+08  0.24018000D+08  0.26594000D+08  0.29446000D+08  0.32604000D+08  0.36101000D+08  0.39973000D+08  0.44261000D+08  0.49008000D+08  0.54264000D+08  0.60084000D+08  0.66529000D+08  0.73664000D+08  0.81565000D+08  0.90313000D+08  0.10000000D+09
H           0.00000000D+00  0.56919270D-04  0.90959227D-04  0.11297398D-03  0.12734437D-03  0.13667316D-03  0.14273833D-03  0.14672794D-03  0.14939438D-03  0.15120071D-03  0.15243217D-03  0.15382433D-03  0.15417866D-03  0.15438456D-03  0.15449270D-03  0.15444314D-03  0.15421518D-03  0.15387968D-03  0.15327340D-03  0.15283541D-03  0.15215741D-03  0.15147071D-03  0.15078400D-03  0.14987440D-03  0.14897440D-03  0.14786442D-03  0.14677170D-03  0.14548333D-03  0.14421972D-03  0.14277607D-03  0.14116506D-03  0.13959343D-03  0.13768052D-03  0.13582014D-03  0.13364971D-03  0.13136542D-03  0.12897260D-03  0.12631065D-03  0.12339434D-03  0.12039204D-03  0.11715100D-03  0.11353256D-03  0.10970345D-03  0.10539263D-03  0.10091619D-03  0.96165114D-04  0.90929379D-04  0.85425020D-04  0.79745491D-04  0.73783301D-04  0.67801274D-04  0.61767793D-04  0.55877550D-04  0.50305151D-04  0.45030286D-04  0.40282995D-04  0.36123087D-04  0.32554711D-04  0.29591970D-04  0.27193487D-04  0.25318168D-04  0.23919553D-04  0.22937891D-04  0.22270129D-04  0.21803650D-04  0.21436665D-04  0.21126094D-04  0.20876742D-04  0.20699758D-04  0.20583009D-04  0.20503145D-04  0.20442179D-04  0.20389598D-04  0.20339911D-04  0.20290854D-04  0.20241309D-04  0.20190775D-04  0.20138803D-04  0.20085032D-04  0.20029012D-04  0.19970633D-04  0.19909639D-04  0.19845958D-04  0.19779588D-04  0.19710467D-04  0.19638783D-04  0.19564782D-04  0.19489044D-04  0.19412465D-04  0.19336396D-04  0.19262689D-04  0.19193619D-04  0.19131609D-04  0.19078863D-04  0.19036833D-04  0.19005861D-04  0.18985028D-04  0.18972378D-04  0.18965493D-04  0.18962152D-04  0.18960714D-04  0.18960322D-04  0.18960035D-04  0.18959948D-04  0.18959925D-04  0.18959920D-04  0.18959919D-04  0.18959919D-04  0.18959919D-04  0.18959919D-04  0.18959919D-04  0.18959919D-04  0.18959919D-04  0.18959919D-04  0.18959919D-04  0.18959919D-04  0.18959919D-04  0.18959919D-04  0.18959919D-04  0.18959919D-04  0.18959919D-04  0.18959919D-04  0.18959919D-04  0.18959919D-04
C           0.00000000D+00  0.93055736D-04  0.12119983D-03  0.13364278D-03  0.13999951D-03  0.14345381D-03  0.14539249D-03  0.14650461D-03  0.14714821D-03  0.14751315D-03  0.14770251D-03  0.14776113D-03  0.14768422D-03  0.14755653D-03  0.14718541D-03  0.14695686D-03  0.14644664D-03  0.14590081D-03  0.14507004D-03  0.14452050D-03  0.14370285D-03  0.14288876D-03  0.14207513D-03  0.14098870D-03  0.13989922D-03  0.13853216D-03  0.13715877D-03  0.13550207D-03  0.13383598D-03  0.13188086D-03  0.12963271D-03  0.12737184D-03  0.12453161D-03  0.12168068D-03  0.11825342D-03  0.11454382D-03  0.11056601D-03  0.10605887D-03  0.10105950D-03  0.95887779D-04  0.90323439D-04  0.84189001D-04  0.77844107D-04  0.70941696D-04  0.64094930D-04  0.57223115D-04  0.50143879D-04  0.43263680D-04  0.36756025D-04  0.30544907D-04  0.24919093D-04  0.19825413D-04  0.15384543D-04  0.11643906D-04  0.85004664D-05  0.59952756D-05  0.40536512D-05  0.25864848D-05  0.15273929D-05  0.80980170D-06  0.38369915D-06  0.18216190D-06  0.10246616D-06  0.66006115D-07  0.45404554D-07  0.32262672D-07  0.23306784D-07  0.16861181D-07  0.12149884D-07  0.87312937D-08  0.62632108D-08  0.45068382D-08  0.32787996D-08  0.24315260D-08  0.18569019D-08  0.14687780D-08  0.12044146D-08  0.10192141D-08  0.88387616D-09  0.77978359D-09  0.69621454D-09  0.62658075D-09  0.56714209D-09  0.51562593D-09  0.47048930D-09  0.43078279D-09  0.39579716D-09  0.36508297D-09  0.33833046D-09  0.31535400D-09  0.29605225D-09  0.28035864D-09  0.26816988D-09  0.25926966D-09  0.25322958D-09  0.24941457D-09  0.24713022D-09  0.24581591D-09  0.24509980D-09  0.24474227D-09  0.24458299D-09  0.24453841D-09  0.24450521D-09  0.24449488D-09  0.24449212D-09  0.24449150D-09  0.24449138D-09  0.24449136D-09  0.24449136D-09  0.24449136D-09  0.24449136D-09  0.24449136D-09  0.24449136D-09  0.24449136D-09  0.24449136D-09  0.24449136D-09  0.24449136D-09  0.24449136D-09  0.24449136D-09  0.24449136D-09  0.24449136D-09  0.24449136D-09  0.24449136D-09  0.24449136D-09
Fe          0.00000000D+00  0.38594071D-10  0.39696520D-10  0.42712501D-10  0.47478777D-10  0.52941141D-10  0.58357504D-10  0.63864669D-10  0.70224141D-10  0.78506368D-10  0.89972349D-10  0.12825087D-09  0.15803456D-09  0.19645438D-09  0.29907396D-09  0.36018156D-09  0.48666665D-09  0.59763391D-09  0.71111561D-09  0.75740079D-09  0.80294765D-09  0.83489276D-09  0.86065995D-09  0.88996327D-09  0.91576682D-09  0.94490538D-09  0.97178696D-09  0.10021678D-08  0.10312867D-08  0.10643368D-08  0.11014498D-08  0.11381965D-08  0.11838236D-08  0.12291333D-08  0.12829404D-08  0.13402429D-08  0.14004125D-08  0.14667451D-08  0.15377431D-08  0.16080609D-08  0.16799096D-08  0.17543027D-08  0.18257229D-08  0.18968472D-08  0.19604803D-08  0.20172980D-08  0.20683510D-08  0.21106408D-08  0.21440061D-08  0.21699563D-08  0.21887559D-08  0.22023478D-08  0.22120705D-08  0.22191841D-08  0.22245142D-08  0.22276610D-08  0.22273519D-08  0.22212138D-08  0.22061574D-08  0.21791577D-08  0.21382618D-08  0.20813946D-08  0.20018956D-08  0.18879576D-08  0.17358495D-08  0.15495013D-08  0.13428622D-08  0.11366572D-08  0.95392044D-09  0.80885287D-09  0.70332389D-09  0.63274609D-09  0.58931300D-09  0.56487973D-09  0.55293035D-09  0.54860838D-09  0.54870262D-09  0.55122202D-09  0.55500321D-09  0.55940583D-09  0.56407152D-09  0.56883229D-09  0.57360470D-09  0.57835034D-09  0.58305691D-09  0.58770218D-09  0.59226227D-09  0.59669435D-09  0.60094253D-09  0.60493591D-09  0.60859347D-09  0.61183377D-09  0.61458953D-09  0.61681885D-09  0.61851809D-09  0.61972358D-09  0.62050898D-09  0.62097337D-09  0.62122073D-09  0.62133873D-09  0.62138887D-09  0.62140242D-09  0.62141228D-09  0.62141526D-09  0.62141604D-09  0.62141621D-09  0.62141625D-09  0.62141625D-09  0.62141625D-09  0.62141625D-09  0.62141625D-09  0.62141625D-09  0.62141625D-09  0.62141625D-09  0.62141625D-09  0.62141625D-09  0.62141625D-09  0.62141625D-09  0.62141625D-09  0.62141625D-09  0.62141625D-09  0.62141625D-09  0.62141625D-09  0.62141625D-09
Mg          0.00000000D+00  0.31864022D-09  0.32435778D-09  0.33861585D-09  0.36086251D-09  0.38637283D-09  0.41149116D-09  0.43616810D-09  0.46287936D-09  0.49514734D-09  0.53685127D-09  0.66433270D-09  0.75708235D-09  0.87193777D-09  0.11626376D-08  0.13285147D-08  0.16611138D-08  0.19452923D-08  0.22333983D-08  0.23519520D-08  0.24703352D-08  0.25545980D-08  0.26233811D-08  0.27026110D-08  0.27732330D-08  0.28537033D-08  0.29283076D-08  0.30126608D-08  0.30932135D-08  0.31839728D-08  0.32847755D-08  0.33832774D-08  0.35037193D-08  0.36213194D-08  0.37585042D-08  0.39018232D-08  0.40494156D-08  0.42088732D-08  0.43759364D-08  0.45378282D-08  0.46996002D-08  0.48631397D-08  0.50161427D-08  0.51642303D-08  0.52925578D-08  0.54031206D-08  0.54983189D-08  0.55731048D-08  0.56282905D-08  0.56676020D-08  0.56929722D-08  0.57089548D-08  0.57191958D-08  0.57269314D-08  0.57342542D-08  0.57410478D-08  0.57453254D-08  0.57431012D-08  0.57288828D-08  0.56968749D-08  0.56420591D-08  0.55576597D-08  0.54274478D-08  0.52250085D-08  0.49372639D-08  0.45677150D-08  0.41455369D-08  0.37156693D-08  0.33243746D-08  0.30008722D-08  0.27533179D-08  0.25783330D-08  0.24641435D-08  0.23952398D-08  0.23574620D-08  0.23391369D-08  0.23321149D-08  0.23312171D-08  0.23334267D-08  0.23370860D-08  0.23413075D-08  0.23456561D-08  0.23499224D-08  0.23540108D-08  0.23578795D-08  0.23614894D-08  0.23648029D-08  0.23677710D-08  0.23703433D-08  0.23724752D-08  0.23741403D-08  0.23753435D-08  0.23761288D-08  0.23765740D-08  0.23767771D-08  0.23768334D-08  0.23768190D-08  0.23767839D-08  0.23767529D-08  0.23767333D-08  0.23767232D-08  0.23767201D-08  0.23767177D-08  0.23767169D-08  0.23767167D-08  0.23767166D-08  0.23767166D-08  0.23767166D-08  0.23767166D-08  0.23767166D-08  0.23767166D-08  0.23767166D-08  0.23767166D-08  0.23767166D-08  0.23767166D-08  0.23767166D-08  0.23767166D-08  0.23767166D-08  0.23767166D-08  0.23767166D-08  0.23767166D-08  0.23767166D-08  0.23767166D-08  0.23767166D-08
S           0.00000000D+00  0.22486660D-08  0.27297003D-08  0.33419038D-08  0.40327062D-08  0.47100226D-08  0.53199781D-08  0.58706812D-08  0.64060448D-08  0.69795315D-08  0.76429214D-08  0.94215731D-08  0.10607979D-07  0.12016416D-07  0.15432740D-07  0.17340049D-07  0.21176304D-07  0.24604774D-07  0.28599699D-07  0.30658895D-07  0.33231723D-07  0.35443200D-07  0.37413227D-07  0.39744499D-07  0.41793758D-07  0.44024692D-07  0.45948753D-07  0.47923435D-07  0.49597506D-07  0.51241370D-07  0.52792525D-07  0.54067368D-07  0.55361487D-07  0.56403938D-07  0.57413632D-07  0.58298434D-07  0.59087102D-07  0.59851631D-07  0.60598782D-07  0.61301458D-07  0.62005574D-07  0.62739924D-07  0.63468620D-07  0.64240056D-07  0.64996777D-07  0.65761326D-07  0.66569526D-07  0.67391684D-07  0.68219764D-07  0.69073209D-07  0.69915062D-07  0.70746320D-07  0.71531958D-07  0.72237844D-07  0.72852710D-07  0.73335270D-07  0.73668920D-07  0.73844938D-07  0.73850275D-07  0.73634289D-07  0.73027403D-07  0.71708500D-07  0.69397867D-07  0.66071027D-07  0.62126355D-07  0.58348061D-07  0.55729354D-07  0.54595247D-07  0.54285193D-07  0.53993873D-07  0.53396025D-07  0.52469331D-07  0.51245096D-07  0.49732708D-07  0.47950267D-07  0.45931396D-07  0.43739259D-07  0.41446768D-07  0.39124952D-07  0.36823495D-07  0.34585128D-07  0.32428259D-07  0.30365668D-07  0.28404342D-07  0.26545015D-07  0.24792491D-07  0.23150085D-07  0.21625168D-07  0.20226437D-07  0.18964542D-07  0.17850827D-07  0.16895250D-07  0.16103546D-07  0.15475643D-07  0.15003342D-07  0.14670471D-07  0.14453591D-07  0.14324634D-07  0.14255319D-07  0.14221919D-07  0.14207593D-07  0.14203694D-07  0.14200845D-07  0.14199978D-07  0.14199750D-07  0.14199699D-07  0.14199689D-07  0.14199687D-07  0.14199687D-07  0.14199687D-07  0.14199687D-07  0.14199687D-07  0.14199687D-07  0.14199687D-07  0.14199687D-07  0.14199687D-07  0.14199687D-07  0.14199687D-07  0.14199687D-07  0.14199687D-07  0.14199687D-07  0.14199687D-07  0.14199687D-07  0.14199687D-07
Si          0.00000000D+00  0.18633001D-09  0.22826980D-09  0.28846600D-09  0.36592641D-09  0.45481504D-09  0.55061153D-09  0.65328656D-09  0.76609368D-09  0.89364194D-09  0.10408250D-08  0.14120242D-08  0.16425712D-08  0.19042921D-08  0.25071593D-08  0.28333568D-08  0.34858152D-08  0.40856676D-08  0.48414533D-08  0.52604349D-08  0.57825690D-08  0.61850796D-08  0.64788962D-08  0.67387021D-08  0.68994998D-08  0.70242787D-08  0.71051259D-08  0.71718093D-08  0.72191919D-08  0.72593178D-08  0.72922026D-08  0.73158723D-08  0.73367151D-08  0.73508060D-08  0.73614709D-08  0.73675055D-08  0.73693544D-08  0.73671779D-08  0.73608190D-08  0.73509853D-08  0.73376141D-08  0.73202853D-08  0.73000722D-08  0.72758395D-08  0.72496852D-08  0.72213122D-08  0.71896234D-08  0.71558752D-08  0.71202364D-08  0.70809342D-08  0.70375087D-08  0.69856956D-08  0.69200166D-08  0.68310892D-08  0.66990399D-08  0.64983877D-08  0.61870613D-08  0.56999211D-08  0.49581256D-08  0.39038140D-08  0.26592434D-08  0.16362258D-08  0.10716986D-08  0.79288830D-09  0.64717536D-09  0.56826911D-09  0.52503148D-09  0.49568806D-09  0.46777227D-09  0.43860275D-09  0.40904063D-09  0.38010637D-09  0.35239113D-09  0.32611675D-09  0.30160446D-09  0.27900592D-09  0.25843361D-09  0.23985495D-09  0.22316523D-09  0.20815702D-09  0.19466678D-09  0.18246689D-09  0.17137486D-09  0.16123442D-09  0.15190276D-09  0.14329374D-09  0.13534162D-09  0.12802283D-09  0.12133818D-09  0.11531249D-09  0.10998584D-09  0.10540112D-09  0.10158789D-09  0.98552003D-10  0.96261615D-10  0.94645431D-10  0.93594208D-10  0.92972793D-10  0.92642522D-10  0.92486315D-10  0.92421237D-10  0.92404169D-10  0.92392297D-10  0.92389035D-10  0.92388326D-10  0.92388222D-10  0.92388221D-10  0.92388225D-10  0.92388227D-10  0.92388227D-10  0.92388227D-10  0.92388227D-10  0.92388227D-10  0.92388227D-10  0.92388227D-10  0.92388227D-10  0.92388228D-10  0.92388228D-10  0.92388228D-10  0.92388228D-10  0.92388228D-10  0.92388228D-10  0.92388228D-10  0.92388228D-10
O           0.24000000D-03  0.23692679D-03  0.23449814D-03  0.23269338D-03  0.23131786D-03  0.23025332D-03  0.22941654D-03  0.22874529D-03  0.22819350D-03  0.22772795D-03  0.22732501D-03  0.22664448D-03  0.22634601D-03  0.22606607D-03  0.22554457D-03  0.22529747D-03  0.22482299D-03  0.22436984D-03  0.22372058D-03  0.22330129D-03  0.22268255D-03  0.22206851D-03  0.22145496D-03  0.22063481D-03  0.21981097D-03  0.21877530D-03  0.21773290D-03  0.21647320D-03  0.21520413D-03  0.21371223D-03  0.21199330D-03  0.21026092D-03  0.20807902D-03  0.20588214D-03  0.20323128D-03  0.20034868D-03  0.19724087D-03  0.19369693D-03  0.18973622D-03  0.18560433D-03  0.18111748D-03  0.17611872D-03  0.17088724D-03  0.16511978D-03  0.15931256D-03  0.15338702D-03  0.14716512D-03  0.14098144D-03  0.13497796D-03  0.12906510D-03  0.12349800D-03  0.11820661D-03  0.11329659D-03  0.10881623D-03  0.10463942D-03  0.10083309D-03  0.97340050D-04  0.94083460D-04  0.91033878D-04  0.88150691D-04  0.85409500D-04  0.82759688D-04  0.80160987D-04  0.77619705D-04  0.75214753D-04  0.72974054D-04  0.70926051D-04  0.69059307D-04  0.67353905D-04  0.65786830D-04  0.64329937D-04  0.62968541D-04  0.61688920D-04  0.60469530D-04  0.59296644D-04  0.58152049D-04  0.57021653D-04  0.55891765D-04  0.54752536D-04  0.53593537D-04  0.52411664D-04  0.51200346D-04  0.49956236D-04  0.48677024D-04  0.47359144D-04  0.46003982D-04  0.44614447D-04  0.43200293D-04  0.41777772D-04  0.40372113D-04  0.39017977D-04  0.37757445D-04  0.36634313D-04  0.35687058D-04  0.34938859D-04  0.34391921D-04  0.34026156D-04  0.33804710D-04  0.33684231D-04  0.33625727D-04  0.33600514D-04  0.33593634D-04  0.33588602D-04  0.33587067D-04  0.33586664D-04  0.33586573D-04  0.33586556D-04  0.33586554D-04  0.33586554D-04  0.33586554D-04  0.33586554D-04  0.33586554D-04  0.33586554D-04  0.33586554D-04  0.33586554D-04  0.33586554D-04  0.33586554D-04  0.33586554D-04  0.33586554D-04  0.33586554D-04  0.33586554D-04  0.33586554D-04  0.33586554D-04  0.33586554D-04
N           0.62000000D-04  0.61918143D-04  0.61889995D-04  0.61870732D-04  0.61854976D-04  0.61842456D-04  0.61832609D-04  0.61824597D-04  0.61817729D-04  0.61811571D-04  0.61805869D-04  0.61795256D-04  0.61790156D-04  0.61785107D-04  0.61774992D-04  0.61769882D-04  0.61759533D-04  0.61749045D-04  0.61733054D-04  0.61722159D-04  0.61705483D-04  0.61688620D-04  0.61671811D-04  0.61649689D-04  0.61627928D-04  0.61601125D-04  0.61574615D-04  0.61543008D-04  0.61511474D-04  0.61474632D-04  0.61432312D-04  0.61389654D-04  0.61335753D-04  0.61281146D-04  0.61214658D-04  0.61141469D-04  0.61061379D-04  0.60968381D-04  0.60862127D-04  0.60748416D-04  0.60621301D-04  0.60474782D-04  0.60315326D-04  0.60131453D-04  0.59936694D-04  0.59726688D-04  0.59492119D-04  0.59242404D-04  0.58981277D-04  0.58702451D-04  0.58415850D-04  0.58116230D-04  0.57807617D-04  0.57491973D-04  0.57157823D-04  0.56806337D-04  0.56427280D-04  0.56003317D-04  0.55517356D-04  0.54947777D-04  0.54280550D-04  0.53510520D-04  0.52639288D-04  0.51673119D-04  0.50647314D-04  0.49585883D-04  0.48513759D-04  0.47428699D-04  0.46318147D-04  0.45168780D-04  0.43963301D-04  0.42693229D-04  0.41351429D-04  0.39922655D-04  0.38400637D-04  0.36774588D-04  0.35039214D-04  0.33189233D-04  0.31224583D-04  0.29143816D-04  0.26959794D-04  0.24682219D-04  0.22331153D-04  0.19933777D-04  0.17519710D-04  0.15130831D-04  0.12811515D-04  0.10612932D-04  0.85857843D-05  0.67773458D-05  0.52259266D-05  0.39549622D-05  0.29679676D-05  0.22479221D-05  0.17586967D-05  0.14519476D-05  0.12756818D-05  0.11832080D-05  0.11389490D-05  0.11196710D-05  0.11120614D-05  0.11101051D-05  0.11087310D-05  0.11083290D-05  0.11082262D-05  0.11082037D-05  0.11081995D-05  0.11081988D-05  0.11081988D-05  0.11081988D-05  0.11081988D-05  0.11081988D-05  0.11081988D-05  0.11081988D-05  0.11081988D-05  0.11081988D-05  0.11081988D-05  0.11081988D-05  0.11081988D-05  0.11081988D-05  0.11081988D-05  0.11081988D-05  0.11081988D-05  0.11081988D-05
He          0.90000000D-01  0.89999999D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01
