 Jspace =            1
    Gas temperature (K)  0.20E+03
 Total H density (cm-3)  0.50E+06
            0.00000000D+00  0.10000000D+03  0.20000000D+03  0.30000000D+03  0.40000000D+03  0.50000000D+03  0.60000000D+03  0.70000000D+03  0.80000000D+03  0.90000000D+03  0.10000000D+04  0.12000000D+04  0.13000000D+04  0.14000000D+04  0.16000000D+04  0.17000000D+04  0.19000000D+04  0.21000000D+04  0.24000000D+04  0.26000000D+04  0.29000000D+04  0.32000000D+04  0.35000000D+04  0.39000000D+04  0.43000000D+04  0.48000000D+04  0.53000000D+04  0.59000000D+04  0.65000000D+04  0.72000000D+04  0.80000000D+04  0.88000000D+04  0.98000000D+04  0.10800000D+05  0.12000000D+05  0.13300000D+05  0.14700000D+05  0.16300000D+05  0.18100000D+05  0.20000000D+05  0.22100000D+05  0.24500000D+05  0.27100000D+05  0.30100000D+05  0.33300000D+05  0.36800000D+05  0.40800000D+05  0.45200000D+05  0.50000000D+05  0.55400000D+05  0.61300000D+05  0.67900000D+05  0.75200000D+05  0.83200000D+05  0.92200000D+05  0.10210000D+06  0.11300000D+06  0.12510000D+06  0.13850000D+06  0.15340000D+06  0.16990000D+06  0.18810000D+06  0.20820000D+06  0.23060000D+06  0.25530000D+06  0.28270000D+06  0.31300000D+06  0.34660000D+06  0.38380000D+06  0.42490000D+06  0.47050000D+06  0.52100000D+06  0.57680000D+06  0.63870000D+06  0.70720000D+06  0.78310000D+06  0.86710000D+06  0.96010000D+06  0.10630000D+07  0.11771000D+07  0.13033000D+07  0.14431000D+07  0.15979000D+07  0.17692000D+07  0.19590000D+07  0.21691000D+07  0.24018000D+07  0.26594000D+07  0.29446000D+07  0.32604000D+07  0.36101000D+07  0.39973000D+07  0.44261000D+07  0.49008000D+07  0.54264000D+07  0.60084000D+07  0.66529000D+07  0.73664000D+07  0.81565000D+07  0.90313000D+07  0.10000000D+08  0.10630000D+08  0.11771000D+08  0.13033000D+08  0.14431000D+08  0.15979000D+08  0.17692000D+08  0.19590000D+08  0.21691000D+08  0.24018000D+08  0.26594000D+08  0.29446000D+08  0.32604000D+08  0.36101000D+08  0.39973000D+08  0.44261000D+08  0.49008000D+08  0.54264000D+08  0.60084000D+08  0.66529000D+08  0.73664000D+08  0.81565000D+08  0.90313000D+08  0.10000000D+09
H           0.10226114D-03  0.91862241D-04  0.82316503D-04  0.73641371D-04  0.66117275D-04  0.60426219D-04  0.56706633D-04  0.54630753D-04  0.53752193D-04  0.53726826D-04  0.54338761D-04  0.56931851D-04  0.58704679D-04  0.60681074D-04  0.64982262D-04  0.67204508D-04  0.71604733D-04  0.75777605D-04  0.81344613D-04  0.84511469D-04  0.88421681D-04  0.91392327D-04  0.93557185D-04  0.95467942D-04  0.96590224D-04  0.97316785D-04  0.97638685D-04  0.97784560D-04  0.97828271D-04  0.97839479D-04  0.97840277D-04  0.97839655D-04  0.97839327D-04  0.97839317D-04  0.97839395D-04  0.97839473D-04  0.97839534D-04  0.97839580D-04  0.97839613D-04  0.97839634D-04  0.97839647D-04  0.97839656D-04  0.97839661D-04  0.97839663D-04  0.97839664D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04  0.97839665D-04
C           0.16934207D-07  0.26089671D-05  0.46296967D-05  0.64970668D-05  0.82200500D-05  0.98749907D-05  0.11529051D-04  0.13160382D-04  0.14707156D-04  0.16132120D-04  0.17429705D-04  0.19676685D-04  0.20643954D-04  0.21516828D-04  0.23005222D-04  0.23633057D-04  0.24684932D-04  0.25500637D-04  0.26366222D-04  0.26755166D-04  0.27131656D-04  0.27334442D-04  0.27429042D-04  0.27465521D-04  0.27458551D-04  0.27436002D-04  0.27417415D-04  0.27404573D-04  0.27398791D-04  0.27396330D-04  0.27395604D-04  0.27395498D-04  0.27395527D-04  0.27395567D-04  0.27395603D-04  0.27395630D-04  0.27395649D-04  0.27395664D-04  0.27395675D-04  0.27395682D-04  0.27395687D-04  0.27395690D-04  0.27395692D-04  0.27395692D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04
Fe          0.30393505D-09  0.23645662D-09  0.13281466D-09  0.47276168D-10  0.24816272D-10  0.24795348D-10  0.30016474D-10  0.36437667D-10  0.42667418D-10  0.48274598D-10  0.53349608D-10  0.62719578D-10  0.67223792D-10  0.71643574D-10  0.80238777D-10  0.84412210D-10  0.92483623D-10  0.10011318D-09  0.11046356D-09  0.11645242D-09  0.12384779D-09  0.12928423D-09  0.13294556D-09  0.13571503D-09  0.13694521D-09  0.13742710D-09  0.13747373D-09  0.13740596D-09  0.13734670D-09  0.13731179D-09  0.13729802D-09  0.13729474D-09  0.13729443D-09  0.13729481D-09  0.13729524D-09  0.13729556D-09  0.13729580D-09  0.13729599D-09  0.13729612D-09  0.13729620D-09  0.13729625D-09  0.13729628D-09  0.13729630D-09  0.13729631D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09
Mg          0.15047259D-08  0.14060236D-08  0.10946052D-08  0.55753511D-09  0.20519354D-09  0.14615260D-09  0.16696868D-09  0.20006229D-09  0.23314469D-09  0.26301276D-09  0.28986664D-09  0.33891496D-09  0.36233313D-09  0.38523882D-09  0.42957847D-09  0.45100906D-09  0.49227729D-09  0.53108048D-09  0.58342969D-09  0.61358462D-09  0.65071304D-09  0.67795791D-09  0.69630791D-09  0.71021571D-09  0.71642321D-09  0.71888186D-09  0.71914096D-09  0.71881511D-09  0.71852304D-09  0.71834973D-09  0.71828098D-09  0.71826446D-09  0.71826281D-09  0.71826466D-09  0.71826673D-09  0.71826833D-09  0.71826951D-09  0.71827041D-09  0.71827104D-09  0.71827145D-09  0.71827171D-09  0.71827187D-09  0.71827196D-09  0.71827200D-09  0.71827203D-09  0.71827203D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09  0.71827204D-09
S           0.66584756D-07  0.53547729D-07  0.33397197D-07  0.12101617D-07  0.35924861D-08  0.28530606D-08  0.32574661D-08  0.38043548D-08  0.43132929D-08  0.47445575D-08  0.51143167D-08  0.57634231D-08  0.60658928D-08  0.63581990D-08  0.69155936D-08  0.71815609D-08  0.76883145D-08  0.81590328D-08  0.87864092D-08  0.91443549D-08  0.95823252D-08  0.99024804D-08  0.10118234D-07  0.10282829D-07  0.10357620D-07  0.10388694D-07  0.10393231D-07  0.10390356D-07  0.10387329D-07  0.10385454D-07  0.10384687D-07  0.10384494D-07  0.10384468D-07  0.10384483D-07  0.10384502D-07  0.10384516D-07  0.10384527D-07  0.10384535D-07  0.10384540D-07  0.10384544D-07  0.10384546D-07  0.10384548D-07  0.10384548D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07
Si          0.88321490D-09  0.17014683D-08  0.13907507D-08  0.87495846D-09  0.63308179D-09  0.54858449D-09  0.53277373D-09  0.54529500D-09  0.56599786D-09  0.58668359D-09  0.60588845D-09  0.64258040D-09  0.66087503D-09  0.67914752D-09  0.71525893D-09  0.73294360D-09  0.76722098D-09  0.79955033D-09  0.84309115D-09  0.86807421D-09  0.89873211D-09  0.92121011D-09  0.93642780D-09  0.94815919D-09  0.95363080D-09  0.95607600D-09  0.95659807D-09  0.95655526D-09  0.95643345D-09  0.95635665D-09  0.95633140D-09  0.95633009D-09  0.95633427D-09  0.95633751D-09  0.95633968D-09  0.95634097D-09  0.95634179D-09  0.95634238D-09  0.95634278D-09  0.95634303D-09  0.95634319D-09  0.95634329D-09  0.95634334D-09  0.95634336D-09  0.95634337D-09  0.95634338D-09  0.95634338D-09  0.95634338D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09  0.95634337D-09
O           0.60213140D-04  0.69205865D-04  0.74071823D-04  0.77223202D-04  0.79797647D-04  0.82119483D-04  0.84211694D-04  0.86082221D-04  0.87761062D-04  0.89277307D-04  0.90650153D-04  0.93012270D-04  0.94020072D-04  0.94923866D-04  0.96451378D-04  0.97089889D-04  0.98150113D-04  0.98961753D-04  0.99807934D-04  0.10017992D-03  0.10053049D-03  0.10071049D-03  0.10078724D-03  0.10080755D-03  0.10079121D-03  0.10076282D-03  0.10074169D-03  0.10072755D-03  0.10072115D-03  0.10071822D-03  0.10071707D-03  0.10071662D-03  0.10071631D-03  0.10071608D-03  0.10071588D-03  0.10071573D-03  0.10071561D-03  0.10071552D-03  0.10071545D-03  0.10071541D-03  0.10071539D-03  0.10071537D-03  0.10071536D-03  0.10071536D-03  0.10071536D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03
N           0.38684512D-04  0.40667232D-04  0.42637625D-04  0.44464036D-04  0.46103889D-04  0.47530368D-04  0.48742360D-04  0.49760211D-04  0.50613929D-04  0.51330728D-04  0.51931311D-04  0.52845381D-04  0.53184263D-04  0.53458944D-04  0.53851981D-04  0.53985708D-04  0.54158909D-04  0.54239130D-04  0.54249756D-04  0.54214438D-04  0.54133168D-04  0.54043795D-04  0.53962491D-04  0.53877424D-04  0.53819829D-04  0.53777849D-04  0.53757051D-04  0.53746525D-04  0.53742934D-04  0.53741855D-04  0.53741766D-04  0.53741900D-04  0.53742061D-04  0.53742180D-04  0.53742284D-04  0.53742363D-04  0.53742422D-04  0.53742467D-04  0.53742499D-04  0.53742520D-04  0.53742533D-04  0.53742541D-04  0.53742546D-04  0.53742548D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04  0.53742551D-04
He          0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01
