 Jspace =            1
    Gas temperature (K)  0.20E+03
 Total H density (cm-3)  0.10E+05
            0.00000000D+00  0.10000000D+03  0.20000000D+03  0.30000000D+03  0.40000000D+03  0.50000000D+03  0.60000000D+03  0.70000000D+03  0.80000000D+03  0.90000000D+03  0.10000000D+04  0.12000000D+04  0.13000000D+04  0.14000000D+04  0.16000000D+04  0.17000000D+04  0.19000000D+04  0.21000000D+04  0.24000000D+04  0.26000000D+04  0.29000000D+04  0.32000000D+04  0.35000000D+04  0.39000000D+04  0.43000000D+04  0.48000000D+04  0.53000000D+04  0.59000000D+04  0.65000000D+04  0.72000000D+04  0.80000000D+04  0.88000000D+04  0.98000000D+04  0.10800000D+05  0.12000000D+05  0.13300000D+05  0.14700000D+05  0.16300000D+05  0.18100000D+05  0.20000000D+05  0.22100000D+05  0.24500000D+05  0.27100000D+05  0.30100000D+05  0.33300000D+05  0.36800000D+05  0.40800000D+05  0.45200000D+05  0.50000000D+05  0.55400000D+05  0.61300000D+05  0.67900000D+05  0.75200000D+05  0.83200000D+05  0.92200000D+05  0.10210000D+06  0.11300000D+06  0.12510000D+06  0.13850000D+06  0.15340000D+06  0.16990000D+06  0.18810000D+06  0.20820000D+06  0.23060000D+06  0.25530000D+06  0.28270000D+06  0.31300000D+06  0.34660000D+06  0.38380000D+06  0.42490000D+06  0.47050000D+06  0.52100000D+06  0.57680000D+06  0.63870000D+06  0.70720000D+06  0.78310000D+06  0.86710000D+06  0.96010000D+06  0.10630000D+07  0.11771000D+07  0.13033000D+07  0.14431000D+07  0.15979000D+07  0.17692000D+07  0.19590000D+07  0.21691000D+07  0.24018000D+07  0.26594000D+07  0.29446000D+07  0.32604000D+07  0.36101000D+07  0.39973000D+07  0.44261000D+07  0.49008000D+07  0.54264000D+07  0.60084000D+07  0.66529000D+07  0.73664000D+07  0.81565000D+07  0.90313000D+07  0.10000000D+08  0.10630000D+08  0.11771000D+08  0.13033000D+08  0.14431000D+08  0.15979000D+08  0.17692000D+08  0.19590000D+08  0.21691000D+08  0.24018000D+08  0.26594000D+08  0.29446000D+08  0.32604000D+08  0.36101000D+08  0.39973000D+08  0.44261000D+08  0.49008000D+08  0.54264000D+08  0.60084000D+08  0.66529000D+08  0.73664000D+08  0.81565000D+08  0.90313000D+08  0.10000000D+09
H           0.10226114D-03  0.76980524D-01  0.14774823D+00  0.21289140D+00  0.27285749D+00  0.32805795D+00  0.37887148D+00  0.42564670D+00  0.46870454D+00  0.50834041D+00  0.54482629D+00  0.60932948D+00  0.63778934D+00  0.66398741D+00  0.71030281D+00  0.73073793D+00  0.76686507D+00  0.79747806D+00  0.83486390D+00  0.85509807D+00  0.87980885D+00  0.89908382D+00  0.91411873D+00  0.92915128D+00  0.93994509D+00  0.94926388D+00  0.95542326D+00  0.96012516D+00  0.96298597D+00  0.96494153D+00  0.96614762D+00  0.96676944D+00  0.96714212D+00  0.96730494D+00  0.96738450D+00  0.96741533D+00  0.96742627D+00  0.96742994D+00  0.96743097D+00  0.96743121D+00  0.96743126D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00  0.96743127D+00
C           0.16934207D-07  0.29606783D-04  0.32644976D-04  0.28310093D-04  0.22954385D-04  0.18375599D-04  0.14860840D-04  0.12270269D-04  0.10389751D-04  0.90305730D-05  0.80476965D-05  0.68162985D-05  0.64370698D-05  0.61583984D-05  0.57991084D-05  0.56840894D-05  0.55302809D-05  0.54379244D-05  0.53574941D-05  0.53238816D-05  0.52885999D-05  0.52636673D-05  0.52449538D-05  0.52264108D-05  0.52130420D-05  0.52014565D-05  0.51938478D-05  0.51881766D-05  0.51848863D-05  0.51828041D-05  0.51816716D-05  0.51811885D-05  0.51809740D-05  0.51809210D-05  0.51809178D-05  0.51809271D-05  0.51809345D-05  0.51809386D-05  0.51809402D-05  0.51809407D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05  0.51809409D-05
Fe          0.30393505D-09  0.75086400D-10  0.66185307D-11  0.50458574D-11  0.51670682D-11  0.52281830D-11  0.52626989D-11  0.52838809D-11  0.52975752D-11  0.53067365D-11  0.53130060D-11  0.53204124D-11  0.53225593D-11  0.53240679D-11  0.53258447D-11  0.53263289D-11  0.53268143D-11  0.53268987D-11  0.53266195D-11  0.53262790D-11  0.53256339D-11  0.53248862D-11  0.53240744D-11  0.53229364D-11  0.53217787D-11  0.53203644D-11  0.53190442D-11  0.53176434D-11  0.53164759D-11  0.53154103D-11  0.53145383D-11  0.53139572D-11  0.53135163D-11  0.53132750D-11  0.53131307D-11  0.53130627D-11  0.53130338D-11  0.53130224D-11  0.53130186D-11  0.53130176D-11  0.53130173D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11  0.53130172D-11
Mg          0.15047259D-08  0.93600179D-09  0.24810000D-09  0.43439108D-10  0.25340377D-10  0.24821820D-10  0.24875231D-10  0.24913846D-10  0.24938850D-10  0.24955733D-10  0.24967491D-10  0.24981966D-10  0.24986463D-10  0.24989834D-10  0.24994373D-10  0.24995920D-10  0.24998141D-10  0.24999626D-10  0.25001098D-10  0.25001788D-10  0.25002567D-10  0.25003149D-10  0.25003601D-10  0.25004063D-10  0.25004412D-10  0.25004736D-10  0.25004971D-10  0.25005171D-10  0.25005309D-10  0.25005416D-10  0.25005492D-10  0.25005538D-10  0.25005568D-10  0.25005584D-10  0.25005592D-10  0.25005596D-10  0.25005598D-10  0.25005598D-10  0.25005598D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10  0.25005599D-10
S           0.66584756D-07  0.95179771D-08  0.51014692D-09  0.19214223D-09  0.20072579D-09  0.20834270D-09  0.21302330D-09  0.21597973D-09  0.21791331D-09  0.21921173D-09  0.22009977D-09  0.22114361D-09  0.22144408D-09  0.22165467D-09  0.22190407D-09  0.22197425D-09  0.22205248D-09  0.22208267D-09  0.22208660D-09  0.22207745D-09  0.22205846D-09  0.22203931D-09  0.22202282D-09  0.22200622D-09  0.22199554D-09  0.22198898D-09  0.22198788D-09  0.22199099D-09  0.22199651D-09  0.22200369D-09  0.22201110D-09  0.22201685D-09  0.22202173D-09  0.22202464D-09  0.22202649D-09  0.22202740D-09  0.22202780D-09  0.22202797D-09  0.22202802D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09  0.22202804D-09
Si          0.88321490D-09  0.89351932D-10  0.32134557D-10  0.23319678D-10  0.19822723D-10  0.17737548D-10  0.16397952D-10  0.15494982D-10  0.14865111D-10  0.14414574D-10  0.14086062D-10  0.13660140D-10  0.13521336D-10  0.13414553D-10  0.13265805D-10  0.13213391D-10  0.13136051D-10  0.13082465D-10  0.13027373D-10  0.13000723D-10  0.12969925D-10  0.12946563D-10  0.12928418D-10  0.12910182D-10  0.12897031D-10  0.12885759D-10  0.12878526D-10  0.12873340D-10  0.12870519D-10  0.12868911D-10  0.12868199D-10  0.12868011D-10  0.12868029D-10  0.12868107D-10  0.12868183D-10  0.12868231D-10  0.12868255D-10  0.12868265D-10  0.12868269D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10  0.12868270D-10
O           0.60213140D-04  0.11703273D-03  0.15144910D-03  0.17599834D-03  0.19373784D-03  0.20655863D-03  0.21582323D-03  0.22251752D-03  0.22735433D-03  0.23084890D-03  0.23337358D-03  0.23651502D-03  0.23746675D-03  0.23815421D-03  0.23900942D-03  0.23926849D-03  0.23959093D-03  0.23975946D-03  0.23987486D-03  0.23990895D-03  0.23993325D-03  0.23994368D-03  0.23994879D-03  0.23995250D-03  0.23995477D-03  0.23995665D-03  0.23995787D-03  0.23995872D-03  0.23995914D-03  0.23995930D-03  0.23995927D-03  0.23995916D-03  0.23995901D-03  0.23995891D-03  0.23995883D-03  0.23995879D-03  0.23995877D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03  0.23995876D-03
N           0.38684512D-04  0.50698789D-04  0.56518798D-04  0.59340682D-04  0.60707296D-04  0.61368915D-04  0.61689402D-04  0.61844830D-04  0.61920365D-04  0.61957212D-04  0.61975312D-04  0.61988910D-04  0.61991345D-04  0.61992724D-04  0.61994166D-04  0.61994614D-04  0.61995305D-04  0.61995861D-04  0.61996551D-04  0.61996939D-04  0.61997434D-04  0.61997842D-04  0.61998178D-04  0.61998535D-04  0.61998811D-04  0.61999068D-04  0.61999253D-04  0.61999407D-04  0.61999509D-04  0.61999587D-04  0.61999640D-04  0.61999671D-04  0.61999692D-04  0.61999703D-04  0.61999710D-04  0.61999713D-04  0.61999715D-04  0.61999715D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04  0.61999716D-04
He          0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999997D-01  0.89999996D-01  0.89999995D-01  0.89999994D-01  0.89999993D-01  0.89999992D-01  0.89999991D-01  0.89999989D-01  0.89999988D-01  0.89999987D-01  0.89999986D-01  0.89999985D-01  0.89999984D-01  0.89999984D-01  0.89999983D-01  0.89999983D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01
