 Jspace =            1
    Gas temperature (K)  0.20E+03
 Total H density (cm-3)  0.50E+06
            0.00000000D+00  0.10000000D+03  0.20000000D+03  0.30000000D+03  0.40000000D+03  0.50000000D+03  0.60000000D+03  0.70000000D+03  0.80000000D+03  0.90000000D+03  0.10000000D+04  0.12000000D+04  0.13000000D+04  0.14000000D+04  0.16000000D+04  0.17000000D+04  0.19000000D+04  0.21000000D+04  0.24000000D+04  0.26000000D+04  0.29000000D+04  0.32000000D+04  0.35000000D+04  0.39000000D+04  0.43000000D+04  0.48000000D+04  0.53000000D+04  0.59000000D+04  0.65000000D+04  0.72000000D+04  0.80000000D+04  0.88000000D+04  0.98000000D+04  0.10800000D+05  0.12000000D+05  0.13300000D+05  0.14700000D+05  0.16300000D+05  0.18100000D+05  0.20000000D+05  0.22100000D+05  0.24500000D+05  0.27100000D+05  0.30100000D+05  0.33300000D+05  0.36800000D+05  0.40800000D+05  0.45200000D+05  0.50000000D+05  0.55400000D+05  0.61300000D+05  0.67900000D+05  0.75200000D+05  0.83200000D+05  0.92200000D+05  0.10210000D+06  0.11300000D+06  0.12510000D+06  0.13850000D+06  0.15340000D+06  0.16990000D+06  0.18810000D+06  0.20820000D+06  0.23060000D+06  0.25530000D+06  0.28270000D+06  0.31300000D+06  0.34660000D+06  0.38380000D+06  0.42490000D+06  0.47050000D+06  0.52100000D+06  0.57680000D+06  0.63870000D+06  0.70720000D+06  0.78310000D+06  0.86710000D+06  0.96010000D+06  0.10630000D+07  0.11771000D+07  0.13033000D+07  0.14431000D+07  0.15979000D+07  0.17692000D+07  0.19590000D+07  0.21691000D+07  0.24018000D+07  0.26594000D+07  0.29446000D+07  0.32604000D+07  0.36101000D+07  0.39973000D+07  0.44261000D+07  0.49008000D+07  0.54264000D+07  0.60084000D+07  0.66529000D+07  0.73664000D+07  0.81565000D+07  0.90313000D+07  0.10000000D+08  0.10630000D+08  0.11771000D+08  0.13033000D+08  0.14431000D+08  0.15979000D+08  0.17692000D+08  0.19590000D+08  0.21691000D+08  0.24018000D+08  0.26594000D+08  0.29446000D+08  0.32604000D+08  0.36101000D+08  0.39973000D+08  0.44261000D+08  0.49008000D+08  0.54264000D+08  0.60084000D+08  0.66529000D+08  0.73664000D+08  0.81565000D+08  0.90313000D+08  0.10000000D+09
H           0.10226114D-03  0.72181479D-01  0.13032905D+00  0.17723633D+00  0.21507410D+00  0.24559479D+00  0.27021268D+00  0.29006900D+00  0.30608449D+00  0.31900195D+00  0.32942057D+00  0.34460122D+00  0.35006755D+00  0.35447638D+00  0.36090027D+00  0.36321340D+00  0.36658374D+00  0.36877615D+00  0.37071585D+00  0.37146409D+00  0.37212608D+00  0.37247340D+00  0.37265561D+00  0.37277163D+00  0.37282072D+00  0.37284444D+00  0.37285254D+00  0.37285558D+00  0.37285641D+00  0.37285666D+00  0.37285672D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00  0.37285673D+00
C           0.16934207D-07  0.25802231D-05  0.37969956D-05  0.50608635D-05  0.61614671D-05  0.70481969D-05  0.77332252D-05  0.82492119D-05  0.86315754D-05  0.89117949D-05  0.91155481D-05  0.93688418D-05  0.94448441D-05  0.94991655D-05  0.95653879D-05  0.95848808D-05  0.96083445D-05  0.96198894D-05  0.96270207D-05  0.96287884D-05  0.96297517D-05  0.96299643D-05  0.96299663D-05  0.96299131D-05  0.96298724D-05  0.96298467D-05  0.96298365D-05  0.96298324D-05  0.96298312D-05  0.96298309D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05  0.96298308D-05
Fe          0.30393505D-09  0.56590939D-11  0.56306346D-11  0.56217364D-11  0.56176218D-11  0.56153792D-11  0.56140462D-11  0.56132129D-11  0.56126762D-11  0.56123244D-11  0.56120918D-11  0.56118359D-11  0.56117694D-11  0.56117266D-11  0.56116834D-11  0.56116741D-11  0.56116675D-11  0.56116685D-11  0.56116736D-11  0.56116770D-11  0.56116808D-11  0.56116832D-11  0.56116846D-11  0.56116856D-11  0.56116861D-11  0.56116863D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11  0.56116864D-11
Mg          0.15047259D-08  0.27172809D-10  0.26430936D-10  0.26197652D-10  0.26088021D-10  0.26027085D-10  0.25990037D-10  0.25966275D-10  0.25950510D-10  0.25939818D-10  0.25932459D-10  0.25923772D-10  0.25921264D-10  0.25919501D-10  0.25917389D-10  0.25916777D-10  0.25916050D-10  0.25915699D-10  0.25915489D-10  0.25915440D-10  0.25915416D-10  0.25915412D-10  0.25915414D-10  0.25915417D-10  0.25915419D-10  0.25915420D-10  0.25915420D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10  0.25915421D-10
S           0.66584756D-07  0.21533124D-09  0.23368671D-09  0.24048357D-09  0.24388363D-09  0.24583522D-09  0.24704373D-09  0.24782710D-09  0.24834974D-09  0.24870493D-09  0.24894918D-09  0.24923601D-09  0.24931794D-09  0.24937497D-09  0.24944201D-09  0.24946090D-09  0.24948256D-09  0.24949229D-09  0.24949729D-09  0.24949807D-09  0.24949806D-09  0.24949772D-09  0.24949741D-09  0.24949714D-09  0.24949701D-09  0.24949694D-09  0.24949692D-09  0.24949691D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09  0.24949690D-09
Si          0.88321490D-09  0.24150341D-10  0.23043305D-10  0.22826189D-10  0.22699686D-10  0.22608914D-10  0.22538718D-10  0.22482224D-10  0.22435732D-10  0.22397007D-10  0.22364557D-10  0.22314412D-10  0.22295210D-10  0.22279135D-10  0.22254530D-10  0.22245243D-10  0.22231187D-10  0.22221627D-10  0.22212800D-10  0.22209272D-10  0.22206071D-10  0.22204352D-10  0.22203435D-10  0.22202844D-10  0.22202591D-10  0.22202468D-10  0.22202425D-10  0.22202410D-10  0.22202405D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10  0.22202404D-10
O           0.60213140D-04  0.11756303D-03  0.15140319D-03  0.17580777D-03  0.19340545D-03  0.20609320D-03  0.21523977D-03  0.22183267D-03  0.22658423D-03  0.23000823D-03  0.23247520D-03  0.23553234D-03  0.23645406D-03  0.23711765D-03  0.23793901D-03  0.23818628D-03  0.23849199D-03  0.23864993D-03  0.23875583D-03  0.23878590D-03  0.23880593D-03  0.23881323D-03  0.23881586D-03  0.23881694D-03  0.23881719D-03  0.23881725D-03  0.23881726D-03  0.23881726D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03  0.23881725D-03
N           0.38684512D-04  0.61989005D-04  0.61991917D-04  0.61994043D-04  0.61995569D-04  0.61996659D-04  0.61997438D-04  0.61997994D-04  0.61998391D-04  0.61998675D-04  0.61998879D-04  0.61999130D-04  0.61999206D-04  0.61999261D-04  0.61999330D-04  0.61999351D-04  0.61999377D-04  0.61999392D-04  0.61999402D-04  0.61999406D-04  0.61999408D-04  0.61999409D-04  0.61999410D-04  0.61999410D-04  0.61999410D-04  0.61999410D-04  0.61999410D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04  0.61999411D-04
He          0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01
