 Jspace =            1
    Gas temperature (K)  0.20E+03
 Total H density (cm-3)  0.50E+06
            0.00000000D+00  0.10000000D+03  0.20000000D+03  0.30000000D+03  0.40000000D+03  0.50000000D+03  0.60000000D+03  0.70000000D+03  0.80000000D+03  0.90000000D+03  0.10000000D+04  0.12000000D+04  0.13000000D+04  0.14000000D+04  0.16000000D+04  0.17000000D+04  0.19000000D+04  0.21000000D+04  0.24000000D+04  0.26000000D+04  0.29000000D+04  0.32000000D+04  0.35000000D+04  0.39000000D+04  0.43000000D+04  0.48000000D+04  0.53000000D+04  0.59000000D+04  0.65000000D+04  0.72000000D+04  0.80000000D+04  0.88000000D+04  0.98000000D+04  0.10800000D+05  0.12000000D+05  0.13300000D+05  0.14700000D+05  0.16300000D+05  0.18100000D+05  0.20000000D+05  0.22100000D+05  0.24500000D+05  0.27100000D+05  0.30100000D+05  0.33300000D+05  0.36800000D+05  0.40800000D+05  0.45200000D+05  0.50000000D+05  0.55400000D+05  0.61300000D+05  0.67900000D+05  0.75200000D+05  0.83200000D+05  0.92200000D+05  0.10210000D+06  0.11300000D+06  0.12510000D+06  0.13850000D+06  0.15340000D+06  0.16990000D+06  0.18810000D+06  0.20820000D+06  0.23060000D+06  0.25530000D+06  0.28270000D+06  0.31300000D+06  0.34660000D+06  0.38380000D+06  0.42490000D+06  0.47050000D+06  0.52100000D+06  0.57680000D+06  0.63870000D+06  0.70720000D+06  0.78310000D+06  0.86710000D+06  0.96010000D+06  0.10630000D+07  0.11771000D+07  0.13033000D+07  0.14431000D+07  0.15979000D+07  0.17692000D+07  0.19590000D+07  0.21691000D+07  0.24018000D+07  0.26594000D+07  0.29446000D+07  0.32604000D+07  0.36101000D+07  0.39973000D+07  0.44261000D+07  0.49008000D+07  0.54264000D+07  0.60084000D+07  0.66529000D+07  0.73664000D+07  0.81565000D+07  0.90313000D+07  0.10000000D+08  0.10630000D+08  0.11771000D+08  0.13033000D+08  0.14431000D+08  0.15979000D+08  0.17692000D+08  0.19590000D+08  0.21691000D+08  0.24018000D+08  0.26594000D+08  0.29446000D+08  0.32604000D+08  0.36101000D+08  0.39973000D+08  0.44261000D+08  0.49008000D+08  0.54264000D+08  0.60084000D+08  0.66529000D+08  0.73664000D+08  0.81565000D+08  0.90313000D+08  0.10000000D+09
H           0.10226114D-03  0.91862202D-04  0.82316458D-04  0.73641328D-04  0.66117237D-04  0.60426184D-04  0.56706601D-04  0.54630723D-04  0.53752165D-04  0.53726799D-04  0.54338740D-04  0.56931831D-04  0.58704656D-04  0.60681051D-04  0.64982234D-04  0.67204478D-04  0.71604699D-04  0.75777569D-04  0.81344572D-04  0.84511424D-04  0.88421598D-04  0.91392125D-04  0.93557835D-04  0.95468378D-04  0.96590278D-04  0.97316758D-04  0.97638656D-04  0.97784515D-04  0.97828223D-04  0.97839429D-04  0.97840227D-04  0.97839606D-04  0.97839279D-04  0.97839269D-04  0.97839347D-04  0.97839425D-04  0.97839485D-04  0.97839531D-04  0.97839564D-04  0.97839585D-04  0.97839599D-04  0.97839607D-04  0.97839612D-04  0.97839615D-04  0.97839616D-04  0.97839616D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04  0.97839617D-04
C           0.16934207D-07  0.26089671D-05  0.46296968D-05  0.64970669D-05  0.82200501D-05  0.98749908D-05  0.11529051D-04  0.13160382D-04  0.14707156D-04  0.16132120D-04  0.17429705D-04  0.19676683D-04  0.20643953D-04  0.21516826D-04  0.23005220D-04  0.23633055D-04  0.24684930D-04  0.25500637D-04  0.26366221D-04  0.26755164D-04  0.27131649D-04  0.27334401D-04  0.27429095D-04  0.27465539D-04  0.27458536D-04  0.27435995D-04  0.27417412D-04  0.27404572D-04  0.27398791D-04  0.27396330D-04  0.27395604D-04  0.27395498D-04  0.27395527D-04  0.27395567D-04  0.27395603D-04  0.27395630D-04  0.27395649D-04  0.27395664D-04  0.27395675D-04  0.27395682D-04  0.27395687D-04  0.27395690D-04  0.27395692D-04  0.27395692D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04  0.27395693D-04
Fe          0.30393505D-09  0.23645663D-09  0.13281466D-09  0.47276166D-10  0.24816272D-10  0.24795351D-10  0.30016476D-10  0.36437662D-10  0.42667423D-10  0.48274598D-10  0.53349590D-10  0.62719574D-10  0.67223790D-10  0.71643571D-10  0.80238770D-10  0.84412204D-10  0.92483618D-10  0.10011318D-09  0.11046355D-09  0.11645240D-09  0.12384767D-09  0.12928376D-09  0.13294710D-09  0.13571592D-09  0.13694513D-09  0.13742699D-09  0.13747370D-09  0.13740594D-09  0.13734669D-09  0.13731179D-09  0.13729802D-09  0.13729474D-09  0.13729443D-09  0.13729481D-09  0.13729523D-09  0.13729556D-09  0.13729580D-09  0.13729598D-09  0.13729611D-09  0.13729620D-09  0.13729625D-09  0.13729628D-09  0.13729630D-09  0.13729631D-09  0.13729631D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09  0.13729632D-09
Mg          0.15047259D-08  0.14060236D-08  0.10946052D-08  0.55753506D-09  0.20519353D-09  0.14615265D-09  0.16696869D-09  0.20006227D-09  0.23314472D-09  0.26301277D-09  0.28986655D-09  0.33891494D-09  0.36233312D-09  0.38523880D-09  0.42957843D-09  0.45100903D-09  0.49227726D-09  0.53108047D-09  0.58342965D-09  0.61358453D-09  0.65071245D-09  0.67795568D-09  0.69631556D-09  0.71022018D-09  0.71642283D-09  0.71888133D-09  0.71914080D-09  0.71881502D-09  0.71852300D-09  0.71834971D-09  0.71828097D-09  0.71826445D-09  0.71826280D-09  0.71826465D-09  0.71826672D-09  0.71826832D-09  0.71826950D-09  0.71827040D-09  0.71827103D-09  0.71827144D-09  0.71827170D-09  0.71827186D-09  0.71827195D-09  0.71827199D-09  0.71827202D-09  0.71827202D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09  0.71827203D-09
S           0.66584756D-07  0.53547730D-07  0.33397196D-07  0.12101615D-07  0.35924858D-08  0.28530615D-08  0.32574662D-08  0.38043543D-08  0.43132933D-08  0.47445575D-08  0.51143151D-08  0.57634228D-08  0.60658927D-08  0.63581988D-08  0.69155932D-08  0.71815605D-08  0.76883141D-08  0.81590326D-08  0.87864087D-08  0.91443539D-08  0.95823182D-08  0.99024552D-08  0.10118322D-07  0.10282881D-07  0.10357617D-07  0.10388688D-07  0.10393229D-07  0.10390355D-07  0.10387328D-07  0.10385454D-07  0.10384687D-07  0.10384494D-07  0.10384468D-07  0.10384483D-07  0.10384502D-07  0.10384516D-07  0.10384527D-07  0.10384535D-07  0.10384540D-07  0.10384544D-07  0.10384546D-07  0.10384548D-07  0.10384548D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07  0.10384549D-07
Si          0.88321490D-09  0.17014684D-08  0.13907507D-08  0.87495846D-09  0.63308178D-09  0.54858449D-09  0.53277373D-09  0.54529496D-09  0.56599790D-09  0.58668361D-09  0.60588836D-09  0.64258038D-09  0.66087502D-09  0.67914751D-09  0.71525890D-09  0.73294357D-09  0.76722095D-09  0.79955032D-09  0.84309111D-09  0.86807413D-09  0.89873163D-09  0.92120834D-09  0.93643394D-09  0.94816282D-09  0.95363071D-09  0.95607571D-09  0.95659806D-09  0.95655529D-09  0.95643351D-09  0.95635672D-09  0.95633148D-09  0.95633017D-09  0.95633435D-09  0.95633759D-09  0.95633976D-09  0.95634104D-09  0.95634187D-09  0.95634245D-09  0.95634286D-09  0.95634311D-09  0.95634327D-09  0.95634337D-09  0.95634342D-09  0.95634344D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634345D-09  0.95634344D-09  0.95634345D-09  0.95634344D-09  0.95634345D-09
O           0.60213140D-04  0.69205865D-04  0.74071824D-04  0.77223202D-04  0.79797647D-04  0.82119483D-04  0.84211694D-04  0.86082221D-04  0.87761062D-04  0.89277307D-04  0.90650153D-04  0.93012268D-04  0.94020071D-04  0.94923864D-04  0.96451376D-04  0.97089887D-04  0.98150111D-04  0.98961753D-04  0.99807933D-04  0.10017992D-03  0.10053048D-03  0.10071045D-03  0.10078729D-03  0.10080756D-03  0.10079119D-03  0.10076281D-03  0.10074168D-03  0.10072755D-03  0.10072115D-03  0.10071822D-03  0.10071707D-03  0.10071662D-03  0.10071631D-03  0.10071608D-03  0.10071588D-03  0.10071573D-03  0.10071561D-03  0.10071552D-03  0.10071545D-03  0.10071541D-03  0.10071539D-03  0.10071537D-03  0.10071536D-03  0.10071536D-03  0.10071536D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03  0.10071535D-03
N           0.38684512D-04  0.40667232D-04  0.42637625D-04  0.44464036D-04  0.46103889D-04  0.47530368D-04  0.48742360D-04  0.49760211D-04  0.50613929D-04  0.51330729D-04  0.51931311D-04  0.52845380D-04  0.53184262D-04  0.53458942D-04  0.53851979D-04  0.53985707D-04  0.54158909D-04  0.54239129D-04  0.54249756D-04  0.54214438D-04  0.54133168D-04  0.54043790D-04  0.53962471D-04  0.53877404D-04  0.53819820D-04  0.53777846D-04  0.53757049D-04  0.53746525D-04  0.53742934D-04  0.53741855D-04  0.53741766D-04  0.53741900D-04  0.53742061D-04  0.53742180D-04  0.53742284D-04  0.53742363D-04  0.53742422D-04  0.53742467D-04  0.53742499D-04  0.53742520D-04  0.53742533D-04  0.53742541D-04  0.53742546D-04  0.53742548D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04  0.53742550D-04
He          0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01
