 Jspace =            1
    Gas temperature (K)  0.20E+03
 Total H density (cm-3)  0.50E+05
            0.00000000D+00  0.10000000D+03  0.20000000D+03  0.30000000D+03  0.40000000D+03  0.50000000D+03  0.60000000D+03  0.70000000D+03  0.80000000D+03  0.90000000D+03  0.10000000D+04  0.12000000D+04  0.13000000D+04  0.14000000D+04  0.16000000D+04  0.17000000D+04  0.19000000D+04  0.21000000D+04  0.24000000D+04  0.26000000D+04  0.29000000D+04  0.32000000D+04  0.35000000D+04  0.39000000D+04  0.43000000D+04  0.48000000D+04  0.53000000D+04  0.59000000D+04  0.65000000D+04  0.72000000D+04  0.80000000D+04  0.88000000D+04  0.98000000D+04  0.10800000D+05  0.12000000D+05  0.13300000D+05  0.14700000D+05  0.16300000D+05  0.18100000D+05  0.20000000D+05  0.22100000D+05  0.24500000D+05  0.27100000D+05  0.30100000D+05  0.33300000D+05  0.36800000D+05  0.40800000D+05  0.45200000D+05  0.50000000D+05  0.55400000D+05  0.61300000D+05  0.67900000D+05  0.75200000D+05  0.83200000D+05  0.92200000D+05  0.10210000D+06  0.11300000D+06  0.12510000D+06  0.13850000D+06  0.15340000D+06  0.16990000D+06  0.18810000D+06  0.20820000D+06  0.23060000D+06  0.25530000D+06  0.28270000D+06  0.31300000D+06  0.34660000D+06  0.38380000D+06  0.42490000D+06  0.47050000D+06  0.52100000D+06  0.57680000D+06  0.63870000D+06  0.70720000D+06  0.78310000D+06  0.86710000D+06  0.96010000D+06  0.10630000D+07  0.11771000D+07  0.13033000D+07  0.14431000D+07  0.15979000D+07  0.17692000D+07  0.19590000D+07  0.21691000D+07  0.24018000D+07  0.26594000D+07  0.29446000D+07  0.32604000D+07  0.36101000D+07  0.39973000D+07  0.44261000D+07  0.49008000D+07  0.54264000D+07  0.60084000D+07  0.66529000D+07  0.73664000D+07  0.81565000D+07  0.90313000D+07  0.10000000D+08  0.10630000D+08  0.11771000D+08  0.13033000D+08  0.14431000D+08  0.15979000D+08  0.17692000D+08  0.19590000D+08  0.21691000D+08  0.24018000D+08  0.26594000D+08  0.29446000D+08  0.32604000D+08  0.36101000D+08  0.39973000D+08  0.44261000D+08  0.49008000D+08  0.54264000D+08  0.60084000D+08  0.66529000D+08  0.73664000D+08  0.81565000D+08  0.90313000D+08  0.10000000D+09
H           0.10226114D-03  0.10134309D-03  0.10024966D-03  0.99102486D-04  0.97947114D-04  0.96796363D-04  0.95654211D-04  0.94522165D-04  0.93400961D-04  0.92291040D-04  0.91192698D-04  0.89031497D-04  0.87968859D-04  0.86918267D-04  0.84853242D-04  0.83838759D-04  0.81845594D-04  0.79899679D-04  0.77067853D-04  0.75236841D-04  0.72573517D-04  0.70007405D-04  0.67535534D-04  0.64381196D-04  0.61382210D-04  0.57841643D-04  0.54520410D-04  0.50807074D-04  0.47371399D-04  0.43688331D-04  0.39872905D-04  0.36439549D-04  0.32629987D-04  0.29296572D-04  0.25845139D-04  0.22687686D-04  0.19859283D-04  0.17229993D-04  0.14896730D-04  0.13003531D-04  0.11439128D-04  0.10163623D-04  0.92319722D-05  0.85636202D-05  0.81730713D-05  0.79896709D-05  0.79688283D-05  0.80761452D-05  0.82709410D-05  0.85288962D-05  0.88184526D-05  0.91267908D-05  0.94348479D-05  0.97273946D-05  0.10001394D-04  0.10242037D-04  0.10444709D-04  0.10608791D-04  0.10734492D-04  0.10825816D-04  0.10887991D-04  0.10927605D-04  0.10951292D-04  0.10964594D-04  0.10971441D-04  0.10974717D-04  0.10976157D-04  0.10976745D-04  0.10976974D-04  0.10977067D-04  0.10977113D-04  0.10977143D-04  0.10977165D-04  0.10977183D-04  0.10977196D-04  0.10977206D-04  0.10977213D-04  0.10977218D-04  0.10977221D-04  0.10977223D-04  0.10977225D-04  0.10977225D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04  0.10977226D-04
C           0.16934207D-07  0.10036747D-06  0.15830686D-06  0.20036081D-06  0.23473980D-06  0.26514390D-06  0.29310608D-06  0.31932070D-06  0.34416060D-06  0.36786681D-06  0.39061820D-06  0.43380622D-06  0.45446373D-06  0.47461769D-06  0.51370484D-06  0.53275951D-06  0.57013877D-06  0.60680700D-06  0.66101345D-06  0.69689260D-06  0.75067054D-06  0.80470083D-06  0.85922810D-06  0.93298519D-06  0.10081611D-05  0.11042929D-05  0.12028467D-05  0.13241355D-05  0.14483593D-05  0.15963427D-05  0.17684582D-05  0.19425796D-05  0.21613844D-05  0.23798745D-05  0.26399429D-05  0.29176894D-05  0.32112595D-05  0.35392612D-05  0.38985257D-05  0.42665430D-05  0.46599295D-05  0.50923992D-05  0.55404896D-05  0.60315244D-05  0.65252671D-05  0.70308589D-05  0.75663038D-05  0.81055651D-05  0.86378271D-05  0.91714939D-05  0.96820979D-05  0.10172263D-04  0.10626305D-04  0.11032288D-04  0.11393363D-04  0.11696264D-04  0.11941364D-04  0.12133159D-04  0.12276081D-04  0.12377749D-04  0.12445954D-04  0.12489029D-04  0.12514698D-04  0.12529149D-04  0.12536668D-04  0.12540362D-04  0.12542082D-04  0.12542880D-04  0.12543279D-04  0.12543516D-04  0.12543686D-04  0.12543821D-04  0.12543930D-04  0.12544017D-04  0.12544085D-04  0.12544134D-04  0.12544169D-04  0.12544193D-04  0.12544210D-04  0.12544221D-04  0.12544228D-04  0.12544232D-04  0.12544234D-04  0.12544236D-04  0.12544237D-04  0.12544237D-04  0.12544237D-04  0.12544237D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04  0.12544238D-04
Fe          0.30393505D-09  0.30349471D-09  0.30323797D-09  0.30305767D-09  0.30289740D-09  0.30273789D-09  0.30257311D-09  0.30240136D-09  0.30222232D-09  0.30203611D-09  0.30184299D-09  0.30143712D-09  0.30122486D-09  0.30100664D-09  0.30055293D-09  0.30031766D-09  0.29983064D-09  0.29932177D-09  0.29851715D-09  0.29795248D-09  0.29706107D-09  0.29611315D-09  0.29510426D-09  0.29365516D-09  0.29207444D-09  0.28989003D-09  0.28744440D-09  0.28412017D-09  0.28032278D-09  0.27523802D-09  0.26851116D-09  0.26079453D-09  0.24983624D-09  0.23764385D-09  0.22189853D-09  0.20431117D-09  0.18584209D-09  0.16654385D-09  0.14811358D-09  0.13268776D-09  0.11991132D-09  0.10956513D-09  0.10195850D-09  0.96252720D-10  0.92515499D-10  0.90237974D-10  0.89182428D-10  0.89322781D-10  0.90543239D-10  0.92806124D-10  0.95944924D-10  0.99877461D-10  0.10436050D-09  0.10909381D-09  0.11391649D-09  0.11843709D-09  0.12243207D-09  0.12577968D-09  0.12840567D-09  0.13034319D-09  0.13167467D-09  0.13252702D-09  0.13303704D-09  0.13332240D-09  0.13346770D-09  0.13353547D-09  0.13356342D-09  0.13357306D-09  0.13357516D-09  0.13357461D-09  0.13357335D-09  0.13357206D-09  0.13357093D-09  0.13357002D-09  0.13356931D-09  0.13356879D-09  0.13356843D-09  0.13356817D-09  0.13356799D-09  0.13356788D-09  0.13356781D-09  0.13356777D-09  0.13356774D-09  0.13356772D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09  0.13356771D-09
Mg          0.15047259D-08  0.15060911D-08  0.15073880D-08  0.15087737D-08  0.15101600D-08  0.15115120D-08  0.15128201D-08  0.15140831D-08  0.15153020D-08  0.15164784D-08  0.15176141D-08  0.15197703D-08  0.15207937D-08  0.15217822D-08  0.15236588D-08  0.15245485D-08  0.15262343D-08  0.15277983D-08  0.15299215D-08  0.15311901D-08  0.15328726D-08  0.15342870D-08  0.15354255D-08  0.15364954D-08  0.15370214D-08  0.15368492D-08  0.15356636D-08  0.15327482D-08  0.15280122D-08  0.15199132D-08  0.15068995D-08  0.14895385D-08  0.14614169D-08  0.14261668D-08  0.13751304D-08  0.13109050D-08  0.12346196D-08  0.11435719D-08  0.10430992D-08  0.94591760D-09  0.85399071D-09  0.77062122D-09  0.70403465D-09  0.65131059D-09  0.61508772D-09  0.59085905D-09  0.57556802D-09  0.56842057D-09  0.56813039D-09  0.57394403D-09  0.58499990D-09  0.60065057D-09  0.61964572D-09  0.64043621D-09  0.66209585D-09  0.68269130D-09  0.70106255D-09  0.71655267D-09  0.72875506D-09  0.73778437D-09  0.74400192D-09  0.74798772D-09  0.75037507D-09  0.75171165D-09  0.75239232D-09  0.75270957D-09  0.75284008D-09  0.75288460D-09  0.75289374D-09  0.75289050D-09  0.75288400D-09  0.75287744D-09  0.75287177D-09  0.75286714D-09  0.75286352D-09  0.75286093D-09  0.75285908D-09  0.75285778D-09  0.75285689D-09  0.75285631D-09  0.75285595D-09  0.75285574D-09  0.75285561D-09  0.75285553D-09  0.75285548D-09  0.75285546D-09  0.75285546D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09  0.75285545D-09
S           0.66584756D-07  0.67336253D-07  0.68012655D-07  0.68606808D-07  0.69124098D-07  0.69572572D-07  0.69960087D-07  0.70293669D-07  0.70579500D-07  0.70823007D-07  0.71028972D-07  0.71344607D-07  0.71461246D-07  0.71554394D-07  0.71680008D-07  0.71716637D-07  0.71746099D-07  0.71726213D-07  0.71622072D-07  0.71512013D-07  0.71296708D-07  0.71029734D-07  0.70717434D-07  0.70236970D-07  0.69687645D-07  0.68907447D-07  0.68024824D-07  0.66831794D-07  0.65495207D-07  0.63761191D-07  0.61565332D-07  0.59167759D-07  0.55941404D-07  0.52535974D-07  0.48335960D-07  0.43809178D-07  0.39148942D-07  0.34298238D-07  0.29622130D-07  0.25654205D-07  0.22351741D-07  0.19722802D-07  0.17875218D-07  0.16572080D-07  0.15753497D-07  0.15232021D-07  0.14902593D-07  0.14732047D-07  0.14687479D-07  0.14748871D-07  0.14898844D-07  0.15123157D-07  0.15400207D-07  0.15704830D-07  0.16021967D-07  0.16322645D-07  0.16589865D-07  0.16814326D-07  0.16990500D-07  0.17120401D-07  0.17209527D-07  0.17266425D-07  0.17300320D-07  0.17319140D-07  0.17328585D-07  0.17332856D-07  0.17334488D-07  0.17334918D-07  0.17334867D-07  0.17334663D-07  0.17334433D-07  0.17334223D-07  0.17334046D-07  0.17333902D-07  0.17333790D-07  0.17333710D-07  0.17333652D-07  0.17333612D-07  0.17333584D-07  0.17333566D-07  0.17333555D-07  0.17333549D-07  0.17333544D-07  0.17333542D-07  0.17333540D-07  0.17333540D-07  0.17333540D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07  0.17333539D-07
Si          0.88321490D-09  0.93386818D-09  0.98977256D-09  0.10456623D-08  0.10980373D-08  0.11462371D-08  0.11907147D-08  0.12321430D-08  0.12711264D-08  0.13081480D-08  0.13435822D-08  0.14107840D-08  0.14429550D-08  0.14743717D-08  0.15353584D-08  0.15650819D-08  0.16232497D-08  0.16799205D-08  0.17623887D-08  0.18157148D-08  0.18931321D-08  0.19672385D-08  0.20377267D-08  0.21255386D-08  0.22056876D-08  0.22943339D-08  0.23696528D-08  0.24423952D-08  0.24966725D-08  0.25387942D-08  0.25632154D-08  0.25679240D-08  0.25547982D-08  0.25294774D-08  0.24929045D-08  0.24536733D-08  0.24164903D-08  0.23815948D-08  0.23504694D-08  0.23245037D-08  0.23018857D-08  0.22821109D-08  0.22664332D-08  0.22539127D-08  0.22451986D-08  0.22393722D-08  0.22359221D-08  0.22349103D-08  0.22362398D-08  0.22399434D-08  0.22458046D-08  0.22536541D-08  0.22629273D-08  0.22728653D-08  0.22829779D-08  0.22923078D-08  0.23003088D-08  0.23067169D-08  0.23114368D-08  0.23146353D-08  0.23165962D-08  0.23176719D-08  0.23181902D-08  0.23183987D-08  0.23184560D-08  0.23184551D-08  0.23184392D-08  0.23184242D-08  0.23184135D-08  0.23184062D-08  0.23184010D-08  0.23183971D-08  0.23183939D-08  0.23183914D-08  0.23183895D-08  0.23183880D-08  0.23183869D-08  0.23183862D-08  0.23183857D-08  0.23183854D-08  0.23183852D-08  0.23183851D-08  0.23183847D-08  0.23183845D-08  0.23183845D-08  0.23183844D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08  0.23183843D-08
O           0.60213140D-04  0.60587009D-04  0.60951623D-04  0.61312048D-04  0.61664141D-04  0.62005870D-04  0.62336672D-04  0.62656594D-04  0.62965898D-04  0.63264910D-04  0.63553966D-04  0.64103511D-04  0.64364623D-04  0.64617024D-04  0.65096825D-04  0.65324770D-04  0.65758053D-04  0.66162847D-04  0.66720734D-04  0.67062360D-04  0.67533446D-04  0.67959433D-04  0.68344994D-04  0.68803459D-04  0.69206514D-04  0.69644242D-04  0.70020651D-04  0.70406730D-04  0.70735790D-04  0.71064102D-04  0.71384576D-04  0.71662959D-04  0.71970224D-04  0.72247267D-04  0.72554254D-04  0.72866830D-04  0.73188142D-04  0.73541308D-04  0.73924105D-04  0.74313331D-04  0.74726915D-04  0.75179176D-04  0.75645577D-04  0.76154639D-04  0.76664879D-04  0.77186124D-04  0.77737133D-04  0.78291239D-04  0.78837454D-04  0.79384471D-04  0.79907277D-04  0.80408648D-04  0.80872640D-04  0.81287177D-04  0.81655592D-04  0.81964456D-04  0.82214241D-04  0.82409604D-04  0.82555115D-04  0.82658570D-04  0.82727933D-04  0.82771707D-04  0.82797767D-04  0.82812419D-04  0.82820029D-04  0.82823758D-04  0.82825489D-04  0.82826290D-04  0.82826690D-04  0.82826929D-04  0.82827101D-04  0.82827237D-04  0.82827348D-04  0.82827437D-04  0.82827506D-04  0.82827556D-04  0.82827591D-04  0.82827617D-04  0.82827634D-04  0.82827645D-04  0.82827652D-04  0.82827656D-04  0.82827658D-04  0.82827660D-04  0.82827661D-04  0.82827661D-04  0.82827661D-04  0.82827661D-04  0.82827661D-04  0.82827661D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04  0.82827662D-04
N           0.38684512D-04  0.38636667D-04  0.38601663D-04  0.38578480D-04  0.38560905D-04  0.38546422D-04  0.38534015D-04  0.38523185D-04  0.38513626D-04  0.38505122D-04  0.38497511D-04  0.38484481D-04  0.38478883D-04  0.38473804D-04  0.38465009D-04  0.38461213D-04  0.38454676D-04  0.38449395D-04  0.38443527D-04  0.38440827D-04  0.38438384D-04  0.38437656D-04  0.38438442D-04  0.38441546D-04  0.38446680D-04  0.38455500D-04  0.38466548D-04  0.38482200D-04  0.38499962D-04  0.38522794D-04  0.38551055D-04  0.38581080D-04  0.38620458D-04  0.38661335D-04  0.38711768D-04  0.38767530D-04  0.38828345D-04  0.38898239D-04  0.38976727D-04  0.39058781D-04  0.39147914D-04  0.39247187D-04  0.39351117D-04  0.39465965D-04  0.39582246D-04  0.39701992D-04  0.39829415D-04  0.39958253D-04  0.40085805D-04  0.40213987D-04  0.40336839D-04  0.40454932D-04  0.40564463D-04  0.40662551D-04  0.40749986D-04  0.40823596D-04  0.40883496D-04  0.40930791D-04  0.40966542D-04  0.40992568D-04  0.41010703D-04  0.41022899D-04  0.41030971D-04  0.41036379D-04  0.41040093D-04  0.41042835D-04  0.41045012D-04  0.41046855D-04  0.41048464D-04  0.41049876D-04  0.41051107D-04  0.41052157D-04  0.41053028D-04  0.41053732D-04  0.41054281D-04  0.41054674D-04  0.41054955D-04  0.41055152D-04  0.41055288D-04  0.41055375D-04  0.41055429D-04  0.41055462D-04  0.41055482D-04  0.41055495D-04  0.41055502D-04  0.41055505D-04  0.41055506D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04  0.41055507D-04
He          0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01
