 Jspace =            1
    Gas temperature (K)  0.50E+02
 Total H density (cm-3)  0.10E+05
            0.00000000D+00  0.10000000D+03  0.20000000D+03  0.30000000D+03  0.40000000D+03  0.50000000D+03  0.60000000D+03  0.70000000D+03  0.80000000D+03  0.90000000D+03  0.10000000D+04  0.12000000D+04  0.13000000D+04  0.14000000D+04  0.16000000D+04  0.17000000D+04  0.19000000D+04  0.21000000D+04  0.24000000D+04  0.26000000D+04  0.29000000D+04  0.32000000D+04  0.35000000D+04  0.39000000D+04  0.43000000D+04  0.48000000D+04  0.53000000D+04  0.59000000D+04  0.65000000D+04  0.72000000D+04  0.80000000D+04  0.88000000D+04  0.98000000D+04  0.10800000D+05  0.12000000D+05  0.13300000D+05  0.14700000D+05  0.16300000D+05  0.18100000D+05  0.20000000D+05  0.22100000D+05  0.24500000D+05  0.27100000D+05  0.30100000D+05  0.33300000D+05  0.36800000D+05  0.40800000D+05  0.45200000D+05  0.50000000D+05  0.55400000D+05  0.61300000D+05  0.67900000D+05  0.75200000D+05  0.83200000D+05  0.92200000D+05  0.10210000D+06  0.11300000D+06  0.12510000D+06  0.13850000D+06  0.15340000D+06  0.16990000D+06  0.18810000D+06  0.20820000D+06  0.23060000D+06  0.25530000D+06  0.28270000D+06  0.31300000D+06  0.34660000D+06  0.38380000D+06  0.42490000D+06  0.47050000D+06  0.52100000D+06  0.57680000D+06  0.63870000D+06  0.70720000D+06  0.78310000D+06  0.86710000D+06  0.96010000D+06  0.10630000D+07  0.11771000D+07  0.13033000D+07  0.14431000D+07  0.15979000D+07  0.17692000D+07  0.19590000D+07  0.21691000D+07  0.24018000D+07  0.26594000D+07  0.29446000D+07  0.32604000D+07  0.36101000D+07  0.39973000D+07  0.44261000D+07  0.49008000D+07  0.54264000D+07  0.60084000D+07  0.66529000D+07  0.73664000D+07  0.81565000D+07  0.90313000D+07  0.10000000D+08  0.10630000D+08  0.11771000D+08  0.13033000D+08  0.14431000D+08  0.15979000D+08  0.17692000D+08  0.19590000D+08  0.21691000D+08  0.24018000D+08  0.26594000D+08  0.29446000D+08  0.32604000D+08  0.36101000D+08  0.39973000D+08  0.44261000D+08  0.49008000D+08  0.54264000D+08  0.60084000D+08  0.66529000D+08  0.73664000D+08  0.81565000D+08  0.90313000D+08  0.10000000D+09
H           0.10226114D-03  0.77041189D-01  0.14795771D+00  0.21332878D+00  0.27358715D+00  0.32913210D+00  0.38033200D+00  0.42751670D+00  0.47101020D+00  0.51110128D+00  0.54806445D+00  0.61354099D+00  0.64248863D+00  0.66916525D+00  0.71643211D+00  0.73732908D+00  0.77434540D+00  0.80579498D+00  0.84432828D+00  0.86525350D+00  0.89089159D+00  0.91096569D+00  0.92668644D+00  0.94247696D+00  0.95387541D+00  0.96377697D+00  0.97036479D+00  0.97542802D+00  0.97853346D+00  0.98067464D+00  0.98200845D+00  0.98270363D+00  0.98312529D+00  0.98331209D+00  0.98340476D+00  0.98344136D+00  0.98345467D+00  0.98345926D+00  0.98346058D+00  0.98346088D+00  0.98346096D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00  0.98346097D+00
C           0.16934207D-07  0.13191258D-10  0.10462736D-10  0.86608198D-11  0.74432027D-11  0.66031316D-11  0.60126133D-11  0.55907201D-11  0.52841996D-11  0.50580500D-11  0.48884645D-11  0.46592856D-11  0.45803281D-11  0.45168199D-11  0.44209324D-11  0.43836099D-11  0.43224861D-11  0.42734818D-11  0.42141218D-11  0.41810232D-11  0.41384727D-11  0.41027405D-11  0.40725917D-11  0.40395826D-11  0.40133206D-11  0.39880074D-11  0.39691663D-11  0.39528925D-11  0.39416012D-11  0.39327661D-11  0.39264358D-11  0.39226221D-11  0.39199277D-11  0.39185174D-11  0.39176865D-11  0.39172897D-11  0.39171139D-11  0.39170390D-11  0.39170118D-11  0.39170038D-11  0.39170013D-11  0.39170007D-11  0.39170006D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170005D-11  0.39170006D-11  0.39170006D-11  0.39170006D-11  0.39170006D-11  0.39170006D-11  0.39170006D-11  0.39170006D-11  0.39170006D-11  0.39170006D-11  0.39170006D-11  0.39170006D-11  0.39170006D-11  0.39170006D-11  0.39170006D-11  0.39170006D-11  0.39170006D-11  0.39170007D-11  0.39170007D-11  0.39170007D-11  0.39170007D-11  0.39170007D-11  0.39170007D-11  0.39170008D-11  0.39170008D-11  0.39170008D-11  0.39170008D-11  0.39170009D-11  0.39170009D-11  0.39170009D-11  0.39170010D-11
Fe          0.30393505D-09  0.31756018D-14  0.53912783D-14  0.70192970D-14  0.82157749D-14  0.90955117D-14  0.97426725D-14  0.10218522D-13  0.10568671D-13  0.10826091D-13  0.11015096D-13  0.11253428D-13  0.11325417D-13  0.11376211D-13  0.11434123D-13  0.11447990D-13  0.11456659D-13  0.11449002D-13  0.11421162D-13  0.11397081D-13  0.11357799D-13  0.11318066D-13  0.11279977D-13  0.11233522D-13  0.11192898D-13  0.11150432D-13  0.11116471D-13  0.11085263D-13  0.11062393D-13  0.11043639D-13  0.11029605D-13  0.11020828D-13  0.11014420D-13  0.11010965D-13  0.11008878D-13  0.11007859D-13  0.11007398D-13  0.11007199D-13  0.11007126D-13  0.11007104D-13  0.11007097D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13  0.11007095D-13
Mg          0.15047259D-08  0.49812768D-13  0.84446931D-13  0.10988402D-12  0.12857261D-12  0.14231074D-12  0.15241532D-12  0.15984424D-12  0.16531027D-12  0.16932850D-12  0.17227864D-12  0.17599841D-12  0.17712187D-12  0.17791446D-12  0.17881785D-12  0.17903400D-12  0.17916868D-12  0.17904850D-12  0.17861292D-12  0.17823634D-12  0.17762221D-12  0.17700108D-12  0.17640570D-12  0.17567957D-12  0.17504461D-12  0.17438088D-12  0.17385009D-12  0.17336233D-12  0.17300491D-12  0.17271180D-12  0.17249247D-12  0.17235529D-12  0.17225515D-12  0.17220116D-12  0.17216854D-12  0.17215261D-12  0.17214541D-12  0.17214230D-12  0.17214115D-12  0.17214081D-12  0.17214071D-12  0.17214068D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214067D-12  0.17214068D-12  0.17214068D-12  0.17214068D-12  0.17214068D-12  0.17214068D-12  0.17214068D-12
S           0.66584756D-07  0.77603340D-15  0.13101941D-14  0.17026845D-14  0.19910939D-14  0.22030918D-14  0.23589745D-14  0.24735240D-14  0.25577485D-14  0.26196061D-14  0.26649654D-14  0.27220167D-14  0.27391789D-14  0.27512403D-14  0.27648636D-14  0.27680528D-14  0.27698646D-14  0.27677770D-14  0.27607618D-14  0.27547872D-14  0.27451051D-14  0.27353547D-14  0.27260334D-14  0.27146885D-14  0.27047843D-14  0.26944449D-14  0.26861850D-14  0.26786011D-14  0.26730475D-14  0.26684957D-14  0.26650913D-14  0.26629630D-14  0.26614098D-14  0.26605726D-14  0.26600670D-14  0.26598201D-14  0.26597085D-14  0.26596603D-14  0.26596425D-14  0.26596372D-14  0.26596356D-14  0.26596352D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596350D-14  0.26596350D-14  0.26596350D-14  0.26596350D-14  0.26596350D-14  0.26596350D-14  0.26596350D-14  0.26596350D-14  0.26596350D-14  0.26596350D-14  0.26596350D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596351D-14  0.26596352D-14  0.26596352D-14  0.26596352D-14  0.26596352D-14  0.26596352D-14
Si          0.88321490D-09  0.88603361D-15  0.13321942D-14  0.16560297D-14  0.18909449D-14  0.20611265D-14  0.21841584D-14  0.22727566D-14  0.23363350D-14  0.23816540D-14  0.24136659D-14  0.24510053D-14  0.24608642D-14  0.24668761D-14  0.24712293D-14  0.24708624D-14  0.24671234D-14  0.24610305D-14  0.24499667D-14  0.24421951D-14  0.24307236D-14  0.24199276D-14  0.24100458D-14  0.23984236D-14  0.23885537D-14  0.23784709D-14  0.23705561D-14  0.23633896D-14  0.23582012D-14  0.23539877D-14  0.23508617D-14  0.23489203D-14  0.23475114D-14  0.23467558D-14  0.23463012D-14  0.23460800D-14  0.23459804D-14  0.23459375D-14  0.23459217D-14  0.23459170D-14  0.23459155D-14  0.23459151D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459150D-14  0.23459151D-14  0.23459151D-14  0.23459151D-14  0.23459151D-14  0.23459151D-14  0.23459151D-14  0.23459151D-14  0.23459151D-14  0.23459151D-14  0.23459151D-14  0.23459151D-14  0.23459151D-14  0.23459151D-14  0.23459151D-14  0.23459151D-14  0.23459152D-14
O           0.60213140D-04  0.11800826D-03  0.15184667D-03  0.17629908D-03  0.19396893D-03  0.20673760D-03  0.21596462D-03  0.22262722D-03  0.22744287D-03  0.23092363D-03  0.23344159D-03  0.23657577D-03  0.23752571D-03  0.23821156D-03  0.23906619D-03  0.23932518D-03  0.23964748D-03  0.23981572D-03  0.23993017D-03  0.23996331D-03  0.23998588D-03  0.23999442D-03  0.23999767D-03  0.23999914D-03  0.23999957D-03  0.23999973D-03  0.23999978D-03  0.23999981D-03  0.23999982D-03  0.23999983D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999984D-03  0.23999985D-03  0.23999985D-03  0.23999985D-03
N           0.38684512D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999997D-04  0.61999997D-04  0.61999997D-04  0.61999996D-04  0.61999995D-04  0.61999994D-04  0.61999993D-04  0.61999992D-04  0.61999990D-04  0.61999988D-04  0.61999984D-04  0.61999981D-04  0.61999976D-04  0.61999971D-04  0.61999965D-04  0.61999956D-04  0.61999947D-04  0.61999937D-04  0.61999929D-04  0.61999921D-04  0.61999917D-04  0.61999916D-04  0.61999916D-04  0.61999917D-04  0.61999918D-04  0.61999919D-04  0.61999920D-04  0.61999920D-04  0.61999920D-04  0.61999920D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04  0.61999921D-04
He          0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999998D-01  0.89999998D-01  0.89999997D-01  0.89999996D-01  0.89999996D-01  0.89999995D-01  0.89999994D-01  0.89999993D-01  0.89999992D-01  0.89999991D-01  0.89999991D-01  0.89999990D-01  0.89999989D-01  0.89999989D-01  0.89999989D-01  0.89999988D-01  0.89999988D-01  0.89999988D-01  0.89999988D-01  0.89999988D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01  0.89999987D-01
