 Jspace =            1
    Gas temperature (K)  0.50E+02
 Total H density (cm-3)  0.10E+07
            0.00000000D+00  0.10000000D+03  0.20000000D+03  0.30000000D+03  0.40000000D+03  0.50000000D+03  0.60000000D+03  0.70000000D+03  0.80000000D+03  0.90000000D+03  0.10000000D+04  0.12000000D+04  0.13000000D+04  0.14000000D+04  0.16000000D+04  0.17000000D+04  0.19000000D+04  0.21000000D+04  0.24000000D+04  0.26000000D+04  0.29000000D+04  0.32000000D+04  0.35000000D+04  0.39000000D+04  0.43000000D+04  0.48000000D+04  0.53000000D+04  0.59000000D+04  0.65000000D+04  0.72000000D+04  0.80000000D+04  0.88000000D+04  0.98000000D+04  0.10800000D+05  0.12000000D+05  0.13300000D+05  0.14700000D+05  0.16300000D+05  0.18100000D+05  0.20000000D+05  0.22100000D+05  0.24500000D+05  0.27100000D+05  0.30100000D+05  0.33300000D+05  0.36800000D+05  0.40800000D+05  0.45200000D+05  0.50000000D+05  0.55400000D+05  0.61300000D+05  0.67900000D+05  0.75200000D+05  0.83200000D+05  0.92200000D+05  0.10210000D+06  0.11300000D+06  0.12510000D+06  0.13850000D+06  0.15340000D+06  0.16990000D+06  0.18810000D+06  0.20820000D+06  0.23060000D+06  0.25530000D+06  0.28270000D+06  0.31300000D+06  0.34660000D+06  0.38380000D+06  0.42490000D+06  0.47050000D+06  0.52100000D+06  0.57680000D+06  0.63870000D+06  0.70720000D+06  0.78310000D+06  0.86710000D+06  0.96010000D+06  0.10630000D+07  0.11771000D+07  0.13033000D+07  0.14431000D+07  0.15979000D+07  0.17692000D+07  0.19590000D+07  0.21691000D+07  0.24018000D+07  0.26594000D+07  0.29446000D+07  0.32604000D+07  0.36101000D+07  0.39973000D+07  0.44261000D+07  0.49008000D+07  0.54264000D+07  0.60084000D+07  0.66529000D+07  0.73664000D+07  0.81565000D+07  0.90313000D+07  0.10000000D+08  0.10630000D+08  0.11771000D+08  0.13033000D+08  0.14431000D+08  0.15979000D+08  0.17692000D+08  0.19590000D+08  0.21691000D+08  0.24018000D+08  0.26594000D+08  0.29446000D+08  0.32604000D+08  0.36101000D+08  0.39973000D+08  0.44261000D+08  0.49008000D+08  0.54264000D+08  0.60084000D+08  0.66529000D+08  0.73664000D+08  0.81565000D+08  0.90313000D+08  0.10000000D+09
H           0.10226114D-03  0.72463591D-01  0.13100071D+00  0.17826081D+00  0.21638792D+00  0.24712884D+00  0.27191494D+00  0.29189677D+00  0.30800389D+00  0.32098644D+00  0.33145042D+00  0.34668092D+00  0.35215756D+00  0.35657193D+00  0.36299437D+00  0.36530437D+00  0.36866583D+00  0.37084852D+00  0.37277551D+00  0.37351734D+00  0.37417217D+00  0.37451513D+00  0.37469501D+00  0.37480947D+00  0.37485877D+00  0.37488245D+00  0.37489045D+00  0.37489342D+00  0.37489422D+00  0.37489445D+00  0.37489450D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00  0.37489451D+00
C           0.16934207D-07  0.19877960D-08  0.39144700D-08  0.57612976D-08  0.73290039D-08  0.85785444D-08  0.95389537D-08  0.10260146D-07  0.10793332D-07  0.11183245D-07  0.11466157D-07  0.11816676D-07  0.11921368D-07  0.11995977D-07  0.12086414D-07  0.12112857D-07  0.12144434D-07  0.12159747D-07  0.12168970D-07  0.12171152D-07  0.12172243D-07  0.12172409D-07  0.12172344D-07  0.12172228D-07  0.12172152D-07  0.12172108D-07  0.12172092D-07  0.12172086D-07  0.12172086D-07  0.12172087D-07  0.12172088D-07  0.12172090D-07  0.12172091D-07  0.12172092D-07  0.12172094D-07  0.12172095D-07  0.12172097D-07  0.12172098D-07  0.12172099D-07  0.12172100D-07  0.12172101D-07  0.12172102D-07  0.12172102D-07  0.12172103D-07  0.12172103D-07  0.12172103D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07  0.12172104D-07
Fe          0.30393505D-09  0.23246097D-11  0.35155539D-11  0.42296790D-11  0.46856071D-11  0.49880992D-11  0.51940507D-11  0.53367144D-11  0.54367239D-11  0.55074213D-11  0.55576998D-11  0.56193342D-11  0.56378011D-11  0.56510875D-11  0.56675491D-11  0.56725269D-11  0.56787183D-11  0.56819546D-11  0.56841674D-11  0.56848147D-11  0.56852615D-11  0.56854350D-11  0.56855034D-11  0.56855357D-11  0.56855459D-11  0.56855496D-11  0.56855506D-11  0.56855511D-11  0.56855514D-11  0.56855516D-11  0.56855518D-11  0.56855520D-11  0.56855523D-11  0.56855525D-11  0.56855527D-11  0.56855529D-11  0.56855531D-11  0.56855532D-11  0.56855534D-11  0.56855535D-11  0.56855537D-11  0.56855538D-11  0.56855539D-11  0.56855539D-11  0.56855540D-11  0.56855540D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855541D-11  0.56855540D-11
Mg          0.15047259D-08  0.26561133D-10  0.36703641D-10  0.41986439D-10  0.45096702D-10  0.47058351D-10  0.48350327D-10  0.49225422D-10  0.49829448D-10  0.50251828D-10  0.50549913D-10  0.50912717D-10  0.51020855D-10  0.51098490D-10  0.51194473D-10  0.51223448D-10  0.51259446D-10  0.51278239D-10  0.51291071D-10  0.51294818D-10  0.51297400D-10  0.51298399D-10  0.51298792D-10  0.51298977D-10  0.51299034D-10  0.51299055D-10  0.51299061D-10  0.51299064D-10  0.51299065D-10  0.51299066D-10  0.51299068D-10  0.51299069D-10  0.51299070D-10  0.51299071D-10  0.51299073D-10  0.51299074D-10  0.51299075D-10  0.51299076D-10  0.51299077D-10  0.51299078D-10  0.51299078D-10  0.51299079D-10  0.51299080D-10  0.51299080D-10  0.51299080D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299081D-10  0.51299080D-10
S           0.66584756D-07  0.16629385D-11  0.27774439D-11  0.35768716D-11  0.41522107D-11  0.45664762D-11  0.48649941D-11  0.50801528D-11  0.52352523D-11  0.53470650D-11  0.54276829D-11  0.55277264D-11  0.55579427D-11  0.55797390D-11  0.56067849D-11  0.56149620D-11  0.56251168D-11  0.56304042D-11  0.56339943D-11  0.56350336D-11  0.56357420D-11  0.56360115D-11  0.56361149D-11  0.56361619D-11  0.56361758D-11  0.56361805D-11  0.56361818D-11  0.56361824D-11  0.56361827D-11  0.56361831D-11  0.56361835D-11  0.56361838D-11  0.56361842D-11  0.56361846D-11  0.56361849D-11  0.56361853D-11  0.56361856D-11  0.56361859D-11  0.56361861D-11  0.56361864D-11  0.56361866D-11  0.56361868D-11  0.56361869D-11  0.56361871D-11  0.56361871D-11  0.56361872D-11  0.56361873D-11  0.56361873D-11  0.56361873D-11  0.56361873D-11  0.56361873D-11  0.56361873D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361873D-11  0.56361873D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361874D-11  0.56361873D-11  0.56361874D-11  0.56361874D-11  0.56361873D-11  0.56361873D-11  0.56361873D-11  0.56361873D-11  0.56361873D-11  0.56361873D-11  0.56361873D-11  0.56361873D-11  0.56361872D-11  0.56361870D-11  0.56361869D-11  0.56361869D-11  0.56361869D-11  0.56361869D-11  0.56361871D-11  0.56361875D-11  0.56361874D-11  0.56361875D-11  0.56361875D-11  0.56361873D-11  0.56361870D-11
Si          0.88321490D-09  0.87243168D-12  0.12733152D-11  0.15575613D-11  0.17597769D-11  0.19037651D-11  0.20063842D-11  0.20795143D-11  0.21315991D-11  0.21686582D-11  0.21949921D-11  0.22268930D-11  0.22362245D-11  0.22427945D-11  0.22506168D-11  0.22528524D-11  0.22554542D-11  0.22566552D-11  0.22573115D-11  0.22574354D-11  0.22574662D-11  0.22574440D-11  0.22574181D-11  0.22573945D-11  0.22573820D-11  0.22573752D-11  0.22573728D-11  0.22573719D-11  0.22573718D-11  0.22573718D-11  0.22573719D-11  0.22573721D-11  0.22573722D-11  0.22573723D-11  0.22573725D-11  0.22573726D-11  0.22573727D-11  0.22573728D-11  0.22573729D-11  0.22573730D-11  0.22573731D-11  0.22573732D-11  0.22573732D-11  0.22573733D-11  0.22573733D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11  0.22573734D-11
O           0.60213140D-04  0.11777849D-03  0.15133816D-03  0.17553474D-03  0.19299172D-03  0.20558401D-03  0.21467087D-03  0.22122805D-03  0.22595978D-03  0.22937422D-03  0.23183837D-03  0.23490045D-03  0.23582681D-03  0.23649581D-03  0.23732749D-03  0.23757954D-03  0.23789335D-03  0.23805745D-03  0.23816960D-03  0.23820236D-03  0.23822494D-03  0.23823368D-03  0.23823711D-03  0.23823872D-03  0.23823922D-03  0.23823939D-03  0.23823943D-03  0.23823945D-03  0.23823945D-03  0.23823945D-03  0.23823946D-03  0.23823946D-03  0.23823946D-03  0.23823946D-03  0.23823947D-03  0.23823947D-03  0.23823947D-03  0.23823947D-03  0.23823947D-03  0.23823947D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03  0.23823948D-03
N           0.38684512D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04
He          0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01
