 Jspace =            1
    Gas temperature (K)  0.50E+02
 Total H density (cm-3)  0.50E+06
            0.00000000D+00  0.10000000D+03  0.20000000D+03  0.30000000D+03  0.40000000D+03  0.50000000D+03  0.60000000D+03  0.70000000D+03  0.80000000D+03  0.90000000D+03  0.10000000D+04  0.12000000D+04  0.13000000D+04  0.14000000D+04  0.16000000D+04  0.17000000D+04  0.19000000D+04  0.21000000D+04  0.24000000D+04  0.26000000D+04  0.29000000D+04  0.32000000D+04  0.35000000D+04  0.39000000D+04  0.43000000D+04  0.48000000D+04  0.53000000D+04  0.59000000D+04  0.65000000D+04  0.72000000D+04  0.80000000D+04  0.88000000D+04  0.98000000D+04  0.10800000D+05  0.12000000D+05  0.13300000D+05  0.14700000D+05  0.16300000D+05  0.18100000D+05  0.20000000D+05  0.22100000D+05  0.24500000D+05  0.27100000D+05  0.30100000D+05  0.33300000D+05  0.36800000D+05  0.40800000D+05  0.45200000D+05  0.50000000D+05  0.55400000D+05  0.61300000D+05  0.67900000D+05  0.75200000D+05  0.83200000D+05  0.92200000D+05  0.10210000D+06  0.11300000D+06  0.12510000D+06  0.13850000D+06  0.15340000D+06  0.16990000D+06  0.18810000D+06  0.20820000D+06  0.23060000D+06  0.25530000D+06  0.28270000D+06  0.31300000D+06  0.34660000D+06  0.38380000D+06  0.42490000D+06  0.47050000D+06  0.52100000D+06  0.57680000D+06  0.63870000D+06  0.70720000D+06  0.78310000D+06  0.86710000D+06  0.96010000D+06  0.10630000D+07  0.11771000D+07  0.13033000D+07  0.14431000D+07  0.15979000D+07  0.17692000D+07  0.19590000D+07  0.21691000D+07  0.24018000D+07  0.26594000D+07  0.29446000D+07  0.32604000D+07  0.36101000D+07  0.39973000D+07  0.44261000D+07  0.49008000D+07  0.54264000D+07  0.60084000D+07  0.66529000D+07  0.73664000D+07  0.81565000D+07  0.90313000D+07  0.10000000D+08  0.10630000D+08  0.11771000D+08  0.13033000D+08  0.14431000D+08  0.15979000D+08  0.17692000D+08  0.19590000D+08  0.21691000D+08  0.24018000D+08  0.26594000D+08  0.29446000D+08  0.32604000D+08  0.36101000D+08  0.39973000D+08  0.44261000D+08  0.49008000D+08  0.54264000D+08  0.60084000D+08  0.66529000D+08  0.73664000D+08  0.81565000D+08  0.90313000D+08  0.10000000D+09
H           0.10226114D-03  0.95716815D-04  0.89543571D-04  0.83772425D-04  0.78377277D-04  0.73333646D-04  0.68618638D-04  0.64210854D-04  0.60090300D-04  0.56238244D-04  0.52637192D-04  0.46123637D-04  0.43181609D-04  0.40431276D-04  0.35456425D-04  0.33209407D-04  0.29145052D-04  0.25593082D-04  0.21086865D-04  0.18550787D-04  0.15333307D-04  0.12704592D-04  0.10556896D-04  0.82917373D-05  0.65614625D-05  0.49613202D-05  0.38184786D-05  0.28693313D-05  0.22353092D-05  0.17561709D-05  0.14241326D-05  0.12297061D-05  0.10953512D-05  0.10259347D-05  0.98485190D-06  0.96448324D-06  0.95451559D-06  0.94919517D-06  0.94612303D-06  0.94413538D-06  0.94256756D-06  0.94119079D-06  0.94000229D-06  0.93888547D-06  0.93789312D-06  0.93696518D-06  0.93604625D-06  0.93516984D-06  0.93435140D-06  0.93358789D-06  0.93292836D-06  0.93237897D-06  0.93195643D-06  0.93165319D-06  0.93143815D-06  0.93128733D-06  0.93117274D-06  0.93107438D-06  0.93098086D-06  0.93088469D-06  0.93078157D-06  0.93066858D-06  0.93054334D-06  0.93040319D-06  0.93024887D-06  0.93007925D-06  0.92989485D-06  0.92969527D-06  0.92948093D-06  0.92925239D-06  0.92900886D-06  0.92875104D-06  0.92848001D-06  0.92819547D-06  0.92789922D-06  0.92759243D-06  0.92727750D-06  0.92695685D-06  0.92663379D-06  0.92631126D-06  0.92599421D-06  0.92568663D-06  0.92539334D-06  0.92511912D-06  0.92486787D-06  0.92464337D-06  0.92444801D-06  0.92428313D-06  0.92414850D-06  0.92404253D-06  0.92396244D-06  0.92390454D-06  0.92386467D-06  0.92383867D-06  0.92382266D-06  0.92381341D-06  0.92380844D-06  0.92380597D-06  0.92380483D-06  0.92380436D-06  0.92380419D-06  0.92380415D-06  0.92380412D-06  0.92380411D-06  0.92380411D-06  0.92380411D-06  0.92380411D-06  0.92380411D-06  0.92380411D-06  0.92380411D-06  0.92380411D-06  0.92380411D-06  0.92380411D-06  0.92380411D-06  0.92380411D-06  0.92380411D-06  0.92380411D-06  0.92380411D-06  0.92380411D-06  0.92380411D-06  0.92380411D-06  0.92380411D-06  0.92380411D-06  0.92380411D-06
C           0.16934207D-07  0.21729292D-07  0.22703455D-07  0.22860767D-07  0.22647486D-07  0.22270032D-07  0.21822755D-07  0.21348943D-07  0.20868561D-07  0.20390836D-07  0.19920013D-07  0.19005636D-07  0.18563207D-07  0.18130775D-07  0.17295596D-07  0.16892594D-07  0.16114999D-07  0.15374191D-07  0.14329074D-07  0.13674476D-07  0.12752550D-07  0.11898755D-07  0.11108882D-07  0.10148132D-07  0.92845612D-08  0.83286109D-08  0.74953696D-08  0.66376102D-08  0.59144225D-08  0.52155027D-08  0.45761854D-08  0.40760348D-08  0.36065171D-08  0.32718804D-08  0.30041621D-08  0.28349259D-08  0.27524676D-08  0.27462631D-08  0.28158079D-08  0.29492227D-08  0.31471518D-08  0.34218186D-08  0.37664545D-08  0.42171098D-08  0.47555007D-08  0.54086191D-08  0.62316157D-08  0.72207038D-08  0.83801501D-08  0.97491692D-08  0.11266673D-07  0.12910145D-07  0.14565362D-07  0.16098350D-07  0.17431367D-07  0.18454502D-07  0.19157287D-07  0.19580831D-07  0.19784749D-07  0.19834350D-07  0.19782733D-07  0.19668026D-07  0.19513080D-07  0.19328450D-07  0.19121878D-07  0.18894689D-07  0.18648507D-07  0.18382922D-07  0.18098403D-07  0.17795654D-07  0.17473629D-07  0.17133369D-07  0.16776480D-07  0.16402804D-07  0.16014995D-07  0.15614892D-07  0.15205918D-07  0.14791508D-07  0.14376143D-07  0.13963773D-07  0.13560758D-07  0.13172078D-07  0.12803623D-07  0.12461064D-07  0.12148859D-07  0.11871254D-07  0.11630730D-07  0.11428485D-07  0.11263869D-07  0.11134624D-07  0.11037125D-07  0.10966750D-07  0.10918346D-07  0.10886788D-07  0.10867372D-07  0.10856167D-07  0.10850138D-07  0.10847137D-07  0.10845766D-07  0.10845194D-07  0.10844986D-07  0.10844934D-07  0.10844897D-07  0.10844886D-07  0.10844882D-07  0.10844881D-07  0.10844881D-07  0.10844881D-07  0.10844881D-07  0.10844881D-07  0.10844881D-07  0.10844881D-07  0.10844881D-07  0.10844881D-07  0.10844881D-07  0.10844881D-07  0.10844881D-07  0.10844881D-07  0.10844881D-07  0.10844881D-07  0.10844881D-07  0.10844881D-07  0.10844881D-07  0.10844881D-07
Fe          0.30393505D-09  0.32633225D-09  0.34939930D-09  0.37203134D-09  0.39424424D-09  0.41604737D-09  0.43744793D-09  0.45845220D-09  0.47906599D-09  0.49929488D-09  0.51914420D-09  0.55772506D-09  0.57646666D-09  0.59484905D-09  0.63055613D-09  0.64789047D-09  0.68154479D-09  0.71387863D-09  0.75998629D-09  0.78918389D-09  0.83076138D-09  0.86978557D-09  0.90637759D-09  0.95158828D-09  0.99296041D-09  0.10396811D-08  0.10813148D-08  0.11252199D-08  0.11632327D-08  0.12010579D-08  0.12368950D-08  0.12660926D-08  0.12949439D-08  0.13169843D-08  0.13364885D-08  0.13512041D-08  0.13616657D-08  0.13688625D-08  0.13729263D-08  0.13742824D-08  0.13736718D-08  0.13714440D-08  0.13680862D-08  0.13636866D-08  0.13588213D-08  0.13535658D-08  0.13478050D-08  0.13418569D-08  0.13358749D-08  0.13297984D-08  0.13239552D-08  0.13183850D-08  0.13133456D-08  0.13090328D-08  0.13054439D-08  0.13026895D-08  0.13006870D-08  0.12992991D-08  0.12983946D-08  0.12978433D-08  0.12975433D-08  0.12974165D-08  0.12974085D-08  0.12974855D-08  0.12976254D-08  0.12978152D-08  0.12980459D-08  0.12983133D-08  0.12986145D-08  0.12989484D-08  0.12993168D-08  0.12997209D-08  0.13001615D-08  0.13006426D-08  0.13011648D-08  0.13017301D-08  0.13023381D-08  0.13029881D-08  0.13036768D-08  0.13044005D-08  0.13051494D-08  0.13059139D-08  0.13066797D-08  0.13074300D-08  0.13081479D-08  0.13088147D-08  0.13094148D-08  0.13099355D-08  0.13103702D-08  0.13107179D-08  0.13109837D-08  0.13111774D-08  0.13113113D-08  0.13113989D-08  0.13114530D-08  0.13114842D-08  0.13115010D-08  0.13115093D-08  0.13115132D-08  0.13115148D-08  0.13115153D-08  0.13115154D-08  0.13115154D-08  0.13115154D-08  0.13115154D-08  0.13115153D-08  0.13115153D-08  0.13115153D-08  0.13115153D-08  0.13115153D-08  0.13115153D-08  0.13115153D-08  0.13115153D-08  0.13115153D-08  0.13115153D-08  0.13115153D-08  0.13115153D-08  0.13115153D-08  0.13115153D-08  0.13115153D-08  0.13115153D-08  0.13115153D-08  0.13115153D-08  0.13115153D-08
Mg          0.15047259D-08  0.15690220D-08  0.16354464D-08  0.17005776D-08  0.17644099D-08  0.18269598D-08  0.18882454D-08  0.19482856D-08  0.20070996D-08  0.20647067D-08  0.21211264D-08  0.22304807D-08  0.22834531D-08  0.23353141D-08  0.24357769D-08  0.24844148D-08  0.25785932D-08  0.26687595D-08  0.27967876D-08  0.28775212D-08  0.29920201D-08  0.30989770D-08  0.31988055D-08  0.33215074D-08  0.34331471D-08  0.35584407D-08  0.36693537D-08  0.37855070D-08  0.38853403D-08  0.39839362D-08  0.40765791D-08  0.41514260D-08  0.42247415D-08  0.42802580D-08  0.43290037D-08  0.43655874D-08  0.43916462D-08  0.44099421D-08  0.44211082D-08  0.44263291D-08  0.44276298D-08  0.44260977D-08  0.44227450D-08  0.44180536D-08  0.44128329D-08  0.44072164D-08  0.44010323D-08  0.43945081D-08  0.43876771D-08  0.43803283D-08  0.43727488D-08  0.43649475D-08  0.43573239D-08  0.43503237D-08  0.43441431D-08  0.43391814D-08  0.43354666D-08  0.43328509D-08  0.43311336D-08  0.43300757D-08  0.43294753D-08  0.43291746D-08  0.43290656D-08  0.43290845D-08  0.43291956D-08  0.43293809D-08  0.43296319D-08  0.43299466D-08  0.43303254D-08  0.43307695D-08  0.43312839D-08  0.43318705D-08  0.43325303D-08  0.43332666D-08  0.43340770D-08  0.43349596D-08  0.43359081D-08  0.43369148D-08  0.43379684D-08  0.43390574D-08  0.43401628D-08  0.43412675D-08  0.43423503D-08  0.43433886D-08  0.43443623D-08  0.43452506D-08  0.43460378D-08  0.43467124D-08  0.43472702D-08  0.43477135D-08  0.43480509D-08  0.43482960D-08  0.43484654D-08  0.43485761D-08  0.43486444D-08  0.43486838D-08  0.43487050D-08  0.43487156D-08  0.43487204D-08  0.43487225D-08  0.43487229D-08  0.43487230D-08  0.43487229D-08  0.43487228D-08  0.43487228D-08  0.43487227D-08  0.43487227D-08  0.43487227D-08  0.43487227D-08  0.43487227D-08  0.43487227D-08  0.43487227D-08  0.43487227D-08  0.43487227D-08  0.43487227D-08  0.43487227D-08  0.43487227D-08  0.43487227D-08  0.43487227D-08  0.43487227D-08  0.43487227D-08  0.43487227D-08  0.43487227D-08  0.43487227D-08
S           0.66584756D-07  0.65733808D-07  0.64802015D-07  0.63860390D-07  0.62930260D-07  0.62021914D-07  0.61140796D-07  0.60289600D-07  0.59469409D-07  0.58680350D-07  0.57922001D-07  0.56494294D-07  0.55823037D-07  0.55178815D-07  0.53967357D-07  0.53398129D-07  0.52327907D-07  0.51342722D-07  0.50010083D-07  0.49209768D-07  0.48128219D-07  0.47175297D-07  0.46336962D-07  0.45376339D-07  0.44572439D-07  0.43755768D-07  0.43116117D-07  0.42542517D-07  0.42143376D-07  0.41856394D-07  0.41716501D-07  0.41734364D-07  0.41927284D-07  0.42264252D-07  0.42808762D-07  0.43523193D-07  0.44393460D-07  0.45473370D-07  0.46754981D-07  0.48147657D-07  0.49701385D-07  0.51463090D-07  0.53324505D-07  0.55381066D-07  0.57440573D-07  0.59513115D-07  0.61636039D-07  0.63664636D-07  0.65524864D-07  0.67216065D-07  0.68645205D-07  0.69825343D-07  0.70741500D-07  0.71413745D-07  0.71895518D-07  0.72216104D-07  0.72419273D-07  0.72541343D-07  0.72608442D-07  0.72640361D-07  0.72650512D-07  0.72647767D-07  0.72637370D-07  0.72621909D-07  0.72602756D-07  0.72580177D-07  0.72554168D-07  0.72524363D-07  0.72490391D-07  0.72451854D-07  0.72408063D-07  0.72358527D-07  0.72302796D-07  0.72240083D-07  0.72170000D-07  0.72092008D-07  0.72005882D-07  0.71911486D-07  0.71809066D-07  0.71698968D-07  0.71582519D-07  0.71461150D-07  0.71337120D-07  0.71213269D-07  0.71092624D-07  0.70978660D-07  0.70874500D-07  0.70782828D-07  0.70705358D-07  0.70642705D-07  0.70594371D-07  0.70558915D-07  0.70534255D-07  0.70518058D-07  0.70508048D-07  0.70502255D-07  0.70499133D-07  0.70497579D-07  0.70496867D-07  0.70496571D-07  0.70496463D-07  0.70496436D-07  0.70496417D-07  0.70496412D-07  0.70496410D-07  0.70496409D-07  0.70496409D-07  0.70496409D-07  0.70496409D-07  0.70496409D-07  0.70496409D-07  0.70496409D-07  0.70496409D-07  0.70496409D-07  0.70496409D-07  0.70496409D-07  0.70496409D-07  0.70496409D-07  0.70496409D-07  0.70496409D-07  0.70496409D-07  0.70496409D-07  0.70496409D-07  0.70496409D-07
Si          0.88321490D-09  0.11857025D-09  0.42286162D-10  0.35147869D-10  0.34923843D-10  0.35355515D-10  0.35828240D-10  0.36289807D-10  0.36740777D-10  0.37184850D-10  0.37624701D-10  0.38498016D-10  0.38933262D-10  0.39368229D-10  0.40238284D-10  0.40673617D-10  0.41545135D-10  0.42417810D-10  0.43728647D-10  0.44603396D-10  0.45916121D-10  0.47228744D-10  0.48540393D-10  0.50286380D-10  0.52027650D-10  0.54195787D-10  0.56353178D-10  0.58927141D-10  0.61485563D-10  0.64453737D-10  0.67830822D-10  0.71201872D-10  0.75425257D-10  0.79681738D-10  0.84866115D-10  0.90617648D-10  0.97015359D-10  0.10464093D-09  0.11368465D-09  0.12383119D-09  0.13583251D-09  0.15063728D-09  0.16806597D-09  0.19005356D-09  0.21578026D-09  0.24660217D-09  0.28512082D-09  0.33113568D-09  0.38480869D-09  0.44786480D-09  0.51735638D-09  0.59212145D-09  0.66694877D-09  0.73605671D-09  0.79655571D-09  0.84425054D-09  0.87919836D-09  0.90339927D-09  0.91930067D-09  0.92948740D-09  0.93594640D-09  0.94006984D-09  0.94269562D-09  0.94423748D-09  0.94481561D-09  0.94443204D-09  0.94300962D-09  0.94043423D-09  0.93658828D-09  0.93136876D-09  0.92465385D-09  0.91637667D-09  0.90651895D-09  0.89504372D-09  0.88202709D-09  0.86755651D-09  0.85180806D-09  0.83498961D-09  0.81737507D-09  0.79923261D-09  0.78094753D-09  0.76285179D-09  0.74532072D-09  0.72872001D-09  0.71335374D-09  0.69951077D-09  0.68738548D-09  0.67709863D-09  0.66866599D-09  0.66200887D-09  0.65696635D-09  0.65331609D-09  0.65080047D-09  0.64915821D-09  0.64814703D-09  0.64756314D-09  0.64724894D-09  0.64709252D-09  0.64702101D-09  0.64699122D-09  0.64698043D-09  0.64697774D-09  0.64697589D-09  0.64697534D-09  0.64697516D-09  0.64697511D-09  0.64697510D-09  0.64697510D-09  0.64697510D-09  0.64697509D-09  0.64697509D-09  0.64697509D-09  0.64697509D-09  0.64697509D-09  0.64697509D-09  0.64697509D-09  0.64697509D-09  0.64697509D-09  0.64697509D-09  0.64697509D-09  0.64697509D-09  0.64697509D-09  0.64697509D-09  0.64697509D-09
O           0.60213140D-04  0.60321951D-04  0.60381362D-04  0.60433532D-04  0.60484733D-04  0.60535428D-04  0.60585605D-04  0.60635245D-04  0.60684344D-04  0.60732907D-04  0.60780944D-04  0.60875482D-04  0.60922005D-04  0.60968046D-04  0.61058727D-04  0.61103388D-04  0.61191401D-04  0.61277736D-04  0.61404257D-04  0.61486720D-04  0.61607750D-04  0.61725767D-04  0.61840959D-04  0.61990448D-04  0.62135585D-04  0.62311369D-04  0.62481390D-04  0.62678452D-04  0.62868544D-04  0.63082247D-04  0.63316716D-04  0.63541614D-04  0.63810359D-04  0.64066398D-04  0.64358142D-04  0.64656503D-04  0.64958714D-04  0.65281575D-04  0.65618188D-04  0.65945279D-04  0.66275806D-04  0.66617176D-04  0.66947409D-04  0.67282802D-04  0.67593045D-04  0.67883583D-04  0.68162262D-04  0.68413681D-04  0.68633913D-04  0.68827660D-04  0.68988311D-04  0.69120270D-04  0.69223326D-04  0.69299915D-04  0.69355540D-04  0.69392787D-04  0.69416121D-04  0.69429462D-04  0.69435771D-04  0.69437362D-04  0.69435847D-04  0.69432310D-04  0.69427388D-04  0.69421375D-04  0.69414505D-04  0.69406817D-04  0.69398359D-04  0.69389104D-04  0.69379040D-04  0.69368151D-04  0.69356338D-04  0.69343563D-04  0.69329796D-04  0.69314920D-04  0.69298918D-04  0.69281733D-04  0.69263371D-04  0.69243849D-04  0.69223253D-04  0.69201674D-04  0.69179377D-04  0.69156624D-04  0.69133808D-04  0.69111402D-04  0.69089888D-04  0.69069810D-04  0.69051638D-04  0.69035765D-04  0.69022424D-04  0.69011674D-04  0.69003398D-04  0.68997334D-04  0.68993118D-04  0.68990350D-04  0.68988639D-04  0.68987649D-04  0.68987116D-04  0.68986850D-04  0.68986728D-04  0.68986678D-04  0.68986659D-04  0.68986654D-04  0.68986651D-04  0.68986650D-04  0.68986650D-04  0.68986650D-04  0.68986650D-04  0.68986650D-04  0.68986650D-04  0.68986650D-04  0.68986650D-04  0.68986650D-04  0.68986650D-04  0.68986650D-04  0.68986650D-04  0.68986650D-04  0.68986650D-04  0.68986650D-04  0.68986650D-04  0.68986650D-04  0.68986650D-04  0.68986650D-04  0.68986650D-04  0.68986650D-04
N           0.38684512D-04  0.38586408D-04  0.38571473D-04  0.38564044D-04  0.38557421D-04  0.38550960D-04  0.38544596D-04  0.38538319D-04  0.38532125D-04  0.38526010D-04  0.38519971D-04  0.38508107D-04  0.38502276D-04  0.38496510D-04  0.38485157D-04  0.38479567D-04  0.38468549D-04  0.38457734D-04  0.38441863D-04  0.38431500D-04  0.38416254D-04  0.38401341D-04  0.38386732D-04  0.38367686D-04  0.38349089D-04  0.38326411D-04  0.38304298D-04  0.38278422D-04  0.38253182D-04  0.38224444D-04  0.38192414D-04  0.38161137D-04  0.38122954D-04  0.38085641D-04  0.38041842D-04  0.37995409D-04  0.37946398D-04  0.37891442D-04  0.37830739D-04  0.37767738D-04  0.37699175D-04  0.37621976D-04  0.37539523D-04  0.37445693D-04  0.37346956D-04  0.37240375D-04  0.37120193D-04  0.36989801D-04  0.36849504D-04  0.36693846D-04  0.36526096D-04  0.36340927D-04  0.36138706D-04  0.35919696D-04  0.35675999D-04  0.35410658D-04  0.35121302D-04  0.34803064D-04  0.34453922D-04  0.34069471D-04  0.33648171D-04  0.33188727D-04  0.32687633D-04  0.32136931D-04  0.31539056D-04  0.30887243D-04  0.30180317D-04  0.29413284D-04  0.28584571D-04  0.27693728D-04  0.26735334D-04  0.25710166D-04  0.24620828D-04  0.23464553D-04  0.22247268D-04  0.20972562D-04  0.19649347D-04  0.18287097D-04  0.16899386D-04  0.15498858D-04  0.14107391D-04  0.12743439D-04  0.11429893D-04  0.10190200D-04  0.90444888D-05  0.80128507D-05  0.71091426D-05  0.63422389D-05  0.57134125D-05  0.52169330D-05  0.48408863D-05  0.45687088D-05  0.43811714D-05  0.42587639D-05  0.41834058D-05  0.41398960D-05  0.41164837D-05  0.41048290D-05  0.40995007D-05  0.40972815D-05  0.40964735D-05  0.40962718D-05  0.40961302D-05  0.40960872D-05  0.40960731D-05  0.40960692D-05  0.40960682D-05  0.40960678D-05  0.40960677D-05  0.40960676D-05  0.40960676D-05  0.40960676D-05  0.40960676D-05  0.40960676D-05  0.40960676D-05  0.40960676D-05  0.40960676D-05  0.40960676D-05  0.40960676D-05  0.40960676D-05  0.40960676D-05  0.40960676D-05  0.40960676D-05  0.40960676D-05
He          0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01
