 T(YR)=   100.00000000000000     
 ( H  He C  N  O  SI S  FE NA MG CL P F)
   999999.99709221639        90000.000138939271        170.00000066208875        61.999999200418777        240.00000034432813        7.9999999762481611E-003   7.9999999504403979E-002   3.0000000500000077E-003   2.0000000333152998E-003   6.9999999982900372E-003   9.9999995865770585E-004   1.9999999780015288E-004   6.6799998951877623E-003
 H         
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   1.2083641690932176E-010
        5034   1.1000373921748307E-011
        4957   9.4542076021703420E-012
        4525   8.5893738118738755E-012
         388   6.0856667958924033E-012
         980   6.0506238111851129E-012
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   6.7542391885577808E-009
        6992  -6.7346297202124460E-009
        1981  -5.7109971507334792E-012
        1989  -4.6119860962838129E-012
        5046  -2.7575037415275235E-012
        4989  -2.0927236615497243E-012
 C         
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   2.6793669099806340E-011
         313   1.9878094772202908E-011
        5046   2.7575037415275235E-012
        2027   2.4083033190145757E-012
        1988   9.9889574333562904E-013
         339   1.8348436553732215E-013
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   2.3744578538080988E-011
        3470  -1.9702883703905234E-011
        3489  -1.8099676055711956E-012
        3501  -5.6292335144589142E-013
        3502  -4.3954497614324313E-013
        6169  -3.5419213191711702E-013
 Fe        
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   3.1029771533068249E-014
        6980   3.0834017170810464E-014
        6769   1.4126471126411735E-016
        5744   2.2495338423587141E-017
        5195   1.1755019425952206E-017
        5651   9.8252822763980294E-018
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   3.6377988225140590E-015
         301  -2.0897139051231426E-015
        5177  -6.6286864783956726E-016
        4750  -3.3143432391978363E-016
        4751  -3.0547223706323528E-016
        5062  -8.5192613048573918E-017
 Mg        
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   9.0365014000193390E-014
        6983   9.0016984867082035E-014
        6772   2.3363409036562142E-016
        5746   4.5150190371767934E-017
        5232   2.3593393213816762E-017
        5653   1.9720235227516493E-017
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   9.0501191637820112E-015
        5178  -4.5596038717644155E-015
         302  -3.2977576695060877E-015
        4856  -4.4408416752589889E-016
        5063  -1.6243384132540411E-016
        4859  -1.1399634643004650E-016
 S         
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   1.1307959528332011E-012
         333   5.7942866959134752E-013
        2119   4.4431678286743666E-013
        3476   2.4368169257420017E-014
        3159   1.9890967980832665E-014
        6528   1.7118730595198717E-014
 REACTIONS OF DESTRUCTION    Total flux (cm-3s-1) =   9.8477145033391630E-013
         844  -7.7222040490706465E-013
         304  -1.5803579943730539E-013
        1715  -1.9805495068704543E-014
        5066  -8.4550802843513442E-015
         845  -4.1737781153058659E-015
 Si        
 REACTIONS OF PRODUTION    Total flux (cm-3s-1) =   1.8943207270271710E-013
         331   1.4959637764621991E-013
