!
! 05-JAN-2020 20:14:54
! Input file  : ngc1333_c34s32_conv.30m
! Input command: ANALYSE\PRINT area -12.4 -9.5 /OUTPUT ngc1333_c34s32_1s.txt
!
 1     73.581   -150.400  9.55999E-02
 2     64.631   -150.400  9.55999E-02
 3     55.681   -150.400  9.55999E-02
 4     46.731   -150.400  9.55999E-02
 5     46.731   -141.450  9.55999E-02
 6     55.681   -141.450  9.55999E-02
 7     64.631   -141.450  9.55999E-02
 8     73.581   -141.450  9.55999E-02
 9    163.081   -132.500  0.10304    
 10    154.131   -132.500  0.10304    
 11     64.631   -132.500  9.55999E-02
 12     55.681   -132.500  9.55999E-02
 13    145.181   -123.550  0.10304    
 14    154.131   -123.550  0.10304    
 15    163.081   -123.550  0.10304    
 16    172.031   -123.550  0.10303    
 17    180.981   -123.550  0.22598    
 18    189.931   -123.550  0.26545    
 19    198.881   -123.550  0.26318    
 20    207.831   -123.550  0.25807    
 21    216.781   -123.550  0.41613    
 22    225.731   -123.550  0.27688    
 23    243.631   -114.600  0.29586    
 24    234.681   -114.600  0.24952    
 25    225.731   -114.600  0.27810    
 26    216.781   -114.600  0.41160    
 27    207.831   -114.600  0.23999    
 28    198.881   -114.600  0.26039    
 29    189.931   -114.600  0.25727    
 30    180.981   -114.600  0.22617    
 31    172.031   -114.600 -3.95652E-03
 32    163.081   -114.600  0.10304    
 33    154.131   -114.600  0.10304    
 34    145.181   -114.600  0.10304    
 35    154.131   -105.650  0.10304    
 36    163.081   -105.650  2.79599E-02
 37    172.031   -105.650  2.63461E-02
 38    180.981   -105.650  0.17354    
 39    189.931   -105.650  0.22924    
 40    198.881   -105.650  0.29230    
 41    207.831   -105.650  0.24282    
 42    216.781   -105.650  0.38665    
 43    225.731   -105.650  0.27878    
 44    234.681   -105.650  0.25579    
 45    243.631   -105.650  0.25728    
 46    243.631    -96.700  0.17414    
 47    234.681    -96.700  0.20306    
 48    225.731    -96.700  0.57344    
 49    216.781    -96.700  0.69540    
 50    207.831    -96.700  0.38948    
 51    198.881    -96.700  0.39068    
 52    189.931    -96.700  0.32644    
 53    180.981    -96.700  0.40622    
 54    172.031    -96.700  0.22088    
 55    163.081    -96.700  0.29561    
 56    154.131    -96.700  0.29874    
 57    154.131    -87.750  0.32945    
 58    163.081    -87.750  0.30432    
 59    172.031    -87.750  0.38127    
 60    180.981    -87.750  0.37313    
 61    189.931    -87.750  0.45808    
 62    198.881    -87.750  0.57822    
 63    207.831    -87.750  0.59372    
 64    216.781    -87.750  0.67301    
 65    225.731    -87.750  0.63192    
 66    234.681    -87.750  0.25773    
 67    243.631    -87.750  0.23393    
 68    243.631    -78.800  0.20518    
 69    234.681    -78.800  0.21526    
 70    225.731    -78.800  0.36902    
 71    216.781    -78.800  0.73146    
 72    207.831    -78.800  0.79462    
 73    198.881    -78.800   1.2044    
 74    189.931    -78.800   1.0104    
 75    180.981    -78.800  0.75901    
 76    172.031    -78.800  0.39685    
 77    163.081    -78.800  0.25004    
 78    154.131    -78.800  0.23063    
 79    154.131    -69.850  0.37573    
 80    163.081    -69.850  0.38563    
 81    172.031    -69.850  0.47568    
 82    180.981    -69.850  0.71093    
 83    189.931    -69.850   1.1664    
 84    198.881    -69.850   1.3907    
 85    207.831    -69.850  0.64339    
 86    216.781    -69.850  0.29200    
 87    225.731    -69.850  0.24844    
 88    234.681    -69.850  3.96487E-02
 89    243.631    -69.850  3.73448E-02
 90    243.631    -60.900  0.25139    
 91    234.681    -60.900  0.24097    
 92    225.731    -60.900  2.48618E-02
 93    216.781    -60.900  0.28640    
 94    207.831    -60.900  0.65767    
 95    198.881    -60.900   1.5637    
 96    189.931    -60.900   1.5408    
 97    180.981    -60.900  0.58247    
 98    172.031    -60.900  0.35611    
 99    163.081    -60.900  0.38951    
 100    154.131    -60.900  0.37663    
 101     19.881    -60.900  0.42184    
 102     10.931    -51.950  0.42184    
 103     19.881    -51.950  0.42184    
 104     28.831    -51.950  0.42184    
 105    154.131    -51.950  0.54131    
 106    163.081    -51.950  0.54000    
 107    172.031    -51.950  0.53367    
 108    180.981    -51.950  0.59559    
 109    189.931    -51.950   1.1974    
 110    198.881    -51.950   1.3976    
 111    207.831    -51.950  0.77919    
 112    216.781    -51.950  0.46021    
 113    225.731    -51.950  0.44653    
 114    234.681    -51.950  0.31249    
 115    243.631    -51.950  0.31094    
 116    243.631    -43.000  0.20370    
 117    234.681    -43.000  0.57259    
 118    225.731    -43.000  0.64761    
 119    216.781    -43.000  0.67004    
 120    207.831    -43.000  0.87651    
 121    198.881    -43.000   1.2762    
 122    189.931    -43.000   1.0078    
 123    180.981    -43.000  0.64825    
 124    172.031    -43.000  0.54310    
 125    163.081    -43.000  0.62855    
 126     37.781    -43.000  0.26974    
 127     28.831    -43.000  0.42184    
 128     19.881    -43.000  0.42184    
