!
! 05-JAN-2020 20:01:54
! Input file  : ngc1333_c34s32_conv.30m
! Input command: ANALYSE\PRINT area -11.8 -9.6 /OUTPUT ngc1333_c34s32_int.txt
!
 1     73.581   -150.400  0.11522    
 2     64.631   -150.400  0.11522    
 3     55.681   -150.400  0.11522    
 4     46.731   -150.400  0.11522    
 5     46.731   -141.450  0.11522    
 6     55.681   -141.450  0.11522    
 7     64.631   -141.450  0.11522    
 8     73.581   -141.450  0.11522    
 9    163.081   -132.500  0.10943    
 10    154.131   -132.500  0.10943    
 11     64.631   -132.500  0.11522    
 12     55.681   -132.500  0.11522    
 13    145.181   -123.550  0.10943    
 14    154.131   -123.550  0.10943    
 15    163.081   -123.550  0.10943    
 16    172.031   -123.550  0.10942    
 17    180.981   -123.550  0.30079    
 18    189.931   -123.550  0.22829    
 19    198.881   -123.550  0.23249    
 20    207.831   -123.550  0.22086    
 21    216.781   -123.550  0.36339    
 22    225.731   -123.550  0.28196    
 23    243.631   -114.600  0.30999    
 24    234.681   -114.600  0.29737    
 25    225.731   -114.600  0.28290    
 26    216.781   -114.600  0.36029    
 27    207.831   -114.600  0.20674    
 28    198.881   -114.600  0.22935    
 29    189.931   -114.600  0.22629    
 30    180.981   -114.600  0.29922    
 31    172.031   -114.600  6.05335E-02
 32    163.081   -114.600  0.10942    
 33    154.131   -114.600  0.10943    
 34    145.181   -114.600  0.10943    
 35    154.131   -105.650  0.10942    
 36    163.081   -105.650  5.30112E-02
 37    172.031   -105.650  7.42689E-02
 38    180.981   -105.650  0.20832    
 39    189.931   -105.650  0.24126    
 40    198.881   -105.650  0.26547    
 41    207.831   -105.650  0.23395    
 42    216.781   -105.650  0.33496    
 43    225.731   -105.650  0.27423    
 44    234.681   -105.650  0.23744    
 45    243.631   -105.650  0.23650    
 46    243.631    -96.700  0.20542    
 47    234.681    -96.700  0.22804    
 48    225.731    -96.700  0.46989    
 49    216.781    -96.700  0.60727    
 50    207.831    -96.700  0.30655    
 51    198.881    -96.700  0.34206    
 52    189.931    -96.700  0.24126    
 53    180.981    -96.700  0.33416    
 54    172.031    -96.700  0.17657    
 55    163.081    -96.700  0.19550    
 56    154.131    -96.700  0.19456    
 57    154.131    -87.750  0.29771    
 58    163.081    -87.750  0.27059    
 59    172.031    -87.750  0.32013    
 60    180.981    -87.750  0.26544    
 61    189.931    -87.750  0.42731    
 62    198.881    -87.750  0.48059    
 63    207.831    -87.750  0.55090    
 64    216.781    -87.750  0.56899    
 65    225.731    -87.750  0.60775    
 66    234.681    -87.750  0.35595    
 67    243.631    -87.750  0.33459    
 68    243.631    -78.800  0.25638    
 69    234.681    -78.800  0.26588    
 70    225.731    -78.800  0.39200    
 71    216.781    -78.800  0.67729    
 72    207.831    -78.800  0.67151    
 73    198.881    -78.800   1.0168    
 74    189.931    -78.800  0.86929    
 75    180.981    -78.800  0.62569    
 76    172.031    -78.800  0.36648    
 77    163.081    -78.800  0.22758    
 78    154.131    -78.800  0.23183    
 79    154.131    -69.850  0.34110    
 80    163.081    -69.850  0.34451    
 81    172.031    -69.850  0.44978    
 82    180.981    -69.850  0.58273    
 83    189.931    -69.850   1.0135    
 84    198.881    -69.850   1.1621    
 85    207.831    -69.850  0.59364    
 86    216.781    -69.850  0.37704    
 87    225.731    -69.850  0.36632    
 88    234.681    -69.850  0.12460    
 89    243.631    -69.850  0.12065    
 90    243.631    -60.900  0.30388    
 91    234.681    -60.900  0.29342    
 92    225.731    -60.900  0.16043    
 93    216.781    -60.900  0.37778    
 94    207.831    -60.900  0.68465    
 95    198.881    -60.900   1.4110    
 96    189.931    -60.900   1.4044    
 97    180.981    -60.900  0.50877    
 98    172.031    -60.900  0.36185    
 99    163.081    -60.900  0.38064    
 100    154.131    -60.900  0.37628    
 101     19.881    -60.900  0.39494    
 102     10.931    -51.950  0.39494    
 103     19.881    -51.950  0.39494    
 104     28.831    -51.950  0.39494    
 105    154.131    -51.950  0.44617    
 106    163.081    -51.950  0.44611    
 107    172.031    -51.950  0.45954    
