!
! 15-AUG-2019 20:24:32
! Input file  : ngc1333_cn10_conv.30m
! Input command: ANALYSE\PRINT area -3.7 -1 /OUTPUT ngc1333_cn10_int_1.txt
!
 1    261.770   -164.703  0.19895    
 2    247.120   -164.703  0.13447    
 3    232.470   -164.703  7.25134E-02
 4    217.820   -164.703  5.55039E-03
 5    203.170   -164.703 -9.63003E-02
 6    188.520   -164.703 -0.16296    
 7    173.870   -164.703  6.62649E-02
 8    159.220   -164.703  3.53243E-02
 9    144.570   -164.703  9.15594E-02
 10    129.920   -164.703  0.47597    
 11    115.270   -164.703  0.56232    
 12    100.620   -164.703  0.58691    
 13     85.970   -164.703  0.86905    
 14     71.320   -164.703   1.1840    
 15     56.670   -164.703   1.0059    
 16     42.020   -164.703  0.61365    
 17     27.370   -164.703  0.50560    
 18     12.720   -164.703  0.50044    
 19     -1.930   -164.703  0.46165    
 20    -16.580   -164.703  0.41236    
 21   -119.130   -150.053  0.43326    
 22   -104.480   -150.053  0.40768    
 23    -89.830   -150.053 -0.39148    
 24    -75.180   -150.053 -0.82239    
 25    -60.530   -150.053  0.16605    
 26    -45.880   -150.053  0.32406    
 27    -31.230   -150.053  0.30743    
 28    -16.580   -150.053  0.63734    
 29     -1.930   -150.053  0.67507    
 30     12.720   -150.053  0.72389    
 31     27.370   -150.053  0.81262    
 32     42.020   -150.053  0.93472    
 33     56.670   -150.053   1.1972    
 34     71.320   -150.053   1.2980    
 35     85.970   -150.053  0.96794    
 36    100.620   -150.053  0.57819    
 37    115.270   -150.053  0.56583    
 38    129.920   -150.053  0.50124    
 39    144.570   -150.053  7.55578E-02
 40    159.220   -150.053  2.73732E-02
 41    173.870   -150.053  0.10231    
 42    188.520   -150.053 -0.18196    
 43    203.170   -150.053 -2.83802E-02
 44    217.820   -150.053  0.25008    
 45    232.470   -150.053  0.31292    
 46    247.120   -150.053  0.30947    
 47    261.770   -150.053  0.28817    
 48    261.770   -135.403  0.22059    
 49    247.120   -135.403  0.19699    
 50    232.470   -135.403  0.18780    
 51    217.820   -135.403  0.17043    
 52    203.170   -135.403  3.91930E-02
 53    188.520   -135.403 -8.08806E-03
 54    173.870   -135.403  0.15519    
 55    159.220   -135.403  0.13572    
 56    144.570   -135.403  0.29131    
 57    129.920   -135.403  0.61577    
 58    115.270   -135.403  0.59235    
 59    100.620   -135.403  0.60378    
 60     85.970   -135.403  0.84018    
 61     71.320   -135.403   1.0883    
 62     56.670   -135.403   1.1516    
 63     42.020   -135.403   1.0553    
 64     27.370   -135.403   1.0256    
 65     12.720   -135.403  0.99100    
 66     -1.930   -135.403  0.94789    
 67    -16.580   -135.403  0.50147    
 68    -31.230   -135.403  0.32502    
 69    -45.880   -135.403  0.34355    
 70    -60.530   -135.403  0.22528    
 71    -75.180   -135.403 -0.60728    
 72    -89.830   -135.403 -0.22103    
 73   -104.480   -135.403  0.42268    
 74   -119.130   -135.403  0.45397    
 75   -133.780   -135.403  0.45531    
 76   -148.430   -120.753  0.46377    
 77   -133.780   -120.753  0.47163    
 78   -119.130   -120.753  0.47032    
 79   -104.480   -120.753  0.44372    
 80    -89.830   -120.753 -2.91721E-02
 81    -75.180   -120.753 -0.34410    
 82    -60.530   -120.753  0.27794    
 83    -45.880   -120.753  0.37020    
 84    -31.230   -120.753  0.35051    
 85    -16.580   -120.753  0.28061    
 86     -1.930   -120.753  0.79445    
 87     12.720   -120.753  0.97709    
 88     27.370   -120.753  0.98534    
 89     42.020   -120.753  0.99648    
 90     56.670   -120.753  0.99120    
 91     71.320   -120.753  0.87985    
 92     85.970   -120.753  0.76147    
 93    100.620   -120.753  0.61443    
 94    115.270   -120.753  0.54538    
 95    129.920   -120.753  0.58035    
 96    144.570   -120.753  0.53165    
 97    159.220   -120.753  0.40914    
 98    173.870   -120.753  0.22463    
 99    188.520   -120.753  0.16256    
 100    203.170   -120.753  0.22020    
 101    217.820   -120.753  0.33430    
 102    232.470   -120.753  0.38283    
 103    247.120   -120.753  0.43714    
 104    261.770   -120.753  0.51091    
 105    276.420   -120.753  0.90922    
 106    276.420   -106.103  0.60018    
 107    261.770   -106.103  0.59779    
 108    247.120   -106.103  0.58759    
 109    232.470   -106.103  0.60614    
 110    217.820   -106.103  0.59172    
 111    203.170   -106.103  0.45299    
 112    188.520   -106.103  0.30210    
 113    173.870   -106.103  0.34456    
 114    159.220   -106.103  0.51404    
 115    144.570   -106.103  0.52410    
 116    129.920   -106.103  0.50757    
 117    115.270   -106.103  0.54633    
 118    100.620   -106.103  0.57861    
 119     85.970   -106.103  0.77502    
 120     71.320   -106.103  0.97159    
 121     56.670   -106.103   1.0196    
 122     42.020   -106.103   1.0033    
 123     27.370   -106.103  0.99899    
 124     12.720   -106.103  0.90094    
 125     -1.930   -106.103  0.52604    
 126    -16.580   -106.103  0.27042    
 127    -31.230   -106.103  0.42073    
 128    -45.880   -106.103  0.41188    
 129    -60.530   -106.103  0.32183    
 130    -75.180   -106.103  3.92354E-03
