!
! 15-AUG-2019 20:26:28
! Input file  : ngc1333_cn10_conv.30m
! Input command: ANALYSE\PRINT area -88.7 -86.9 /OUTPUT ngc1333_cn10_int_5.txt
!
 1    261.770   -164.703 -0.10245    
 2    247.120   -164.703 -7.50555E-02
 3    232.470   -164.703 -7.88784E-02
 4    217.820   -164.703 -5.97575E-02
 5    203.170   -164.703  1.28147E-02
 6    188.520   -164.703  7.07147E-02
 7    173.870   -164.703  4.09164E-02
 8    159.220   -164.703 -3.00324E-02
 9    144.570   -164.703  5.74215E-02
 10    129.920   -164.703  0.10907    
 11    115.270   -164.703  0.11390    
 12    100.620   -164.703  8.38993E-02
 13     85.970   -164.703  0.22837    
 14     71.320   -164.703  0.24396    
 15     56.670   -164.703  8.90542E-02
 16     42.020   -164.703 -5.59180E-02
 17     27.370   -164.703  0.12140    
 18     12.720   -164.703  0.20255    
 19     -1.930   -164.703  0.20584    
 20    -16.580   -164.703  0.18800    
 21   -119.130   -150.053  4.40766E-02
 22   -104.480   -150.053  2.39041E-02
 23    -89.830   -150.053  0.33123    
 24    -75.180   -150.053  0.50289    
 25    -60.530   -150.053  0.12472    
 26    -45.880   -150.053  0.14194    
 27    -31.230   -150.053  0.16199    
 28    -16.580   -150.053  0.19747    
 29     -1.930   -150.053  0.17924    
 30     12.720   -150.053  0.15530    
 31     27.370   -150.053  0.10826    
 32     42.020   -150.053  9.07030E-04
 33     56.670   -150.053  0.11855    
 34     71.320   -150.053  0.26082    
 35     85.970   -150.053  0.19167    
 36    100.620   -150.053  8.04630E-02
 37    115.270   -150.053  6.95338E-02
 38    129.920   -150.053  8.62018E-02
 39    144.570   -150.053  0.14724    
 40    159.220   -150.053  5.34605E-02
 41    173.870   -150.053  3.83253E-02
 42    188.520   -150.053  7.03208E-02
 43    203.170   -150.053  7.77798E-02
 44    217.820   -150.053  8.87353E-02
 45    232.470   -150.053  0.13100    
 46    247.120   -150.053  0.16635    
 47    261.770   -150.053  0.18643    
 48    261.770   -135.403  4.64592E-02
 49    247.120   -135.403  6.62350E-02
 50    232.470   -135.403  9.21826E-02
 51    217.820   -135.403  0.11541    
 52    203.170   -135.403  0.12061    
 53    188.520   -135.403  0.13192    
 54    173.870   -135.403  7.53157E-02
 55    159.220   -135.403  0.10393    
 56    144.570   -135.403  0.16858    
 57    129.920   -135.403  0.13272    
 58    115.270   -135.403  0.11107    
 59    100.620   -135.403  9.41522E-02
 60     85.970   -135.403  0.13250    
 61     71.320   -135.403  0.14900    
 62     56.670   -135.403  9.73629E-02
 63     42.020   -135.403  2.11609E-02
 64     27.370   -135.403  4.14470E-02
 65     12.720   -135.403  6.59474E-02
 66     -1.930   -135.403  8.59068E-02
 67    -16.580   -135.403  0.12151    
 68    -31.230   -135.403  0.13040    
 69    -45.880   -135.403  0.13419    
 70    -60.530   -135.403  0.14491    
 71    -75.180   -135.403  0.44707    
 72    -89.830   -135.403  0.26194    
 73   -104.480   -135.403 -2.35044E-02
 74   -119.130   -135.403 -3.63779E-02
 75   -133.780   -135.403 -3.68410E-02
 76   -148.430   -120.753 -8.17691E-02
 77   -133.780   -120.753 -8.94345E-02
 78   -119.130   -120.753 -8.88043E-02
 79   -104.480   -120.753 -7.50791E-02
 80    -89.830   -120.753  0.17655    
 81    -75.180   -120.753  0.36691    
 82    -60.530   -120.753  0.16179    
 83    -45.880   -120.753  0.12248    
 84    -31.230   -120.753  9.21131E-02
 85    -16.580   -120.753  8.10055E-02
 86     -1.930   -120.753  0.22966    
 87     12.720   -120.753  8.75963E-02
 88     27.370   -120.753  0.10232    
 89     42.020   -120.753  5.93690E-02
 90     56.670   -120.753 -2.83261E-02
 91     71.320   -120.753  5.97092E-02
 92     85.970   -120.753  7.69105E-02
 93    100.620   -120.753  5.81934E-02
 94    115.270   -120.753  9.94610E-02
 95    129.920   -120.753  7.83281E-02
 96    144.570   -120.753  9.41729E-02
 97    159.220   -120.753  4.49813E-02
 98    173.870   -120.753 -4.20587E-02
 99    188.520   -120.753  7.06921E-02
 100    203.170   -120.753  2.72821E-02
 101    217.820   -120.753  3.03493E-03
 102    232.470   -120.753  1.69255E-02
 103    247.120   -120.753  3.69203E-02
 104    261.770   -120.753  5.32752E-02
 105    276.420   -120.753 -0.25305    
 106    276.420   -106.103  0.23875    
 107    261.770   -106.103  9.57383E-02
 108    247.120   -106.103  8.08770E-02
 109    232.470   -106.103  0.13634    
 110    217.820   -106.103  0.10376    
 111    203.170   -106.103  6.20956E-02
 112    188.520   -106.103  3.60156E-02
 113    173.870   -106.103 -7.89230E-02
 114    159.220   -106.103  9.15597E-02
