!
! 05-JAN-2020 19:43:15
! Input file  : ngc1333_cs32_conv.30m
! Input command: ANALYSE\PRINT area -18.6 -7.2 /OUTPUT ngc1333_cs32_int.txt
!
 1     88.920   -141.403   3.4413    
 2    124.120   -141.403   4.2293    
 3    141.720   -141.403   5.0142    
 4    185.720   -141.403   1.5896    
 5    220.920   -132.603  0.53356    
 6    212.120   -132.603 -9.36916E-02
 7    203.320   -132.603 -0.13095    
 8    194.520   -132.603   1.7696    
 9    185.720   -132.603   1.6012    
 10    176.920   -132.603   4.2307    
 11    168.120   -132.603   4.3024    
 12    159.320   -132.603   5.7320    
 13    150.520   -132.603   5.9028    
 14    141.720   -132.603   5.0078    
 15    132.920   -132.603   4.3612    
 16    124.120   -132.603   4.1694    
 17    115.320   -132.603   4.2081    
 18    106.520   -132.603   2.9546    
 19     97.720   -132.603   1.8940    
 20     88.920   -132.603   3.4496    
 21     80.120   -132.603   3.4417    
 22      0.920   -132.603   1.3923    
 23     -7.880   -132.603   1.5884    
 24    -16.680   -132.603   2.1817    
 25    -25.480   -132.603   2.2176    
 26    -34.280   -132.603   2.6309    
 27    -43.080   -132.603   2.3915    
 28    -51.880   -132.603   2.1227    
 29    -60.680   -132.603   1.5772    
 30    -69.480   -132.603   1.6928    
 31    -78.280   -132.603   1.4886    
 32    -87.080   -132.603   1.7991    
 33    -95.880   -132.603   1.6284    
 34   -104.680   -132.603   1.2911    
 35   -113.480   -132.603   1.2603    
 36   -122.280   -132.603  0.81466    
 37   -131.080   -132.603   1.1283    
 38   -139.880   -132.603   1.1191    
 39   -148.680   -132.603   1.0501    
 40   -157.480   -132.603   1.2003    
 41   -166.280   -132.603  0.17008    
 42   -175.080   -132.603 -1.88459E-02
 43   -183.880   -132.603  0.13151    
 44   -192.680   -123.803 -0.71123    
 45   -183.880   -123.803 -0.21591    
 46   -175.080   -123.803 -2.34506E-02
 47   -166.280   -123.803  0.17114    
 48   -157.480   -123.803   1.2003    
 49   -148.680   -123.803   1.0501    
 50   -139.880   -123.803   1.0898    
 51   -131.080   -123.803   1.1242    
 52   -122.280   -123.803  0.81464    
 53   -113.480   -123.803   1.2603    
 54   -104.680   -123.803   1.2955    
 55    -95.880   -123.803   1.6314    
 56    -87.080   -123.803   1.8023    
 57    -78.280   -123.803   1.4825    
