!
! 05-JAN-2020 20:28:00
! Input file  : ngc1333_h13cn10_conv.30m
! Input command: ANALYSE\PRINT area -14.5 3.8 /OUTPUT ngc1333_h13cn10_1s.txt
!
 1     52.531   -169.050  0.10534    
 2     67.531   -169.050  -135.50    
 3     82.531   -154.050  -135.50    
 4     67.531   -154.050  0.10534    
 5     52.531   -154.050  -135.50    
 6     37.531   -154.050  -135.50    
 7     37.531   -139.050  -135.50    
 8     52.531   -139.050  -135.50    
 9     67.531   -139.050  -135.50    
 10     82.531   -139.050  -135.50    
 11    142.531   -139.050  -135.16    
 12    157.531   -139.050  -135.16    
 13    172.531   -139.050  -135.16    
 14    247.531   -124.050  -135.05    
 15    232.531   -124.050  -135.42    
 16    217.531   -124.050  0.23327    
 17    202.531   -124.050  -135.42    
 18    187.531   -124.050  -135.63    
 19    172.531   -124.050  -135.16    
 20    157.531   -124.050  0.51748    
 21    142.531   -124.050  0.51748    
 22     67.531   -124.050  0.10534    
 23     52.531   -124.050  -135.50    
 24    142.531   -109.050  -135.16    
 25    157.531   -109.050  -135.16    
 26    172.531   -109.050  -135.42    
 27    187.531   -109.050  -135.56    
 28    202.531   -109.050  -135.37    
 29    217.531   -109.050  -135.10    
 30    232.531   -109.050  -134.98    
 31    247.531   -109.050  -134.71    
 32    247.531    -94.050  -134.10    
 33    232.531    -94.050  -134.26    
 34    217.531    -94.050  -134.30    
 35    202.531    -94.050  -134.55    
 36    187.531    -94.050  -135.25    
 37    172.531    -94.050  -135.18    
 38    157.531    -94.050  -135.20    
 39    157.531    -79.050  -135.91    
 40    172.531    -79.050  -135.49    
 41    187.531    -79.050  -134.24    
 42    202.531    -79.050  -134.02    
 43    217.531    -79.050  -134.20    
 44    232.531    -79.050  -134.60    
 45    247.531    -79.050  -134.52    
 46    247.531    -64.050  -134.15    
 47    232.531    -64.050  -134.23    
 48    217.531    -64.050  -134.07    
 49    202.531    -64.050  -133.65    
 50    187.531    -64.050  -134.10    
 51    172.531    -64.050  0.38101    
 52    157.531    -64.050  -135.42    
 53     37.531    -64.050  0.49001    
 54     22.531    -64.050  0.49001    
 55      7.531    -64.050  0.49001    
 56    -37.469    -49.050  0.48849    
 57    -22.469    -49.050  0.50214    
