!
! 01-AUG-2019 13:37:49
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area 9.5 10.7 /OUTPUT smm1_cn10_red_comp1.txt
!
 1    238.386   -226.500  0.33553    
 2    223.736   -226.500  0.32846    
 3    209.086   -226.500  0.32864    
 4    194.436   -226.500  0.33017    
 5    179.786   -226.500  0.34430    
 6    165.136   -226.500  0.32816    
 7    150.486   -226.500  0.13846    
 8    135.836   -226.500  7.43753E-02
 9    121.186   -226.500 -2.55643E-02
 10    106.536   -226.500 -5.20105E-02
 11     91.886   -226.500 -5.54554E-02
 12     77.236   -226.500 -5.59653E-02
 13     33.286   -211.850 -0.40606    
 14     47.936   -211.850 -8.76274E-02
 15     62.586   -211.850  6.28848E-02
 16     77.236   -211.850  8.70390E-02
 17     91.886   -211.850  6.46971E-02
 18    106.536   -211.850  6.80997E-02
 19    121.186   -211.850  9.07129E-02
 20    135.836   -211.850  0.13280    
 21    150.486   -211.850  0.10795    
 22    165.136   -211.850  0.18439    
 23    179.786   -211.850  0.14333    
 24    194.436   -211.850  0.14370    
 25    209.086   -211.850  0.14690    
 26    223.736   -211.850  0.14741    
 27    238.386   -211.850  0.16807    
 28    253.036   -211.850  0.12784    
 29    267.686   -211.850  8.60910E-02
 30    267.686   -197.200  0.13313    
 31    253.036   -197.200  0.13221    
 32    238.386   -197.200  0.17624    
 33    223.736   -197.200  0.20158    
 34    209.086   -197.200  8.25615E-02
 35    194.436   -197.200  6.92636E-02
 36    179.786   -197.200  3.57477E-02
 37    165.136   -197.200  0.11144    
 38    150.486   -197.200  6.25061E-02
 39    135.836   -197.200  0.17056    
 40    121.186   -197.200  0.19068    
 41    106.536   -197.200  0.17318    
 42     91.886   -197.200  0.21090    
 43     77.236   -197.200  0.14787    
 44     62.586   -197.200  6.85927E-02
 45     47.936   -197.200 -7.86692E-02
 46     33.286   -197.200 -0.20446    
 47     18.636   -197.200 -0.22835    
 48    -39.964   -182.550 -0.21733    
 49    -25.314   -182.550 -0.15098    
 50    -10.664   -182.550  5.43801E-02
 51      3.986   -182.550  4.56835E-02
 52     18.636   -182.550 -0.17152    
 53     33.286   -182.550 -0.15763    
 54     47.936   -182.550 -6.19617E-02
 55     62.586   -182.550  7.90564E-02
 56     77.236   -182.550  0.15234    
 57     91.886   -182.550  0.26963    
 58    106.536   -182.550  0.36384    
 59    121.186   -182.550  0.41387    
 60    135.836   -182.550  0.27655    
 61    150.486   -182.550  0.12930    
 62    165.136   -182.550  0.16483    
 63    179.786   -182.550  1.45973E-02
 64    194.436   -182.550  4.45905E-03
 65    209.086   -182.550  5.26618E-02
 66    223.736   -182.550  0.30259    
 67    238.386   -182.550  0.14502    
 68    253.036   -182.550  0.12480    
 69    267.686   -182.550  0.12869    
 70    267.686   -167.900  7.46261E-02
 71    253.036   -167.900  6.84057E-02
 72    238.386   -167.900  7.22342E-02
 73    223.736   -167.900  0.21915    
 74    209.086   -167.900  0.10111    
 75    194.436   -167.900  8.96758E-02
 76    179.786   -167.900  6.50344E-02
 77    165.136   -167.900  8.25718E-02
 78    150.486   -167.900  0.15901    
 79    135.836   -167.900  0.40682    
 80    121.186   -167.900  0.53381    
 81    106.536   -167.900  0.32664    
 82     91.886   -167.900  0.24834    
 83     77.236   -167.900  0.16887    
 84     62.586   -167.900  9.91264E-02
 85     47.936   -167.900 -3.53170E-02
 86     33.286   -167.900 -0.10656    
 87     18.636   -167.900 -0.11039    
 88      3.986   -167.900  4.62882E-02
 89    -10.664   -167.900  5.37697E-02
 90    -25.314   -167.900 -0.15069    
 91    -39.964   -167.900 -0.20236    
 92    -54.614   -167.900 -0.10336    
 93    -69.264   -167.900 -9.51604E-02
 94    -83.914   -167.900 -4.61841E-02
 95    -98.564   -153.250  3.37948E-02
 96    -83.914   -153.250 -2.06388E-02
 97    -69.264   -153.250 -7.39537E-02
 98    -54.614   -153.250 -7.52011E-02
 99    -39.964   -153.250 -0.16351    
 100    -25.314   -153.250 -0.14917    
 101    -10.664   -153.250  5.03353E-02
 102      3.986   -153.250  4.48200E-02
 103     18.636   -153.250 -0.10266    
 104     33.286   -153.250  4.60801E-03
 105     47.936   -153.250  3.21025E-02
 106     62.586   -153.250  0.13985    
 107     77.236   -153.250  0.20331    
 108     91.886   -153.250  0.22047    
 109    106.536   -153.250  0.38411    
 110    121.186   -153.250  0.62816    
 111    135.836   -153.250  0.53003    
 112    150.486   -153.250  0.23099    
 113    165.136   -153.250  0.12928    
 114    179.786   -153.250  0.12413    
 115    194.436   -153.250  0.10741    
 116    209.086   -153.250  0.11651    
 117    223.736   -153.250  0.13185    
 118    238.386   -153.250  1.27736E-02
 119    253.036   -153.250 -5.42315E-03
 120    267.686   -153.250 -5.12669E-03
 121    267.686   -138.600  5.02718E-02
 122    253.036   -138.600  4.42863E-02
 123    238.386   -138.600  2.03073E-02
 124    223.736   -138.600  4.37170E-02
 125    209.086   -138.600  7.66540E-02
 126    194.436   -138.600  7.05415E-02
 127    179.786   -138.600  0.11503    
 128    165.136   -138.600  0.13815    
 129    150.486   -138.600  0.24256    
 130    135.836   -138.600  0.48708    
 131    121.186   -138.600  0.64014    
 132    106.536   -138.600  0.39894    
 133     91.886   -138.600  0.18492    
 134     77.236   -138.600  0.16148    
 135     62.586   -138.600  0.11651    
 136     47.936   -138.600  3.43965E-02
 137     33.286   -138.600  2.63845E-02
 138     18.636   -138.600 -5.67657E-02
 139      3.986   -138.600  3.77590E-02
 140    -10.664   -138.600  2.87933E-02
 141    -25.314   -138.600 -0.12665    
 142    -39.964   -138.600 -4.08043E-02
 143    -54.614   -138.600 -5.50241E-02
 144    -69.264   -138.600 -3.65403E-02
 145    -83.914   -138.600  2.16867E-02
 146    -98.564   -138.600  6.69793E-02
 147    -98.564   -123.950  7.60079E-02
 148    -83.914   -123.950  6.13734E-02
 149    -69.264   -123.950  3.00921E-02
 150    -54.614   -123.950  8.79346E-03
 151    -39.964   -123.950  5.76406E-02
 152    -25.314   -123.950  7.66842E-03
 153    -10.664   -123.950  3.04080E-02
 154      3.986   -123.950  4.58599E-02
 155     18.636   -123.950  6.67266E-02
 156     33.286   -123.950  8.04708E-02
 157     47.936   -123.950  6.29380E-02
 158     62.586   -123.950  0.10225    
 159     77.236   -123.950  0.12315    
 160     91.886   -123.950  0.17984    
 161    106.536   -123.950  0.28322    
 162    121.186   -123.950  0.41800    
 163    135.836   -123.950  0.32876    
 164    150.486   -123.950  0.18109    
 165    165.136   -123.950  0.13572    
 166    179.786   -123.950  0.12024    
 167    194.436   -123.950  6.68773E-02
 168    209.086   -123.950  2.00077E-02
 169    223.736   -123.950 -6.53129E-04
 170    238.386   -123.950  3.59084E-02
 171    253.036   -123.950  4.61538E-02
 172    267.686   -123.950  4.51699E-02
 173    267.686   -109.300 -1.93503E-02
 174    253.036   -109.300 -5.92944E-03
 175    238.386   -109.300  4.76463E-02
 176    223.736   -109.300  8.96327E-02
 177    209.086   -109.300  7.99867E-02
 178    194.436   -109.300  7.04521E-02
 179    179.786   -109.300  8.08415E-02
 180    165.136   -109.300  8.21504E-02
 181    150.486   -109.300  0.13247    
 182    135.836   -109.300  0.22230    
 183    121.186   -109.300  0.24017    
 184    106.536   -109.300  0.23213    
 185     91.886   -109.300  0.19469    
 186     77.236   -109.300  0.16186    
 187     62.586   -109.300  0.13763    
 188     47.936   -109.300  0.11806    
 189     33.286   -109.300  0.12264    
 190     18.636   -109.300  7.94427E-02
 191      3.986   -109.300  6.37850E-02
 192    -10.664   -109.300  0.12231    
 193    -25.314   -109.300  0.15701    
 194    -39.964   -109.300  0.12158    
 195    -54.614   -109.300  9.56252E-02
 196    -69.264   -109.300  9.66201E-02
 197    -83.914   -109.300  8.84894E-02
 198    -98.564   -109.300  7.88157E-02
 199    -98.564    -94.650  0.12099    
 200    -83.914    -94.650  0.12076    
 201    -69.264    -94.650  0.11149    
 202    -54.614    -94.650  8.67868E-02
 203    -39.964    -94.650  0.10580    
 204    -25.314    -94.650  0.14632    
 205    -10.664    -94.650  9.87094E-02
 206      3.986    -94.650  6.14659E-02
 207     18.636    -94.650  0.10475    
 208     33.286    -94.650  0.16434    
 209     47.936    -94.650  0.15968    
 210     62.586    -94.650  0.19331    
 211     77.236    -94.650  0.24018    
 212     91.886    -94.650  0.24539    
 213    106.536    -94.650  0.22759    
 214    121.186    -94.650  0.18775    
 215    135.836    -94.650  0.17498    
 216    150.486    -94.650  0.17040    
 217    165.136    -94.650  0.13043    
 218    179.786    -94.650  0.11470    
 219    194.436    -94.650  8.11857E-02
 220    209.086    -94.650  0.13686    
 221    223.736    -94.650  0.16613    
 222    238.386    -94.650  0.13208    
 223    253.036    -94.650  1.49537E-02
 224    267.686    -94.650 -1.62764E-02
 225    267.686    -80.000 -0.12282    
 226    253.036    -80.000 -8.65354E-02
 227    238.386    -80.000  6.60094E-02
 228    223.736    -80.000  0.18715    
 229    209.086    -80.000  0.25217    
 230    194.436    -80.000  0.20547    
 231    179.786    -80.000  0.19152    
 232    165.136    -80.000  0.22566    
 233    150.486    -80.000  0.22776    
 234    135.836    -80.000  0.21797    
 235    121.186    -80.000  0.17979    
 236    106.536    -80.000  0.15494    
 237     91.886    -80.000  0.18242    
 238     77.236    -80.000  0.21311    
 239     62.586    -80.000  0.21207    
 240     47.936    -80.000  0.18953    
 241     33.286    -80.000  0.14017    
 242     18.636    -80.000  0.10882    
 243      3.986    -80.000  0.12816    
 244    -10.664    -80.000  0.11460    
 245    -25.314    -80.000  0.17484    
 246    -39.964    -80.000  0.20255    
 247    -54.614    -80.000  0.10559    
 248    -69.264    -80.000  0.13483    
 249    -83.914    -80.000  0.16093    
 250    -98.564    -80.000  0.16920    
 251    -98.564    -65.350  9.73971E-02
 252    -83.914    -65.350  8.97082E-02
 253    -69.264    -65.350  7.25761E-02
 254    -54.614    -65.350  7.27212E-02
 255    -39.964    -65.350  0.16187    
 256    -25.314    -65.350  0.18348    
 257    -10.664    -65.350  0.17010    
 258      3.986    -65.350  0.13291    
 259     18.636    -65.350  6.81672E-02
 260     33.286    -65.350  9.84380E-02
 261     47.936    -65.350  0.17734    
 262     62.586    -65.350  0.19518    
 263     77.236    -65.350  0.16531    
 264     91.886    -65.350  0.13844    
 265    106.536    -65.350  0.14714    
 266    121.186    -65.350  0.17548    
 267    135.836    -65.350  0.17524    
 268    150.486    -65.350  0.21885    
 269    165.136    -65.350  0.25003    
 270    179.786    -65.350  0.24951    
 271    194.436    -65.350  0.22167    
 272    209.086    -65.350  0.28617    
 273    223.736    -65.350  0.21420    
 274    238.386    -65.350  6.71644E-02
 275    253.036    -65.350 -6.85043E-02
 276    267.686    -65.350 -9.83404E-02
 277    267.686    -50.700 -1.39878E-03
 278    253.036    -50.700  3.65195E-02
 279    238.386    -50.700  0.18198    
 280    223.736    -50.700  0.31218    
 281    209.086    -50.700  0.35534    
 282    194.436    -50.700  0.34163    
 283    179.786    -50.700  0.34545    
 284    165.136    -50.700  0.31224    
 285    150.486    -50.700  0.25218    
 286    135.836    -50.700  0.19511    
 287    121.186    -50.700  0.18935    
 288    106.536    -50.700  0.22211    
 289     91.886    -50.700  0.17317    
 290     77.236    -50.700  0.12494    
 291     62.586    -50.700  0.14680    
 292     47.936    -50.700  0.14811    
 293     33.286    -50.700  0.14526    
 294     18.636    -50.700  0.14659    
 295      3.986    -50.700  0.12879    
 296    -10.664    -50.700  0.15781    
 297    -25.314    -50.700  0.22258    
 298    -39.964    -50.700  0.23184    
 299    -54.614    -50.700  0.13772    
 300    -69.264    -50.700  0.12652    
 301    -83.914    -50.700  0.13199    
 302    -98.564    -50.700  0.13318    
 303    -98.564    -36.050  0.18027    
 304    -83.914    -36.050  0.17686    
 305    -69.264    -36.050  0.16505    
 306    -54.614    -36.050  0.14900    
 307    -39.964    -36.050  0.22000    
 308    -25.314    -36.050  0.25318    
 309    -10.664    -36.050  0.21851    
 310      3.986    -36.050  0.19798    
 311     18.636    -36.050  0.21177    
 312     33.286    -36.050  0.17123    
 313     47.936    -36.050  0.11185    
 314     62.586    -36.050  7.83268E-02
 315     77.236    -36.050  0.12713    
 316     91.886    -36.050  0.16352    
 317    106.536    -36.050  0.23992    
 318    121.186    -36.050  0.22844    
 319    135.836    -36.050  0.23010    
 320    150.486    -36.050  0.28130    
 321    165.136    -36.050  0.32738    
 322    179.786    -36.050  0.35746    
 323    194.436    -36.050  0.43905    
 324    209.086    -36.050  0.47633    
 325    223.736    -36.050  0.34867    
 326    238.386    -36.050  0.22951    
 327    253.036    -36.050  0.10630    
 328    267.686    -36.050  5.39293E-02
 329    267.686    -21.400  0.10378    
 330    253.036    -21.400  0.18312    
 331    238.386    -21.400  0.26743    
 332    223.736    -21.400  0.34876    
 333    209.086    -21.400  0.51108    
 334    194.436    -21.400  0.47710    
 335    179.786    -21.400  0.36867    
 336    165.136    -21.400  0.23899    
 337    150.486    -21.400  0.25903    
 338    135.836    -21.400  0.27956    
 339    121.186    -21.400  0.27663    
 340    106.536    -21.400  0.20391    
 341     91.886    -21.400  0.12827    
 342     77.236    -21.400  8.61704E-02
 343     62.586    -21.400  0.10532    
 344     47.936    -21.400  0.16878    
 345     33.286    -21.400  0.21951    
 346     18.636    -21.400  0.27202    
 347      3.986    -21.400  0.29821    
 348    -10.664    -21.400  0.28743    
 349    -25.314    -21.400  0.23357    
 350    -39.964    -21.400  0.17039    
 351    -54.614    -21.400  0.12010    
 352    -69.264    -21.400  0.11893    
 353    -83.914    -21.400  0.12194    
 354    -98.564    -21.400  0.12436    
 355    -98.564     -6.750  0.12229    
 356    -83.914     -6.750  0.11641    
 357    -69.264     -6.750  0.10734    
 358    -54.614     -6.750  0.10284    
 359    -39.964     -6.750  0.16297    
 360    -25.314     -6.750  0.26889    
 361    -10.664     -6.750  0.43918    
 362      3.986     -6.750  0.50520    
 363     18.636     -6.750  0.34927    
 364     33.286     -6.750  0.23227    
 365     47.936     -6.750  0.20161    
 366     62.586     -6.750  0.12923    
 367     77.236     -6.750  5.01084E-02
 368     91.886     -6.750  0.10254    
 369    106.536     -6.750  0.17407    
 370    121.186     -6.750  0.24930    
 371    135.836     -6.750  0.30477    
 372    150.486     -6.750  0.25962    
 373    165.136     -6.750  0.18214    
 374    179.786     -6.750  0.24785    
 375    194.436     -6.750  0.26944    
 376    209.086     -6.750  0.26697    
 377    223.736     -6.750  0.28647    
 378    238.386     -6.750  0.30430    
 379    253.036     -6.750  0.26120    
 380    267.686     -6.750  0.16109    
 381    253.036      7.900  0.37555    
 382    238.386      7.900  0.22343    
 383    223.736      7.900  0.18790    
 384    209.086      7.900  0.19110    
 385    194.436      7.900  0.20147    
 386    179.786      7.900  0.23549    
 387    165.136      7.900  0.22006    
 388    150.486      7.900  0.28723    
 389    135.836      7.900  0.24597    
 390    121.186      7.900  0.11625    
 391    106.536      7.900  4.86602E-02
 392     91.886      7.900  5.42318E-02
 393     77.236      7.900  5.00730E-02
 394     62.586      7.900  0.11426    
 395     47.936      7.900  0.17420    
 396     33.286      7.900  0.25331    
 397     18.636      7.900  0.36659    
 398      3.986      7.900  0.49543    
 399    -10.664      7.900  0.43097    
 400    -25.314      7.900  0.25801    
 401    -39.964      7.900  0.15984    
 402    -54.614      7.900  0.10958    
 403    -69.264      7.900  0.10094    
 404    -83.914      7.900  0.10421    
 405    -98.564      7.900  0.10598    
 406    -98.564     22.550  5.79435E-02
 407    -83.914     22.550  6.71898E-02
 408    -69.264     22.550  8.06817E-02
 409    -54.614     22.550  0.10840    
 410    -39.964     22.550  0.13370    
 411    -25.314     22.550  0.20489    
 412    -10.664     22.550  0.29794    
 413      3.986     22.550  0.32889    
