!
! 01-AUG-2019 13:42:02
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area -13.9 -13.4 /OUTPUT smm1_cn10_red_comp3.txt
!
 1    238.386   -226.500 -5.59701E-02
 2    223.736   -226.500 -5.45324E-02
 3    209.086   -226.500 -5.44016E-02
 4    194.436   -226.500 -5.30134E-02
 5    179.786   -226.500 -2.79913E-02
 6    165.136   -226.500  8.96828E-02
 7    150.486   -226.500  8.74520E-03
 8    135.836   -226.500 -4.09736E-02
 9    121.186   -226.500  5.15767E-02
 10    106.536   -226.500  6.68257E-02
 11     91.886   -226.500  6.85087E-02
 12     77.236   -226.500  6.87355E-02
 13     33.286   -211.850 -1.00097E-02
 14     47.936   -211.850  2.30330E-02
 15     62.586   -211.850  1.07989E-02
 16     77.236   -211.850  1.54246E-02
 17     91.886   -211.850  1.03639E-02
 18    106.536   -211.850  1.21215E-02
 19    121.186   -211.850  2.18804E-02
 20    135.836   -211.850  9.38209E-03
 21    150.486   -211.850 -3.93551E-03
 22    165.136   -211.850  3.02769E-02
 23    179.786   -211.850  1.03659E-02
 24    194.436   -211.850  6.70661E-03
 25    209.086   -211.850  6.55051E-03
 26    223.736   -211.850  6.53759E-03
 27    238.386   -211.850  9.62008E-02
 28    253.036   -211.850  0.20715    
 29    267.686   -211.850  0.18109    
 30    267.686   -197.200  0.20293    
 31    253.036   -197.200  0.19987    
 32    238.386   -197.200  0.14607    
 33    223.736   -197.200  3.07079E-02
 34    209.086   -197.200  7.92679E-02
 35    194.436   -197.200  7.44103E-02
 36    179.786   -197.200  5.31217E-02
 37    165.136   -197.200  2.88472E-02
 38    150.486   -197.200  1.01176E-02
 39    135.836   -197.200  3.27812E-02
 40    121.186   -197.200  4.02677E-02
 41    106.536   -197.200  4.36660E-02
 42     91.886   -197.200  6.88938E-02
 43     77.236   -197.200  3.21387E-02
 44     62.586   -197.200  2.39518E-02
 45     47.936   -197.200  3.42036E-02
 46     33.286   -197.200  1.27672E-02
 47     18.636   -197.200  5.68585E-03
 48    -39.964   -182.550 -0.12674    
 49    -25.314   -182.550 -8.57439E-02
 50    -10.664   -182.550 -3.52672E-02
 51      3.986   -182.550  7.59214E-03
 52     18.636   -182.550  1.51116E-02
 53     33.286   -182.550  2.03060E-02
 54     47.936   -182.550  4.39080E-02
 55     62.586   -182.550  4.51849E-02
 56     77.236   -182.550  3.84953E-02
 57     91.886   -182.550  0.10756    
 58    106.536   -182.550  0.14049    
 59    121.186   -182.550  0.12214    
 60    135.836   -182.550  6.05078E-02
 61    150.486   -182.550  1.42865E-02
 62    165.136   -182.550  6.56158E-02
 63    179.786   -182.550  0.12579    
 64    194.436   -182.550  0.16599    
 65    209.086   -182.550  5.48279E-02
 66    223.736   -182.550 -5.82879E-02
 67    238.386   -182.550  0.10596    
 68    253.036   -182.550  0.17672    
 69    267.686   -182.550  0.18325    
 70    267.686   -167.900  0.11477    
 71    253.036   -167.900  0.10425    
 72    238.386   -167.900  3.31301E-02
 73    223.736   -167.900 -6.54169E-02
 74    209.086   -167.900 -8.77277E-02
 75    194.436   -167.900  5.59473E-02
 76    179.786   -167.900  1.94281E-02
 77    165.136   -167.900  2.43890E-03
 78    150.486   -167.900  1.77277E-02
 79    135.836   -167.900  9.15884E-02
 80    121.186   -167.900  0.12461    
 81    106.536   -167.900  0.13405    
 82     91.886   -167.900  9.89166E-02
 83     77.236   -167.900  5.35555E-02
 84     62.586   -167.900  7.07562E-02
 85     47.936   -167.900  4.88142E-02
 86     33.286   -167.900  2.67261E-02
 87     18.636   -167.900  1.24042E-02
 88      3.986   -167.900  7.49311E-03
 89    -10.664   -167.900 -3.52197E-02
 90    -25.314   -167.900 -8.51524E-02
 91    -39.964   -167.900 -0.12170    
 92    -54.614   -167.900 -0.13374    
 93    -69.264   -167.900 -8.55529E-02
 94    -83.914   -167.900 -4.13636E-02
 95    -98.564   -153.250 -3.13036E-02
