!
! 02-AUG-2019 16:52:19
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area -1.3 0.1 /OUTPUT smm1_hcn10_blue_comp3.txt
!
 1     33.286   -211.850 -0.14999    
 2     47.936   -211.850  0.39123    
 3     62.586   -211.850  0.19598    
 4     77.236   -211.850  0.37319    
 5     91.886   -211.850  0.18260    
 6    106.536   -211.850  0.36867    
 7    121.186   -211.850  0.39531    
 8    135.836   -211.850  0.71665    
 9    150.486   -211.850  0.82531    
 10    165.136   -211.850   1.1211    
 11    179.786   -211.850   1.3016    
 12    194.436   -211.850   1.4446    
 13    209.086   -211.850  0.97612    
 14    223.736   -211.850  0.90413    
 15    238.386   -211.850  0.81759    
 16    238.386   -197.200  0.75541    
 17    223.736   -197.200  0.75766    
 18    209.086   -197.200  0.96157    
 19    194.436   -197.200   1.4452    
 20    179.786   -197.200   1.3214    
 21    165.136   -197.200   1.1224    
 22    150.486   -197.200  0.82476    
 23    135.836   -197.200  0.68260    
 24    121.186   -197.200  0.40529    
 25    106.536   -197.200  0.37045    
 26     91.886   -197.200  0.18473    
 27     77.236   -197.200  0.35448    
 28     62.586   -197.200  0.19432    
 29     47.936   -197.200  0.35658    
 30     33.286   -197.200 -0.21625    
 31     18.636   -197.200 -0.39688    
 32     18.636   -182.550 -6.30719E-02
 33     33.286   -182.550 -2.15733E-02
 34     47.936   -182.550  1.74935E-02
 35     62.586   -182.550 -2.31046E-02
 36     77.236   -182.550  0.25636    
 37     91.886   -182.550  0.24586    
 38    106.536   -182.550  0.42551    
 39    121.186   -182.550  0.62214    
 40    135.836   -182.550  0.78842    
 41    150.486   -182.550   1.0026    
 42    165.136   -182.550   1.2571    
 43    179.786   -182.550   1.3309    
 44    194.436   -182.550   1.0068    
 45    209.086   -182.550  0.76667    
 46    223.736   -182.550  0.59901    
 47    238.386   -182.550  0.58512    
 48    238.386   -167.900  0.43146    
 49    223.736   -167.900  0.45088    
 50    209.086   -167.900  0.68389    
 51    194.436   -167.900  0.90800    
 52    179.786   -167.900   1.1020    
 53    165.136   -167.900   1.3384    
 54    150.486   -167.900   1.3352    
 55    135.836   -167.900   1.0254    
 56    121.186   -167.900  0.64921    
 57    106.536   -167.900  0.79017    
 58     91.886   -167.900  0.22228    
 59     77.236   -167.900  5.36006E-02
 60     62.586   -167.900  8.92679E-02
 61     47.936   -167.900  2.71088E-02
 62     33.286   -167.900  0.16760    
 63     18.636   -167.900  0.17382    
 64     18.636   -153.250  0.30480    
 65     33.286   -153.250  0.36104    
 66     47.936   -153.250  4.31336E-02
 67     62.586   -153.250  0.12675    
 68     77.236   -153.250  3.38266E-02
 69     91.886   -153.250  0.50780    
 70    106.536   -153.250  0.69912    
 71    121.186   -153.250  0.76477    
 72    135.836   -153.250  0.92130    
 73    150.486   -153.250   1.4962    
 74    165.136   -153.250   1.6482    
 75    179.786   -153.250   1.2649    
 76    194.436   -153.250  0.96847    
 77    209.086   -153.250  0.63207    
 78    223.736   -153.250  0.74205    
 79    238.386   -153.250  0.74305    
 80    238.386   -138.600  0.60203    
 81    223.736   -138.600  0.62091    
 82    209.086   -138.600  0.96742    
 83    194.436   -138.600   1.0013    
 84    179.786   -138.600   1.3521    
 85    165.136   -138.600   1.4691    
 86    150.486   -138.600   1.5039    
 87    135.836   -138.600   1.1502    
 88    121.186   -138.600   1.3304    
 89    106.536   -138.600  0.96755    
 90     91.886   -138.600  0.74803    
 91     77.236   -138.600  0.33046    
 92     62.586   -138.600  0.20715    
 93     47.936   -138.600  0.28926    
 94     33.286   -138.600  0.41682    
 95     18.636   -138.600  0.48331    
 96      3.986   -138.600 -0.16793    
 97    -10.664   -138.600 -0.30254    
 98    -25.314   -138.600  3.34406E-02
 99    -39.964   -138.600 -1.80304E-02
 100    -54.614   -138.600 -9.15319E-02
 101    -69.264   -138.600  0.39660    
 102    -83.914   -138.600  0.53801    
 103    -83.914   -123.950  0.48682    
 104    -69.264   -123.950  0.41364    
 105    -54.614   -123.950 -0.12291    
 106    -39.964   -123.950 -5.29207E-03
 107    -25.314   -123.950  4.61553E-02
 108    -10.664   -123.950 -0.29682    
 109      3.986   -123.950 -0.12431    
 110     18.636   -123.950  0.30810    
 111     33.286   -123.950  0.41624    
 112     47.936   -123.950  0.66867    
 113     62.586   -123.950  0.61438    
 114     77.236   -123.950  0.72441    
 115     91.886   -123.950  0.98318    
 116    106.536   -123.950   1.3932    
 117    121.186   -123.950   1.6671    
 118    135.836   -123.950   1.3917    
 119    150.486   -123.950   1.3844    
 120    165.136   -123.950   1.1528    
 121    179.786   -123.950   1.0955    
 122    194.436   -123.950  0.79786    
 123    209.086   -123.950  0.80989    
 124    223.736   -123.950  0.29707    
 125    238.386   -123.950  0.27322    
 126    238.386   -109.300  0.20307    
 127    223.736   -109.300  0.19733    
 128    209.086   -109.300  0.35779    
 129    194.436   -109.300  0.65391    
 130    179.786   -109.300  0.70718    
 131    165.136   -109.300  0.80200    
 132    150.486   -109.300   1.4540    
 133    135.836   -109.300   1.4167    
 134    121.186   -109.300   1.5756    
 135    106.536   -109.300   1.3565    
 136     91.886   -109.300   1.0765    
 137     77.236   -109.300  0.71606    
 138     62.586   -109.300  0.91502    
 139     47.936   -109.300   1.0200    
 140     33.286   -109.300   1.0322    
 141     18.636   -109.300   1.6669    
 142      3.986   -109.300  0.28160    
 143    -10.664   -109.300  0.43570    
 144    -25.314   -109.300  0.54593    
 145    -39.964   -109.300  0.77180    
 146    -54.614   -109.300 -0.19453    
 147    -69.264   -109.300  0.30550    
 148    -83.914   -109.300  0.38906    
 149    -83.914    -94.650  4.06698E-02
 150    -69.264    -94.650 -5.00984E-02
 151    -54.614    -94.650 -0.43820    
 152    -39.964    -94.650  0.81415    
 153    -25.314    -94.650  0.37631    
 154    -10.664    -94.650  0.76121    
 155      3.986    -94.650  0.40133    
 156     18.636    -94.650   1.6690    
 157     33.286    -94.650  0.70296    
 158     47.936    -94.650  0.70646    
 159     62.586    -94.650  0.85275    
 160     77.236    -94.650  0.81168    
 161     91.886    -94.650  0.75362    
 162    106.536    -94.650  0.99806    
 163    121.186    -94.650   1.3064    
 164    135.836    -94.650   1.4836    
 165    150.486    -94.650   1.2153    
 166    165.136    -94.650  0.48792    
 167    179.786    -94.650  0.31765    
 168    194.436    -94.650  0.20353    
 169    209.086    -94.650  0.29544    
 170    223.736    -94.650  0.14188    
 171    238.386    -94.650  0.13977    
 172    238.386    -80.000 -0.19038    
 173    223.736    -80.000 -0.16992    
 174    209.086    -80.000  0.16548    
 175    194.436    -80.000  0.43501    
 176    179.786    -80.000  0.74079    
 177    165.136    -80.000  0.76640    
 178    150.486    -80.000   1.4306    
 179    135.836    -80.000   1.6614    
 180    121.186    -80.000   1.4324    
 181    106.536    -80.000  0.76798    
 182     91.886    -80.000  0.72904    
 183     77.236    -80.000  0.51282    
 184     62.586    -80.000  0.44272    
 185     47.936    -80.000  0.40825    
 186     33.286    -80.000  0.47503    
 187     18.636    -80.000  -2.4998    
 188      3.986    -80.000  0.20931    
 189    -10.664    -80.000  0.53962    
 190    -25.314    -80.000  0.12347    
 191    -39.964    -80.000  0.79548    
 192    -54.614    -80.000 -0.25221    
 193    -69.264    -80.000 -0.26636    
 194    -83.914    -80.000 -0.18212    
 195    -83.914    -65.350 -1.64844E-02
 196    -69.264    -65.350 -0.13094    
 197    -54.614    -65.350 -0.55428    
 198    -39.964    -65.350  0.83470    
 199    -25.314    -65.350 -5.67452E-03
 200    -10.664    -65.350  0.54013    
 201      3.986    -65.350  1.79384E-02
 202     18.636    -65.350  -3.4440    
 203     33.286    -65.350  0.36980    
 204     47.936    -65.350  0.19772    
 205     62.586    -65.350  0.30094    
 206     77.236    -65.350  0.27170    
 207     91.886    -65.350  0.28387    
 208    106.536    -65.350  0.53873    
 209    121.186    -65.350   1.2792    
 210    135.836    -65.350   1.7750    
 211    150.486    -65.350   1.2921    
 212    165.136    -65.350  0.63075    
 213    179.786    -65.350  0.42628    
 214    194.436    -65.350  0.49593    
 215    209.086    -65.350  0.30323    
 216    223.736    -65.350 -6.84731E-02
 217    238.386    -65.350 -9.18134E-02
 218    238.386    -50.700 -6.19976E-02
 219    223.736    -50.700 -4.13512E-02
 220    209.086    -50.700  0.14404    
 221    194.436    -50.700 -2.60277E-03
 222    179.786    -50.700  0.52994    
 223    165.136    -50.700  0.70917    
 224    150.486    -50.700   1.1914    
 225    135.836    -50.700   1.1202    
 226    121.186    -50.700  0.82971    
 227    106.536    -50.700  0.38148    
 228     91.886    -50.700  0.25794    
 229     77.236    -50.700  0.24835    
 230     62.586    -50.700  0.35871    
 231     47.936    -50.700  0.11485    
 232     33.286    -50.700  0.28609    
 233     18.636    -50.700  -2.6640    
 234      3.986    -50.700  0.18541    
 235    -10.664    -50.700  0.61822    
 236    -25.314    -50.700  0.43991    
 237    -39.964    -50.700   1.0203    
 238    -54.614    -50.700 -0.27223    
 239    -69.264    -50.700  0.36555    
 240    -83.914    -50.700  0.48765    
 241    -83.914    -36.050  0.32858    
 242    -69.264    -36.050  0.19610    
 243    -54.614    -36.050 -7.10223E-02
 244    -39.964    -36.050   1.4104    
 245    -25.314    -36.050  0.56402    
 246    -10.664    -36.050  0.47926    
 247      3.986    -36.050 -0.10655    
 248     18.636    -36.050  -2.9962    
 249     33.286    -36.050  9.67187E-02
 250     47.936    -36.050  0.15391    
 251     62.586    -36.050  0.22066    
 252     77.236    -36.050  0.23719    
 253     91.886    -36.050  0.48184    
 254    106.536    -36.050  0.49850    
 255    121.186    -36.050  0.56971    
 256    135.836    -36.050  0.75217    
 257    150.486    -36.050  0.65344    
 258    165.136    -36.050  0.40170    
 259    179.786    -36.050  0.34501    
 260    194.436    -36.050  0.23189    
 261    209.086    -36.050  0.16027    
 262    223.736    -36.050  0.64402    
 263    238.386    -36.050  0.66752    
 264    238.386    -21.400  0.18161    
 265    223.736    -21.400  0.20835    
 266    209.086    -21.400  0.44341    
 267    194.436    -21.400  0.22751    
 268    179.786    -21.400  0.39600    
 269    165.136    -21.400  2.10730E-02
 270    150.486    -21.400  0.47827    
 271    135.836    -21.400  0.50453    
 272    121.186    -21.400  0.35960    
 273    106.536    -21.400  0.26645    
 274     91.886    -21.400  0.18085    
 275     77.236    -21.400  9.72183E-02
 276     62.586    -21.400  0.32869    
 277     47.936    -21.400  0.36242    
 278     33.286    -21.400  0.28917    
 279     18.636    -21.400  -2.9358    
 280      3.986    -21.400 -0.13981    
 281    -10.664    -21.400  0.37295    
 282    -25.314    -21.400  0.22359    
 283    -39.964    -21.400   1.3880    
 284    -54.614    -21.400 -0.41535    
 285    -69.264    -21.400  0.22492    
 286    -83.914    -21.400  0.37242    
 287    -83.914     -6.750  0.66209    
 288    -69.264     -6.750  0.54750    
 289    -54.614     -6.750 -0.15087    
 290    -39.964     -6.750   1.3346    
 291    -25.314     -6.750  0.38427    
 292    -10.664     -6.750  0.53097    
 293      3.986     -6.750 -0.11720    
 294     18.636     -6.750  -1.6992    
 295     33.286     -6.750  0.28971    
 296     47.936     -6.750  0.45422    
 297     62.586     -6.750  0.40230    
 298     77.236     -6.750  0.34907    
 299     91.886     -6.750  0.20113    
 300    106.536     -6.750  0.19182    
 301    121.186     -6.750  0.30888    
 302    135.836     -6.750  0.18442    
 303    150.486     -6.750  0.19660    
 304    165.136     -6.750  0.14268    
 305    179.786     -6.750  0.52911    
 306    194.436     -6.750  0.42508    
 307    209.086     -6.750  0.66497    
 308    223.736     -6.750  0.87462    
 309    238.386     -6.750  3.81692E-02
 310    223.736      7.900  0.92179    
 311    209.086      7.900  0.58789    
 312    194.436      7.900  0.39901    
 313    179.786      7.900  0.56985    
 314    165.136      7.900  6.94166E-02
 315    150.486      7.900  0.10779    
 316    135.836      7.900 -3.84742E-02
 317    121.186      7.900  0.20438    
 318    106.536      7.900  0.17980    
 319     91.886      7.900  0.18376    
 320     77.236      7.900  0.34088    
 321     62.586      7.900  0.48861    
 322     47.936      7.900  0.25381    
 323     33.286      7.900  2.28589E-02
 324     18.636      7.900  -2.7539    
 325      3.986      7.900 -0.26078    
 326    -10.664      7.900  0.52613    
 327    -25.314      7.900  0.34293    
 328    -39.964      7.900   2.3900    
 329    -54.614      7.900  0.15195    
 330    -69.264      7.900  0.22156    
 331    -83.914      7.900  0.28830    
 332    -83.914     22.550  1.42586E-02
 333    -69.264     22.550  0.30508    
 334    -54.614     22.550   1.5866    
 335    -39.964     22.550   2.6199    
 336    -25.314     22.550  0.30259    
 337    -10.664     22.550  0.41015    
 338      3.986     22.550 -9.17504E-02
 339     18.636     22.550  -2.5731    
 340     33.286     22.550  0.19661    
 341     47.936     22.550  0.27039    
 342     62.586     22.550  0.37033    
 343     77.236     22.550  0.35960    
 344     91.886     22.550  0.18393    
 345    106.536     22.550  0.17457    
 346    121.186     22.550  0.20653    
 347    135.836     22.550 -3.88949E-02
 348    150.486     22.550  0.11066    
 349    165.136     22.550  6.87245E-02
 350    179.786     22.550  0.57091    
 351    194.436     22.550  0.39886    
 352    209.086     22.550  0.58562    
 353     77.236     37.200  0.43292    
 354     62.586     37.200  0.43522    
 355     47.936     37.200  0.14536    
 356     33.286     37.200 -6.86659E-02
 357     18.636     37.200 -0.55586    
 358      3.986     37.200 -0.64531    
 359    -10.664     37.200  0.46024    
 360    -25.314     37.200  0.11786    
 361    -39.964     37.200   4.3635    
 362    -54.614     37.200 -0.67399    
 363    -69.264     37.200  0.17054    
 364    -83.914     37.200  0.36319    
 365    -83.914     51.850  0.79883    
 366    -69.264     51.850  0.55603    
 367    -54.614     51.850 -0.98419    
 368    -39.964     51.850   3.0785    
 369    -25.314     51.850  0.18662    
 370    -10.664     51.850  0.47774    
 371      3.986     51.850 -0.26868    
 372     18.636     51.850   1.5197    
 373     33.286     51.850  7.04868E-02
 374     47.936     51.850  0.32500    
 375     62.586     51.850  0.32809    
 376     77.236     51.850  0.19173    
 377     77.236     66.500  0.46747    
 378     62.586     66.500  0.46652    
 379     47.936     66.500  0.16133    
 380     33.286     66.500 -4.25005E-02
 381     18.636     66.500   2.2548    
 382      3.986     66.500 -0.11051    
 383    -10.664     66.500  0.39439    
 384    -25.314     66.500  0.11871    
 385    -39.964     66.500   3.4055    
 386    -54.614     66.500 -0.11554    
 387    -69.264     66.500  0.45544    
 388    -83.914     66.500  0.67088    
 389    -83.914     81.150  0.68150    
 390    -69.264     81.150  0.60758    
 391    -54.614     81.150  6.92276E-02
 392    -39.964     81.150   5.5214    
 393    -25.314     81.150  0.13143    
 394    -10.664     81.150  0.42685    
 395      3.986     81.150 -0.49822    
 396     18.636     81.150   2.9262    
 397     33.286     81.150 -0.11566    
 398     47.936     81.150  5.88439E-02
 399     62.586     81.150  0.33911    
 400     77.236     81.150  0.33563    
 401     77.236     95.800  0.43843    
 402     62.586     95.800  0.43567    
 403     47.936     95.800 -7.28536E-02
 404     33.286     95.800 -0.17784    
 405     18.636     95.800   3.4596    
 406      3.986     95.800 -0.35832    
 407    -10.664     95.800  0.49813    
 408    -25.314     95.800  0.47888    
 409    -39.964     95.800   4.8353    
 410    -54.614     95.800   1.3088    
 411    -69.264     95.800  0.66011    
 412    -83.914     95.800  0.49968    
