!
! 02-AUG-2019 16:55:15
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area 1.5 2.5 /OUTPUT smm1_hcn10_red_comp3.txt
!
 1     33.286   -211.850 -4.02971E-02
 2     47.936   -211.850  5.37090E-02
 3     62.586   -211.850 -1.72004E-02
 4     77.236   -211.850  5.83550E-02
 5     91.886   -211.850  6.11281E-02
 6    106.536   -211.850  8.80528E-02
 7    121.186   -211.850  0.17228    
 8    135.836   -211.850  0.15471    
 9    150.486   -211.850  0.18996    
 10    165.136   -211.850  0.28501    
 11    179.786   -211.850  0.33647    
 12    194.436   -211.850  0.24411    
 13    209.086   -211.850  5.21797E-02
 14    223.736   -211.850 -4.47204E-02
 15    238.386   -211.850 -5.85968E-02
 16    238.386   -197.200 -2.87248E-02
 17    223.736   -197.200 -2.69500E-02
 18    209.086   -197.200  5.08858E-02
 19    194.436   -197.200  0.24188    
 20    179.786   -197.200  0.31666    
 21    165.136   -197.200  0.28447    
 22    150.486   -197.200  0.18953    
 23    135.836   -197.200  0.15588    
 24    121.186   -197.200  0.16190    
 25    106.536   -197.200  8.65729E-02
 26     91.886   -197.200  6.00061E-02
 27     77.236   -197.200  5.34149E-02
 28     62.586   -197.200 -1.72915E-02
 29     47.936   -197.200  5.16977E-02
 30     33.286   -197.200 -6.85991E-02
 31     18.636   -197.200 -0.14435    
 32     18.636   -182.550 -0.14584    
 33     33.286   -182.550 -0.13377    
 34     47.936   -182.550  2.72822E-02
 35     62.586   -182.550 -9.60887E-02
 36     77.236   -182.550 -2.93194E-02
 37     91.886   -182.550  0.14200    
 38    106.536   -182.550  0.11327    
 39    121.186   -182.550  0.19906    
 40    135.836   -182.550  0.19572    
 41    150.486   -182.550  0.12190    
 42    165.136   -182.550  0.20257    
 43    179.786   -182.550  0.10220    
 44    194.436   -182.550  3.96447E-02
 45    209.086   -182.550 -6.05962E-02
 46    223.736   -182.550  1.28138E-02
 47    238.386   -182.550  8.96040E-03
 48    238.386   -167.900  4.60018E-02
 49    223.736   -167.900  5.13240E-02
 50    209.086   -167.900  0.11146    
 51    194.436   -167.900  6.83105E-02
 52    179.786   -167.900  6.88277E-02
 53    165.136   -167.900  9.29605E-02
 54    150.486   -167.900  0.11238    
 55    135.836   -167.900  0.30162    
 56    121.186   -167.900  0.22018    
 57    106.536   -167.900  8.19706E-02
 58     91.886   -167.900  5.47606E-02
 59     77.236   -167.900  2.25201E-02
 60     62.586   -167.900  5.43695E-02
 61     47.936   -167.900  5.39309E-03
 62     33.286   -167.900  1.37481E-02
 63     18.636   -167.900  1.66452E-02
 64     18.636   -153.250  7.88555E-02
 65     33.286   -153.250  0.10571    
 66     47.936   -153.250  8.98427E-02
 67     62.586   -153.250  0.15951    
 68     77.236   -153.250  3.25857E-02
 69     91.886   -153.250  6.11077E-02
 70    106.536   -153.250  0.15180    
 71    121.186   -153.250  0.23191    
 72    135.836   -153.250  0.16038    
 73    150.486   -153.250  0.16300    
 74    165.136   -153.250  8.05534E-02
 75    179.786   -153.250  2.73806E-02
 76    194.436   -153.250  1.08421E-02
 77    209.086   -153.250  8.45756E-02
 78    223.736   -153.250 -3.92191E-02
 79    238.386   -153.250 -5.47549E-02
 80    238.386   -138.600 -8.10279E-02
 81    223.736   -138.600 -6.20359E-02
 82    209.086   -138.600  9.42867E-02
 83    194.436   -138.600  2.19998E-02
 84    179.786   -138.600  5.50523E-02
 85    165.136   -138.600  0.10152    
 86    150.486   -138.600  0.12760    
 87    135.836   -138.600  0.23344    
 88    121.186   -138.600  0.22074    
 89    106.536   -138.600  0.19149    
 90     91.886   -138.600  0.15080    
 91     77.236   -138.600  8.48045E-02
 92     62.586   -138.600  0.16559    
 93     47.936   -138.600  0.11642    
 94     33.286   -138.600  0.15314    
 95     18.636   -138.600  0.14876    
 96      3.986   -138.600  0.17934    
 97    -10.664   -138.600  5.26753E-02
 98    -25.314   -138.600  0.20922    
 99    -39.964   -138.600  0.12979    
 100    -54.614   -138.600  0.11606    
 101    -69.264   -138.600  4.04621E-02
 102    -83.914   -138.600 -8.80117E-03
 103    -83.914   -123.950 -1.55099E-02
 104    -69.264   -123.950 -7.88279E-03
 105    -54.614   -123.950  0.11401    
 106    -39.964   -123.950  0.12947    
 107    -25.314   -123.950  0.19682    
 108    -10.664   -123.950  5.07574E-02
 109      3.986   -123.950  0.17695    
 110     18.636   -123.950  0.23470    
 111     33.286   -123.950  0.58826    
 112     47.936   -123.950  0.64716    
 113     62.586   -123.950  0.59352    
 114     77.236   -123.950  0.36754    
 115     91.886   -123.950  0.33363    
 116    106.536   -123.950  0.38530    
