!
! 02-AUG-2019 17:41:00
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area 5.9 7.7 /OUTPUT smm9_cn10_blue_comp2.txt
!
 1    238.386   -226.500   1.1791    
 2    223.736   -226.500   1.1754    
 3    209.086   -226.500   1.1752    
 4    194.436   -226.500   1.1741    
 5    179.786   -226.500   1.1737    
 6    165.136   -226.500   1.2718    
 7    150.486   -226.500   1.4337    
 8    135.836   -226.500   1.0557    
 9    121.186   -226.500  0.75946    
 10    106.536   -226.500  0.73660    
 11     91.886   -226.500  0.73502    
 12     77.236   -226.500  0.73472    
 13     33.286   -211.850  0.42161    
 14     47.936   -211.850  0.33401    
 15     62.586   -211.850  0.29129    
 16     77.236   -211.850  0.66933    
 17     91.886   -211.850  0.74902    
 18    106.536   -211.850  0.75268    
 19    121.186   -211.850  0.78713    
 20    135.836   -211.850   1.0530    
 21    150.486   -211.850   1.4050    
 22    165.136   -211.850   1.2486    
 23    179.786   -211.850   1.2430    
 24    194.436   -211.850   1.3086    
 25    209.086   -211.850   1.3218    
 26    223.736   -211.850   1.3236    
 27    238.386   -211.850   1.0497    
 28    253.036   -211.850  0.75351    
 29    267.686   -211.850  0.79768    
 30    267.686   -197.200  0.71087    
 31    253.036   -197.200  0.71194    
 32    238.386   -197.200  0.79095    
 33    223.736   -197.200   1.2663    
 34    209.086   -197.200   1.3761    
 35    194.436   -197.200   1.3550    
 36    179.786   -197.200   1.2542    
 37    165.136   -197.200   1.1703    
 38    150.486   -197.200   1.2789    
 39    135.836   -197.200   1.1950    
 40    121.186   -197.200   1.0575    
 41    106.536   -197.200   1.0250    
 42     91.886   -197.200  0.93187    
 43     77.236   -197.200  0.47503    
 44     62.586   -197.200  0.29350    
 45     47.936   -197.200  0.32614    
 46     33.286   -197.200  0.35701    
 47     18.636   -197.200  0.35870    
 48    -39.964   -182.550  1.59492E-02
 49    -25.314   -182.550  4.11108E-03
 50    -10.664   -182.550  0.12632    
 51      3.986   -182.550  0.19402    
 52     18.636   -182.550  0.33516    
 53     33.286   -182.550  0.33584    
