!
! 02-AUG-2019 17:42:09
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area -69.7 -69.5 /OUTPUT smm9_cn10_blue_comp5.txt
!
 1    238.386   -226.500  5.30183E-02
 2    223.736   -226.500  5.02595E-02
 3    209.086   -226.500  5.02023E-02
 4    194.436   -226.500  4.96880E-02
 5    179.786   -226.500  4.41965E-02
 6    165.136   -226.500  4.39647E-02
 7    150.486   -226.500  5.38951E-02
 8    135.836   -226.500  3.71884E-02
 9    121.186   -226.500  1.24469E-03
 10    106.536   -226.500 -1.46153E-02
 11     91.886   -226.500 -1.68717E-02
 12     77.236   -226.500 -1.72138E-02
 13     33.286   -211.850  5.60886E-02
 14     47.936   -211.850 -1.75817E-02
 15     62.586   -211.850 -6.30694E-02
 16     77.236   -211.850 -4.48574E-03
 17     91.886   -211.850  1.82220E-02
 18    106.536   -211.850  1.94974E-02
 19    121.186   -211.850  2.82955E-02
 20    135.836   -211.850  5.59335E-02
 21    150.486   -211.850  8.61967E-02
 22    165.136   -211.850  3.92550E-02
 23    179.786   -211.850  2.30332E-02
 24    194.436   -211.850  2.64373E-02
 25    209.086   -211.850  2.69582E-02
 26    223.736   -211.850  2.70198E-02
 27    238.386   -211.850  3.04651E-02
 28    253.036   -211.850  4.64404E-02
 29    267.686   -211.850  2.54904E-02
 30    267.686   -197.200  4.98746E-02
 31    253.036   -197.200  5.02397E-02
 32    238.386   -197.200  3.87456E-02
 33    223.736   -197.200  1.84510E-02
 34    209.086   -197.200  3.34899E-02
 35    194.436   -197.200  3.02429E-02
 36    179.786   -197.200  1.21994E-02
 37    165.136   -197.200  8.14348E-03
 38    150.486   -197.200  8.03775E-02
 39    135.836   -197.200  5.79206E-02
 40    121.186   -197.200  3.93313E-02
 41    106.536   -197.200  3.56491E-02
 42     91.886   -197.200  1.53468E-02
 43     77.236   -197.200 -6.00612E-02
 44     62.586   -197.200 -5.79422E-02
 45     47.936   -197.200 -2.17963E-02
 46     33.286   -197.200 -8.82787E-03
 47     18.636   -197.200 -7.66910E-03
 48    -39.964   -182.550 -0.11372    
 49    -25.314   -182.550 -6.40446E-02
 50    -10.664   -182.550 -5.61436E-03
 51      3.986   -182.550  4.70299E-02
 52     18.636   -182.550 -2.48888E-02
 53     33.286   -182.550 -2.60978E-02
 54     47.936   -182.550 -2.96510E-02
 55     62.586   -182.550 -5.07359E-02
 56     77.236   -182.550 -5.39518E-02
 57     91.886   -182.550 -1.31686E-02
 58    106.536   -182.550  6.83613E-02
 59    121.186   -182.550  8.32472E-02
 60    135.836   -182.550  5.53904E-02
 61    150.486   -182.550  5.23756E-02
 62    165.136   -182.550  1.84212E-02
 63    179.786   -182.550  3.49821E-02
 64    194.436   -182.550  6.74037E-02
 65    209.086   -182.550  6.13030E-02
 66    223.736   -182.550  1.09236E-02
 67    238.386   -182.550  4.52294E-02
 68    253.036   -182.550  5.24903E-02
 69    267.686   -182.550  5.15356E-02
 70    267.686   -167.900  5.48692E-02
 71    253.036   -167.900  5.57868E-02
 72    238.386   -167.900  4.95893E-02
 73    223.736   -167.900  1.77187E-02
 74    209.086   -167.900  2.57746E-02
 75    194.436   -167.900  5.91979E-02
 76    179.786   -167.900  4.81004E-02
 77    165.136   -167.900  2.84257E-02
 78    150.486   -167.900  4.65582E-02
 79    135.836   -167.900  4.62610E-02
 80    121.186   -167.900  5.62316E-02
 81    106.536   -167.900  4.67621E-02
 82     91.886   -167.900 -5.92663E-04
 83     77.236   -167.900 -3.63587E-02
 84     62.586   -167.900 -3.91625E-02
 85     47.936   -167.900 -3.51200E-02
 86     33.286   -167.900 -3.55051E-02
 87     18.636   -167.900  7.48530E-03
 88      3.986   -167.900  4.69576E-02
 89    -10.664   -167.900 -5.69879E-03
 90    -25.314   -167.900 -6.36715E-02
 91    -39.964   -167.900 -0.10928    
 92    -54.614   -167.900 -4.38868E-02
 93    -69.264   -167.900 -1.28787E-02
 94    -83.914   -167.900  2.37837E-02
 95    -98.564   -153.250  4.26325E-02
 96    -83.914   -153.250  2.01998E-02
 97    -69.264   -153.250 -6.50227E-03
 98    -54.614   -153.250 -1.38100E-02
 99    -39.964   -153.250 -8.37602E-02
 100    -25.314   -153.250 -6.17369E-02
 101    -10.664   -153.250 -6.29368E-03
 102      3.986   -153.250  4.48548E-02
 103     18.636   -153.250  1.50968E-02
 104     33.286   -153.250  4.43757E-03
 105     47.936   -153.250 -1.56581E-02
 106     62.586   -153.250 -1.30730E-02
 107     77.236   -153.250 -5.58757E-03
 108     91.886   -153.250  1.81937E-02
 109    106.536   -153.250  5.21134E-02
 110    121.186   -153.250  5.35387E-02
 111    135.836   -153.250  4.56821E-02
 112    150.486   -153.250  3.91510E-02
