!
! 02-AUG-2019 17:28:27
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area 10.3 11.1 /OUTPUT smm9_hcn10_blue_comp1.txt
!
 1     33.286   -211.850  0.15227    
 2     47.936   -211.850  0.18274    
 3     62.586   -211.850  0.27907    
 4     77.236   -211.850  0.26579    
 5     91.886   -211.850  0.35841    
 6    106.536   -211.850  0.40655    
 7    121.186   -211.850  0.71458    
 8    135.836   -211.850  0.68356    
 9    150.486   -211.850  0.41603    
 10    165.136   -211.850  0.50038    
 11    179.786   -211.850  0.54624    
 12    194.436   -211.850  0.61458    
 13    209.086   -211.850  0.61373    
 14    223.736   -211.850  0.45760    
 15    238.386   -211.850  0.27121    
 16    238.386   -197.200  0.25413    
 17    223.736   -197.200  0.28356    
 18    209.086   -197.200  0.61074    
 19    194.436   -197.200  0.61358    
 20    179.786   -197.200  0.54488    
 21    165.136   -197.200  0.50172    
 22    150.486   -197.200  0.42593    
 23    135.836   -197.200  0.68282    
 24    121.186   -197.200  0.71102    
 25    106.536   -197.200  0.40890    
 26     91.886   -197.200  0.35790    
 27     77.236   -197.200  0.25659    
 28     62.586   -197.200  0.27792    
 29     47.936   -197.200  0.18611    
 30     33.286   -197.200  0.11228    
 31     18.636   -197.200  1.10045E-02
 32     18.636   -182.550 -4.23916E-02
 33     33.286   -182.550 -1.83009E-02
 34     47.936   -182.550  0.10533    
 35     62.586   -182.550  0.15547    
 36     77.236   -182.550  0.23538    
 37     91.886   -182.550  0.35827    
 38    106.536   -182.550  0.52991    
 39    121.186   -182.550  0.86363    
 40    135.836   -182.550  0.88594    
 41    150.486   -182.550  0.74736    
 42    165.136   -182.550  0.59766    
 43    179.786   -182.550  0.55798    
 44    194.436   -182.550  0.51436    
 45    209.086   -182.550  0.49217    
 46    223.736   -182.550  0.29111    
 47    238.386   -182.550  0.27979    
 48    238.386   -167.900  0.28984    
 49    223.736   -167.900  0.29118    
 50    209.086   -167.900  0.35889    
 51    194.436   -167.900  0.44926    
 52    179.786   -167.900  0.67507    
 53    165.136   -167.900  0.91826    
 54    150.486   -167.900   1.0623    
 55    135.836   -167.900   1.0412    
 56    121.186   -167.900  0.94653    
 57    106.536   -167.900  0.70894    
 58     91.886   -167.900  0.38865    
 59     77.236   -167.900  0.22863    
 60     62.586   -167.900  0.13366    
 61     47.936   -167.900  8.94546E-02
 62     33.286   -167.900  3.81264E-02
 63     18.636   -167.900  3.56258E-02
 64     18.636   -153.250  0.11561    
 65     33.286   -153.250  0.11672    
