!
! 02-AUG-2019 17:29:13
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area -2.1 -0.3 /OUTPUT smm9_hcn10_blue_comp3.txt
!
 1     33.286   -211.850 -4.36642E-03
 2     47.936   -211.850  0.30428    
 3     62.586   -211.850  0.27895    
 4     77.236   -211.850  9.88524E-02
 5     91.886   -211.850  9.74673E-02
 6    106.536   -211.850  0.18292    
 7    121.186   -211.850  0.17068    
 8    135.836   -211.850  0.60223    
 9    150.486   -211.850  0.51715    
 10    165.136   -211.850  0.80685    
 11    179.786   -211.850   1.1968    
 12    194.436   -211.850   1.1989    
 13    209.086   -211.850  0.79710    
 14    223.736   -211.850  0.68425    
 15    238.386   -211.850  0.56493    
 16    238.386   -197.200  0.55419    
 17    223.736   -197.200  0.55327    
 18    209.086   -197.200  0.77970    
 19    194.436   -197.200   1.1998    
 20    179.786   -197.200   1.2018    
 21    165.136   -197.200  0.80680    
 22    150.486   -197.200  0.52078    
 23    135.836   -197.200  0.58899    
 24    121.186   -197.200  0.19057    
 25    106.536   -197.200  0.18512    
 26     91.886   -197.200  0.10026    
 27     77.236   -197.200  0.10393    
 28     62.586   -197.200  0.27735    
 29     47.936   -197.200  0.31519    
 30     33.286   -197.200 -8.87425E-02
 31     18.636   -197.200 -0.32895    
 32     18.636   -182.550  6.76817E-02
 33     33.286   -182.550  0.10916    
 34     47.936   -182.550  6.27503E-02
 35     62.586   -182.550  8.29926E-02
 36     77.236   -182.550  0.22530    
 37     91.886   -182.550  0.25995    
 38    106.536   -182.550  0.27171    
 39    121.186   -182.550  0.48925    
 40    135.836   -182.550  0.60878    
 41    150.486   -182.550  0.71738    
 42    165.136   -182.550  0.90969    
 43    179.786   -182.550  0.94450    
 44    194.436   -182.550  0.87587    
 45    209.086   -182.550  0.68121    
 46    223.736   -182.550  0.59682    
 47    238.386   -182.550  0.59655    
 48    238.386   -167.900  0.36729    
 49    223.736   -167.900  0.37636    
 50    209.086   -167.900  0.57826    
 51    194.436   -167.900  0.66730    
 52    179.786   -167.900  0.78202    
 53    165.136   -167.900   1.0490    
 54    150.486   -167.900   1.1645    
 55    135.836   -167.900  0.88283    
 56    121.186   -167.900  0.52300    
 57    106.536   -167.900  0.61066    
 58     91.886   -167.900  0.11017    
 59     77.236   -167.900  1.59895E-02
 60     62.586   -167.900  0.13732    
 61     47.936   -167.900  4.72413E-02
 62     33.286   -167.900  0.26168    
 63     18.636   -167.900  0.27147    
 64     18.636   -153.250  0.34608    
 65     33.286   -153.250  0.40543    
 66     47.936   -153.250  1.46483E-02
 67     62.586   -153.250  0.12083    
 68     77.236   -153.250  5.97703E-02
 69     91.886   -153.250  0.34642    
 70    106.536   -153.250  0.41446    
 71    121.186   -153.250  0.73836    
 72    135.836   -153.250   1.0005    
 73    150.486   -153.250   1.5181    
 74    165.136   -153.250   1.6994    
 75    179.786   -153.250   1.0631    
 76    194.436   -153.250  0.80853    
 77    209.086   -153.250  0.50972    
 78    223.736   -153.250  0.66502    
 79    238.386   -153.250  0.67197    
 80    238.386   -138.600  0.45470    
 81    223.736   -138.600  0.47134    
 82    209.086   -138.600  0.79311    
 83    194.436   -138.600  0.70645    
 84    179.786   -138.600   1.3876    
 85    165.136   -138.600   1.6818    
 86    150.486   -138.600   1.7836    
 87    135.836   -138.600   1.2919    
 88    121.186   -138.600   1.0640    
 89    106.536   -138.600  0.67489    
 90     91.886   -138.600  0.44844    
 91     77.236   -138.600  0.20845    
 92     62.586   -138.600  0.15803    
 93     47.936   -138.600  0.28143    
 94     33.286   -138.600  0.47812    
 95     18.636   -138.600  0.57387    
 96      3.986   -138.600  0.39905    
 97    -10.664   -138.600  0.12383    
 98    -25.314   -138.600  0.35771    
 99    -39.964   -138.600  0.34328    
 100    -54.614   -138.600 -0.10968    
 101    -69.264   -138.600  0.42577    
 102    -83.914   -138.600  0.50357    
 103    -83.914   -123.950  0.43194    
 104    -69.264   -123.950  0.41713    
 105    -54.614   -123.950 -9.92155E-02
 106    -39.964   -123.950  0.34174    
 107    -25.314   -123.950  0.34631    
 108    -10.664   -123.950  0.12413    
 109      3.986   -123.950  0.41191    
 110     18.636   -123.950  0.69591    
 111     33.286   -123.950  0.76363    
 112     47.936   -123.950  0.92115    
 113     62.586   -123.950  0.86125    
 114     77.236   -123.950  0.77336    
 115     91.886   -123.950  0.92409    
 116    106.536   -123.950   1.2915    
 117    121.186   -123.950   1.3282    
 118    135.836   -123.950   1.2220    
 119    150.486   -123.950   1.5902    
 120    165.136   -123.950   1.4507    
 121    179.786   -123.950   1.0565    
 122    194.436   -123.950  0.62792    
 123    209.086   -123.950  0.61303    
 124    223.736   -123.950  0.40914    
 125    238.386   -123.950  0.40469    
 126    238.386   -109.300  0.15559    
 127    223.736   -109.300  0.15536    
 128    209.086   -109.300  0.28635    
 129    194.436   -109.300  0.53981    
 130    179.786   -109.300  0.69132    
 131    165.136   -109.300  0.79757    
 132    150.486   -109.300   1.2760    
 133    135.836   -109.300   1.0924    
 134    121.186   -109.300   1.3099    
