!
! 01-AUG-2019 13:38:02
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area 5.7 7.7 /OUTPUT smm1_cn10_blue_comp1.txt
!
 1    238.386   -226.500   1.1597    
 2    223.736   -226.500   1.1566    
 3    209.086   -226.500   1.1565    
 4    194.436   -226.500   1.1556    
 5    179.786   -226.500   1.1526    
 6    165.136   -226.500   1.2346    
 7    150.486   -226.500   1.4576    
 8    135.836   -226.500   1.1160    
 9    121.186   -226.500  0.82025    
 10    106.536   -226.500  0.80000    
 11     91.886   -226.500  0.79884    
 12     77.236   -226.500  0.79860    
 13     33.286   -211.850  0.38758    
 14     47.936   -211.850  0.28898    
 15     62.586   -211.850  0.26348    
 16     77.236   -211.850  0.68941    
 17     91.886   -211.850  0.77359    
 18    106.536   -211.850  0.77764    
 19    121.186   -211.850  0.81585    
 20    135.836   -211.850   1.1080    
 21    150.486   -211.850   1.4504    
 22    165.136   -211.850   1.2507    
 23    179.786   -211.850   1.2232    
 24    194.436   -211.850   1.2822    
 25    209.086   -211.850   1.2947    
 26    223.736   -211.850   1.2963    
 27    238.386   -211.850   1.0949    
 28    253.036   -211.850  0.88491    
 29    267.686   -211.850  0.97196    
 30    267.686   -197.200  0.81908    
 31    253.036   -197.200  0.81946    
 32    238.386   -197.200  0.87515    
 33    223.736   -197.200   1.2763    
 34    209.086   -197.200   1.3944    
 35    194.436   -197.200   1.3702    
 36    179.786   -197.200   1.2586    
 37    165.136   -197.200   1.1843    
 38    150.486   -197.200   1.3234    
 39    135.836   -197.200   1.2337    
 40    121.186   -197.200   1.0804    
 41    106.536   -197.200   1.0505    
 42     91.886   -197.200  0.97104    
 43     77.236   -197.200  0.48506    
 44     62.586   -197.200  0.26692    
 45     47.936   -197.200  0.28048    
 46     33.286   -197.200  0.30346    
 47     18.636   -197.200  0.30315    
 48    -39.964   -182.550 -2.34256E-02
 49    -25.314   -182.550 -1.05609E-02
 50    -10.664   -182.550  0.13065    
 51      3.986   -182.550  0.22859    
 52     18.636   -182.550  0.28429    
 53     33.286   -182.550  0.28244    
 54     47.936   -182.550  0.26724    
 55     62.586   -182.550  0.26868    
 56     77.236   -182.550  0.49833    
 57     91.886   -182.550  0.84554    
 58    106.536   -182.550   1.2178    
 59    121.186   -182.550   1.3294    
 60    135.836   -182.550   1.3468    
 61    150.486   -182.550   1.3199    
 62    165.136   -182.550   1.2043    
 63    179.786   -182.550   1.2129    
 64    194.436   -182.550   1.2637    
 65    209.086   -182.550   1.2053    
 66    223.736   -182.550  0.99789    
 67    238.386   -182.550  0.78913    
 68    253.036   -182.550  0.72515    
 69    267.686   -182.550  0.72431    
 70    267.686   -167.900  0.62153    
 71    253.036   -167.900  0.62735    
 72    238.386   -167.900  0.70799    
 73    223.736   -167.900  0.87404    
 74    209.086   -167.900  0.89638    
 75    194.436   -167.900   1.1595    
 76    179.786   -167.900   1.3942    
 77    165.136   -167.900   1.7612    
 78    150.486   -167.900   1.9705    
 79    135.836   -167.900   1.7192    
 80    121.186   -167.900   1.4489    
 81    106.536   -167.900   1.1625    
 82     91.886   -167.900  0.84577    
 83     77.236   -167.900  0.51631    
 84     62.586   -167.900  0.28467    
 85     47.936   -167.900  0.28213    
 86     33.286   -167.900  0.29993    
 87     18.636   -167.900  0.27205    
 88      3.986   -167.900  0.22873    
 89    -10.664   -167.900  0.13078    
 90    -25.314   -167.900 -8.98926E-03
 91    -39.964   -167.900 -1.57600E-02
 92    -54.614   -167.900 -0.13582    
 93    -69.264   -167.900 -0.28149    
 94    -83.914   -167.900 -0.32556    
 95    -98.564   -153.250 -0.22905    
 96    -83.914   -153.250 -0.26360    
 97    -69.264   -153.250 -0.25342    
 98    -54.614   -153.250 -0.14520    
 99    -39.964   -153.250 -2.13861E-04
 100    -25.314   -153.250  1.29280E-03
 101    -10.664   -153.250  0.13174    
 102      3.986   -153.250  0.23023    
 103     18.636   -153.250  0.26947    
 104     33.286   -153.250  0.25849    
 105     47.936   -153.250  0.35649    
 106     62.586   -153.250  0.37713    
 107     77.236   -153.250  0.58411    
 108     91.886   -153.250  0.95890    
 109    106.536   -153.250   1.3522    
 110    121.186   -153.250   1.6283    
 111    135.836   -153.250   1.9768    
 112    150.486   -153.250   2.5273    
 113    165.136   -153.250   2.4873    
 114    179.786   -153.250   1.8309    
 115    194.436   -153.250   1.2806    
 116    209.086   -153.250  0.77918    
 117    223.736   -153.250  0.80234    
 118    238.386   -153.250  0.73103    
 119    253.036   -153.250  0.63184    
 120    267.686   -153.250  0.61337    
 121    267.686   -138.600  0.68599    
 122    253.036   -138.600  0.70116    
 123    238.386   -138.600  0.77084    
 124    223.736   -138.600  0.78097    
 125    209.086   -138.600  0.82226    
 126    194.436   -138.600   1.6094    
 127    179.786   -138.600   2.3399    
 128    165.136   -138.600   2.8651    
 129    150.486   -138.600   2.7219    
 130    135.836   -138.600   2.2613    
 131    121.186   -138.600   2.1051    
 132    106.536   -138.600   1.8985    
 133     91.886   -138.600   1.3522    
 134     77.236   -138.600  0.88064    
 135     62.586   -138.600  0.59632    
 136     47.936   -138.600  0.38590    
 137     33.286   -138.600  0.27860    
 138     18.636   -138.600  0.30084    
 139      3.986   -138.600  0.24323    
 140    -10.664   -138.600  0.14271    
 141    -25.314   -138.600  6.87532E-02
 142    -39.964   -138.600  2.64331E-02
 143    -54.614   -138.600 -0.11122    
 144    -69.264   -138.600 -0.20025    
 145    -83.914   -138.600 -0.19372    
 146    -98.564   -138.600 -0.14640    
 147    -98.564   -123.950 -1.27412E-02
 148    -83.914   -123.950 -5.21214E-02
 149    -69.264   -123.950 -7.78622E-02
 150    -54.614   -123.950 -3.27005E-02
 151    -39.964   -123.950  2.35935E-02
 152    -25.314   -123.950  0.15579    
 153    -10.664   -123.950  0.20099    
 154      3.986   -123.950  0.30032    
 155     18.636   -123.950  0.43205    
 156     33.286   -123.950  0.55819    
 157     47.936   -123.950  0.62906    
 158     62.586   -123.950  0.91650    
 159     77.236   -123.950   1.2843    
 160     91.886   -123.950   1.9353    
 161    106.536   -123.950   2.7579    
 162    121.186   -123.950   2.8116    
 163    135.836   -123.950   2.5821    
 164    150.486   -123.950   2.6085    
 165    165.136   -123.950   2.5630    
 166    179.786   -123.950   2.2137    
 167    194.436   -123.950   1.6721    
 168    209.086   -123.950  0.90338    
 169    223.736   -123.950  0.63900    
 170    238.386   -123.950  0.56640    
 171    253.036   -123.950  0.54412    
 172    267.686   -123.950  0.54128    
 173    267.686   -109.300  0.35326    
 174    253.036   -109.300  0.36206    
 175    238.386   -109.300  0.41290    
 176    223.736   -109.300  0.52774    
 177    209.086   -109.300  0.68117    
 178    194.436   -109.300   1.1653    
 179    179.786   -109.300   1.7159    
 180    165.136   -109.300   2.2716    
 181    150.486   -109.300   2.7052    
 182    135.836   -109.300   2.8374    
 183    121.186   -109.300   2.9734    
 184    106.536   -109.300   2.7702    
 185     91.886   -109.300   1.9834    
 186     77.236   -109.300   1.3892    
 187     62.586   -109.300  0.99945    
 188     47.936   -109.300  0.71474    
 189     33.286   -109.300  0.61019    
 190     18.636   -109.300  0.51555    
 191      3.986   -109.300  0.40553    
 192    -10.664   -109.300  0.28304    
 193    -25.314   -109.300  0.10297    
 194    -39.964   -109.300  4.47690E-02
 195    -54.614   -109.300  9.09412E-02
 196    -69.264   -109.300  9.18930E-02
 197    -83.914   -109.300  0.11485    
 198    -98.564   -109.300  0.13390    
 199    -98.564    -94.650  9.07233E-02
 200    -83.914    -94.650  9.08098E-02
 201    -69.264    -94.650  9.31629E-02
 202    -54.614    -94.650  0.11196    
 203    -39.964    -94.650  0.11552    
 204    -25.314    -94.650  0.17295    
 205    -10.664    -94.650  0.33836    
 206      3.986    -94.650  0.50312    
 207     18.636    -94.650  0.56327    
 208     33.286    -94.650  0.57948    
 209     47.936    -94.650  0.64487    
 210     62.586    -94.650  0.85288    
 211     77.236    -94.650   1.1798    
 212     91.886    -94.650   1.4942    
 213    106.536    -94.650   2.1355    
 214    121.186    -94.650   2.7062    
 215    135.836    -94.650   3.0094    
 216    150.486    -94.650   2.8845    
 217    165.136    -94.650   1.9752    
 218    179.786    -94.650   1.2306    
 219    194.436    -94.650  0.81662    
