!
! 01-AUG-2019 13:41:25
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area -70.0 -69.5 /OUTPUT smm1_cn10_blue_comp5.txt
!
 1    238.386   -226.500  0.13489    
 2    223.736   -226.500  0.13217    
 3    209.086   -226.500  0.13196    
 4    194.436   -226.500  0.13015    
 5    179.786   -226.500  0.11161    
 6    165.136   -226.500  7.04665E-02
 7    150.486   -226.500  2.46433E-02
 8    135.836   -226.500 -1.73398E-02
 9    121.186   -226.500  1.62900E-02
 10    106.536   -226.500  2.04541E-02
 11     91.886   -226.500  2.08300E-02
 12     77.236   -226.500  2.08137E-02
 13     33.286   -211.850  0.12206    
 14     47.936   -211.850  3.82424E-02
 15     62.586   -211.850 -3.07574E-02
 16     77.236   -211.850  1.55737E-02
 17     91.886   -211.850  4.78810E-02
 18    106.536   -211.850  4.50651E-02
 19    121.186   -211.850  2.65367E-02
 20    135.836   -211.850 -4.08246E-03
 21    150.486   -211.850  5.71096E-02
 22    165.136   -211.850  4.28567E-02
 23    179.786   -211.850  8.89761E-02
 24    194.436   -211.850  0.12410    
 25    209.086   -211.850  0.12985    
 26    223.736   -211.850  0.13058    
 27    238.386   -211.850  0.12593    
 28    253.036   -211.850  0.13903    
 29    267.686   -211.850  0.11485    
 30    267.686   -197.200  0.13966    
 31    253.036   -197.200  0.13888    
 32    238.386   -197.200  0.11577    
 33    223.736   -197.200  8.10201E-02
 34    209.086   -197.200  0.10825    
 35    194.436   -197.200  9.81195E-02
 36    179.786   -197.200  5.06925E-02
 37    165.136   -197.200  2.12802E-02
 38    150.486   -197.200  5.26295E-02
 39    135.836   -197.200  1.76836E-02
 40    121.186   -197.200  6.45496E-02
 41    106.536   -197.200  8.85569E-02
 42     91.886   -197.200  6.32689E-02
 43     77.236   -197.200 -6.29284E-02
 44     62.586   -197.200 -2.18734E-02
 45     47.936   -197.200  2.77892E-02
 46     33.286   -197.200  3.36964E-02
 47     18.636   -197.200  3.36682E-02
 48    -39.964   -182.550 -0.21907    
 49    -25.314   -182.550 -0.17193    
 50    -10.664   -182.550 -8.01819E-02
 51      3.986   -182.550 -6.85338E-03
 52     18.636   -182.550  9.98161E-04
 53     33.286   -182.550  3.66211E-03
 54     47.936   -182.550  1.08621E-02
 55     62.586   -182.550 -1.07549E-02
 56     77.236   -182.550 -4.99248E-02
 57     91.886   -182.550  2.04762E-02
 58    106.536   -182.550  0.12105    
 59    121.186   -182.550  0.13225    
 60    135.836   -182.550  4.77476E-02
 61    150.486   -182.550  4.15554E-02
 62    165.136   -182.550  5.32586E-02
 63    179.786   -182.550  8.58383E-02
 64    194.436   -182.550  0.15222    
 65    209.086   -182.550  0.12076    
 66    223.736   -182.550  2.54144E-02
 67    238.386   -182.550  0.10511    
 68    253.036   -182.550  0.13375    
 69    267.686   -182.550  0.13514    
 70    267.686   -167.900  0.13161    
 71    253.036   -167.900  0.12836    
 72    238.386   -167.900  9.16214E-02
 73    223.736   -167.900  9.08176E-03
 74    209.086   -167.900  2.26208E-02
 75    194.436   -167.900  0.12273    
 76    179.786   -167.900  0.11018    
 77    165.136   -167.900  8.92225E-02
 78    150.486   -167.900  8.10739E-02
 79    135.836   -167.900  6.84346E-02
 80    121.186   -167.900  8.24347E-02
 81    106.536   -167.900  7.99380E-02
 82     91.886   -167.900  3.95320E-02
 83     77.236   -167.900 -2.00355E-02
 84     62.586   -167.900 -1.01487E-03
 85     47.936   -167.900 -7.28574E-03
 86     33.286   -167.900 -1.86569E-02
 87     18.636   -167.900 -3.21871E-02
 88      3.986   -167.900 -7.37385E-03
 89    -10.664   -167.900 -8.02633E-02
 90    -25.314   -167.900 -0.17141    
 91    -39.964   -167.900 -0.21095    
 92    -54.614   -167.900 -9.55350E-02
 93    -69.264   -167.900 -5.29225E-02
 94    -83.914   -167.900 -9.84314E-03
 95    -98.564   -153.250  3.08820E-02
 96    -83.914   -153.250 -3.44861E-03
 97    -69.264   -153.250 -3.72759E-02
