!
! 01-AUG-2019 13:41:46
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area 16.7 17.5 /OUTPUT smm1_cn10_red_comp2.txt
!
 1    238.386   -226.500  7.10059E-03
 2    223.736   -226.500  1.55107E-02
 3    209.086   -226.500  1.59756E-02
 4    194.436   -226.500  1.94913E-02
 5    179.786   -226.500  3.60947E-02
 6    165.136   -226.500  4.59150E-02
 7    150.486   -226.500  7.62530E-02
 8    135.836   -226.500 -1.12427E-02
 9    121.186   -226.500 -5.18864E-02
 10    106.536   -226.500 -4.94554E-02
 11     91.886   -226.500 -4.88123E-02
 12     77.236   -226.500 -4.87852E-02
 13     33.286   -211.850 -7.79099E-02
 14     47.936   -211.850 -2.90508E-02
 15     62.586   -211.850 -3.66222E-02
 16     77.236   -211.850 -3.75983E-02
 17     91.886   -211.850 -3.19325E-02
 18    106.536   -211.850 -3.21493E-02
 19    121.186   -211.850 -3.22535E-02
 20    135.836   -211.850 -5.15549E-03
 21    150.486   -211.850  7.33609E-02
 22    165.136   -211.850  6.19541E-02
 23    179.786   -211.850  3.44928E-02
 24    194.436   -211.850  5.68104E-02
 25    209.086   -211.850  6.28171E-02
 26    223.736   -211.850  6.36521E-02
 27    238.386   -211.850  0.18004    
 28    253.036   -211.850  0.29369    
 29    267.686   -211.850  0.37218    
 30    267.686   -197.200  0.25488    
 31    253.036   -197.200  0.25201    
 32    238.386   -197.200  0.22610    
 33    223.736   -197.200  8.77165E-02
 34    209.086   -197.200  3.20197E-02
 35    194.436   -197.200  2.29167E-02
 36    179.786   -197.200 -1.06278E-02
 37    165.136   -197.200  8.64512E-03
 38    150.486   -197.200  8.57418E-03
 39    135.836   -197.200 -1.41907E-02
 40    121.186   -197.200  3.32049E-02
 41    106.536   -197.200  4.97583E-02
 42     91.886   -197.200  3.79401E-02
 43     77.236   -197.200 -4.70360E-02
 44     62.586   -197.200 -3.05279E-02
 45     47.936   -197.200 -2.92115E-02
 46     33.286   -197.200 -4.65026E-02
 47     18.636   -197.200 -4.79270E-02
 48    -39.964   -182.550  0.13011    
 49    -25.314   -182.550  5.65477E-02
 50    -10.664   -182.550  4.86063E-02
 51      3.986   -182.550  2.79610E-02
 52     18.636   -182.550 -5.05345E-02
 53     33.286   -182.550 -5.01939E-02
 54     47.936   -182.550 -2.86988E-02
 55     62.586   -182.550 -1.70491E-02
 56     77.236   -182.550 -3.46811E-02
 57     91.886   -182.550  2.33853E-02
 58    106.536   -182.550  7.05242E-02
 59    121.186   -182.550  8.88364E-02
 60    135.836   -182.550 -9.80957E-03
 61    150.486   -182.550 -2.70351E-02
 62    165.136   -182.550 -1.26780E-02
 63    179.786   -182.550 -2.30403E-03
 64    194.436   -182.550  1.68700E-02
 65    209.086   -182.550  2.98992E-02
 66    223.736   -182.550  0.13680    
 67    238.386   -182.550  0.16562    
 68    253.036   -182.550  0.19933    
 69    267.686   -182.550  0.20509    
 70    267.686   -167.900  0.13686    
 71    253.036   -167.900  0.12743    
 72    238.386   -167.900  8.47275E-02
 73    223.736   -167.900  7.21380E-02
 74    209.086   -167.900  3.07817E-02
 75    194.436   -167.900 -1.20340E-02
 76    179.786   -167.900 -4.05691E-02
 77    165.136   -167.900 -3.48124E-02
 78    150.486   -167.900 -5.27067E-02
 79    135.836   -167.900  3.81441E-02
 80    121.186   -167.900  0.12845    
 81    106.536   -167.900  7.32402E-02
 82     91.886   -167.900  4.44435E-02
 83     77.236   -167.900 -5.89186E-04
 84     62.586   -167.900  8.47577E-03
 85     47.936   -167.900 -3.03774E-02
 86     33.286   -167.900 -5.63463E-02
 87     18.636   -167.900  4.40701E-02
 88      3.986   -167.900  2.86968E-02
 89    -10.664   -167.900  4.88334E-02
 90    -25.314   -167.900  5.64754E-02
 91    -39.964   -167.900  0.12447    
 92    -54.614   -167.900  0.11810    
 93    -69.264   -167.900  2.00380E-02
 94    -83.914   -167.900 -5.67726E-02
 95    -98.564   -153.250 -1.96414E-03
 96    -83.914   -153.250 -7.06333E-04
 97    -69.264   -153.250  2.65622E-02
 98    -54.614   -153.250  9.77133E-02
 99    -39.964   -153.250  0.11261    
 100    -25.314   -153.250  5.67815E-02
 101    -10.664   -153.250  5.08331E-02
 102      3.986   -153.250  3.13637E-02
 103     18.636   -153.250  6.37942E-02
 104     33.286   -153.250  5.23577E-02
 105     47.936   -153.250 -4.09137E-03
 106     62.586   -153.250  4.75643E-02
 107     77.236   -153.250  5.36783E-02
 108     91.886   -153.250  7.08120E-02
 109    106.536   -153.250  0.17191    
 110    121.186   -153.250  0.25166    
 111    135.836   -153.250  0.14590    
 112    150.486   -153.250  3.24461E-02
 113    165.136   -153.250 -2.57474E-03
 114    179.786   -153.250 -1.65293E-02
 115    194.436   -153.250  2.84545E-02
 116    209.086   -153.250  2.93717E-02
 117    223.736   -153.250  8.58505E-04
 118    238.386   -153.250  3.21970E-02
 119    253.036   -153.250  8.22714E-02
 120    267.686   -153.250  9.43405E-02
 121    267.686   -138.600  9.29836E-02
 122    253.036   -138.600  8.02661E-02
 123    238.386   -138.600  3.43363E-02
 124    223.736   -138.600  4.63325E-03
 125    209.086   -138.600  2.37715E-02
 126    194.436   -138.600  1.35428E-02
 127    179.786   -138.600 -1.48554E-02
 128    165.136   -138.600 -3.09014E-03
 129    150.486   -138.600  5.91796E-02
 130    135.836   -138.600  0.21224    
 131    121.186   -138.600  0.37323    
 132    106.536   -138.600  0.25724    
 133     91.886   -138.600  9.24572E-02
 134     77.236   -138.600  5.40720E-02
 135     62.586   -138.600  5.13439E-02
 136     47.936   -138.600  5.41377E-02
 137     33.286   -138.600  0.10867    
 138     18.636   -138.600  7.31833E-02
 139      3.986   -138.600  5.05120E-02
 140    -10.664   -138.600  6.52721E-02
 141    -25.314   -138.600  5.94509E-02
 142    -39.964   -138.600  8.47790E-02
 143    -54.614   -138.600  9.07026E-02
 144    -69.264   -138.600  4.41194E-02
 145    -83.914   -138.600  3.91944E-02
 146    -98.564   -138.600  5.24704E-02
 147    -98.564   -123.950  0.11034    
 148    -83.914   -123.950  9.58494E-02
 149    -69.264   -123.950  8.07563E-02
 150    -54.614   -123.950  8.95653E-02
 151    -39.964   -123.950  8.31864E-02
 152    -25.314   -123.950  6.37276E-02
 153    -10.664   -123.950  9.61373E-02
 154      3.986   -123.950  8.31879E-02
 155     18.636   -123.950  7.21542E-02
 156     33.286   -123.950  9.34347E-02
 157     47.936   -123.950  9.51098E-02
 158     62.586   -123.950  6.83144E-02
 159     77.236   -123.950  3.75783E-02
 160     91.886   -123.950  8.92263E-02
 161    106.536   -123.950  0.24505    
 162    121.186   -123.950  0.34418    
 163    135.836   -123.950  0.16583    
 164    150.486   -123.950  5.39074E-02
 165    165.136   -123.950  1.54017E-02
 166    179.786   -123.950 -6.46333E-03
 167    194.436   -123.950  2.12641E-02
 168    209.086   -123.950  3.49204E-02
 169    223.736   -123.950  1.35086E-02
 170    238.386   -123.950  2.34406E-02
 171    253.036   -123.950  5.28251E-02
 172    267.686   -123.950  6.14510E-02
 173    267.686   -109.300  2.73617E-02
 174    253.036   -109.300  2.71789E-02
 175    238.386   -109.300  3.46578E-02
 176    223.736   -109.300  5.14154E-02
 177    209.086   -109.300  7.13113E-02
 178    194.436   -109.300  8.02618E-02
 179    179.786   -109.300  4.53917E-02
 180    165.136   -109.300  2.63684E-02
 181    150.486   -109.300  5.88357E-02
 182    135.836   -109.300  0.13447    
 183    121.186   -109.300  0.22234    
 184    106.536   -109.300  0.17183    
 185     91.886   -109.300  6.57728E-02
 186     77.236   -109.300  1.71463E-02
 187     62.586   -109.300  2.91376E-02
 188     47.936   -109.300  3.26288E-02
 189     33.286   -109.300  3.39945E-02
