!
! 01-AUG-2019 13:42:28
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area -69.4 -68.5 /OUTPUT smm1_cn10_red_comp5.txt
!
 1    238.386   -226.500  0.22071    
 2    223.736   -226.500  0.22860    
 3    209.086   -226.500  0.22776    
 4    194.436   -226.500  0.22071    
 5    179.786   -226.500  0.15708    
 6    165.136   -226.500  2.50568E-02
 7    150.486   -226.500  7.42698E-02
 8    135.836   -226.500  4.33885E-02
 9    121.186   -226.500  2.89132E-02
 10    106.536   -226.500  2.57134E-02
 11     91.886   -226.500  2.52872E-02
 12     77.236   -226.500  2.51754E-02
 13     33.286   -211.850  0.16634    
 14     47.936   -211.850  0.10061    
 15     62.586   -211.850  3.42626E-02
 16     77.236   -211.850  7.83182E-02
 17     91.886   -211.850  7.92969E-02
 18    106.536   -211.850  7.81380E-02
 19    121.186   -211.850  7.11637E-02
 20    135.836   -211.850  7.07582E-02
 21    150.486   -211.850  0.10316    
 22    165.136   -211.850  6.30208E-02
 23    179.786   -211.850  0.14429    
 24    194.436   -211.850  0.22453    
 25    209.086   -211.850  0.23977    
 26    223.736   -211.850  0.24177    
 27    238.386   -211.850  0.33850    
 28    253.036   -211.850  0.51054    
 29    267.686   -211.850  0.70028    
 30    267.686   -197.200  0.43427    
 31    253.036   -197.200  0.43017    
 32    238.386   -197.200  0.34280    
 33    223.736   -197.200  0.16290    
 34    209.086   -197.200  0.21219    
 35    194.436   -197.200  0.20083    
 36    179.786   -197.200  0.15122    
 37    165.136   -197.200  0.10061    
 38    150.486   -197.200  5.77842E-02
 39    135.836   -197.200  4.80989E-02
 40    121.186   -197.200  6.51386E-02
 41    106.536   -197.200  7.57232E-02
 42     91.886   -197.200  9.69885E-02
 43     77.236   -197.200  7.36829E-02
 44     62.586   -197.200  3.82633E-02
 45     47.936   -197.200  9.55074E-02
 46     33.286   -197.200  0.11800    
 47     18.636   -197.200  0.12266    
 48    -39.964   -182.550 -1.03058E-02
 49    -25.314   -182.550  2.21111E-02
 50    -10.664   -182.550 -8.88509E-03
 51      3.986   -182.550 -3.62404E-02
 52     18.636   -182.550  8.36158E-02
 53     33.286   -182.550  8.67545E-02
 54     47.936   -182.550  7.47707E-02
 55     62.586   -182.550  3.52293E-02
 56     77.236   -182.550  6.35983E-02
 57     91.886   -182.550  0.11888    
 58    106.536   -182.550  0.14815    
 59    121.186   -182.550  0.12106    
 60    135.836   -182.550  6.21357E-02
 61    150.486   -182.550  4.83851E-03
 62    165.136   -182.550  9.16589E-02
 63    179.786   -182.550  0.11210    
 64    194.436   -182.550  0.13753    
 65    209.086   -182.550  0.15964    
 66    223.736   -182.550  0.13461    
 67    238.386   -182.550  0.27265    
 68    253.036   -182.550  0.34605    
 69    267.686   -182.550  0.35189    
 70    267.686   -167.900  0.27172    
 71    253.036   -167.900  0.26497    
 72    238.386   -167.900  0.21802    
 73    223.736   -167.900  0.18521    
 74    209.086   -167.900  0.17554    
 75    194.436   -167.900  4.46516E-02
 76    179.786   -167.900  4.88774E-02
 77    165.136   -167.900  4.70070E-02
 78    150.486   -167.900  2.88206E-02
 79    135.836   -167.900  6.90267E-02
