!
! 01-AUG-2019 13:46:42
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area 10.0 11.9 /OUTPUT smm1_hcn10_blue_comp1.txt
!
 1    238.386   -226.500  0.28817    
 2    223.736   -226.500  0.27220    
 3    209.086   -226.500  0.27174    
 4    194.436   -226.500  0.26800    
 5    179.786   -226.500  0.23857    
 6    165.136   -226.500  0.14461    
 7    150.486   -226.500 -4.00576E-03
 8    135.836   -226.500 -1.74699E-02
 9    121.186   -226.500  0.10187    
 10    106.536   -226.500  0.13488    
 11     91.886   -226.500  0.13921    
 12     77.236   -226.500  0.13974    
 13     33.286   -211.850 -0.37430    
 14     47.936   -211.850 -2.26114E-02
 15     62.586   -211.850  6.30856E-02
 16     77.236   -211.850  7.84028E-02
 17     91.886   -211.850  7.39265E-02
 18    106.536   -211.850  7.01532E-02
 19    121.186   -211.850  4.65622E-02
 20    135.836   -211.850  1.73029E-02
 21    150.486   -211.850  2.24274E-02
 22    165.136   -211.850  7.80784E-02
 23    179.786   -211.850  4.72622E-02
 24    194.436   -211.850  6.66091E-02
 25    209.086   -211.850  7.41481E-02
 26    223.736   -211.850  7.52298E-02
 27    238.386   -211.850  1.21495E-02
 28    253.036   -211.850 -7.95446E-02
 29    267.686   -211.850 -0.11939    
 30    267.686   -197.200 -7.73472E-02
 31    253.036   -197.200 -7.45642E-02
 32    238.386   -197.200 -2.29691E-02
 33    223.736   -197.200  0.12247    
 34    209.086   -197.200  0.10552    
 35    194.436   -197.200  8.44770E-02
 36    179.786   -197.200  1.92489E-02
 37    165.136   -197.200  5.56299E-02
 38    150.486   -197.200 -8.16016E-02
 39    135.836   -197.200  8.50745E-03
 40    121.186   -197.200  0.16456    
 41    106.536   -197.200  0.20375    
 42     91.886   -197.200  0.20652    
 43     77.236   -197.200  9.59885E-02
 44     62.586   -197.200  7.86798E-02
 45     47.936   -197.200 -3.50813E-02
 46     33.286   -197.200 -0.20520    
 47     18.636   -197.200 -0.23734    
 48    -39.964   -182.550 -0.44113    
 49    -25.314   -182.550 -0.33160    
 50    -10.664   -182.550 -4.19621E-02
 51      3.986   -182.550 -4.26065E-02
 52     18.636   -182.550 -0.22527    
 53     33.286   -182.550 -0.19987    
 54     47.936   -182.550 -5.12787E-02
 55     62.586   -182.550  9.88313E-02
 56     77.236   -182.550  0.10702    
 57     91.886   -182.550  0.21255    
 58    106.536   -182.550  0.47241    
 59    121.186   -182.550  0.56161    
 60    135.836   -182.550  0.18816    
 61    150.486   -182.550 -3.59291E-04
 62    165.136   -182.550  0.19982    
 63    179.786   -182.550  8.37732E-02
 64    194.436   -182.550  8.47164E-02
 65    209.086   -182.550  0.17919    
 66    223.736   -182.550  0.11995    
 67    238.386   -182.550 -1.83075E-02
 68    253.036   -182.550 -8.50248E-02
 69    267.686   -182.550 -9.05900E-02
 70    267.686   -167.900 -0.16686    
 71    253.036   -167.900 -0.15427    
 72    238.386   -167.900 -5.52033E-02
 73    223.736   -167.900  9.52976E-02
 74    209.086   -167.900  0.19009    
 75    194.436   -167.900  8.11638E-02
 76    179.786   -167.900  5.02614E-02
 77    165.136   -167.900  0.12115    
 78    150.486   -167.900  0.16005    
 79    135.836   -167.900  0.42450    
 80    121.186   -167.900  0.61692    
 81    106.536   -167.900  0.34625    
 82     91.886   -167.900  0.22417    
 83     77.236   -167.900  0.12612    
 84     62.586   -167.900  0.10904    
 85     47.936   -167.900 -7.92650E-02
 86     33.286   -167.900 -0.20704    
 87     18.636   -167.900 -0.23112    
 88      3.986   -167.900 -4.24962E-02
 89    -10.664   -167.900 -4.27112E-02
 90    -25.314   -167.900 -0.33077    
 91    -39.964   -167.900 -0.42421    
 92    -54.614   -167.900 -0.19345    
 93    -69.264   -167.900  4.50881E-02
 94    -83.914   -167.900  0.31106    
 95    -98.564   -153.250  0.36089    
 96    -83.914   -153.250  0.24382    
 97    -69.264   -153.250  5.41037E-02
 98    -54.614   -153.250 -0.12690    
 99    -39.964   -153.250 -0.35976    
 100    -25.314   -153.250 -0.32511    
 101    -10.664   -153.250 -4.61864E-02
 102      3.986   -153.250 -4.54942E-02
 103     18.636   -153.250 -0.22418    
 104     33.286   -153.250 -0.12409    
 105     47.936   -153.250 -4.68810E-02
 106     62.586   -153.250  0.10839    
 107     77.236   -153.250  0.16969    
 108     91.886   -153.250  0.23708    
 109    106.536   -153.250  0.43001    
 110    121.186   -153.250  0.65843    
 111    135.836   -153.250  0.52293    
 112    150.486   -153.250  0.23892    
 113    165.136   -153.250  9.41559E-02
 114    179.786   -153.250  5.46215E-02
 115    194.436   -153.250  0.12299    
 116    209.086   -153.250  0.16370    
 117    223.736   -153.250  5.35671E-02
 118    238.386   -153.250 -0.12175    
 119    253.036   -153.250 -0.23998    
 120    267.686   -153.250 -0.26159    
 121    267.686   -138.600  6.30389E-02
 122    253.036   -138.600  4.59907E-02
 123    238.386   -138.600 -1.90514E-02
 124    223.736   -138.600 -5.97553E-03
 125    209.086   -138.600  0.12245    
 126    194.436   -138.600  0.11885    
 127    179.786   -138.600  8.00116E-02
 128    165.136   -138.600  0.11584    
 129    150.486   -138.600  0.22632    
 130    135.836   -138.600  0.41196    
 131    121.186   -138.600  0.57235    
 132    106.536   -138.600  0.39809    
 133     91.886   -138.600  0.21400    
 134     77.236   -138.600  0.16023    
 135     62.586   -138.600  8.81154E-02
 136     47.936   -138.600 -3.92528E-02
 137     33.286   -138.600 -0.10372    
 138     18.636   -138.600 -0.16169    
 139      3.986   -138.600 -5.88622E-02
 140    -10.664   -138.600 -6.49794E-02
 141    -25.314   -138.600 -0.27294    
 142    -39.964   -138.600 -0.16742    
 143    -54.614   -138.600 -0.10582    
 144    -69.264   -138.600  5.56895E-02
 145    -83.914   -138.600  0.19912    
 146    -98.564   -138.600  0.25675    
 147    -98.564   -123.950  8.21878E-02
 148    -83.914   -123.950  7.76735E-02
 149    -69.264   -123.950  1.95607E-02
 150    -54.614   -123.950 -7.63821E-02
 151    -39.964   -123.950 -5.44588E-02
