!
! 01-AUG-2019 13:46:16
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area -1.3 0.1 /OUTPUT smm1_hcn10_blue_comp3.txt
!
 1    238.386   -226.500  0.13652    
 2    223.736   -226.500  0.13258    
 3    209.086   -226.500  0.13045    
 4    194.436   -226.500  0.11426    
 5    179.786   -226.500  3.45360E-02
 6    165.136   -226.500  6.48495E-02
 7    150.486   -226.500  7.82808E-02
 8    135.836   -226.500  0.10090    
 9    121.186   -226.500  0.11906    
 10    106.536   -226.500  0.11146    
 11     91.886   -226.500  0.11012    
 12     77.236   -226.500  0.10993    
 13     33.286   -211.850 -0.19450    
 14     47.936   -211.850 -0.28325    
 15     62.586   -211.850 -0.27501    
 16     77.236   -211.850  2.42078E-02
 17     91.886   -211.850  8.47235E-02
 18    106.536   -211.850  8.43641E-02
 19    121.186   -211.850  8.08283E-02
 20    135.836   -211.850  5.64462E-02
 21    150.486   -211.850  6.14127E-02
 22    165.136   -211.850 -4.21315E-03
 23    179.786   -211.850 -4.27755E-02
 24    194.436   -211.850  7.83695E-02
 25    209.086   -211.850  0.10800    
 26    223.736   -211.850  0.11202    
 27    238.386   -211.850  9.88898E-02
 28    253.036   -211.850  0.15682    
 29    267.686   -211.850  5.13866E-02
 30    267.686   -197.200  0.17598    
 31    253.036   -197.200  0.17080    
 32    238.386   -197.200  8.25236E-02
 33    223.736   -197.200 -4.41082E-02
 34    209.086   -197.200  3.88387E-02
 35    194.436   -197.200  2.38082E-02
 36    179.786   -197.200 -1.76790E-02
 37    165.136   -197.200  9.07241E-02
 38    150.486   -197.200  9.31249E-02
 39    135.836   -197.200  2.12897E-02
 40    121.186   -197.200  6.93949E-02
 41    106.536   -197.200  9.83186E-02
 42     91.886   -197.200  6.60225E-02
 43     77.236   -197.200 -0.12866    
 44     62.586   -197.200 -0.27663    
 45     47.936   -197.200 -0.24888    
 46     33.286   -197.200 -0.14105    
 47     18.636   -197.200 -0.11955    
 48    -39.964   -182.550  0.27852    
 49    -25.314   -182.550  0.11219    
 50    -10.664   -182.550  5.00615E-02
 51      3.986   -182.550  0.12285    
 52     18.636   -182.550 -0.10376    
 53     33.286   -182.550 -0.12477    
 54     47.936   -182.550 -0.20948    
 55     62.586   -182.550 -0.26451    
 56     77.236   -182.550 -0.11757    
 57     91.886   -182.550  1.40865E-03
 58    106.536   -182.550  9.41306E-02
 59    121.186   -182.550  0.15386    
 60    135.836   -182.550  6.30589E-02
 61    150.486   -182.550  7.23120E-02
 62    165.136   -182.550  5.05337E-02
 63    179.786   -182.550 -0.10720    
