!
! 01-AUG-2019 13:46:01
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area 1.5 2.5 /OUTPUT smm1_hcn10_red_comp3.txt
!
 1    238.386   -226.500  0.17879    
 2    223.736   -226.500  0.17971    
 3    209.086   -226.500  0.17878    
 4    194.436   -226.500  0.17087    
 5    179.786   -226.500  9.51153E-02
 6    165.136   -226.500 -0.11846    
 7    150.486   -226.500 -0.15048    
 8    135.836   -226.500  2.05946E-02
 9    121.186   -226.500  0.15479    
 10    106.536   -226.500  0.16207    
 11     91.886   -226.500  0.16228    
 12     77.236   -226.500  0.16232    
 13     33.286   -211.850 -0.37022    
 14     47.936   -211.850 -0.20963    
 15     62.586   -211.850 -4.36198E-02
 16     77.236   -211.850  0.17254    
 17     91.886   -211.850  0.23395    
 18    106.536   -211.850  0.22869    
 19    121.186   -211.850  0.19039    
 20    135.836   -211.850  4.73875E-02
 21    150.486   -211.850 -7.53620E-02
 22    165.136   -211.850 -6.74810E-02
 23    179.786   -211.850  4.01763E-02
 24    194.436   -211.850  8.79521E-02
 25    209.086   -211.850  9.54232E-02
 26    223.736   -211.850  9.63715E-02
 27    238.386   -211.850 -0.12915    
 28    253.036   -211.850 -0.36765    
 29    267.686   -211.850 -0.41216    
 30    267.686   -197.200 -0.32701    
 31    253.036   -197.200 -0.32408    
 32    238.386   -197.200 -0.26363    
 33    223.736   -197.200  4.57338E-02
 34    209.086   -197.200  0.12122    
 35    194.436   -197.200  0.11381    
 36    179.786   -197.200  7.61990E-02
 37    165.136   -197.200 -4.17205E-03
 38    150.486   -197.200 -6.31694E-02
 39    135.836   -197.200  4.93568E-03
 40    121.186   -197.200  0.13627    
 41    106.536   -197.200  0.18783    
 42     91.886   -197.200  0.13811    
 43     77.236   -197.200  6.53723E-03
 44     62.586   -197.200 -6.32099E-02
 45     47.936   -197.200 -0.22695    
 46     33.286   -197.200 -0.31876    
 47     18.636   -197.200 -0.33482    
 48    -39.964   -182.550 -0.11698    
 49    -25.314   -182.550 -2.54703E-02
 50    -10.664   -182.550 -3.73685E-02
 51      3.986   -182.550 -4.38321E-03
 52     18.636   -182.550 -0.26917    
 53     33.286   -182.550 -0.27209    
 54     47.936   -182.550 -0.21952    
 55     62.586   -182.550 -8.27587E-02
 56     77.236   -182.550 -3.35136E-03
 57     91.886   -182.550  3.48387E-02
 58    106.536   -182.550  4.20835E-02
 59    121.186   -182.550  3.27093E-02
 60    135.836   -182.550  3.73990E-03
 61    150.486   -182.550 -7.49640E-02
 62    165.136   -182.550  8.22394E-03
 63    179.786   -182.550  0.10175    
 64    194.436   -182.550  0.11764    
 65    209.086   -182.550  3.48999E-02
 66    223.736   -182.550 -5.23193E-02
 67    238.386   -182.550 -0.20542    
 68    253.036   -182.550 -0.25876    
 69    267.686   -182.550 -0.26284    
 70    267.686   -167.900 -0.16388    
 71    253.036   -167.900 -0.16089    
 72    238.386   -167.900 -0.13669    
 73    223.736   -167.900 -4.34466E-02
 74    209.086   -167.900 -3.83951E-02
 75    194.436   -167.900  3.01633E-02
 76    179.786   -167.900  4.55462E-02
 77    165.136   -167.900  6.09111E-03
 78    150.486   -167.900 -1.51548E-02
 79    135.836   -167.900 -2.28750E-02
 80    121.186   -167.900  2.45835E-04
 81    106.536   -167.900  2.38889E-02
 82     91.886   -167.900  6.10495E-03
 83     77.236   -167.900 -1.89723E-02
 84     62.586   -167.900 -8.62717E-02
 85     47.936   -167.900 -0.16521    
 86     33.286   -167.900 -0.17887    
 87     18.636   -167.900  1.66615E-02
 88      3.986   -167.900 -3.47930E-03
 89    -10.664   -167.900 -3.70553E-02
 90    -25.314   -167.900 -2.55913E-02
 91    -39.964   -167.900 -0.11028    
 92    -54.614   -167.900 -9.71640E-02
 93    -69.264   -167.900  7.34062E-02
 94    -83.914   -167.900  0.19377    
 95    -98.564   -153.250  9.77854E-02
 96    -83.914   -153.250  0.10711    
 97    -69.264   -153.250  4.72395E-02
 98    -54.614   -153.250 -7.64430E-02
 99    -39.964   -153.250 -0.10746    
 100    -25.314   -153.250 -2.69948E-02
 101    -10.664   -153.250 -3.57684E-02
 102      3.986   -153.250 -4.15990E-03
 103     18.636   -153.250  4.81356E-02
 104     33.286   -153.250 -6.52632E-02
 105     47.936   -153.250 -0.10030    
 106     62.586   -153.250 -6.60424E-02
 107     77.236   -153.250 -2.43551E-02
 108     91.886   -153.250 -2.38666E-02
 109    106.536   -153.250  1.27429E-02
 110    121.186   -153.250  2.82676E-02
 111    135.836   -153.250  1.89222E-02
 112    150.486   -153.250 -2.33421E-05
 113    165.136   -153.250 -5.06791E-03
 114    179.786   -153.250  7.59487E-03
 115    194.436   -153.250  1.24481E-02
 116    209.086   -153.250  8.20000E-03
 117    223.736   -153.250 -2.32890E-02
 118    238.386   -153.250 -4.14375E-02
 119    253.036   -153.250 -3.63479E-02
 120    267.686   -153.250 -3.67105E-02
 121    267.686   -138.600  7.56876E-02
 122    253.036   -138.600  7.52291E-02
 123    238.386   -138.600  4.45111E-02
 124    223.736   -138.600 -8.19208E-02
 125    209.086   -138.600 -4.73210E-02
 126    194.436   -138.600  1.16386E-03
 127    179.786   -138.600  1.66604E-02
 128    165.136   -138.600  2.81910E-02
 129    150.486   -138.600  1.40013E-02
