Protostar   Molecule    Profile/wings 
smm1   CN   45.564459
smm1   HCN   69.650342
smm1   CO   98.636337
smm1   H13CN   36.414613
smm1   CS   68.717067
smm2   CN   39.197344
smm2   HCN   48.504320
smm2   CO   81.004052
smm2   H13CN   19.021095
smm2   CS   49.725739
smm3   CN   20.803494
smm3   HCN   31.080460
smm3   CO   83.656522
smm3   H13CN   18.830258
smm3   CS   53.170135
smm4   CN   40.205693
smm4   HCN   47.908492
smm4   CO   81.893969
smm4   H13CN   43.154249
smm4   CS   60.711849
smm5   CN   23.767658
smm5   HCN   51.841335
smm5   CO   94.308707
smm5   CS   41.957351
smm6   CN   16.049446
smm6   HCN   23.626575
smm6   CO   76.623907
smm6   H13CN   20.512253
smm6   CS   49.846596
smm8   CN   26.280972
smm8   HCN   42.721673
smm8   H13CN   18.006807
smm8   CS   44.902097
smm9   CN   38.466422
smm9   HCN   83.083999
smm9   CO   96.595650
smm9   H13CN   44.422902
smm9   CS   84.457643
smm10   CN   26.748893
smm10   HCN   74.042483
smm10   CO   95.707555
smm10   H13CN   16.654515
smm10   CS   57.515038
smm12   CN   40.635760
smm12   HCN   45.470906
smm12   CO   75.994167
smm12   H13CN   37.140797
smm12   CS   52.614680
pos1   CN   28.415024
pos1   HCN   67.300137
pos1   CO   94.467289
pos1   CS   60.144683
pos2   CN   46.808277
pos2   HCN   51.002350
pos2   CO   88.652440
pos2   H13CN   25.343140
pos2   CS   60.896681
pos3   CN   15.531412
pos3   HCN   67.700319
pos3   CO   69.142700
pos3   H13CN   65.667163
pos3   CS   72.225113
pos4   CN   40.089329
pos4   HCN   79.338598
pos4   CO   91.353037
pos4   H13CN   54.847310
pos4   CS   78.214772
pos5   CN   43.210479
pos5   HCN   49.796117
pos5   CO   86.612453
pos5   H13CN   39.123892
pos5   CS   59.951155
