Protostar   Molecule    Profile/wings 
smm1   CN   2.194693
smm1   HCN   1.435743
smm1   CO   1.013825
smm1   H13CN   2.746150
smm1   CS   1.455243
smm2   CN   2.551193
smm2   HCN   2.061672
smm2   CO   1.234506
smm2   H13CN   5.257321
smm2   CS   2.011031
smm3   CN   4.806885
smm3   HCN   3.217456
smm3   CO   1.195364
smm3   H13CN   5.310602
smm3   CS   1.880755
smm4   CN   2.487210
smm4   HCN   2.087313
smm4   CO   1.221091
smm4   H13CN   2.317269
smm4   CS   1.647125
smm5   CN   4.207398
smm5   HCN   1.928963
smm5   CO   1.060347
smm5   CS   2.383373
smm6   CN   6.230745
smm6   HCN   4.232522
smm6   CO   1.305076
smm6   H13CN   4.875135
smm6   CS   2.006155
smm8   CN   3.805034
smm8   HCN   2.340732
smm8   H13CN   5.553455
smm8   CS   2.227067
smm9   CN   2.599670
smm9   HCN   1.203601
smm9   CO   1.035243
smm9   H13CN   2.251091
smm9   CS   1.184025
smm10   CN   3.738473
smm10   HCN   1.350576
smm10   CO   1.044850
smm10   H13CN   6.004378
smm10   CS   1.738676
smm12   CN   2.460887
smm12   HCN   2.199208
smm12   CO   1.315890
smm12   H13CN   2.692457
smm12   CS   1.900610
pos1   CN   3.519265
pos1   HCN   1.485881
pos1   CO   1.058567
pos1   CS   1.662657
pos2   CN   2.136374
pos2   HCN   1.960694
pos2   CO   1.128001
pos2   H13CN   3.945841
pos2   CS   1.642126
pos3   CN   6.438565
pos3   HCN   1.477098
pos3   CO   1.446284
pos3   H13CN   1.522831
pos3   CS   1.384560
pos4   CN   2.494429
pos4   HCN   1.260421
pos4   CO   1.094654
pos4   H13CN   1.823243
pos4   CS   1.278531
pos5   CN   2.314253
pos5   HCN   2.008189
pos5   CO   1.154568
pos5   H13CN   2.555983
pos5   CS   1.668025
