Protostar  Component5/4  Component4/3   Component5/3  
smm1   0.663691  2.079751  1.380313
smm2   0.532041  2.311236  1.229673
smm3   0.461867  2.720129  1.256336
smm4   0.485683  2.260882  1.098073
smm5   0.685053  1.409072  0.965289
smm6   0.487035  2.783291  1.355560
smm8   0.545512  4.391821  2.395793
smm9   0.522409  2.291293  1.196992
smm10   0.753678  1.963948  1.480184
smm12   0.503053  2.268557  1.141205
pos1   0.528942  2.108412  1.115229
pos2   0.437968  3.119420  1.366206
pos3   0.325026  5.414259  1.759774
pos4   0.547437  2.490282  1.363272
pos5   0.452763  2.578815  1.167591
