Protostar   Molecule   Region   Flux
smm1   cn10  total  6.292716
smm1   cn10  blue  1.804480
smm1   cn10  red  1.062762
smm2   cn10  total  8.518822
smm2   cn10  blue  3.014441
smm2   cn10  red  0.324711
smm3   cn10  total  12.158025
smm3   cn10  blue  1.592746
smm3   cn10  red  0.936548
smm4   cn10  total  10.221525
smm4   cn10  blue  2.016300
smm4   cn10  red  2.093335
smm5   cn10  total  2.723310
smm5   cn10  blue  0.647267
smm5   cn10  red  0.000000
smm6   cn10  total  10.621345
smm6   cn10  blue  0.796718
smm6   cn10  red  0.907949
smm8   cn10  total  2.965111
smm8   cn10  blue  0.000000
smm8   cn10  red  0.779260
smm9   cn10  total  4.895909
smm9   cn10  blue  1.018952
smm9   cn10  red  0.864329
smm10   cn10  total  2.956485
smm10   cn10  blue  0.641202
smm10   cn10  red  0.149625
smm12   cn10  total  10.055552
smm12   cn10  blue  2.509455
smm12   cn10  red  1.576695
pos1   cn10  total  4.601059
pos1   cn10  blue  0.884203
pos1   cn10  red  0.423189
pos2   cn10  total  7.663666
pos2   cn10  blue  1.172965
pos2   cn10  red  2.414265
pos3   cn10  total  2.714280
pos3   cn10  blue  0.176512
pos3   cn10  red  0.245054
pos4   cn10  total  3.473438
pos4   cn10  blue  0.683861
pos4   cn10  red  0.708617
pos5   cn10  total  8.007111
pos5   cn10  blue  2.277736
pos5   cn10  red  1.182175
smm1   hcn10  total  10.337754
smm1   hcn10  blue  4.374802
smm1   hcn10  red  2.825479
smm2   hcn10  total  13.083647
smm2   hcn10  blue  4.968319
smm2   hcn10  red  1.377815
smm3   hcn10  total  14.355537
smm3   hcn10  blue  2.918730
smm3   hcn10  red  1.543037
smm4   hcn10  total  21.672281
smm4   hcn10  blue  7.245617
smm4   hcn10  red  3.137246
smm5   hcn10  total  4.047743
smm5   hcn10  blue  1.855293
smm5   hcn10  red  0.243111
smm6   hcn10  total  13.100752
smm6   hcn10  blue  2.109977
smm6   hcn10  red  0.985282
smm8   hcn10  total  6.835135
smm8   hcn10  blue  0.273861
smm8   hcn10  red  2.646223
smm9   hcn10  total  20.680709
smm9   hcn10  blue  6.922075
smm9   hcn10  red  10.260285
smm10   hcn10  total  7.264855
smm10   hcn10  blue  2.556790
smm10   hcn10  red  2.822289
smm12   hcn10  total  14.235452
smm12   hcn10  blue  4.736703
smm12   hcn10  red  1.736286
pos1   hcn10  total  7.991431
pos1   hcn10  blue  1.670024
pos1   hcn10  red  3.708220
pos2   hcn10  total  14.928222
pos2   hcn10  blue  4.104845
pos2   hcn10  red  3.508899
pos3   hcn10  total  20.699344
pos3   hcn10  blue  12.961643
pos3   hcn10  red  1.051879
pos4   hcn10  total  13.792128
pos4   hcn10  blue  7.455772
pos4   hcn10  red  3.486709
pos5   hcn10  total  14.273350
pos5   hcn10  blue  3.586423
pos5   hcn10  red  3.521151
smm1   h13cn10  total  1.588777
smm1   h13cn10  blue  0.352970
smm1   h13cn10  red  0.225577
smm2   h13cn10  total  1.497653
smm2   h13cn10  blue  0.130736
smm2   h13cn10  red  0.154134
smm3   h13cn10  total  0.552361
smm3   h13cn10  blue  0.000000
smm3   h13cn10  red  0.104011
smm4   h13cn10  total  1.613614
smm4   h13cn10  blue  0.068443
smm4   h13cn10  red  0.627900
smm5   h13cn10  total  0.770238
smm5   h13cn10  blue  0.000000
smm5   h13cn10  red  0.000000
smm6   h13cn10  total  0.867774
smm6   h13cn10  blue  0.000000
smm6   h13cn10  red  0.178000
smm8   h13cn10  total  0.138381
smm8   h13cn10  blue  0.000000
smm8   h13cn10  red  0.024918
smm9   h13cn10  total  2.368947
smm9   h13cn10  blue  0.431207
smm9   h13cn10  red  0.621148
smm10   h13cn10  total  1.038271
smm10   h13cn10  blue  0.066461
smm10   h13cn10  red  0.106458
smm12   h13cn10  total  1.610477
smm12   h13cn10  blue  0.208375
smm12   h13cn10  red  0.389769
pos1   h13cn10  total  0.809356
pos1   h13cn10  blue  0.000000
pos1   h13cn10  red  0.000000
pos2   h13cn10  total  1.107712
pos2   h13cn10  blue  0.031015
pos2   h13cn10  red  0.249714
pos3   h13cn10  total  1.736061
pos3   h13cn10  blue  0.927636
pos3   h13cn10  red  0.212386
pos4   h13cn10  total  1.645944
pos4   h13cn10  blue  0.531468
pos4   h13cn10  red  0.371288
pos5   h13cn10  total  1.577522
pos5   h13cn10  blue  0.161777
pos5   h13cn10  red  0.455411
smm1   h13cn21  total  0.000000
smm1   h13cn21  blue  0.000000
smm1   h13cn21  red  0.000000
smm2   h13cn21  total  0.000000
smm2   h13cn21  blue  0.000000
smm2   h13cn21  red  0.000000
smm3   h13cn21  total  0.000000
smm3   h13cn21  blue  0.000000
smm3   h13cn21  red  0.000000
smm4   h13cn21  total  0.767028
smm4   h13cn21  blue  0.000000
smm4   h13cn21  red  0.000000
smm5   h13cn21  total  0.000000
smm5   h13cn21  blue  0.000000
smm5   h13cn21  red  0.000000
smm6   h13cn21  total  0.000000
smm6   h13cn21  blue  0.000000
smm6   h13cn21  red  0.000000
smm8   h13cn21  total  0.000000
smm8   h13cn21  blue  0.000000
smm8   h13cn21  red  0.000000
smm9   h13cn21  total  1.841404
smm9   h13cn21  blue  0.000000
smm9   h13cn21  red  0.000000
smm10   h13cn21  total  0.000000
smm10   h13cn21  blue  0.000000
smm10   h13cn21  red  0.000000
smm12   h13cn21  total  0.000000
smm12   h13cn21  blue  0.000000
smm12   h13cn21  red  0.000000
pos1   h13cn21  total  0.000000
pos1   h13cn21  blue  0.000000
pos1   h13cn21  red  0.000000
pos2   h13cn21  total  0.000000
pos2   h13cn21  blue  0.000000
pos2   h13cn21  red  0.000000
pos3   h13cn21  total  0.000000
pos3   h13cn21  blue  0.000000
pos3   h13cn21  red  0.000000
pos4   h13cn21  total  0.000000
pos4   h13cn21  blue  0.000000
pos4   h13cn21  red  0.000000
pos5   h13cn21  total  0.000000
pos5   h13cn21  blue  0.000000
pos5   h13cn21  red  0.000000
smm1   cs32  total  5.890151
smm1   cs32  blue  1.835890
smm1   cs32  red  2.211649
smm2   cs32  total  8.557912
smm2   cs32  blue  2.287150
smm2   cs32  red  1.968335
smm3   cs32  total  8.301854
smm3   cs32  blue  2.462971
smm3   cs32  red  1.951136
smm4   cs32  total  14.763940
smm4   cs32  blue  4.995860
smm4   cs32  red  3.967601
smm5   cs32  total  2.558815
smm5   cs32  blue  0.741511
smm5   cs32  red  0.332100
smm6   cs32  total  8.501726
smm6   cs32  blue  1.809983
smm6   cs32  red  2.427838
smm8   cs32  total  4.505892
smm8   cs32  blue  0.150387
smm8   cs32  red  1.872853
smm9   cs32  total  12.427105
smm9   cs32  blue  4.719704
smm9   cs32  red  5.775936
smm10   cs32  total  3.575185
smm10   cs32  blue  0.991994
smm10   cs32  red  1.064275
smm12   cs32  total  9.878741
smm12   cs32  blue  2.216341
smm12   cs32  red  2.981327
pos1   cs32  total  4.448197
pos1   cs32  blue  1.023062
pos1   cs32  red  1.652292
pos2   cs32  total  11.348891
pos2   cs32  blue  1.940993
pos2   cs32  red  4.970105
pos3   cs32  total  15.078398
pos3   cs32  blue  9.275436
pos3   cs32  red  1.614954
pos4   cs32  total  8.975683
pos4   cs32  blue  5.224568
pos4   cs32  red  1.795742
pos5   cs32  total  10.576672
pos5   cs32  blue  2.449246
pos5   cs32  red  3.891591
smm1   c34s32  total  1.265229
smm1   c34s32  blue  0.370872
smm1   c34s32  red  0.173861
smm2   c34s32  total  0.857808
smm2   c34s32  blue  0.249087
smm2   c34s32  red  0.152948
smm3   c34s32  total  0.503246
smm3   c34s32  blue  0.204250
smm3   c34s32  red  0.000000
smm4   c34s32  total  1.606156
smm4   c34s32  blue  0.427493
smm4   c34s32  red  0.385190
smm5   c34s32  total  0.322049
smm5   c34s32  blue  0.122096
smm5   c34s32  red  0.026730
smm6   c34s32  total  0.760050
smm6   c34s32  blue  0.142120
smm6   c34s32  red  0.167211
smm8   c34s32  total  0.256509
smm8   c34s32  blue  0.000006
smm8   c34s32  red  0.002045
smm9   c34s32  total  1.832367
smm9   c34s32  blue  0.385238
smm9   c34s32  red  0.733352
smm10   c34s32  total  0.392218
smm10   c34s32  blue  0.052263
smm10   c34s32  red  0.000000
smm12   c34s32  total  0.558139
smm12   c34s32  blue  0.252171
smm12   c34s32  red  0.000000
pos1   c34s32  total  1.068268
pos1   c34s32  blue  0.087703
pos1   c34s32  red  0.644511
pos2   c34s32  total  1.059405
pos2   c34s32  blue  0.239904
pos2   c34s32  red  0.419129
pos3   c34s32  total  0.997483
pos3   c34s32  blue  0.602155
pos3   c34s32  red  0.056169
pos4   c34s32  total  1.008937
pos4   c34s32  blue  0.488852
pos4   c34s32  red  0.106332
pos5   c34s32  total  1.083365
pos5   c34s32  blue  0.140314
pos5   c34s32  red  0.518236
smm1   co65  total  75.553130
smm1   co65  blue  37.929635
smm1   co65  red  36.593205
smm2   co65  total  22.668245
smm2   co65  blue  13.072846
smm2   co65  red  5.289351
smm3   co65  total  52.494707
smm3   co65  blue  30.721836
smm3   co65  red  13.193410
smm4   co65  total  94.051660
smm4   co65  blue  68.455705
smm4   co65  red  8.566932
smm5   co65  total  13.254738
smm5   co65  blue  9.581923
smm5   co65  red  2.918449
smm6   co65  total  29.566716
smm6   co65  blue  14.293869
smm6   co65  red  8.361304
smm8   co65  total  0.000000
smm8   co65  blue  0.000000
smm8   co65  red  0.000000
smm9   co65  total  36.182624
smm9   co65  blue  16.050505
smm9   co65  red  18.900336
smm10   co65  total  24.771870
smm10   co65  blue  13.939266
smm10   co65  red  9.769285
smm12   co65  total  17.288319
smm12   co65  blue  7.087463
smm12   co65  red  6.050651
pos1   co65  total  18.656892
pos1   co65  blue  10.966403
pos1   co65  red  6.658257
pos2   co65  total  32.035725
pos2   co65  blue  10.533633
pos2   co65  red  17.866819
pos3   co65  total  28.029445
pos3   co65  blue  16.445634
pos3   co65  red  2.934681
pos4   co65  total  14.197828
pos4   co65  blue  10.388959
pos4   co65  red  2.581188
pos5   co65  total  40.013311
pos5   co65  blue  20.314268
pos5   co65  red  14.342242
