!
! 14-DEC-2018 15:14:40
! Input file  : serpens_c18o65_conv.30m
! Input command: ANALYSE\PRINT area 6.6 10.1 /OUTPUT serpens_c18o65_int.txt
!
 1     -0.289    -23.693 -0.15007    
 2     -5.089    -23.693 -4.24312E-02
 3     -9.889    -23.693  2.03463E-02
 4     -9.889    -18.893 -6.02237E-02
 5     -5.089    -18.893 -0.15457    
 6     -0.289    -18.893 -0.30122    
 7      4.511    -18.893 -0.48467    
 8      9.311    -18.893  0.57766    
 9     14.111    -18.893  0.58249    
 10     18.911    -18.893  0.60247    
 11     23.711    -14.093   1.8264    
 12     18.911    -14.093  0.61289    
 13     14.111    -14.093  0.58869    
 14      9.311    -14.093  0.58291    
 15     -0.289    -14.093 -0.46266    
 16     -5.089    -14.093 -0.28326    
 17     -9.889    -14.093 -0.15847    
 18    -19.489    -14.093 -8.48320E-02
 19    -24.289     -9.293  1.20105E-02
 20    -19.489     -9.293 -3.36060E-02
 21    -14.689     -9.293 -7.04965E-02
 22     -0.289     -9.293   1.9573    
 23      9.311     -9.293  0.60104    
 24     14.111     -9.293  0.60977    
 25     18.911     -9.293  0.63786    
 26     18.911     -4.493  0.79617    
 27     14.111     -4.493  0.64767    
 28      4.511     -4.493   2.0696    
 29     -0.289     -4.493   2.1737    
 30     -5.089     -4.493   2.2608    
 31     -9.889     -4.493 -8.86771E-02
 32    -14.689     -4.493 -5.68264E-02
 33    -19.489     -4.493 -1.00283E-02
 34    -24.289     -4.493  4.59958E-02
 35    -24.289      0.307  6.58552E-02
 36    -19.489      0.307 -1.81194E-03
 37    -14.689      0.307 -6.10942E-02
 38     -5.089      0.307   2.2899    
 39     -0.289      0.307   2.2142    
 40      4.511      0.307   2.1195    
 41      9.311      0.307   1.7824    
 42     14.111      0.307  0.14156    
 43     18.911      0.307  0.11815    
 44     23.711      0.307  7.39949E-02
 45     23.711      5.107  2.16792E-02
 46     18.911      5.107  7.99825E-02
 47     14.111      5.107  0.11844    
 48      9.311      5.107  0.15606    
 49      4.511      5.107   2.1825    
 50     -0.289      5.107   2.2575    
 51     -5.089      5.107   2.3168    
 52    -14.689      5.107  0.16006    
 53    -19.489      9.907  9.44415E-02
 54    -14.689      9.907  4.96987E-02
 55     -9.889      9.907  7.28691E-04
 56      9.311      9.907  8.38747E-02
 57     14.111      9.907  8.85866E-02
 58     18.911      9.907  4.25750E-02
 59     23.711      9.907 -2.28631E-02
 60     18.911     14.707  1.44307E-02
 61     14.111     14.707  2.45659E-02
 62      9.311     14.707  0.25922    
 63      4.511     14.707  0.24453    
 64     -0.289     14.707  0.23390    
 65     -5.089     14.707 -8.06398E-02
 66     -9.889     14.707 -4.14114E-02
 67    -14.689     14.707  2.40447E-03
 68    -19.489     14.707  3.21020E-02
 69    -19.489     19.507 -4.07756E-02
 70    -14.689     19.507 -5.85747E-02
 71     -9.889     19.507 -9.77241E-02
 72     -5.089     19.507  0.13694    
 73     -0.289     19.507  0.13984    
 74      4.511     19.507  0.12871    
 75      9.311     19.507  0.11593    
 76      9.311     24.307 -3.93845E-02
 77      4.511     24.307 -1.70075E-03
 78     -0.289     24.307  2.91450E-02
