!
! 18-OCT-2018 18:01:09
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area -40.4 -37.3 /OUTPUT serpens_cn10_1_int.txt
!
 1    107.073   -274.492  0.39797    
 2    121.723   -274.492  0.33398    
 3    136.373   -274.492  0.52160    
 4    151.023   -274.492  0.69748    
 5    165.673   -274.492   1.2332    
 6    180.323   -274.492  0.54583    
 7    194.973   -274.492  0.47186    
 8    224.273   -259.842  0.40533    
 9    209.623   -259.842  0.45471    
 10    194.973   -259.842  0.45580    
 11    180.323   -259.842  0.55023    
 12    165.673   -259.842   1.1800    
 13    151.023   -259.842  0.80924    
 14    136.373   -259.842  0.48848    
 15    121.723   -259.842  0.32492    
 16    107.073   -259.842  0.32468    
 17     92.423   -259.842  0.32262    
 18     77.773   -245.192  0.31032    
 19     92.423   -245.192  0.32564    
 20    107.073   -245.192  0.32427    
 21    121.723   -245.192  0.32236    
 22    136.373   -245.192  0.49874    
 23    151.023   -245.192  0.87798    
 24    165.673   -245.192   1.1626    
 25    180.323   -245.192  0.54617    
 26    194.973   -245.192  0.44953    
 27    209.623   -245.192  0.44894    
 28    224.273   -245.192  0.44902    
 29    238.923   -230.542  0.36941    
 30    224.273   -230.542  0.46596    
 31    209.623   -230.542  0.46570    
 32    194.973   -230.542  0.46555    
 33    180.323   -230.542  0.55315    
 34    165.673   -230.542   1.1094    
 35    151.023   -230.542  0.92463    
 36    136.373   -230.542  0.49946    
 37    121.723   -230.542  0.35945    
 38    107.073   -230.542  0.37163    
 39     92.423   -230.542  0.37454    
 40     77.773   -230.542  0.37490    
 41     48.473   -215.892  0.11860    
 42     63.123   -215.892 -0.26821    
 43     77.773   -215.892  0.42133    
 44     92.423   -215.892  0.42962    
 45    107.073   -215.892  0.42381    
 46    121.723   -215.892  0.39265    
 47    136.373   -215.892  0.46087    
 48    151.023   -215.892  0.91258    
 49    165.673   -215.892   1.0201    
 50    180.323   -215.892  0.68421    
 51    194.973   -215.892  0.66133    
 52    209.623   -215.892  0.66768    
 53    224.273   -215.892  0.66871    
 54    238.923   -215.892  0.69065    
 55    253.573   -215.892   1.2221    
 56    282.873   -201.242   1.2221    
 57    268.223   -201.242  0.95705    
 58    253.573   -201.242  0.94838    
 59    238.923   -201.242  0.79748    
 60    224.273   -201.242  0.98825    
 61    209.623   -201.242   1.0551    
 62    194.973   -201.242   1.0437    
 63    180.323   -201.242  0.98628    
 64    165.673   -201.242  0.92664    
 65    151.023   -201.242  0.80239    
 66    136.373   -201.242  0.48762    
 67    121.723   -201.242  0.36821    
 68    107.073   -201.242  0.34464    
 69     92.423   -201.242  0.33980    
 70     77.773   -201.242 -3.93775E-02
 71     63.123   -201.242 -0.18193    
 72     48.473   -201.242  0.11988    
 73     33.823   -201.242  0.29742    
 74     19.173   -201.242  0.33791    
 75    -39.427   -186.592  5.60587E-02
 76    -24.777   -186.592 -0.47924    
 77    -10.127   -186.592 -0.27877    
 78      4.523   -186.592 -0.14565    
 79     19.173   -186.592  0.23044    
 80     33.823   -186.592  0.22911    
 81     48.473   -186.592  0.15925    
 82     63.123   -186.592 -8.18946E-02
 83     77.773   -186.592  5.13258E-03
 84     92.423   -186.592  0.35140    
 85    107.073   -186.592  0.61367    
 86    121.723   -186.592  0.62697    
 87    136.373   -186.592  0.70801    
 88    151.023   -186.592  0.80454    
 89    165.673   -186.592  0.94881    
 90    180.323   -186.592   1.0177    
 91    194.973   -186.592  0.99629    
 92    209.623   -186.592  0.94366    
 93    224.273   -186.592  0.24059    
 94    238.923   -186.592  0.64226    
 95    253.573   -186.592  0.81265    
 96    268.223   -186.592  0.82709    
 97    282.873   -186.592  0.82897    
 98    297.523   -171.942  0.69914    
 99    282.873   -171.942  0.67492    
 100    268.223   -171.942  0.67251    
 101    253.573   -171.942  0.65267    
 102    238.923   -171.942  0.49190    
 103    224.273   -171.942  0.22099    
 104    209.623   -171.942  0.61857    
 105    194.973   -171.942  0.84555    
 106    180.323   -171.942  0.94840    
 107    165.673   -171.942   1.0597    
 108    151.023   -171.942   1.0342    
 109    136.373   -171.942  0.83650    
 110    121.723   -171.942  0.73542    
 111    107.073   -171.942  0.76774    
 112     92.423   -171.942  0.42051    
 113     77.773   -171.942  0.11277    
 114     63.123   -171.942  9.01258E-02
 115     48.473   -171.942  0.15601    
 116     33.823   -171.942  0.12191    
 117     19.173   -171.942 -2.55920E-02
 118      4.523   -171.942 -0.15792    
 119    -10.127   -171.942 -0.27978    
 120    -24.777   -171.942 -0.44849    
 121    -39.427   -171.942 -0.33977    
 122    -54.077   -171.942  6.18919E-02
 123    -68.727   -171.942  0.30727    
 124    -98.027   -157.292  0.35038    
 125    -83.377   -157.292  0.34621    
 126    -68.727   -157.292  0.32464    
 127    -54.077   -157.292  0.23925    
 128    -39.427   -157.292 -0.29348    
 129    -24.777   -157.292 -0.43694    
 130    -10.127   -157.292 -0.27379    
 131      4.523   -157.292 -0.15421    
 132     19.173   -157.292 -0.14860    
