!
! 12-DEC-2018 15:42:23
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area 6.1 10.9 /OUTPUT serpens_cn10_3_int.txt
!
 1    238.386   -226.500   1.6546    
 2    223.736   -226.500   1.6527    
 3    209.086   -226.500   1.6528    
 4    194.436   -226.500   1.6558    
 5    179.786   -226.500   1.7494    
 6    165.136   -226.500   2.2045    
 7    150.486   -226.500   2.0876    
 8    135.836   -226.500   1.5644    
 9    121.186   -226.500   1.1897    
 10    106.536   -226.500   1.1507    
 11     91.886   -226.500   1.1471    
 12     77.236   -226.500   1.1464    
 13     33.286   -211.850 -6.95246E-02
 14     47.936   -211.850  0.26237    
 15     62.586   -211.850  0.37025    
 16     77.236   -211.850  0.99909    
 17     91.886   -211.850   1.0658    
 18    106.536   -211.850   1.0790    
 19    121.186   -211.850   1.1800    
 20    135.836   -211.850   1.6237    
 21    150.486   -211.850   1.9898    
 22    165.136   -211.850   1.9012    
 23    179.786   -211.850   1.6858    
 24    194.436   -211.850   1.7495    
 25    209.086   -211.850   1.7729    
 26    223.736   -211.850   1.7762    
 27    238.386   -211.850   1.2670    
 28    253.036   -211.850  0.56493    
 29    267.686   -211.850  0.62071    
 30    267.686   -197.200  0.53041    
 31    253.036   -197.200  0.53541    
 32    238.386   -197.200  0.83144    
 33    223.736   -197.200   2.0551    
 34    209.086   -197.200   2.1227    
 35    194.436   -197.200   2.0494    
 36    179.786   -197.200   1.7739    
 37    165.136   -197.200   1.8095    
 38    150.486   -197.200   1.9601    
 39    135.836   -197.200   1.9809    
 40    121.186   -197.200   1.7151    
 41    106.536   -197.200   1.6255    
 42     91.886   -197.200   1.5745    
 43     77.236   -197.200  0.85891    
 44     62.586   -197.200  0.43270    
 45     47.936   -197.200  0.35057    
 46     33.286   -197.200  0.25498    
 47     18.636   -197.200  0.22361    
 48    -39.964   -182.550 -0.44647    
 49    -25.314   -182.550 -0.30038    
 50    -10.664   -182.550  0.27126    
 51      3.986   -182.550  0.49097    
 52     18.636   -182.550  0.32909    
 53     33.286   -182.550  0.35354    
 54     47.936   -182.550  0.44806    
 55     62.586   -182.550  0.53335    
 56     77.236   -182.550  0.91276    
 57     91.886   -182.550   1.5381    
 58    106.536   -182.550   2.2573    
 59    121.186   -182.550   2.4527    
 60    135.836   -182.550   2.4104    
 61    150.486   -182.550   2.2856    
 62    165.136   -182.550   2.1687    
 63    179.786   -182.550   1.8612    
 64    194.436   -182.550   1.9521    
 65    209.086   -182.550   1.8760    
 66    223.736   -182.550   1.6549    
 67    238.386   -182.550  0.75187    
 68    253.036   -182.550  0.49056    
 69    267.686   -182.550  0.48679    
 70    267.686   -167.900  0.46147    
 71    253.036   -167.900  0.46476    
 72    238.386   -167.900  0.65923    
 73    223.736   -167.900   1.3429    
 74    209.086   -167.900   1.4486    
 75    194.436   -167.900   1.9985    
 76    179.786   -167.900   2.2099    
 77    165.136   -167.900   2.6366    
 78    150.486   -167.900   2.8908    
 79    135.836   -167.900   2.9132    
 80    121.186   -167.900   2.7645    
 81    106.536   -167.900   2.1909    
 82     91.886   -167.900   1.6218    
 83     77.236   -167.900   1.0615    
 84     62.586   -167.900  0.70830    
 85     47.936   -167.900  0.58604    
 86     33.286   -167.900  0.50110    
 87     18.636   -167.900  0.23722    
 88      3.986   -167.900  0.49187    
 89    -10.664   -167.900  0.27107    
 90    -25.314   -167.900 -0.29635    
 91    -39.964   -167.900 -0.40704    
 92    -54.614   -167.900 -3.82633E-02
 93    -69.264   -167.900  0.10941    
 94    -83.914   -167.900  0.39605    
 95    -98.564   -153.250  0.63468    
 96    -83.914   -153.250  0.42789    
 97    -69.264   -153.250  0.16092    
 98    -54.614   -153.250  8.48720E-02
 99    -39.964   -153.250 -0.19329    
 100    -25.314   -153.250 -0.26974    
 101    -10.664   -153.250  0.27213    
 102      3.986   -153.250  0.49227    
 103     18.636   -153.250  0.21695    
 104     33.286   -153.250  0.55312    
 105     47.936   -153.250  0.82667    
 106     62.586   -153.250   1.0154    
 107     77.236   -153.250   1.3775    
 108     91.886   -153.250   1.8987    
 109    106.536   -153.250   2.5569    
 110    121.186   -153.250   3.1222    
 111    135.836   -153.250   3.3229    
 112    150.486   -153.250   3.4938    
 113    165.136   -153.250   3.3413    
 114    179.786   -153.250   2.6828    
 115    194.436   -153.250   2.1465    
 116    209.086   -153.250   1.3884    
 117    223.736   -153.250   1.1640    
 118    238.386   -153.250  0.73801    
 119    253.036   -153.250  0.60937    
 120    267.686   -153.250  0.60011    
 121    267.686   -138.600  0.93320    
 122    253.036   -138.600  0.92943    
 123    238.386   -138.600  0.95234    
 124    223.736   -138.600   1.1110    
 125    209.086   -138.600   1.4183    
 126    194.436   -138.600   2.3586    
 127    179.786   -138.600   3.0462    
 128    165.136   -138.600   3.6660    
 129    150.486   -138.600   3.7379    
 130    135.836   -138.600   3.7240    
 131    121.186   -138.600   3.8622    
