!
! 18-OCT-2018 18:07:36
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area 13.9 17.1 /OUTPUT serpens_cn10_4_int.txt
!
 1    107.073   -274.492   1.0926    
 2    121.723   -274.492   1.0088    
 3    136.373   -274.492   1.4587    
 4    151.023   -274.492   1.6435    
 5    165.673   -274.492   1.3131    
 6    180.323   -274.492 -0.14085    
 7    194.973   -274.492 -0.32349    
 8    224.273   -259.842 -0.53728    
 9    209.623   -259.842 -0.17447    
 10    194.973   -259.842 -0.16409    
 11    180.323   -259.842  5.77880E-02
 12    165.673   -259.842   1.3049    
 13    151.023   -259.842   1.5323    
 14    136.373   -259.842   1.1764    
 15    121.723   -259.842  0.97497    
 16    107.073   -259.842  0.99153    
 17     92.423   -259.842  0.99756    
 18     77.773   -245.192  0.97389    
 19     92.423   -245.192  0.96336    
 20    107.073   -245.192  0.95676    
 21    121.723   -245.192  0.91484    
 22    136.373   -245.192  0.97856    
 23    151.023   -245.192   1.4020    
 24    165.673   -245.192   1.2315    
 25    180.323   -245.192  0.25413    
 26    194.973   -245.192  2.66234E-02
 27    209.623   -245.192  1.07847E-02
 28    224.273   -245.192  8.66906E-03
 29    238.923   -230.542  0.22786    
 30    224.273   -230.542  0.27449    
 31    209.623   -230.542  0.27666    
 32    194.973   -230.542  0.29515    
 33    180.323   -230.542  0.47757    
 34    165.673   -230.542   1.1098    
 35    151.023   -230.542   1.2182    
 36    136.373   -230.542  0.74505    
 37    121.723   -230.542  0.82414    
 38    107.073   -230.542  0.89952    
 39     92.423   -230.542  0.91076    
 40     77.773   -230.542  0.91220    
 41     48.473   -215.892 -0.23427    
 42     63.123   -215.892  0.45228    
 43     77.773   -215.892  0.83482    
 44     92.423   -215.892  0.83825    
 45    107.073   -215.892  0.82406    
 46    121.723   -215.892  0.73331    
 47    136.373   -215.892  0.60013    
 48    151.023   -215.892   1.0412    
 49    165.673   -215.892  0.98442    
 50    180.323   -215.892  0.64655    
 51    194.973   -215.892  0.61328    
 52    209.623   -215.892  0.61440    
 53    224.273   -215.892  0.61468    
 54    238.923   -215.892  0.60870    
 55    253.573   -215.892  0.63247    
 56    282.873   -201.242  0.63247    
 57    268.223   -201.242  0.68488    
 58    253.573   -201.242  0.68433    
 59    238.923   -201.242  0.68576    
 60    224.273   -201.242  0.88927    
 61    209.623   -201.242  0.90103    
 62    194.973   -201.242  0.86404    
 63    180.323   -201.242  0.73521    
 64    165.673   -201.242  0.92618    
 65    151.023   -201.242   1.0184    
 66    136.373   -201.242  0.77680    
 67    121.723   -201.242  0.85095    
 68    107.073   -201.242  0.89855    
 69     92.423   -201.242  0.89157    
 70     77.773   -201.242  0.55266    
 71     63.123   -201.242  0.43586    
 72     48.473   -201.242 -2.98822E-02
 73     33.823   -201.242 -0.39644    
 74     19.173   -201.242 -0.45708    
 75    -39.427   -186.592  5.12444E-02
 76    -24.777   -186.592 -7.30832E-03
 77    -10.127   -186.592 -3.06275E-02
 78      4.523   -186.592  2.93110E-02
 79     19.173   -186.592 -0.36362    
 80     33.823   -186.592 -0.32531    
 81     48.473   -186.592 -4.39794E-02
 82     63.123   -186.592  0.41107    
 83     77.773   -186.592  0.56132    
 84     92.423   -186.592  0.68926    
 85    107.073   -186.592  0.93481    
 86    121.723   -186.592  0.91232    
 87    136.373   -186.592  0.89649    
