!
! 12-DEC-2018 15:42:59
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area -40.4 -37.3 /OUTPUT serpens_cn10_5_int.txt
!
 1    238.386   -226.500  0.45462    
 2    223.736   -226.500  0.49190    
 3    209.086   -226.500  0.49149    
 4    194.436   -226.500  0.49041    
 5    179.786   -226.500  0.57630    
 6    165.136   -226.500   1.0982    
 7    150.486   -226.500  0.91168    
 8    135.836   -226.500  0.48063    
 9    121.186   -226.500  0.37733    
 10    106.536   -226.500  0.39566    
 11     91.886   -226.500  0.39914    
 12     77.236   -226.500  0.39959    
 13     33.286   -211.850  0.43899    
 14     47.936   -211.850  8.35356E-02
 15     62.586   -211.850 -0.22395    
 16     77.236   -211.850  0.27081    
 17     91.886   -211.850  0.40384    
 18    106.536   -211.850  0.39979    
 19    121.186   -211.850  0.37767    
 20    135.836   -211.850  0.44161    
 21    150.486   -211.850  0.87761    
 22    165.136   -211.850  0.99912    
 23    179.786   -211.850  0.76242    
 24    194.436   -211.850  0.76796    
 25    209.086   -211.850  0.77832    
 26    223.736   -211.850  0.77984    
 27    238.386   -211.850  0.82361    
 28    253.036   -211.850   1.0304    
 29    267.686   -211.850   1.2221    
 30    267.686   -197.200  0.92102    
 31    253.036   -197.200  0.91042    
 32    238.386   -197.200  0.73064    
 33    223.736   -197.200  0.75144    
 34    209.086   -197.200   1.0937    
 35    194.436   -197.200   1.0845    
 36    179.786   -197.200   1.0284    
 37    165.136   -197.200  0.91235    
 38    150.486   -197.200  0.75859    
 39    135.836   -197.200  0.52238    
 40    121.186   -197.200  0.42483    
 41    106.536   -197.200  0.40050    
 42     91.886   -197.200  0.36379    
 43     77.236   -197.200 -4.22118E-02
 44     62.586   -197.200 -0.15474    
 45     47.936   -197.200  0.14033    
 46     33.286   -197.200  0.27859    
 47     18.636   -197.200  0.29334    
 48    -39.964   -182.550 -0.32364    
 49    -25.314   -182.550 -0.44765    
 50    -10.664   -182.550 -0.29398    
 51      3.986   -182.550 -0.15109    
 52     18.636   -182.550  0.18928    
 53     33.286   -182.550  0.19955    
 54     47.936   -182.550  0.16333    
 55     62.586   -182.550 -3.55511E-02
 56     77.236   -182.550  1.69108E-02
 57     91.886   -182.550  0.34939    
 58    106.536   -182.550  0.65688    
 59    121.186   -182.550  0.66318    
 60    135.836   -182.550  0.78121    
 61    150.486   -182.550  0.87334    
 62    165.136   -182.550  0.98851    
 63    179.786   -182.550   1.0026    
 64    194.436   -182.550  0.93250    
 65    209.086   -182.550  0.82820    
 66    223.736   -182.550  0.23020    
 67    238.386   -182.550  0.57579    
 68    253.036   -182.550  0.76478    
 69    267.686   -182.550  0.78203    
 70    267.686   -167.900  0.63107    
 71    253.036   -167.900  0.61034    
 72    238.386   -167.900  0.45394    
 73    223.736   -167.900  0.22837    
 74    209.086   -167.900  0.60644    
 75    194.436   -167.900  0.85521    
 76    179.786   -167.900  0.94275    
 77    165.136   -167.900   1.0604    
 78    150.486   -167.900   1.0622    
 79    135.836   -167.900  0.84936    
 80    121.186   -167.900  0.80896    
 81    106.536   -167.900  0.81142    
 82     91.886   -167.900  0.44521    
 83     77.236   -167.900  0.15691    
 84     62.586   -167.900  0.15404    
 85     47.936   -167.900  0.14959    
 86     33.286   -167.900  9.46592E-02
 87     18.636   -167.900 -0.12565    
 88      3.986   -167.900 -0.15159    
 89    -10.664   -167.900 -0.29222    
 90    -25.314   -167.900 -0.44480    
 91    -39.964   -167.900 -0.32828    
 92    -54.614   -167.900  0.17054    
 93    -69.264   -167.900  0.31880    
 94    -83.914   -167.900  0.31414    
 95    -98.564   -153.250  0.36030    
 96    -83.914   -153.250  0.35027    
 97    -69.264   -153.250  0.32763    
 98    -54.614   -153.250  0.25503    
 99    -39.964   -153.250 -0.23150    
 100    -25.314   -153.250 -0.42307    
 101    -10.664   -153.250 -0.28088    
 102      3.986   -153.250 -0.14467    
 103     18.636   -153.250 -0.15377    
 104     33.286   -153.250  9.86177E-02
 105     47.936   -153.250  0.21496    
 106     62.586   -153.250  0.37808    
 107     77.236   -153.250  0.41804    
 108     91.886   -153.250  0.66642    
 109    106.536   -153.250   1.1090    
 110    121.186   -153.250   1.2189    
 111    135.836   -153.250   1.1944    
 112    150.486   -153.250   1.2532    
 113    165.136   -153.250   1.1740    
 114    179.786   -153.250   1.0134    
 115    194.436   -153.250  0.89893    
 116    209.086   -153.250  0.55586    
 117    223.736   -153.250  0.33912    
 118    238.386   -153.250  0.48851    
 119    253.036   -153.250  0.56132    
 120    267.686   -153.250  0.57329    
 121    267.686   -138.600  0.72737    
 122    253.036   -138.600  0.71941    
 123    238.386   -138.600  0.66279    
 124    223.736   -138.600  0.49390    
 125    209.086   -138.600  0.64022    
 126    194.436   -138.600  0.88910    
 127    179.786   -138.600   1.0599    
 128    165.136   -138.600   1.2712    
 129    150.486   -138.600   1.4289    
 130    135.836   -138.600   1.5709    
 131    121.186   -138.600   1.6852    
 132    106.536   -138.600   1.4764    
 133     91.886   -138.600  0.98159    
 134     77.236   -138.600  0.67537    
 135     62.586   -138.600  0.51291    
 136     47.936   -138.600  0.33191    
 137     33.286   -138.600  0.13390    
 138     18.636   -138.600 -8.27792E-02
 139      3.986   -138.600 -8.21501E-02
 140    -10.664   -138.600 -0.19304    
 141    -25.314   -138.600 -0.26323    
 142    -39.964   -138.600  2.62280E-02
 143    -54.614   -138.600  0.24617    
 144    -69.264   -138.600  0.34609    
 145    -83.914   -138.600  0.39785    
 146    -98.564   -138.600  0.42112    
 147    -98.564   -123.950  0.46901    
 148    -83.914   -123.950  0.43634    
 149    -69.264   -123.950  0.35862    
 150    -54.614   -123.950  0.20441    
 151    -39.964   -123.950  7.83517E-02
 152    -25.314   -123.950  9.09470E-02
 153    -10.664   -123.950  8.83352E-02
 154      3.986   -123.950  0.14447    
 155     18.636   -123.950  0.16157    
 156     33.286   -123.950  0.28016    
 157     47.936   -123.950  0.35243    
 158     62.586   -123.950  0.56264    
 159     77.236   -123.950  0.77963    
 160     91.886   -123.950   1.2130    
 161    106.536   -123.950   1.8195    
 162    121.186   -123.950   2.1282    
 163    135.836   -123.950   1.9331    
 164    150.486   -123.950   1.5747    
 165    165.136   -123.950   1.2599    
 166    179.786   -123.950   1.0349    
 167    194.436   -123.950  0.85426    
 168    209.086   -123.950  0.64190    
 169    223.736   -123.950  0.44943    
 170    238.386   -123.950  0.54150    
 171    253.036   -123.950  0.58580    
 172    267.686   -123.950  0.59274    
 173    267.686   -109.300  0.69823    
 174    253.036   -109.300  0.65756    
 175    238.386   -109.300  0.47337    
 176    223.736   -109.300  0.28934    
 177    209.086   -109.300  0.49782    
 178    194.436   -109.300  0.68530    
 179    179.786   -109.300  0.84077    
 180    165.136   -109.300   1.1524    
 181    150.486   -109.300   1.7283    
 182    135.836   -109.300   2.0968    
 183    121.186   -109.300   2.1593    
 184    106.536   -109.300   1.8343    
 185     91.886   -109.300   1.1807    
 186     77.236   -109.300  0.74996    
 187     62.586   -109.300  0.57645    
 188     47.936   -109.300  0.41971    
 189     33.286   -109.300  0.42553    
 190     18.636   -109.300  0.34003    
 191      3.986   -109.300  0.29013    
 192    -10.664   -109.300  0.34261    
 193    -25.314   -109.300  0.29374    
 194    -39.964   -109.300  6.62341E-02
 195    -54.614   -109.300  0.18424    
 196    -69.264   -109.300  0.37557    
 197    -83.914   -109.300  0.46756    
 198    -98.564   -109.300  0.50207    
 199    -98.564    -94.650  0.47454    
 200    -83.914    -94.650  0.44848    
 201    -69.264    -94.650  0.35280    
 202    -54.614    -94.650  0.17926    
 203    -39.964    -94.650  0.15555    
 204    -25.314    -94.650  0.30365    
 205    -10.664    -94.650  0.35521    
 206      3.986    -94.650  0.36331    
 207     18.636    -94.650  0.53024    
 208     33.286    -94.650  0.59012    
 209     47.936    -94.650  0.62647    
 210     62.586    -94.650  0.76839    
 211     77.236    -94.650  0.88740    
 212     91.886    -94.650   1.2106    
 213    106.536    -94.650   1.6855    
 214    121.186    -94.650   2.0210    
 215    135.836    -94.650   2.0883    
 216    150.486    -94.650   1.7235    
 217    165.136    -94.650   1.0881    
 218    179.786    -94.650  0.74746    
 219    194.436    -94.650  0.59138    
 220    209.086    -94.650  0.52481    
 221    223.736    -94.650  0.44630    
 222    238.386    -94.650  0.53005    
 223    253.036    -94.650  0.63259    
 224    267.686    -94.650  0.65683    
 225    267.686    -80.000  0.64447    
 226    253.036    -80.000  0.65179    
 227    238.386    -80.000  0.66545    
 228    223.736    -80.000  0.59352    
 229    209.086    -80.000  0.66210    
 230    194.436    -80.000  0.77745    
 231    179.786    -80.000  0.96292    
 232    165.136    -80.000   1.2917    
 233    150.486    -80.000   1.8816    
 234    135.836    -80.000   2.2261    
 235    121.186    -80.000   2.0931    
 236    106.536    -80.000   1.5318    
 237     91.886    -80.000   1.0653    
 238     77.236    -80.000  0.91753    
 239     62.586    -80.000  0.93784    
 240     47.936    -80.000  0.89709    
 241     33.286    -80.000  0.76181    
 242     18.636    -80.000  0.66230    
 243      3.986    -80.000  0.53488    
 244    -10.664    -80.000  0.41800    
 245    -25.314    -80.000  0.38988    
 246    -39.964    -80.000  0.27364    
 247    -54.614    -80.000  0.18047    
 248    -69.264    -80.000  0.34722    
 249    -83.914    -80.000  0.43690    
 250    -98.564    -80.000  0.45521    
 251    -98.564    -65.350  0.34741    
 252    -83.914    -65.350  0.34287    
 253    -69.264    -65.350  0.30019    
 254    -54.614    -65.350  0.21043    
 255    -39.964    -65.350  0.30052    
 256    -25.314    -65.350  0.39829    
 257    -10.664    -65.350  0.46868    
 258      3.986    -65.350  0.65636    
 259     18.636    -65.350  0.75688    
 260     33.286    -65.350  0.73471    
 261     47.936    -65.350  0.76542    
 262     62.586    -65.350  0.73986    
