!
! 18-DEC-2018 16:17:42
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area -13.5 6 /OUTPUT serpens_cn10_blue.txt
!
 1    238.386   -226.500   1.0815    
 2    223.736   -226.500   1.1232    
 3    209.086   -226.500   1.1182    
 4    194.436   -226.500   1.0776    
 5    179.786   -226.500  0.79858    
 6    165.136   -226.500  0.48687    
 7    150.486   -226.500  0.30559    
 8    135.836   -226.500  0.11559    
 9    121.186   -226.500 -0.14283    
 10    106.536   -226.500 -0.28760    
 11     91.886   -226.500 -0.30873    
 12     77.236   -226.500 -0.31207    
 13     33.286   -211.850  -1.9992    
 14     47.936   -211.850  -1.5785    
 15     62.586   -211.850 -0.97204    
 16     77.236   -211.850 -0.40907    
 17     91.886   -211.850 -0.34490    
 18    106.536   -211.850 -0.32601    
 19    121.186   -211.850 -0.20065    
 20    135.836   -211.850  7.01645E-02
 21    150.486   -211.850  0.27426    
 22    165.136   -211.850  0.37411    
 23    179.786   -211.850  0.44735    
 24    194.436   -211.850  0.94664    
 25    209.086   -211.850   1.0629    
 26    223.736   -211.850   1.0785    
 27    238.386   -211.850 -1.12675E-02
 28    253.036   -211.850 -0.64392    
 29    267.686   -211.850 -0.84977    
 30    267.686   -197.200 -0.46149    
 31    253.036   -197.200 -0.46285    
 32    238.386   -197.200 -0.69966    
 33    223.736   -197.200  0.12626    
 34    209.086   -197.200   1.1808    
 35    194.436   -197.200   1.0633    
 36    179.786   -197.200  0.64395    
 37    165.136   -197.200  0.75408    
 38    150.486   -197.200  0.23917    
 39    135.836   -197.200 -0.22944    
 40    121.186   -197.200  2.18283E-02
 41    106.536   -197.200  0.15195    
 42     91.886   -197.200  0.21672    
 43     77.236   -197.200 -0.53410    
 44     62.586   -197.200 -0.96759    
 45     47.936   -197.200  -1.6666    
 46     33.286   -197.200  -2.2344    
 47     18.636   -197.200  -2.3339    
 48    -39.964   -182.550 -0.73311    
 49    -25.314   -182.550  -1.0178    
 50    -10.664   -182.550 -0.53732    
 51      3.986   -182.550  0.32580    
 52     18.636   -182.550  -2.2082    
 53     33.286   -182.550  -2.1924    
 54     47.936   -182.550  -1.6676    
 55     62.586   -182.550 -0.87492    
 56     77.236   -182.550 -0.47170    
 57     91.886   -182.550  0.26996    
 58    106.536   -182.550  0.50424    
 59    121.186   -182.550  0.41942    
 60    135.836   -182.550 -0.22292    
 61    150.486   -182.550 -0.11280    
 62    165.136   -182.550  0.61849    
 63    179.786   -182.550  0.54187    
 64    194.436   -182.550  0.86222    
 65    209.086   -182.550  0.68885    
 66    223.736   -182.550  -1.0185    
 67    238.386   -182.550 -0.45731    
 68    253.036   -182.550 -0.19711    
 69    267.686   -182.550 -0.18879    
 70    267.686   -167.900  0.21063    
 71    253.036   -167.900  0.16560    
 72    238.386   -167.900 -0.19338    
 73    223.736   -167.900 -0.39731    
 74    209.086   -167.900  0.32347    
 75    194.436   -167.900  0.30083    
 76    179.786   -167.900 -4.81505E-02
 77    165.136   -167.900 -0.25815    
 78    150.486   -167.900 -0.22169    
 79    135.836   -167.900  8.53855E-02
 80    121.186   -167.900  0.24616    
 81    106.536   -167.900  0.26845    
 82     91.886   -167.900  0.19805    
 83     77.236   -167.900 -0.33960    
 84     62.586   -167.900 -0.57432    
 85     47.936   -167.900  -1.3960    
 86     33.286   -167.900  -1.8451    
 87     18.636   -167.900 -0.20890    
 88      3.986   -167.900  0.33396    
 89    -10.664   -167.900 -0.53377    
 90    -25.314   -167.900  -1.0113    
 91    -39.964   -167.900 -0.73451    
 92    -54.614   -167.900  0.52532    
 93    -69.264   -167.900   1.2334    
 94    -83.914   -167.900   1.1010    
 95    -98.564   -153.250  0.32327    
 96    -83.914   -153.250  0.73345    
 97    -69.264   -153.250  0.96722    
 98    -54.614   -153.250  0.66502    
 99    -39.964   -153.250 -0.59146    
 100    -25.314   -153.250 -0.96778    
 101    -10.664   -153.250 -0.51106    
 102      3.986   -153.250  0.32646    
 103     18.636   -153.250  9.68785E-02
 104     33.286   -153.250 -0.57476    
 105     47.936   -153.250 -0.57055    
 106     62.586   -153.250 -7.38795E-02
 107     77.236   -153.250 -7.70149E-02
 108     91.886   -153.250  0.27104    
 109    106.536   -153.250  0.59833    
 110    121.186   -153.250  0.65882    
 111    135.836   -153.250  0.57032    
