!
! 05-APR-2020 19:48:43
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area -42 -40.52 /OUTPUT serpens_cn10_blue2.txt
!
 1    238.386   -226.500 -0.35658    
 2    223.736   -226.500 -0.32910    
 3    209.086   -226.500 -0.32685    
 4    194.436   -226.500 -0.30845    
 5    179.786   -226.500 -0.15972    
 6    165.136   -226.500  0.19050    
 7    150.486   -226.500  0.23938    
 8    135.836   -226.500  0.15842    
 9    121.186   -226.500  0.28075    
 10    106.536   -226.500  0.32724    
 11     91.886   -226.500  0.33363    
 12     77.236   -226.500  0.33459    
 13     33.286   -211.850  0.20088    
 14     47.936   -211.850  1.26392E-03
 15     62.586   -211.850  2.65155E-02
 16     77.236   -211.850  0.22606    
 17     91.886   -211.850  0.24197    
 18    106.536   -211.850  0.23777    
 19    121.186   -211.850  0.21019    
 20    135.836   -211.850  0.16219    
 21    150.486   -211.850  0.20876    
 22    165.136   -211.850  9.37081E-02
 23    179.786   -211.850 -7.55066E-02
 24    194.436   -211.850 -0.10963    
 25    209.086   -211.850 -0.11259    
 26    223.736   -211.850 -0.11292    
 27    238.386   -211.850 -0.12618    
 28    253.036   -211.850 -0.13908    
 29    267.686   -211.850 -0.15789    
 30    267.686   -197.200 -0.12695    
 31    253.036   -197.200 -0.12458    
 32    238.386   -197.200 -0.12218    
 33    223.736   -197.200 -6.58185E-03
 34    209.086   -197.200  0.10379    
 35    194.436   -197.200  8.27883E-02
 36    179.786   -197.200  7.28764E-03
 37    165.136   -197.200  4.03589E-02
 38    150.486   -197.200  0.12577    
 39    135.836   -197.200  0.12740    
 40    121.186   -197.200  8.83080E-02
 41    106.536   -197.200  8.86661E-02
 42     91.886   -197.200  0.11935    
 43     77.236   -197.200  0.17937    
 44     62.586   -197.200  2.63716E-02
 45     47.936   -197.200 -8.54190E-03
 46     33.286   -197.200  1.30815E-02
 47     18.636   -197.200  1.67120E-02
 48    -39.964   -182.550 -0.34428    
 49    -25.314   -182.550 -0.32143    
 50    -10.664   -182.550 -0.21792    
 51      3.986   -182.550 -0.13839    
 52     18.636   -182.550 -5.52945E-02
 53     33.286   -182.550 -5.05949E-02
 54     47.936   -182.550 -3.97697E-02
 55     62.586   -182.550  2.35827E-02
 56     77.236   -182.550  0.17197    
 57     91.886   -182.550  0.16679    
 58    106.536   -182.550  0.20357    
 59    121.186   -182.550  0.24916    
 60    135.836   -182.550  0.15161    
 61    150.486   -182.550  8.21860E-02
 62    165.136   -182.550  8.31957E-02
 63    179.786   -182.550  1.29134E-02
 64    194.436   -182.550  4.88388E-02
 65    209.086   -182.550  6.32044E-02
 66    223.736   -182.550 -0.18894    
 67    238.386   -182.550 -0.10258    
 68    253.036   -182.550 -0.10940    
 69    267.686   -182.550 -0.11388    
 70    267.686   -167.900 -0.10406    
 71    253.036   -167.900 -9.94675E-02
 72    238.386   -167.900 -9.08219E-02
 73    223.736   -167.900 -0.16116    
 74    209.086   -167.900  1.10346E-02
 75    194.436   -167.900  0.11042    
 76    179.786   -167.900  0.12732    
 77    165.136   -167.900  0.20153    
 78    150.486   -167.900  0.26339    
 79    135.836   -167.900  0.21968    
 80    121.186   -167.900  0.17259    
 81    106.536   -167.900  0.12642    
 82     91.886   -167.900  0.16919    
 83     77.236   -167.900  0.15816    
