!
! 05-APR-2020 19:48:54
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area -16.9 -15.978 /OUTPUT serpens_cn10_blue3.txt
!
 1    238.386   -226.500 -0.19080    
 2    223.736   -226.500 -0.18822    
 3    209.086   -226.500 -0.18692    
 4    194.436   -226.500 -0.17664    
 5    179.786   -226.500 -0.10499    
 6    165.136   -226.500  6.41646E-02
 7    150.486   -226.500  0.18488    
 8    135.836   -226.500 -9.37972E-05
 9    121.186   -226.500 -8.18519E-02
 10    106.536   -226.500 -7.82491E-02
 11     91.886   -226.500 -7.71702E-02
 12     77.236   -226.500 -7.70463E-02
 13     33.286   -211.850 -0.34755    
 14     47.936   -211.850 -0.13101    
 15     62.586   -211.850  1.33888E-02
 16     77.236   -211.850 -3.00025E-02
 17     91.886   -211.850 -3.96228E-02
 18    106.536   -211.850 -4.37966E-02
 19    121.186   -211.850 -6.86785E-02
 20    135.836   -211.850 -5.89236E-02
 21    150.486   -211.850  0.15165    
 22    165.136   -211.850  0.10354    
 23    179.786   -211.850 -6.85323E-02
 24    194.436   -211.850 -0.14364    
 25    209.086   -211.850 -0.15643    
 26    223.736   -211.850 -0.15809    
 27    238.386   -211.850 -8.97434E-02
 28    253.036   -211.850 -4.99458E-02
 29    267.686   -211.850 -8.52458E-02
 30    267.686   -197.200 -2.55062E-02
 31    253.036   -197.200 -2.51102E-02
 32    238.386   -197.200 -3.19966E-03
 33    223.736   -197.200 -2.45391E-02
 34    209.086   -197.200 -8.70075E-02
 35    194.436   -197.200 -8.05530E-02
 36    179.786   -197.200 -4.45630E-02
 37    165.136   -197.200  4.35925E-02
 38    150.486   -197.200  6.13495E-02
 39    135.836   -197.200 -8.08999E-02
 40    121.186   -197.200 -4.65981E-02
 41    106.536   -197.200 -1.26775E-02
 42     91.886   -197.200  2.42146E-03
 43     77.236   -197.200 -7.29592E-03
 44     62.586   -197.200  1.85648E-03
 45     47.936   -197.200 -0.16545    
 46     33.286   -197.200 -0.31612    
 47     18.636   -197.200 -0.34483    
 48    -39.964   -182.550 -0.16124    
 49    -25.314   -182.550 -3.95538E-02
 50    -10.664   -182.550  6.71347E-02
 51      3.986   -182.550 -1.16179E-02
 52     18.636   -182.550 -0.31467    
 53     33.286   -182.550 -0.30473    
 54     47.936   -182.550 -0.18821    
 55     62.586   -182.550 -1.28762E-02
 56     77.236   -182.550 -1.13628E-02
 57     91.886   -182.550  2.00094E-02
 58    106.536   -182.550  3.01056E-02
 59    121.186   -182.550 -2.05303E-02
 60    135.836   -182.550 -8.35034E-03
 61    150.486   -182.550  0.14380    
 62    165.136   -182.550  0.12034    
 63    179.786   -182.550 -1.79966E-02
 64    194.436   -182.550 -7.98758E-02
 65    209.086   -182.550 -2.91811E-02
 66    223.736   -182.550  8.00433E-02
 67    238.386   -182.550  3.15307E-02
 68    253.036   -182.550  7.40142E-03
 69    267.686   -182.550  6.48728E-03
 70    267.686   -167.900  4.11391E-02
 71    253.036   -167.900  4.54831E-02
 72    238.386   -167.900  7.95729E-02
 73    223.736   -167.900  9.83320E-02
 74    209.086   -167.900  6.62693E-02
 75    194.436   -167.900  3.78015E-02
 76    179.786   -167.900  7.90389E-02
 77    165.136   -167.900  0.20334    
 78    150.486   -167.900  0.32389    
 79    135.836   -167.900  0.16991    
 80    121.186   -167.900  3.63584E-02
 81    106.536   -167.900  5.95707E-02
 82     91.886   -167.900  3.87249E-03
 83     77.236   -167.900 -2.91077E-02
 84     62.586   -167.900 -2.70272E-02
 85     47.936   -167.900 -0.17334    
 86     33.286   -167.900 -0.25175    
 87     18.636   -167.900 -7.81069E-02
 88      3.986   -167.900 -1.00128E-02
 89    -10.664   -167.900  6.69032E-02
 90    -25.314   -167.900 -3.91485E-02
 91    -39.964   -167.900 -0.15054    
 92    -54.614   -167.900  0.11901    
 93    -69.264   -167.900  0.38928    
 94    -83.914   -167.900  0.56199    
 95    -98.564   -153.250  0.47474    
 96    -83.914   -153.250  0.44482    
 97    -69.264   -153.250  0.35608    
 98    -54.614   -153.250  0.19278    
 99    -39.964   -153.250 -0.11142    
 100    -25.314   -153.250 -3.56819E-02
 101    -10.664   -153.250  6.55806E-02
 102      3.986   -153.250 -7.40249E-03
 103     18.636   -153.250 -4.22835E-02
 104     33.286   -153.250 -2.22790E-02
 105     47.936   -153.250 -6.95470E-02
 106     62.586   -153.250 -7.87215E-03
 107     77.236   -153.250 -2.86437E-02
 108     91.886   -153.250 -1.92799E-02
 109    106.536   -153.250  6.89509E-02
 110    121.186   -153.250  0.14905    
 111    135.836   -153.250  0.32479    
 112    150.486   -153.250  0.56012    
 113    165.136   -153.250  0.44952    
 114    179.786   -153.250  0.21822    
 115    194.436   -153.250  0.11497    
 116    209.086   -153.250  7.43638E-02
 117    223.736   -153.250  0.12998    
 118    238.386   -153.250  0.11751    
 119    253.036   -153.250  5.45324E-02
 120    267.686   -153.250  4.12250E-02
 121    267.686   -138.600  3.27294E-02
 122    253.036   -138.600  3.93530E-02
 123    238.386   -138.600  7.52125E-02
 124    223.736   -138.600  0.10044    
 125    209.086   -138.600  4.82883E-02
 126    194.436   -138.600  0.20732    
 127    179.786   -138.600  0.41128    
 128    165.136   -138.600  0.65036    
 129    150.486   -138.600  0.63931    
 130    135.836   -138.600  0.34847    
 131    121.186   -138.600  0.20631    
 132    106.536   -138.600  0.10436    
 133     91.886   -138.600  2.32396E-02
 134     77.236   -138.600  3.73165E-02
 135     62.586   -138.600  6.51101E-02
 136     47.936   -138.600  6.30105E-02
 137     33.286   -138.600  5.72134E-02
 138     18.636   -138.600 -2.25069E-02
 139      3.986   -138.600  1.18906E-02
 140    -10.664   -138.600  5.49093E-02
 141    -25.314   -138.600 -1.65096E-02
 142    -39.964   -138.600 -1.46452E-02
 143    -54.614   -138.600  0.17409    
 144    -69.264   -138.600  0.27973    
 145    -83.914   -138.600  0.30846    
 146    -98.564   -138.600  0.28678    
 147    -98.564   -123.950  6.62064E-02
 148    -83.914   -123.950  9.64948E-02
 149    -69.264   -123.950  0.11815    
 150    -54.614   -123.950  0.10000    
 151    -39.964   -123.950  2.20396E-02
 152    -25.314   -123.950  1.97453E-02
 153    -10.664   -123.950  3.26599E-02
 154      3.986   -123.950  5.42894E-02
 155     18.636   -123.950  2.64810E-02
 156     33.286   -123.950  7.44261E-02
 157     47.936   -123.950  7.91781E-02
 158     62.586   -123.950  8.35539E-02
 159     77.236   -123.950  8.48327E-02
 160     91.886   -123.950  0.11736    
 161    106.536   -123.950  0.20400    
 162    121.186   -123.950  0.27473    
 163    135.836   -123.950  0.29957    
 164    150.486   -123.950  0.47160    
 165    165.136   -123.950  0.54346    
 166    179.786   -123.950  0.40777    
 167    194.436   -123.950  0.23042    
 168    209.086   -123.950  4.70593E-02
 169    223.736   -123.950  6.71118E-02
 170    238.386   -123.950  4.04495E-02
 171    253.036   -123.950  6.55795E-03
 172    267.686   -123.950 -4.36813E-04
 173    267.686   -109.300  0.10062    
 174    253.036   -109.300  8.99237E-02
 175    238.386   -109.300  5.35426E-02
 176    223.736   -109.300  6.10149E-02
 177    209.086   -109.300  7.69960E-02
 178    194.436   -109.300  0.16866    
 179    179.786   -109.300  0.26597    
 180    165.136   -109.300  0.35233    
 181    150.486   -109.300  0.35986    
 182    135.836   -109.300  0.28141    
 183    121.186   -109.300  0.25133    
 184    106.536   -109.300  0.21923    
 185     91.886   -109.300  0.14008    
 186     77.236   -109.300  0.10506    
 187     62.586   -109.300  9.27816E-02
 188     47.936   -109.300  5.54192E-02
 189     33.286   -109.300  4.08415E-02
 190     18.636   -109.300  2.32742E-02
 191      3.986   -109.300  3.82163E-02
 192    -10.664   -109.300  3.49686E-02
 193    -25.314   -109.300  5.21324E-02
 194    -39.964   -109.300  2.01838E-02
 195    -54.614   -109.300 -1.08940E-02
 196    -69.264   -109.300 -6.30469E-02
 197    -83.914   -109.300 -8.84830E-02
 198    -98.564   -109.300 -9.70387E-02
 199    -98.564    -94.650 -6.85415E-02
 200    -83.914    -94.650 -6.96508E-02
 201    -69.264    -94.650 -5.94079E-02
 202    -54.614    -94.650 -1.24395E-02
 203    -39.964    -94.650  3.61079E-02
 204    -25.314    -94.650  4.65411E-02
 205    -10.664    -94.650  1.56955E-02
 206      3.986    -94.650  2.38395E-02
 207     18.636    -94.650  3.56498E-03
 208     33.286    -94.650 -2.45285E-02
 209     47.936    -94.650  2.32806E-03
 210     62.586    -94.650  9.91487E-02
 211     77.236    -94.650  0.13003    
 212     91.886    -94.650  0.11625    
 213    106.536    -94.650  0.16839    
 214    121.186    -94.650  0.20863    
 215    135.836    -94.650  0.27838    
 216    150.486    -94.650  0.36717    
 217    165.136    -94.650  0.26625    
 218    179.786    -94.650  0.18726    
 219    194.436    -94.650  0.13296    
 220    209.086    -94.650  6.28387E-02
 221    223.736    -94.650  6.11502E-02
 222    238.386    -94.650  0.13034    
 223    253.036    -94.650  0.13817    
 224    267.686    -94.650  0.13726    
 225    267.686    -80.000  8.41921E-02
 226    253.036    -80.000  8.81588E-02
 227    238.386    -80.000  9.71151E-02
 228    223.736    -80.000  3.82785E-02
 229    209.086    -80.000  5.91742E-03
 230    194.436    -80.000  9.47293E-02
 231    179.786    -80.000  0.14688    
 232    165.136    -80.000  0.13632    
 233    150.486    -80.000  0.23315    
 234    135.836    -80.000  0.21889    
 235    121.186    -80.000  0.15359    
 236    106.536    -80.000  5.62167E-02
 237     91.886    -80.000 -3.37194E-03
 238     77.236    -80.000  3.15266E-02
 239     62.586    -80.000  5.51799E-02
 240     47.936    -80.000 -1.36832E-03
 241     33.286    -80.000 -4.86555E-03
 242     18.636    -80.000  3.53045E-02
 243      3.986    -80.000  8.72562E-02
 244    -10.664    -80.000  8.23480E-02
 245    -25.314    -80.000  2.90286E-02
 246    -39.964    -80.000  3.89727E-02
 247    -54.614    -80.000  3.75300E-03
 248    -69.264    -80.000 -1.09943E-02
 249    -83.914    -80.000 -2.44300E-03
 250    -98.564    -80.000  5.35274E-03
 251    -98.564    -65.350 -5.46417E-02
 252    -83.914    -65.350 -5.24177E-02
 253    -69.264    -65.350 -4.91639E-02
 254    -54.614    -65.350 -2.83483E-02
 255    -39.964    -65.350  1.02107E-02
 256    -25.314    -65.350  6.13122E-02
 257    -10.664    -65.350  7.06407E-02
 258      3.986    -65.350  8.13196E-02
 259     18.636    -65.350  7.66639E-02
 260     33.286    -65.350  2.60596E-02
 261     47.936    -65.350  1.05431E-03
 262     62.586    -65.350 -9.87165E-03
 263     77.236    -65.350 -2.45563E-02
 264     91.886    -65.350 -1.27267E-02
 265    106.536    -65.350  3.66438E-02
 266    121.186    -65.350  0.14544    
 267    135.836    -65.350  0.20741    
 268    150.486    -65.350  0.17996    
 269    165.136    -65.350  0.11163    
 270    179.786    -65.350  0.12289    
