!
! 05-APR-2020 19:46:45
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area -19.2 -15.978 /OUTPUT serpens_cn10_blue3_smm4.txt
!
 1    238.386   -226.500  7.21672E-02
 2    223.736   -226.500  8.39103E-02
 3    209.086   -226.500  8.58860E-02
 4    194.436   -226.500  9.97508E-02
 5    179.786   -226.500  0.11852    
 6    165.136   -226.500 -6.71984E-02
 7    150.486   -226.500  0.12350    
 8    135.836   -226.500  3.49045E-02
 9    121.186   -226.500  0.22470    
 10    106.536   -226.500  0.28498    
 11     91.886   -226.500  0.29299    
 12     77.236   -226.500  0.29402    
 13     33.286   -211.850 -8.27268E-02
 14     47.936   -211.850 -0.19813    
 15     62.586   -211.850 -0.17686    
 16     77.236   -211.850  0.12483    
 17     91.886   -211.850  0.21149    
 18    106.536   -211.850  0.19611    
 19    121.186   -211.850  9.64658E-02
 20    135.836   -211.850 -5.06001E-02
 21    150.486   -211.850  0.20948    
 22    165.136   -211.850  8.74346E-02
 23    179.786   -211.850  9.67252E-02
 24    194.436   -211.850  0.11676    
 25    209.086   -211.850  0.11774    
 26    223.736   -211.850  0.11779    
 27    238.386   -211.850  0.10632    
 28    253.036   -211.850  0.14065    
 29    267.686   -211.850  0.10461    
 30    267.686   -197.200  0.18465    
 31    253.036   -197.200  0.18187    
 32    238.386   -197.200  0.12645    
 33    223.736   -197.200 -2.50045E-02
 34    209.086   -197.200 -3.91164E-03
 35    194.436   -197.200  4.63429E-06
 36    179.786   -197.200  1.21189E-03
 37    165.136   -197.200 -5.37941E-03
 38    150.486   -197.200  0.15984    
 39    135.836   -197.200 -1.92776E-02
 40    121.186   -197.200  0.12201    
 41    106.536   -197.200  0.22331    
 42     91.886   -197.200  0.18831    
 43     77.236   -197.200 -9.85120E-02
 44     62.586   -197.200 -0.18348    
 45     47.936   -197.200 -0.20437    
 46     33.286   -197.200 -0.18055    
 47     18.636   -197.200 -0.17025    
 48    -39.964   -182.550 -0.23440    
 49    -25.314   -182.550 -0.12184    
 50    -10.664   -182.550 -3.94713E-02
 51      3.986   -182.550 -0.13512    
 52     18.636   -182.550 -0.20231    
 53     33.286   -182.550 -0.20482    
 54     47.936   -182.550 -0.20535    
 55     62.586   -182.550 -0.17450    
 56     77.236   -182.550 -9.13734E-02
 57     91.886   -182.550  0.11635    
 58    106.536   -182.550  0.14412    
 59    121.186   -182.550  0.11853    
 60    135.836   -182.550  7.38535E-02
 61    150.486   -182.550  0.17249    
 62    165.136   -182.550  0.12444    
 63    179.786   -182.550  0.10832    
 64    194.436   -182.550  5.82330E-02
 65    209.086   -182.550  4.94799E-02
 66    223.736   -182.550  7.80605E-03
 67    238.386   -182.550  0.17299    
 68    253.036   -182.550  0.24230    
 69    267.686   -182.550  0.24786    
 70    267.686   -167.900  0.29262    
 71    253.036   -167.900  0.28310    
 72    238.386   -167.900  0.20676    
 73    223.736   -167.900  9.98704E-02
 74    209.086   -167.900  0.16321    
 75    194.436   -167.900  0.16624    
 76    179.786   -167.900  9.65682E-02
 77    165.136   -167.900  9.53538E-02
 78    150.486   -167.900  0.31137    
 79    135.836   -167.900  0.20257    
 80    121.186   -167.900  6.53310E-02
 81    106.536   -167.900  0.12941    
 82     91.886   -167.900  9.79874E-02
 83     77.236   -167.900 -8.29613E-02
 84     62.586   -167.900 -0.11800    
 85     47.936   -167.900 -0.17008    
 86     33.286   -167.900 -0.19900    
 87     18.636   -167.900 -0.16706    
 88      3.986   -167.900 -0.13432    
 89    -10.664   -167.900 -4.00090E-02
 90    -25.314   -167.900 -0.12199    
 91    -39.964   -167.900 -0.23037    
 92    -54.614   -167.900 -3.78481E-02
 93    -69.264   -167.900  0.20762    
 94    -83.914   -167.900  0.29142    
 95    -98.564   -153.250  0.20124    
 96    -83.914   -153.250  0.22208    
 97    -69.264   -153.250  0.17970    
 98    -54.614   -153.250  9.76710E-04
 99    -39.964   -153.250 -0.21798    
 100    -25.314   -153.250 -0.12283    
 101    -10.664   -153.250 -4.28341E-02
 102      3.986   -153.250 -0.13019    
 103     18.636   -153.250 -0.15600    
 104     33.286   -153.250 -7.92162E-02
 105     47.936   -153.250 -1.22400E-02
 106     62.586   -153.250  6.19527E-03
 107     77.236   -153.250 -2.91666E-02
 108     91.886   -153.250  4.74134E-02
 109    106.536   -153.250  0.15670    
 110    121.186   -153.250  0.22784    
 111    135.836   -153.250  0.36842    
 112    150.486   -153.250  0.58206    
 113    165.136   -153.250  0.37928    
 114    179.786   -153.250  0.22708    
 115    194.436   -153.250  0.21850    
 116    209.086   -153.250  0.26635    
 117    223.736   -153.250  0.17443    
 118    238.386   -153.250  0.18282    
 119    253.036   -153.250  0.21657    
 120    267.686   -153.250  0.22200    
 121    267.686   -138.600  0.16586    
 122    253.036   -138.600  0.16092    
 123    238.386   -138.600  0.13834    
 124    223.736   -138.600  9.66870E-02
 125    209.086   -138.600  0.17278    
 126    194.436   -138.600  0.37091    
 127    179.786   -138.600  0.45719    
 128    165.136   -138.600  0.61389    
 129    150.486   -138.600  0.69262    
 130    135.836   -138.600  0.41901    
 131    121.186   -138.600  0.31411    
 132    106.536   -138.600  0.19174    
 133     91.886   -138.600  4.81779E-02
 134     77.236   -138.600  4.95501E-02
 135     62.586   -138.600  0.10475    
 136     47.936   -138.600  1.88142E-02
 137     33.286   -138.600 -6.68455E-02
 138     18.636   -138.600 -0.12028    
 139      3.986   -138.600 -9.65687E-02
 140    -10.664   -138.600 -6.30661E-02
 141    -25.314   -138.600 -0.13133    
 142    -39.964   -138.600 -0.18703    
 143    -54.614   -138.600 -2.47074E-02
 144    -69.264   -138.600  0.13702    
 145    -83.914   -138.600  0.16687    
 146    -98.564   -138.600  0.14155    
 147    -98.564   -123.950  9.50136E-02
 148    -83.914   -123.950  0.10451    
 149    -69.264   -123.950  7.34976E-02
 150    -54.614   -123.950 -6.65211E-02
 151    -39.964   -123.950 -0.13679    
 152    -25.314   -123.950 -9.70754E-02
 153    -10.664   -123.950 -8.29993E-02
 154      3.986   -123.950  1.69386E-02
 155     18.636   -123.950 -9.09311E-03
 156     33.286   -123.950  5.60538E-02
 157     47.936   -123.950  0.14201    
 158     62.586   -123.950  0.22105    
 159     77.236   -123.950  0.14290    
 160     91.886   -123.950  0.20166    
 161    106.536   -123.950  0.41631    
 162    121.186   -123.950  0.50692    
 163    135.836   -123.950  0.42030    
 164    150.486   -123.950  0.52225    
 165    165.136   -123.950  0.57823    
 166    179.786   -123.950  0.47462    
 167    194.436   -123.950  0.42075    
 168    209.086   -123.950  0.18604    
 169    223.736   -123.950  0.12356    
 170    238.386   -123.950  0.13589    
 171    253.036   -123.950  0.20178    
 172    267.686   -123.950  0.21968    
 173    267.686   -109.300  0.35786    
 174    253.036   -109.300  0.29971    
 175    238.386   -109.300  8.09572E-02
 176    223.736   -109.300  9.44826E-02
 177    209.086   -109.300  0.24361    
 178    194.436   -109.300  0.34582    
 179    179.786   -109.300  0.39486    
 180    165.136   -109.300  0.45962    
 181    150.486   -109.300  0.45546    
 182    135.836   -109.300  0.37031    
 183    121.186   -109.300  0.46226    
 184    106.536   -109.300  0.47758    
 185     91.886   -109.300  0.30476    
 186     77.236   -109.300  0.24532    
 187     62.586   -109.300  0.25804    
 188     47.936   -109.300  0.12507    
 189     33.286   -109.300  1.34169E-02
 190     18.636   -109.300 -1.14231E-02
 191      3.986   -109.300  7.74965E-02
 192    -10.664   -109.300  1.13360E-03
 193    -25.314   -109.300  2.32530E-02
 194    -39.964   -109.300 -7.32623E-02
 195    -54.614   -109.300 -7.85552E-02
 196    -69.264   -109.300 -2.93610E-02
 197    -83.914   -109.300 -9.99629E-03
 198    -98.564   -109.300 -6.44021E-03
 199    -98.564    -94.650  3.73304E-02
 200    -83.914    -94.650  2.69457E-02
 201    -69.264    -94.650 -6.70937E-03
 202    -54.614    -94.650 -5.99465E-02
 203    -39.964    -94.650 -7.13010E-02
 204    -25.314    -94.650  4.96585E-02
 205    -10.664    -94.650  4.64727E-02
 206      3.986    -94.650  2.91609E-02
 207     18.636    -94.650 -4.77809E-02
 208     33.286    -94.650 -5.85537E-02
 209     47.936    -94.650  8.17991E-02
 210     62.586    -94.650  0.26376    
 211     77.236    -94.650  0.28349    
 212     91.886    -94.650  0.22504    
 213    106.536    -94.650  0.32661    
 214    121.186    -94.650  0.44036    
 215    135.836    -94.650  0.39138    
 216    150.486    -94.650  0.52026    
 217    165.136    -94.650  0.41825    
 218    179.786    -94.650  0.33889    
 219    194.436    -94.650  0.32597    
 220    209.086    -94.650  0.20857    
 221    223.736    -94.650  7.42969E-02
 222    238.386    -94.650  0.18704    
 223    253.036    -94.650  0.25863    
 224    267.686    -94.650  0.27078    
 225    267.686    -80.000  0.24935    
 226    253.036    -80.000  0.24651    
 227    238.386    -80.000  0.21055    
 228    223.736    -80.000  5.21012E-02
 229    209.086    -80.000  9.13145E-02
 230    194.436    -80.000  0.34178    
 231    179.786    -80.000  0.34012    
 232    165.136    -80.000  0.21820    
 233    150.486    -80.000  0.29733    
 234    135.836    -80.000  0.24336    
 235    121.186    -80.000  0.22924    
 236    106.536    -80.000  1.94743E-02
 237     91.886    -80.000 -7.33061E-02
 238     77.236    -80.000  9.24573E-02
 239     62.586    -80.000  0.21462    
 240     47.936    -80.000  0.12930    
 241     33.286    -80.000  1.32841E-02
 242     18.636    -80.000  7.63697E-02
 243      3.986    -80.000  0.13697    
 244    -10.664    -80.000  0.13571    
 245    -25.314    -80.000  4.47169E-02
 246    -39.964    -80.000 -3.68785E-02
 247    -54.614    -80.000 -1.44327E-02
 248    -69.264    -80.000 -5.73762E-03
 249    -83.914    -80.000 -6.51803E-03
 250    -98.564    -80.000 -8.44790E-03
 251    -98.564    -65.350 -0.22649    
 252    -83.914    -65.350 -0.21097    
 253    -69.264    -65.350 -0.17106    
 254    -54.614    -65.350 -6.74262E-02
 255    -39.964    -65.350  3.62400E-02
 256    -25.314    -65.350  7.97576E-02
 257    -10.664    -65.350  7.21980E-02
 258      3.986    -65.350  0.12215    
 259     18.636    -65.350  0.17262    
 260     33.286    -65.350  4.14106E-02
 261     47.936    -65.350  6.15313E-02
 262     62.586    -65.350  6.93030E-02
 263     77.236    -65.350 -1.98301E-02
 264     91.886    -65.350 -0.12606    
 265    106.536    -65.350 -1.25193E-02
 266    121.186    -65.350  0.16799    
 267    135.836    -65.350  0.21222    
 268    150.486    -65.350  0.19325    
 269    165.136    -65.350  0.15344    
 270    179.786    -65.350  0.22275    
 271    194.436    -65.350  0.26024    
 272    209.086    -65.350  4.78837E-02
 273    223.736    -65.350 -1.34512E-02
 274    238.386    -65.350  8.81730E-02
 275    253.036    -65.350  0.16894    
 276    267.686    -65.350  0.18897    
 277    267.686    -50.700  0.12180    
 278    253.036    -50.700  8.08027E-02
 279    238.386    -50.700 -3.37944E-02
 280    223.736    -50.700  3.22224E-02
 281    209.086    -50.700  8.95036E-02
 282    194.436    -50.700  0.15140    
 283    179.786    -50.700  0.13784    
 284    165.136    -50.700  0.12724    
 285    150.486    -50.700  0.14511    
 286    135.836    -50.700  0.17891    
 287    121.186    -50.700  0.12072    
 288    106.536    -50.700  2.64929E-02
 289     91.886    -50.700 -8.28934E-02
 290     77.236    -50.700 -5.44124E-02
 291     62.586    -50.700 -1.06645E-02
 292     47.936    -50.700  5.52383E-02
 293     33.286    -50.700  7.56329E-02
 294     18.636    -50.700  0.13397    
 295      3.986    -50.700  0.11865    
 296    -10.664    -50.700  4.97771E-02
 297    -25.314    -50.700  7.92107E-02
 298    -39.964    -50.700  0.10524    
 299    -54.614    -50.700 -7.09322E-02
 300    -69.264    -50.700 -0.22483    
 301    -83.914    -50.700 -0.26696    
 302    -98.564    -50.700 -0.28075    
 303    -98.564    -36.050 -0.15574    
 304    -83.914    -36.050 -0.15231    
 305    -69.264    -36.050 -0.13815    
 306    -54.614    -36.050 -3.55105E-02
 307    -39.964    -36.050  0.13539    
 308    -25.314    -36.050  4.27404E-02
 309    -10.664    -36.050  1.09520E-02
 310      3.986    -36.050  8.73982E-02
 311     18.636    -36.050  6.18681E-02
 312     33.286    -36.050  6.70382E-02
 313     47.936    -36.050  5.83244E-02
 314     62.586    -36.050 -3.29410E-02
 315     77.236    -36.050 -0.11040    
 316     91.886    -36.050 -6.80089E-02
 317    106.536    -36.050 -4.51121E-02
 318    121.186    -36.050 -2.34463E-02
 319    135.836    -36.050  3.65957E-02
 320    150.486    -36.050  8.73049E-02
 321    165.136    -36.050  9.22803E-02
 322    179.786    -36.050 -2.11192E-02
 323    194.436    -36.050  5.94696E-02
 324    209.086    -36.050  0.11623    
 325    223.736    -36.050 -3.01823E-03
 326    238.386    -36.050 -0.20883    
 327    253.036    -36.050 -8.54946E-02
 328    267.686    -36.050 -7.39682E-03
 329    267.686    -21.400 -6.04054E-02
 330    253.036    -21.400 -0.16908    
 331    238.386    -21.400 -0.24596    
 332    223.736    -21.400 -1.47444E-02
 333    209.086    -21.400  5.63710E-02
 334    194.436    -21.400  7.55221E-03
 335    179.786    -21.400 -7.37270E-02
 336    165.136    -21.400 -4.15241E-02
 337    150.486    -21.400 -1.26645E-02
 338    135.836    -21.400 -3.68838E-02
 339    121.186    -21.400 -0.13705    
 340    106.536    -21.400 -0.16279    
 341     91.886    -21.400 -0.18525    
 342     77.236    -21.400 -0.17512    
 343     62.586    -21.400  4.85043E-02
 344     47.936    -21.400  0.11729    
 345     33.286    -21.400  0.12313    
 346     18.636    -21.400  0.16413    
 347      3.986    -21.400  0.10895    
 348    -10.664    -21.400  4.56460E-02
 349    -25.314    -21.400  2.41948E-02
 350    -39.964    -21.400  8.62256E-02
 351    -54.614    -21.400 -3.38647E-02
 352    -69.264    -21.400 -9.03627E-02
 353    -83.914    -21.400 -9.11013E-02
 354    -98.564    -21.400 -9.01340E-02
 355    -98.564     -6.750  8.58896E-02
 356    -83.914     -6.750  8.25577E-02
 357    -69.264     -6.750  6.91144E-02
 358    -54.614     -6.750  5.69959E-02
 359    -39.964     -6.750  7.10089E-02
 360    -25.314     -6.750  5.31505E-02
 361    -10.664     -6.750  0.12006    
 362      3.986     -6.750  0.15239    
 363     18.636     -6.750  0.18053    
 364     33.286     -6.750  0.16723    
 365     47.936     -6.750  9.74611E-02
 366     62.586     -6.750 -4.55655E-02
 367     77.236     -6.750 -0.29100    
 368     91.886     -6.750 -0.28140    
 369    106.536     -6.750 -0.18841    
 370    121.186     -6.750 -0.18848    
 371    135.836     -6.750 -3.42641E-02
 372    150.486     -6.750 -4.70742E-02
 373    165.136     -6.750 -0.17754    
 374    179.786     -6.750 -3.50049E-02
 375    194.436     -6.750  8.40193E-02
 376    209.086     -6.750  9.42317E-02
 377    223.736     -6.750  6.23004E-02
 378    238.386     -6.750 -0.24238    
 379    253.036     -6.750 -0.20975    
 380    267.686     -6.750 -8.70258E-02
 381    253.036      7.900 -0.24605    
 382    238.386      7.900 -6.29332E-02
 383    223.736      7.900 -7.32671E-04
 384    209.086      7.900 -2.82391E-03
 385    194.436      7.900 -1.67627E-02
 386    179.786      7.900 -0.12043    
 387    165.136      7.900 -0.25681    
 388    150.486      7.900  3.83650E-03
 389    135.836      7.900  3.95351E-02
 390    121.186      7.900 -0.10024    
 391    106.536      7.900 -0.15410    
 392     91.886      7.900 -0.24768    
 393     77.236      7.900 -0.13284    
 394     62.586      7.900  6.45773E-02
 395     47.936      7.900  0.10919    
 396     33.286      7.900  0.19009    
 397     18.636      7.900  0.18583    
 398      3.986      7.900  0.13616    
 399    -10.664      7.900  0.13273    
 400    -25.314      7.900  7.42319E-02
 401    -39.964      7.900  1.82303E-02
 402    -54.614      7.900  4.48575E-02
 403    -69.264      7.900  5.94056E-02
 404    -83.914      7.900  6.53128E-02
 405    -98.564      7.900  6.74184E-02
 406    -98.564     22.550 -0.12163    
 407    -83.914     22.550 -9.74541E-02
 408    -69.264     22.550 -6.19803E-02
 409    -54.614     22.550  4.02790E-02
 410    -39.964     22.550  7.27833E-02
 411    -25.314     22.550  8.67160E-02
 412    -10.664     22.550  9.14775E-02
 413      3.986     22.550  0.10240    
 414     18.636     22.550  0.21396    
 415     33.286     22.550  0.20170    
 416     47.936     22.550  0.11518    
 417     62.586     22.550  6.23243E-02
 418     77.236     22.550  7.96484E-03
 419     91.886     22.550 -7.32675E-02
 420    106.536     22.550  0.12078    
 421    121.186     22.550  8.54575E-02
 422    135.836     22.550  0.12316    
 423    150.486     22.550  6.74155E-02
 424    165.136     22.550 -8.85907E-02
 425    179.786     22.550 -7.68449E-02
 426    194.436     22.550 -9.19808E-02
 427    209.086     22.550 -9.71804E-02
 428    223.736     22.550 -9.66565E-02
 429    238.386     22.550 -9.65102E-02
 430    238.386     37.200  3.51736E-02
 431    223.736     37.200  2.99271E-02
 432    209.086     37.200  3.08156E-02
 433    194.436     37.200  3.39500E-02
 434    179.786     37.200  2.80056E-02
 435    165.136     37.200  4.33441E-02
 436    150.486     37.200  7.04624E-02
 437    135.836     37.200  8.97452E-02
 438    121.186     37.200  2.25362E-02
 439    106.536     37.200  0.14630    
 440     91.886     37.200  1.06690E-02
 441     77.236     37.200  1.45932E-02
 442     62.586     37.200 -7.38395E-03
 443     47.936     37.200  5.71920E-02
 444     33.286     37.200  0.12887    
 445     18.636     37.200  0.15523    
 446      3.986     37.200  7.66696E-02
 447    -10.664     37.200  0.11874    
 448    -25.314     37.200  9.13042E-02
 449    -39.964     37.200  6.82622E-02
 450    -54.614     37.200 -2.00098E-02
 451    -69.264     37.200 -0.11100    
 452    -83.914     37.200 -0.15114    
