!
! 05-APR-2020 19:49:31
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area 5.2 6.9 /OUTPUT serpens_cn10_blue4.txt
!
 1    238.386   -226.500  0.15224    
 2    223.736   -226.500  0.15292    
 3    209.086   -226.500  0.15351    
 4    194.436   -226.500  0.15804    
 5    179.786   -226.500  0.18255    
 6    165.136   -226.500  0.24344    
 7    150.486   -226.500  0.53202    
 8    135.836   -226.500  0.53187    
 9    121.186   -226.500  0.41072    
 10    106.536   -226.500  0.39850    
 11     91.886   -226.500  0.39747    
 12     77.236   -226.500  0.39725    
 13     33.286   -211.850 -4.64687E-02
 14     47.936   -211.850  2.90255E-02
 15     62.586   -211.850  0.14505    
 16     77.236   -211.850  0.35913    
 17     91.886   -211.850  0.39788    
 18    106.536   -211.850  0.39974    
 19    121.186   -211.850  0.41848    
 20    135.836   -211.850  0.56506    
 21    150.486   -211.850  0.61039    
 22    165.136   -211.850  0.31017    
 23    179.786   -211.850  0.20305    
 24    194.436   -211.850  0.24502    
 25    209.086   -211.850  0.25698    
 26    223.736   -211.850  0.25864    
 27    238.386   -211.850  0.52582    
 28    253.036   -211.850  0.85057    
 29    267.686   -211.850  0.90238    
 30    267.686   -197.200  0.81045    
 31    253.036   -197.200  0.80525    
 32    238.386   -197.200  0.69264    
 33    223.736   -197.200  0.31264    
 34    209.086   -197.200  0.29420    
 35    194.436   -197.200  0.27603    
 36    179.786   -197.200  0.21401    
 37    165.136   -197.200  0.31758    
 38    150.486   -197.200  0.56883    
 39    135.836   -197.200  0.59446    
 40    121.186   -197.200  0.53835    
 41    106.536   -197.200  0.52643    
 42     91.886   -197.200  0.54594    
 43     77.236   -197.200  0.26173    
 44     62.586   -197.200  0.12646    
 45     47.936   -197.200 -1.98082E-03
 46     33.286   -197.200 -6.68053E-02
 47     18.636   -197.200 -7.78960E-02
 48    -39.964   -182.550 -0.22726    
 49    -25.314   -182.550 -0.23173    
 50    -10.664   -182.550 -8.83332E-02
 51      3.986   -182.550 -2.12025E-02
 52     18.636   -182.550 -7.02718E-02
 53     33.286   -182.550 -6.60019E-02
 54     47.936   -182.550 -1.89152E-02
 55     62.586   -182.550  0.10508    
 56     77.236   -182.550  0.26033    
 57     91.886   -182.550  0.55620    
 58    106.536   -182.550  0.66736    
 59    121.186   -182.550  0.64552    
 60    135.836   -182.550  0.61177    
 61    150.486   -182.550  0.51191    
 62    165.136   -182.550  0.31047    
 63    179.786   -182.550  0.20616    
 64    194.436   -182.550  0.22618    
 65    209.086   -182.550  0.31110    
 66    223.736   -182.550  0.33530    
 67    238.386   -182.550  0.62403    
 68    253.036   -182.550  0.73862    
 69    267.686   -182.550  0.74761    
 70    267.686   -167.900  0.65799    
 71    253.036   -167.900  0.64500    
 72    238.386   -167.900  0.54925    
 73    223.736   -167.900  0.35666    
 74    209.086   -167.900  0.28915    
 75    194.436   -167.900  0.28721    
 76    179.786   -167.900  0.42151    
 77    165.136   -167.900  0.69541    
 78    150.486   -167.900  0.94366    
 79    135.836   -167.900  0.92215    
 80    121.186   -167.900  0.83345    
 81    106.536   -167.900  0.68809    
 82     91.886   -167.900  0.50658    
 83     77.236   -167.900  0.25128    
 84     62.586   -167.900  0.10225    
 85     47.936   -167.900  9.53059E-03
 86     33.286   -167.900 -2.13780E-02
 87     18.636   -167.900 -3.01151E-02
 88      3.986   -167.900 -2.04644E-02
 89    -10.664   -167.900 -8.82066E-02
 90    -25.314   -167.900 -0.22977    
 91    -39.964   -167.900 -0.21936    
 92    -54.614   -167.900 -0.17158    
 93    -69.264   -167.900 -0.27917    
 94    -83.914   -167.900 -0.37037    
 95    -98.564   -153.250 -0.26598    
 96    -83.914   -153.250 -0.28611    
 97    -69.264   -153.250 -0.25007    
 98    -54.614   -153.250 -0.15356    
 99    -39.964   -153.250 -0.17872    
 100    -25.314   -153.250 -0.21622    
 101    -10.664   -153.250 -8.66989E-02
